>> START_DIR: ./data/u/u0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1u00 |STR_LEN: 495 |STR_TIME: 0.5423638820648193
> STR_ID: 1u0s |STR_LEN: 406 |STR_TIME: 0.4401581287384033
> STR_ID: 1u0t |STR_LEN: 819 |STR_TIME: 1.089500904083252
> STR_ID: 1u0u |STR_LEN: 4205 |STR_TIME: 4.370429039001465
> STR_ID: 1u0v |STR_LEN: 1484 |STR_TIME: 1.5644340515136719
> STR_ID: 1u0w |STR_LEN: 2746 |STR_TIME: 3.021777868270874
> STR_ID: 1u0x |STR_LEN: 514 |STR_TIME: 0.5539000034332275
> STR_ID: 1u0y |STR_LEN: 349 |STR_TIME: 0.5330018997192383
> STR_ID: 1u0z |STR_LEN: 730 |STR_TIME: 1.0107121467590332
> STR_ID: 3u00 |STR_LEN: 206 |STR_TIME: 0.2881908416748047
> STR_ID: 3u01 |STR_LEN: 255 |STR_TIME: 0.5775878429412842
> STR_ID: 3u02 |STR_LEN: 1222 |STR_TIME: 3.858051061630249
> STR_ID: 3u03 |STR_LEN: 465 |STR_TIME: 1.4519736766815186
> STR_ID: 3u04 |STR_LEN: 359 |STR_TIME: 0.8404557704925537
> STR_ID: 3u05 |STR_LEN: 180 |STR_TIME: 0.26354312896728516
> STR_ID: 3u06 |STR_LEN: 833 |STR_TIME: 4.350108861923218
> STR_ID: 3u07 |STR_LEN: 1975 |STR_TIME: 4.444849014282227
> STR_ID: 3u08 |STR_LEN: 177 |STR_TIME: 0.25571680068969727
> STR_ID: 3u09 |STR_LEN: 864 |STR_TIME: 1.8231110572814941
> STR_ID: 3u0a |STR_LEN: 629 |STR_TIME: 1.6426448822021484
> STR_ID: 3u0b |STR_LEN: 978 |STR_TIME: 1.457502841949463
> STR_ID: 3u0c |STR_LEN: 390 |STR_TIME: 1.4369909763336182
> STR_ID: 3u0d |STR_LEN: 901 |STR_TIME: 2.651090383529663
> STR_ID: 3u0e |STR_LEN: 882 |STR_TIME: 1.7035419940948486
> STR_ID: 3u0f |STR_LEN: 933 |STR_TIME: 1.912952184677124
> STR_ID: 3u0g |STR_LEN: 2484 |STR_TIME: 6.64437198638916
> STR_ID: 3u0h |STR_LEN: 812 |STR_TIME: 1.3571231365203857
> STR_ID: 3u0i |STR_LEN: 191 |STR_TIME: 0.5551989078521729
> STR_ID: 3u0j |STR_LEN: 673 |STR_TIME: 1.1321120262145996
> STR_ID: 3u0k |STR_LEN: 541 |STR_TIME: 1.6166141033172607
> STR_ID: 3u0l |STR_LEN: 448 |STR_TIME: 1.1432421207427979
> STR_ID: 3u0m |STR_LEN: 363 |STR_TIME: 0.6758999824523926
> STR_ID: 3u0n |STR_LEN: 419 |STR_TIME: 0.5851271152496338
> STR_ID: 3u0o |STR_LEN: 708 |STR_TIME: 2.22605299949646
> STR_ID: 3u0p |STR_LEN: 1217 |STR_TIME: 4.618611812591553
> STR_ID: 3u0r |STR_LEN: 539 |STR_TIME: 0.8100228309631348
> STR_ID: 3u0s |STR_LEN: 910 |STR_TIME: 2.755753993988037
> STR_ID: 3u0t |STR_LEN: 1168 |STR_TIME: 3.262312889099121
> STR_ID: 3u0u |STR_LEN: 170 |STR_TIME: 0.2621750831604004
> STR_ID: 3u0v |STR_LEN: 366 |STR_TIME: 0.5421020984649658
> STR_ID: 3u0w |STR_LEN: 723 |STR_TIME: 0.9567649364471436
> STR_ID: 3u0x |STR_LEN: 957 |STR_TIME: 2.626129150390625
> STR_ID: 3u0y |STR_LEN: 1028 |STR_TIME: 2.275268077850342
> STR_ID: 3u0z |STR_LEN: 449 |STR_TIME: 0.8609192371368408
> STR_ID: 4u00 |STR_LEN: 374 |STR_TIME: 0.5327160358428955
> STR_ID: 4u01 |STR_LEN: 1777 |STR_TIME: 5.498626947402954
> STR_ID: 4u02 |STR_LEN: 1279 |STR_TIME: 1.8178250789642334
> STR_ID: 4u03 |STR_LEN: 1069 |STR_TIME: 2.830505132675171
> STR_ID: 4u04 |STR_LEN: 800 |STR_TIME: 2.216097831726074
> STR_ID: 4u05 |STR_LEN: 338 |STR_TIME: 0.5758540630340576
> STR_ID: 4u06 |STR_LEN: 715 |STR_TIME: 1.0545430183410645
> STR_ID: 4u07 |STR_LEN: 769 |STR_TIME: 1.5057299137115479
> STR_ID: 4u08 |STR_LEN: 1281 |STR_TIME: 1.8065931797027588
> STR_ID: 4u09 |STR_LEN: 1412 |STR_TIME: 1.8831639289855957
> STR_ID: 4u0a |STR_LEN: 370 |STR_TIME: 0.8598117828369141
> STR_ID: 4u0b |STR_LEN: 2596 |STR_TIME: 9.131781101226807
> STR_ID: 4u0c |STR_LEN: 419 |STR_TIME: 0.49994921684265137
> STR_ID: 4u0d |STR_LEN: 2513 |STR_TIME: 8.98952603340149
> STR_ID: 4u0e |STR_LEN: 359 |STR_TIME: 0.8307499885559082
> STR_ID: 4u0f |STR_LEN: 279 |STR_TIME: 0.7036709785461426
> STR_ID: 4u0g |STR_LEN: 5385 |STR_TIME: 18.4770770072937
> STR_ID: 4u0h |STR_LEN: 1280 |STR_TIME: 4.24018406867981
> STR_ID: 4u0i |STR_LEN: 437 |STR_TIME: 0.6183221340179443
> STR_ID: 4u0j |STR_LEN: 557 |STR_TIME: 1.3875510692596436
> STR_ID: 4u0k |STR_LEN: 538 |STR_TIME: 1.4447901248931885
> STR_ID: 4u0l |STR_LEN: 1198 |STR_TIME: 2.8929009437561035
> STR_ID: 4u0m |STR_LEN: 1159 |STR_TIME: 2.8826282024383545
> STR_ID: 4u0n |STR_LEN: 1136 |STR_TIME: 2.727030038833618
> STR_ID: 4u0o |STR_LEN: 458 |STR_TIME: 1.0279181003570557
> STR_ID: 4u0p |STR_LEN: 460 |STR_TIME: 1.2049260139465332
> STR_ID: 4u0q |STR_LEN: 933 |STR_TIME: 4.081288814544678
> STR_ID: 4u0r |STR_LEN: 936 |STR_TIME: 2.6313819885253906
> STR_ID: 4u0s |STR_LEN: 822 |STR_TIME: 1.2962219715118408
> STR_ID: 4u0t |STR_LEN: 4407 |STR_TIME: 10.527568817138672
> STR_ID: 4u0u |STR_LEN: 827 |STR_TIME: 1.333240032196045
> STR_ID: 4u0v |STR_LEN: 796 |STR_TIME: 1.0212619304656982
> STR_ID: 4u0w |STR_LEN: 756 |STR_TIME: 1.0168960094451904
> STR_ID: 4u0x |STR_LEN: 2094 |STR_TIME: 2.8103768825531006
> STR_ID: 4u0y |STR_LEN: 618 |STR_TIME: 0.7986576557159424
> STR_ID: 4u0z |STR_LEN: 3423 |STR_TIME: 4.8794519901275635
> STR_ID: 5u00 |STR_LEN: 2379 |STR_TIME: 4.8109471797943115
> STR_ID: 5u02 |STR_LEN: 535 |STR_TIME: 1.2863919734954834
> STR_ID: 5u03 |STR_LEN: 2244 |STR_TIME: 3.6351523399353027
> STR_ID: 5u04 |STR_LEN: 1144 |STR_TIME: 1.9469709396362305
> STR_ID: 5u05 |STR_LEN: 2136 |STR_TIME: 6.488260984420776
> STR_ID: 5u08 |STR_LEN: 1588 |STR_TIME: 2.5196359157562256
> STR_ID: 5u09 |STR_LEN: 554 |STR_TIME: 0.945479154586792
> STR_ID: 5u0b |STR_LEN: 1778 |STR_TIME: 6.099400997161865
> STR_ID: 5u0c |STR_LEN: 4996 |STR_TIME: 16.39733600616455
> STR_ID: 5u0i |STR_LEN: 470 |STR_TIME: 0.7879009246826172
> STR_ID: 5u0j |STR_LEN: 1003 |STR_TIME: 0.8401641845703125
> STR_ID: 5u0k |STR_LEN: 1076 |STR_TIME: 1.6644270420074463
> STR_ID: 5u0l |STR_LEN: 1048 |STR_TIME: 3.032707691192627
> STR_ID: 5u0m |STR_LEN: 1015 |STR_TIME: 3.0695230960845947
> STR_ID: 5u0p |STR_LEN: 2929 |STR_TIME: 4.912814140319824
> STR_ID: 5u0r |STR_LEN: 433 |STR_TIME: 1.350135087966919
> STR_ID: 5u0s |STR_LEN: 6861 |STR_TIME: 12.503839015960693
> STR_ID: 5u0u |STR_LEN: 940 |STR_TIME: 3.0188121795654297
>> FINISH_DIR: ./data/u/u0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 124 |DIR_TIME: 298.12884497642517 

>> START_DIR: ./data/u/u1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1u10 |STR_LEN: 1504 |STR_TIME: 2.4955670833587646
> STR_ID: 1u11 |STR_LEN: 586 |STR_TIME: 0.6673543453216553
> STR_ID: 1u12 |STR_LEN: 306 |STR_TIME: 0.4923419952392578
> STR_ID: 1u13 |STR_LEN: 643 |STR_TIME: 0.9583821296691895
> STR_ID: 1u14 |STR_LEN: 313 |STR_TIME: 0.3635110855102539
> STR_ID: 1u15 |STR_LEN: 2414 |STR_TIME: 3.191222906112671
> STR_ID: 1u16 |STR_LEN: 656 |STR_TIME: 0.8485629558563232
> STR_ID: 1u17 |STR_LEN: 688 |STR_TIME: 0.7967240810394287
> STR_ID: 1u18 |STR_LEN: 584 |STR_TIME: 0.7183327674865723
> STR_ID: 1u19 |STR_LEN: 801 |STR_TIME: 1.3804450035095215
> STR_ID: 1u1b |STR_LEN: 322 |STR_TIME: 0.4957718849182129
> STR_ID: 1u1c |STR_LEN: 2073 |STR_TIME: 2.7541918754577637
> STR_ID: 1u1d |STR_LEN: 2026 |STR_TIME: 2.8397300243377686
> STR_ID: 1u1e |STR_LEN: 2047 |STR_TIME: 2.9876930713653564
> STR_ID: 1u1f |STR_LEN: 2042 |STR_TIME: 2.924323797225952
> STR_ID: 1u1g |STR_LEN: 2194 |STR_TIME: 3.0227980613708496
> STR_ID: 1u1h |STR_LEN: 1039 |STR_TIME: 1.534963846206665
> STR_ID: 1u1i |STR_LEN: 2597 |STR_TIME: 3.3488059043884277
> STR_ID: 1u1j |STR_LEN: 1037 |STR_TIME: 1.580392837524414
> STR_ID: 1u1k |STR_LEN: 403 |STR_TIME: 0.5235838890075684
> STR_ID: 1u1l |STR_LEN: 312 |STR_TIME: 0.4812779426574707
> STR_ID: 1u1m |STR_LEN: 308 |STR_TIME: 0.4927060604095459
> STR_ID: 1u1n |STR_LEN: 331 |STR_TIME: 0.49424099922180176
> STR_ID: 1u1o |STR_LEN: 281 |STR_TIME: 0.4698822498321533
> STR_ID: 1u1p |STR_LEN: 389 |STR_TIME: 0.5266687870025635
> STR_ID: 1u1q |STR_LEN: 359 |STR_TIME: 0.49527907371520996
> STR_ID: 1u1r |STR_LEN: 390 |STR_TIME: 0.6652810573577881
> STR_ID: 1u1s |STR_LEN: 637 |STR_TIME: 0.9169607162475586
> STR_ID: 1u1t |STR_LEN: 562 |STR_TIME: 1.6139318943023682
> STR_ID: 1u1u |STR_LEN: 1040 |STR_TIME: 2.902766704559326
> STR_ID: 1u1v |STR_LEN: 612 |STR_TIME: 1.2874009609222412
> STR_ID: 1u1w |STR_LEN: 1241 |STR_TIME: 4.481879949569702
> STR_ID: 1u1x |STR_LEN: 932 |STR_TIME: 2.0985310077667236
> STR_ID: 1u1y |STR_LEN: 579 |STR_TIME: 1.928718090057373
> STR_ID: 1u1z |STR_LEN: 1101 |STR_TIME: 3.409227132797241
> STR_ID: 2u1a |STR_LEN: 88 |STR_TIME: 6.902476072311401
> STR_ID: 3u10 |STR_LEN: 289 |STR_TIME: 0.5268900394439697
> STR_ID: 3u11 |STR_LEN: 554 |STR_TIME: 0.9835100173950195
> STR_ID: 3u12 |STR_LEN: 329 |STR_TIME: 0.8986167907714844
> STR_ID: 3u13 |STR_LEN: 448 |STR_TIME: 1.0377757549285889
> STR_ID: 3u14 |STR_LEN: 1655 |STR_TIME: 2.3898308277130127
> STR_ID: 3u15 |STR_LEN: 482 |STR_TIME: 0.813709020614624
> STR_ID: 3u16 |STR_LEN: 1391 |STR_TIME: 2.022953987121582
> STR_ID: 3u17 |STR_LEN: 1261 |STR_TIME: 2.0380539894104004
> STR_ID: 3u18 |STR_LEN: 678 |STR_TIME: 0.9151439666748047
> STR_ID: 3u19 |STR_LEN: 379 |STR_TIME: 0.8975222110748291
> STR_ID: 3u1a |STR_LEN: 546 |STR_TIME: 1.1447761058807373
> STR_ID: 3u1b |STR_LEN: 1180 |STR_TIME: 2.3397669792175293
> STR_ID: 3u1c |STR_LEN: 351 |STR_TIME: 0.7418889999389648
> STR_ID: 3u1d |STR_LEN: 591 |STR_TIME: 1.1416490077972412
> STR_ID: 3u1h |STR_LEN: 728 |STR_TIME: 1.1999778747558594
> STR_ID: 3u1i |STR_LEN: 534 |STR_TIME: 1.3775241374969482
> STR_ID: 3u1j |STR_LEN: 435 |STR_TIME: 0.9352872371673584
> STR_ID: 3u1k |STR_LEN: 3653 |STR_TIME: 4.7816667556762695
> STR_ID: 3u1l |STR_LEN: 520 |STR_TIME: 0.8823199272155762
> STR_ID: 3u1m |STR_LEN: 548 |STR_TIME: 0.9042198657989502
> STR_ID: 3u1n |STR_LEN: 1756 |STR_TIME: 5.6444480419158936
> STR_ID: 3u1o |STR_LEN: 1267 |STR_TIME: 2.8791491985321045
> STR_ID: 3u1p |STR_LEN: 680 |STR_TIME: 0.9556827545166016
> STR_ID: 3u1q |STR_LEN: 753 |STR_TIME: 0.979943037033081
> STR_ID: 3u1r |STR_LEN: 627 |STR_TIME: 0.905601978302002
> STR_ID: 3u1s |STR_LEN: 777 |STR_TIME: 1.6733109951019287
> STR_ID: 3u1t |STR_LEN: 1100 |STR_TIME: 2.116361141204834
> STR_ID: 3u1u |STR_LEN: 391 |STR_TIME: 0.954272985458374
> STR_ID: 3u1v |STR_LEN: 1282 |STR_TIME: 4.039143085479736
> STR_ID: 3u1w |STR_LEN: 1600 |STR_TIME: 2.7990081310272217
> STR_ID: 3u1x |STR_LEN: 874 |STR_TIME: 1.5976619720458984
> STR_ID: 3u1y |STR_LEN: 915 |STR_TIME: 1.9491722583770752
> STR_ID: 4u10 |STR_LEN: 793 |STR_TIME: 1.0670039653778076
> STR_ID: 4u12 |STR_LEN: 149 |STR_TIME: 0.35205912590026855
> STR_ID: 4u13 |STR_LEN: 239 |STR_TIME: 0.7634880542755127
> STR_ID: 4u14 |STR_LEN: 437 |STR_TIME: 0.8738420009613037
> STR_ID: 4u15 |STR_LEN: 796 |STR_TIME: 1.4595351219177246
> STR_ID: 4u16 |STR_LEN: 778 |STR_TIME: 2.406856060028076
> STR_ID: 4u17 |STR_LEN: 470 |STR_TIME: 1.1267399787902832
> STR_ID: 4u18 |STR_LEN: 767 |STR_TIME: 1.3433709144592285
> STR_ID: 4u19 |STR_LEN: 1024 |STR_TIME: 1.4457290172576904
> STR_ID: 4u1a |STR_LEN: 777 |STR_TIME: 1.3362560272216797
> STR_ID: 4u1b |STR_LEN: 479 |STR_TIME: 0.6459629535675049
> STR_ID: 4u1c |STR_LEN: 815 |STR_TIME: 1.4976081848144531
> STR_ID: 4u1d |STR_LEN: 1352 |STR_TIME: 4.53891396522522
> STR_ID: 4u1e |STR_LEN: 669 |STR_TIME: 1.6877460479736328
> STR_ID: 4u1f |STR_LEN: 1156 |STR_TIME: 3.2291600704193115
> STR_ID: 4u1g |STR_LEN: 1433 |STR_TIME: 4.7847490310668945
> STR_ID: 4u1h |STR_LEN: 714 |STR_TIME: 1.5005860328674316
> STR_ID: 4u1i |STR_LEN: 654 |STR_TIME: 1.3819029331207275
> STR_ID: 4u1j |STR_LEN: 813 |STR_TIME: 1.4973797798156738
> STR_ID: 4u1k |STR_LEN: 1284 |STR_TIME: 2.8464949131011963
> STR_ID: 4u1l |STR_LEN: 1121 |STR_TIME: 2.191603899002075
> STR_ID: 4u1m |STR_LEN: 971 |STR_TIME: 1.5873191356658936
> STR_ID: 4u1n |STR_LEN: 696 |STR_TIME: 1.4719460010528564
> STR_ID: 4u1o |STR_LEN: 583 |STR_TIME: 0.9767758846282959
> STR_ID: 4u1p |STR_LEN: 303 |STR_TIME: 0.5743098258972168
> STR_ID: 4u1q |STR_LEN: 2367 |STR_TIME: 2.7349376678466797
> STR_ID: 4u1r |STR_LEN: 2945 |STR_TIME: 9.220883131027222
> STR_ID: 4u1s |STR_LEN: 645 |STR_TIME: 1.502713918685913
> STR_ID: 4u1t |STR_LEN: 5384 |STR_TIME: 9.920696020126343
> STR_ID: 4u1u |STR_LEN: 22973 |STR_TIME: 71.62084197998047
> STR_ID: 4u1v |STR_LEN: 22971 |STR_TIME: 74.5956962108612
> STR_ID: 4u1w |STR_LEN: 2978 |STR_TIME: 10.775942087173462
> STR_ID: 4u1x |STR_LEN: 2991 |STR_TIME: 5.487258672714233
> STR_ID: 4u1y |STR_LEN: 2917 |STR_TIME: 8.716904878616333
> STR_ID: 4u1z |STR_LEN: 618 |STR_TIME: 1.1292641162872314
> STR_ID: 5u15 |STR_LEN: 1112 |STR_TIME: 2.628632068634033
> STR_ID: 5u16 |STR_LEN: 2823 |STR_TIME: 5.415471792221069
> STR_ID: 5u17 |STR_LEN: 2500 |STR_TIME: 5.464879751205444
> STR_ID: 5u1c |STR_LEN: 944 |STR_TIME: 2.0814199447631836
> STR_ID: 5u1d |STR_LEN: 1168 |STR_TIME: 1.9248719215393066
> STR_ID: 5u1f |STR_LEN: 2549 |STR_TIME: 4.086789131164551
> STR_ID: 5u1g |STR_LEN: 886 |STR_TIME: 1.5618910789489746
> STR_ID: 5u1h |STR_LEN: 1272 |STR_TIME: 1.0949020385742188
> STR_ID: 5u1j |STR_LEN: 1205 |STR_TIME: 3.894516944885254
> STR_ID: 5u1l |STR_LEN: 319 |STR_TIME: 0.5879030227661133
> STR_ID: 5u1o |STR_LEN: 2617 |STR_TIME: 5.798206090927124
> STR_ID: 5u1p |STR_LEN: 407 |STR_TIME: 0.8145031929016113
> STR_ID: 5u1r |STR_LEN: 1787 |STR_TIME: 5.16206693649292
> STR_ID: 5u1s |STR_LEN: 1552 |STR_TIME: 5.018736839294434
> STR_ID: 5u1t |STR_LEN: 1568 |STR_TIME: 2.8492369651794434
> STR_ID: 5u1u |STR_LEN: 318 |STR_TIME: 0.607280969619751
> STR_ID: 5u1v |STR_LEN: 325 |STR_TIME: 0.5947129726409912
> STR_ID: 5u1w |STR_LEN: 326 |STR_TIME: 0.6116049289703369
> STR_ID: 5u1x |STR_LEN: 326 |STR_TIME: 0.6007981300354004
> STR_ID: 5u1y |STR_LEN: 321 |STR_TIME: 0.6039032936096191
> STR_ID: 5u1z |STR_LEN: 2159 |STR_TIME: 2.8488929271698
>> FINISH_DIR: ./data/u/u1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 248 |DIR_TIME: 411.9377636909485 

>> START_DIR: ./data/u/u2/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1u20 |STR_LEN: 576 |STR_TIME: 0.7622158527374268
> STR_ID: 1u21 |STR_LEN: 338 |STR_TIME: 0.450991153717041
> STR_ID: 1u22 |STR_LEN: 1036 |STR_TIME: 1.3903532028198242
> STR_ID: 1u24 |STR_LEN: 1896 |STR_TIME: 1.4792821407318115
> STR_ID: 1u25 |STR_LEN: 1877 |STR_TIME: 1.9483282566070557
> STR_ID: 1u26 |STR_LEN: 1306 |STR_TIME: 1.3156640529632568
> STR_ID: 1u27 |STR_LEN: 146 |STR_TIME: 0.2614891529083252
> STR_ID: 1u28 |STR_LEN: 1026 |STR_TIME: 1.5057308673858643
> STR_ID: 1u29 |STR_LEN: 209 |STR_TIME: 0.3387110233306885
> STR_ID: 1u2a |STR_LEN: 20 |STR_TIME: 0.15813994407653809
> STR_ID: 1u2b |STR_LEN: 206 |STR_TIME: 0.2941281795501709
> STR_ID: 1u2c |STR_LEN: 427 |STR_TIME: 0.4429469108581543
> STR_ID: 1u2d |STR_LEN: 976 |STR_TIME: 1.5196762084960938
> STR_ID: 1u2e |STR_LEN: 1691 |STR_TIME: 2.0497989654541016
> STR_ID: 1u2f |STR_LEN: 90 |STR_TIME: 0.3188662528991699
> STR_ID: 1u2g |STR_LEN: 1090 |STR_TIME: 1.620847225189209
> STR_ID: 1u2h |STR_LEN: 246 |STR_TIME: 0.4161341190338135
> STR_ID: 1u2j |STR_LEN: 2360 |STR_TIME: 3.833754301071167
> STR_ID: 1u2k |STR_LEN: 385 |STR_TIME: 0.5459349155426025
> STR_ID: 1u2l |STR_LEN: 825 |STR_TIME: 1.0971932411193848
> STR_ID: 1u2m |STR_LEN: 392 |STR_TIME: 0.6073510646820068
> STR_ID: 1u2n |STR_LEN: 103 |STR_TIME: 6.227252006530762
> STR_ID: 1u2o |STR_LEN: 796 |STR_TIME: 0.9548220634460449
> STR_ID: 1u2p |STR_LEN: 309 |STR_TIME: 0.3318777084350586
> STR_ID: 1u2q |STR_LEN: 240 |STR_TIME: 0.3104400634765625
> STR_ID: 1u2r |STR_LEN: 1008 |STR_TIME: 1.5678069591522217
> STR_ID: 1u2s |STR_LEN: 504 |STR_TIME: 0.5236132144927979
> STR_ID: 1u2t |STR_LEN: 423 |STR_TIME: 0.524935245513916
> STR_ID: 1u2u |STR_LEN: 64 |STR_TIME: 5.112547159194946
> STR_ID: 1u2v |STR_LEN: 2031 |STR_TIME: 3.126772880554199
> STR_ID: 1u2w |STR_LEN: 877 |STR_TIME: 0.9140238761901855
> STR_ID: 1u2x |STR_LEN: 1715 |STR_TIME: 1.8186469078063965
> STR_ID: 1u2y |STR_LEN: 706 |STR_TIME: 0.9274401664733887
> STR_ID: 1u2z |STR_LEN: 1679 |STR_TIME: 2.234700918197632
> STR_ID: 2u2a |STR_LEN: 20 |STR_TIME: 0.1617598533630371
> STR_ID: 2u2f |STR_LEN: 85 |STR_TIME: 0.27431178092956543
> STR_ID: 3u21 |STR_LEN: 243 |STR_TIME: 0.7353940010070801
> STR_ID: 3u22 |STR_LEN: 657 |STR_TIME: 1.2945311069488525
> STR_ID: 3u23 |STR_LEN: 157 |STR_TIME: 0.3230271339416504
> STR_ID: 3u24 |STR_LEN: 951 |STR_TIME: 1.919144868850708
> STR_ID: 3u25 |STR_LEN: 478 |STR_TIME: 0.5228970050811768
> STR_ID: 3u26 |STR_LEN: 427 |STR_TIME: 0.4833500385284424
> STR_ID: 3u27 |STR_LEN: 2493 |STR_TIME: 4.093180894851685
> STR_ID: 3u28 |STR_LEN: 754 |STR_TIME: 1.6625878810882568
> STR_ID: 3u29 |STR_LEN: 318 |STR_TIME: 0.4750180244445801
> STR_ID: 3u2a |STR_LEN: 266 |STR_TIME: 0.4533257484436035
> STR_ID: 3u2b |STR_LEN: 116 |STR_TIME: 0.5581409931182861
> STR_ID: 3u2c |STR_LEN: 632 |STR_TIME: 1.2369279861450195
> STR_ID: 3u2d |STR_LEN: 710 |STR_TIME: 1.4063780307769775
> STR_ID: 3u2e |STR_LEN: 679 |STR_TIME: 1.619379997253418
> STR_ID: 3u2f |STR_LEN: 438 |STR_TIME: 1.0811831951141357
> STR_ID: 3u2g |STR_LEN: 446 |STR_TIME: 0.9121890068054199
> STR_ID: 3u2h |STR_LEN: 324 |STR_TIME: 0.83284592628479
> STR_ID: 3u2i |STR_LEN: 313 |STR_TIME: 0.4226820468902588
> STR_ID: 3u2j |STR_LEN: 280 |STR_TIME: 0.8074297904968262
> STR_ID: 3u2k |STR_LEN: 827 |STR_TIME: 1.3922879695892334
> STR_ID: 3u2l |STR_LEN: 237 |STR_TIME: 0.295501708984375
> STR_ID: 3u2m |STR_LEN: 187 |STR_TIME: 0.32819128036499023
> STR_ID: 3u2n |STR_LEN: 252 |STR_TIME: 0.22270989418029785
> STR_ID: 3u2o |STR_LEN: 630 |STR_TIME: 0.7391247749328613
> STR_ID: 3u2p |STR_LEN: 570 |STR_TIME: 1.5297188758850098
> STR_ID: 3u2q |STR_LEN: 488 |STR_TIME: 0.7371048927307129
> STR_ID: 3u2r |STR_LEN: 155 |STR_TIME: 0.49814796447753906
> STR_ID: 3u2s |STR_LEN: 1929 |STR_TIME: 5.024827003479004
> STR_ID: 3u2t |STR_LEN: 401 |STR_TIME: 0.8767540454864502
> STR_ID: 3u2u |STR_LEN: 1144 |STR_TIME: 1.87398099899292
> STR_ID: 3u2v |STR_LEN: 1160 |STR_TIME: 1.8822588920593262
> STR_ID: 3u2w |STR_LEN: 1029 |STR_TIME: 1.85231614112854
> STR_ID: 3u2x |STR_LEN: 964 |STR_TIME: 1.8181180953979492
> STR_ID: 3u2y |STR_LEN: 415 |STR_TIME: 0.5833389759063721
> STR_ID: 3u2z |STR_LEN: 2457 |STR_TIME: 6.318623065948486
> STR_ID: 4u20 |STR_LEN: 22959 |STR_TIME: 70.5380847454071
> STR_ID: 4u21 |STR_LEN: 1252 |STR_TIME: 1.3204920291900635
> STR_ID: 4u22 |STR_LEN: 647 |STR_TIME: 0.5877130031585693
> STR_ID: 4u23 |STR_LEN: 476 |STR_TIME: 0.5477809906005859
> STR_ID: 4u24 |STR_LEN: 22957 |STR_TIME: 70.96773195266724
> STR_ID: 4u25 |STR_LEN: 22959 |STR_TIME: 70.07797980308533
> STR_ID: 4u26 |STR_LEN: 22974 |STR_TIME: 70.32925415039062
> STR_ID: 4u27 |STR_LEN: 22973 |STR_TIME: 70.27332901954651
> STR_ID: 4u28 |STR_LEN: 587 |STR_TIME: 1.1409461498260498
> STR_ID: 4u2a |STR_LEN: 379 |STR_TIME: 0.5056030750274658
> STR_ID: 4u2b |STR_LEN: 437 |STR_TIME: 0.4854109287261963
