>> START_DIR: ./data/d/d0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1d00 |STR_LEN: 1470 |STR_TIME: 2.3571300506591797
> STR_ID: 2d0d |STR_LEN: 646 |STR_TIME: 0.5966989994049072
> STR_ID: 2d0e |STR_LEN: 590 |STR_TIME: 0.7997899055480957
> STR_ID: 2d0f |STR_LEN: 1104 |STR_TIME: 1.2758629322052002
> STR_ID: 2d0g |STR_LEN: 1134 |STR_TIME: 1.3303840160369873
> STR_ID: 2d0h |STR_LEN: 1030 |STR_TIME: 1.282472848892212
> STR_ID: 2d0i |STR_LEN: 2362 |STR_TIME: 2.655022144317627
> STR_ID: 2d0j |STR_LEN: 1429 |STR_TIME: 1.8281340599060059
> STR_ID: 2d0k |STR_LEN: 528 |STR_TIME: 0.6694090366363525
> STR_ID: 2d0n |STR_LEN: 332 |STR_TIME: 0.34093403816223145
> STR_ID: 2d0o |STR_LEN: 2240 |STR_TIME: 2.630619764328003
> STR_ID: 2d0p |STR_LEN: 1470 |STR_TIME: 2.460415840148926
> STR_ID: 2d0q |STR_LEN: 994 |STR_TIME: 0.9309220314025879
> STR_ID: 2d0s |STR_LEN: 111 |STR_TIME: 0.1898360252380371
> STR_ID: 2d0t |STR_LEN: 893 |STR_TIME: 1.4047019481658936
> STR_ID: 2d0u |STR_LEN: 755 |STR_TIME: 1.4542741775512695
> STR_ID: 2d0v |STR_LEN: 2730 |STR_TIME: 3.652534008026123
> STR_ID: 2d0w |STR_LEN: 795 |STR_TIME: 0.7643001079559326
> STR_ID: 3d00 |STR_LEN: 228 |STR_TIME: 0.39327001571655273
> STR_ID: 3d01 |STR_LEN: 2974 |STR_TIME: 6.290425062179565
> STR_ID: 3d02 |STR_LEN: 617 |STR_TIME: 0.7072546482086182
> STR_ID: 3d03 |STR_LEN: 2678 |STR_TIME: 3.1767520904541016
> STR_ID: 3d04 |STR_LEN: 1356 |STR_TIME: 1.737602949142456
> STR_ID: 3d05 |STR_LEN: 339 |STR_TIME: 0.40041494369506836
> STR_ID: 3d06 |STR_LEN: 364 |STR_TIME: 0.7605462074279785
> STR_ID: 3d07 |STR_LEN: 698 |STR_TIME: 0.8634622097015381
> STR_ID: 3d08 |STR_LEN: 411 |STR_TIME: 0.4585411548614502
> STR_ID: 3d09 |STR_LEN: 358 |STR_TIME: 0.4327659606933594
> STR_ID: 3d0a |STR_LEN: 1578 |STR_TIME: 1.8320660591125488
> STR_ID: 3d0b |STR_LEN: 491 |STR_TIME: 0.5141818523406982
> STR_ID: 3d0c |STR_LEN: 1044 |STR_TIME: 1.182159185409546
> STR_ID: 3d0e |STR_LEN: 1100 |STR_TIME: 1.3694448471069336
> STR_ID: 3d0f |STR_LEN: 590 |STR_TIME: 0.5371890068054199
> STR_ID: 3d0g |STR_LEN: 1577 |STR_TIME: 5.151814937591553
> STR_ID: 3d0h |STR_LEN: 1577 |STR_TIME: 5.126658201217651
> STR_ID: 3d0i |STR_LEN: 1577 |STR_TIME: 5.0895397663116455
> STR_ID: 3d0j |STR_LEN: 330 |STR_TIME: 0.40798115730285645
> STR_ID: 3d0k |STR_LEN: 1037 |STR_TIME: 1.2545578479766846
> STR_ID: 3d0l |STR_LEN: 622 |STR_TIME: 0.8334980010986328
> STR_ID: 3d0m |STR_LEN: 36 |STR_TIME: 0.1423790454864502
> STR_ID: 3d0n |STR_LEN: 1308 |STR_TIME: 1.1545770168304443
> STR_ID: 3d0o |STR_LEN: 1152 |STR_TIME: 1.2236437797546387
> STR_ID: 3d0p |STR_LEN: 458 |STR_TIME: 0.6991868019104004
> STR_ID: 3d0q |STR_LEN: 801 |STR_TIME: 1.4347848892211914
> STR_ID: 3d0r |STR_LEN: 1339 |STR_TIME: 1.470181941986084
> STR_ID: 3d0s |STR_LEN: 629 |STR_TIME: 0.9127771854400635
> STR_ID: 3d0t |STR_LEN: 361 |STR_TIME: 0.5884463787078857
> STR_ID: 3d0u |STR_LEN: 210 |STR_TIME: 0.878929853439331
> STR_ID: 3d0v |STR_LEN: 666 |STR_TIME: 0.9129130840301514
> STR_ID: 3d0w |STR_LEN: 664 |STR_TIME: 0.7316808700561523
> STR_ID: 3d0x |STR_LEN: 221 |STR_TIME: 0.8306231498718262
> STR_ID: 3d0y |STR_LEN: 368 |STR_TIME: 0.4531986713409424
> STR_ID: 3d0z |STR_LEN: 321 |STR_TIME: 0.4920990467071533
> STR_ID: 4d00 |STR_LEN: 2210 |STR_TIME: 4.972831964492798
> STR_ID: 4d01 |STR_LEN: 424 |STR_TIME: 0.8512871265411377
> STR_ID: 4d02 |STR_LEN: 832 |STR_TIME: 1.4908039569854736
> STR_ID: 4d03 |STR_LEN: 745 |STR_TIME: 1.1276512145996094
> STR_ID: 4d04 |STR_LEN: 846 |STR_TIME: 1.1022169589996338
> STR_ID: 4d05 |STR_LEN: 1171 |STR_TIME: 2.847217082977295
> STR_ID: 4d06 |STR_LEN: 3546 |STR_TIME: 6.474297046661377
> STR_ID: 4d07 |STR_LEN: 206 |STR_TIME: 0.3169288635253906
> STR_ID: 4d08 |STR_LEN: 1980 |STR_TIME: 2.6098570823669434
> STR_ID: 4d09 |STR_LEN: 1610 |STR_TIME: 2.463582992553711
> STR_ID: 4d0a |STR_LEN: 419 |STR_TIME: 0.7396810054779053
> STR_ID: 4d0b |STR_LEN: 389 |STR_TIME: 0.779242992401123
> STR_ID: 4d0c |STR_LEN: 415 |STR_TIME: 0.7458417415618896
> STR_ID: 4d0d |STR_LEN: 1518 |STR_TIME: 2.633913040161133
> STR_ID: 4d0e |STR_LEN: 269 |STR_TIME: 0.31905388832092285
> STR_ID: 4d0f |STR_LEN: 142 |STR_TIME: 0.44855403900146484
> STR_ID: 4d0g |STR_LEN: 232 |STR_TIME: 0.742415189743042
> STR_ID: 4d0k |STR_LEN: 780 |STR_TIME: 1.9006500244140625
> STR_ID: 4d0l |STR_LEN: 1979 |STR_TIME: 3.595245122909546
> STR_ID: 4d0m |STR_LEN: 8190 |STR_TIME: 15.237541198730469
> STR_ID: 4d0n |STR_LEN: 740 |STR_TIME: 1.1076407432556152
> STR_ID: 4d0o |STR_LEN: 474 |STR_TIME: 1.5408730506896973
> STR_ID: 4d0p |STR_LEN: 718 |STR_TIME: 2.545988082885742
> STR_ID: 4d0q |STR_LEN: 386 |STR_TIME: 1.3763089179992676
> STR_ID: 4d0r |STR_LEN: 286 |STR_TIME: 0.8321599960327148
> STR_ID: 4d0s |STR_LEN: 1904 |STR_TIME: 3.2623417377471924
> STR_ID: 4d0t |STR_LEN: 3468 |STR_TIME: 10.071213006973267
> STR_ID: 4d0u |STR_LEN: 967 |STR_TIME: 1.015136957168579
> STR_ID: 4d0v |STR_LEN: 1012 |STR_TIME: 0.992020845413208
> STR_ID: 4d0w |STR_LEN: 449 |STR_TIME: 0.7215380668640137
> STR_ID: 4d0x |STR_LEN: 520 |STR_TIME: 0.6747138500213623
> STR_ID: 4d0y |STR_LEN: 862 |STR_TIME: 0.866455078125
> STR_ID: 4d0z |STR_LEN: 3645 |STR_TIME: 10.396174907684326
> STR_ID: 5d00 |STR_LEN: 815 |STR_TIME: 1.3366742134094238
> STR_ID: 5d01 |STR_LEN: 900 |STR_TIME: 1.3020479679107666
> STR_ID: 5d02 |STR_LEN: 1991 |STR_TIME: 4.507894039154053
> STR_ID: 5d03 |STR_LEN: 2081 |STR_TIME: 4.462048292160034
> STR_ID: 5d04 |STR_LEN: 1323 |STR_TIME: 2.4683351516723633
> STR_ID: 5d05 |STR_LEN: 2540 |STR_TIME: 4.8339338302612305
> STR_ID: 5d06 |STR_LEN: 3032 |STR_TIME: 10.301242113113403
> STR_ID: 5d08 |STR_LEN: 1409 |STR_TIME: 2.8356740474700928
> STR_ID: 5d09 |STR_LEN: 1673 |STR_TIME: 4.663638114929199
> STR_ID: 5d0a |STR_LEN: 2349 |STR_TIME: 3.3554880619049072
> STR_ID: 5d0b |STR_LEN: 847 |STR_TIME: 1.5827751159667969
> STR_ID: 5d0c |STR_LEN: 251 |STR_TIME: 0.3416721820831299
> STR_ID: 5d0e |STR_LEN: 653 |STR_TIME: 1.7518260478973389
> STR_ID: 5d0f |STR_LEN: 3063 |STR_TIME: 10.428674936294556
> STR_ID: 5d0g |STR_LEN: 546 |STR_TIME: 1.5981018543243408
> STR_ID: 5d0h |STR_LEN: 534 |STR_TIME: 1.6829087734222412
> STR_ID: 5d0i |STR_LEN: 183 |STR_TIME: 0.5620031356811523
> STR_ID: 5d0j |STR_LEN: 447 |STR_TIME: 1.4434840679168701
> STR_ID: 5d0k |STR_LEN: 1180 |STR_TIME: 3.865605115890503
> STR_ID: 5d0m |STR_LEN: 386 |STR_TIME: 0.9797730445861816
> STR_ID: 5d0n |STR_LEN: 308 |STR_TIME: 0.5703699588775635
> STR_ID: 5d0o |STR_LEN: 1487 |STR_TIME: 7.245045900344849
> STR_ID: 5d0q |STR_LEN: 2535 |STR_TIME: 8.330174922943115
> STR_ID: 5d0r |STR_LEN: 688 |STR_TIME: 1.652101993560791
> STR_ID: 5d0s |STR_LEN: 7457 |STR_TIME: 21.20823884010315
> STR_ID: 5d0t |STR_LEN: 6952 |STR_TIME: 20.76038694381714
> STR_ID: 5d0u |STR_LEN: 720 |STR_TIME: 2.4586408138275146
> STR_ID: 5d0v |STR_LEN: 6627 |STR_TIME: 20.83768081665039
> STR_ID: 5d0w |STR_LEN: 6822 |STR_TIME: 20.918586015701294
> STR_ID: 5d0x |STR_LEN: 6916 |STR_TIME: 20.99038314819336
> STR_ID: 5d0y |STR_LEN: 312 |STR_TIME: 1.2486522197723389
> STR_ID: 5d0z |STR_LEN: 6631 |STR_TIME: 20.638279914855957
>> FINISH_DIR: ./data/d/d0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 161 |DIR_TIME: 429.76504611968994 

>> START_DIR: ./data/d/d1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1d10 |STR_LEN: 69 |STR_TIME: 0.1618340015411377
> STR_ID: 1d11 |STR_LEN: 92 |STR_TIME: 0.11462926864624023
> STR_ID: 1d12 |STR_LEN: 65 |STR_TIME: 0.11239790916442871
> STR_ID: 1d13 |STR_LEN: 46 |STR_TIME: 0.11527895927429199
> STR_ID: 1d14 |STR_LEN: 44 |STR_TIME: 0.10125088691711426
> STR_ID: 1d15 |STR_LEN: 46 |STR_TIME: 0.09791207313537598
> STR_ID: 1d16 |STR_LEN: 86 |STR_TIME: 0.1488487720489502
> STR_ID: 1d17 |STR_LEN: 46 |STR_TIME: 0.0993189811706543
> STR_ID: 1d18 |STR_LEN: 16 |STR_TIME: 0.14322519302368164
> STR_ID: 1d19 |STR_LEN: 16 |STR_TIME: 0.14899110794067383
> STR_ID: 1d1a |STR_LEN: 1181 |STR_TIME: 1.4283647537231445
> STR_ID: 1d1b |STR_LEN: 1279 |STR_TIME: 1.523068904876709
> STR_ID: 1d1c |STR_LEN: 1337 |STR_TIME: 1.6020610332489014
> STR_ID: 1d1d |STR_LEN: 220 |STR_TIME: 14.002728939056396
> STR_ID: 1d1e |STR_LEN: 14 |STR_TIME: 1.0172138214111328
> STR_ID: 1d1f |STR_LEN: 15 |STR_TIME: 1.0163838863372803
> STR_ID: 1d1g |STR_LEN: 490 |STR_TIME: 0.8365890979766846
> STR_ID: 1d1h |STR_LEN: 35 |STR_TIME: 2.2842769622802734
> STR_ID: 1d1i |STR_LEN: 558 |STR_TIME: 0.7197999954223633
> STR_ID: 1d1j |STR_LEN: 946 |STR_TIME: 0.9942238330841064
> STR_ID: 1d1k |STR_LEN: 606 |STR_TIME: 0.7358179092407227
> STR_ID: 1d1l |STR_LEN: 77 |STR_TIME: 0.1547539234161377
> STR_ID: 1d1m |STR_LEN: 160 |STR_TIME: 0.2666752338409424
> STR_ID: 1d1n |STR_LEN: 99 |STR_TIME: 6.474434852600098
> STR_ID: 1d1o |STR_LEN: 75 |STR_TIME: 5.79483699798584
> STR_ID: 1d1p |STR_LEN: 421 |STR_TIME: 0.6513478755950928
> STR_ID: 1d1q |STR_LEN: 688 |STR_TIME: 0.7269878387451172
> STR_ID: 1d1r |STR_LEN: 83 |STR_TIME: 5.101089239120483
> STR_ID: 1d1s |STR_LEN: 1941 |STR_TIME: 2.6780688762664795
> STR_ID: 1d1t |STR_LEN: 1904 |STR_TIME: 2.7143800258636475
> STR_ID: 1d1u |STR_LEN: 446 |STR_TIME: 0.6424410343170166
> STR_ID: 1d1v |STR_LEN: 1472 |STR_TIME: 1.6853718757629395
> STR_ID: 1d1w |STR_LEN: 1263 |STR_TIME: 1.666395902633667
> STR_ID: 1d1x |STR_LEN: 1217 |STR_TIME: 1.6040599346160889
> STR_ID: 1d1y |STR_LEN: 1168 |STR_TIME: 1.6194651126861572
> STR_ID: 1d1z |STR_LEN: 1032 |STR_TIME: 1.6381750106811523
> STR_ID: 2d10 |STR_LEN: 1883 |STR_TIME: 2.510895013809204
> STR_ID: 2d11 |STR_LEN: 1409 |STR_TIME: 2.3036983013153076
> STR_ID: 2d13 |STR_LEN: 1046 |STR_TIME: 1.5843918323516846
> STR_ID: 2d16 |STR_LEN: 1250 |STR_TIME: 1.3289871215820312
> STR_ID: 2d17 |STR_LEN: 30 |STR_TIME: 2.090855836868286
> STR_ID: 2d18 |STR_LEN: 34 |STR_TIME: 2.38675594329834
> STR_ID: 2d19 |STR_LEN: 34 |STR_TIME: 2.314131259918213
> STR_ID: 2d1a |STR_LEN: 78 |STR_TIME: 0.5789389610290527
> STR_ID: 2d1b |STR_LEN: 78 |STR_TIME: 0.5621521472930908
> STR_ID: 2d1c |STR_LEN: 1864 |STR_TIME: 1.9893791675567627
> STR_ID: 2d1e |STR_LEN: 608 |STR_TIME: 0.6040818691253662
> STR_ID: 2d1f |STR_LEN: 754 |STR_TIME: 1.147108793258667
> STR_ID: 2d1g |STR_LEN: 1512 |STR_TIME: 1.893233299255371
> STR_ID: 2d1h |STR_LEN: 291 |STR_TIME: 0.43075990676879883
> STR_ID: 2d1i |STR_LEN: 1016 |STR_TIME: 1.3481359481811523
> STR_ID: 2d1j |STR_LEN: 401 |STR_TIME: 0.5795671939849854
> STR_ID: 2d1k |STR_LEN: 770 |STR_TIME: 1.2773048877716064
> STR_ID: 2d1l |STR_LEN: 872 |STR_TIME: 0.9911301136016846
> STR_ID: 2d1n |STR_LEN: 395 |STR_TIME: 0.6670687198638916
> STR_ID: 2d1o |STR_LEN: 556 |STR_TIME: 0.7279930114746094
> STR_ID: 2d1p |STR_LEN: 1315 |STR_TIME: 1.8635189533233643
> STR_ID: 2d1q |STR_LEN: 715 |STR_TIME: 0.9960770606994629
> STR_ID: 2d1r |STR_LEN: 1167 |STR_TIME: 1.1927800178527832
> STR_ID: 2d1s |STR_LEN: 1336 |STR_TIME: 1.1831631660461426
> STR_ID: 2d1t |STR_LEN: 1385 |STR_TIME: 1.2550818920135498
> STR_ID: 2d1u |STR_LEN: 104 |STR_TIME: 6.162225961685181
> STR_ID: 2d1v |STR_LEN: 141 |STR_TIME: 0.24537396430969238
> STR_ID: 2d1w |STR_LEN: 2376 |STR_TIME: 2.5002858638763428
> STR_ID: 2d1x |STR_LEN: 494 |STR_TIME: 0.5379791259765625
> STR_ID: 2d1y |STR_LEN: 1801 |STR_TIME: 1.9507899284362793
> STR_ID: 2d1z |STR_LEN: 1767 |STR_TIME: 1.6813690662384033
> STR_ID: 3d10 |STR_LEN: 342 |STR_TIME: 0.4200320243835449
> STR_ID: 3d11 |STR_LEN: 666 |STR_TIME: 0.8888247013092041
> STR_ID: 3d12 |STR_LEN: 1302 |STR_TIME: 2.2140510082244873
> STR_ID: 3d14 |STR_LEN: 478 |STR_TIME: 0.609137773513794
> STR_ID: 3d15 |STR_LEN: 372 |STR_TIME: 0.5597560405731201
> STR_ID: 3d17 |STR_LEN: 673 |STR_TIME: 1.0605392456054688
> STR_ID: 3d18 |STR_LEN: 763 |STR_TIME: 1.559809923171997
> STR_ID: 3d19 |STR_LEN: 1699 |STR_TIME: 2.8737499713897705
> STR_ID: 3d1a |STR_LEN: 671 |STR_TIME: 1.8863329887390137
> STR_ID: 3d1b |STR_LEN: 721 |STR_TIME: 0.6985769271850586
> STR_ID: 3d1c |STR_LEN: 479 |STR_TIME: 0.7110588550567627
> STR_ID: 3d1d |STR_LEN: 830 |STR_TIME: 1.2305259704589844
> STR_ID: 3d1e |STR_LEN: 1210 |STR_TIME: 1.4161241054534912
> STR_ID: 3d1f |STR_LEN: 1312 |STR_TIME: 1.4744107723236084
> STR_ID: 3d1g |STR_LEN: 1531 |STR_TIME: 1.572340965270996
> STR_ID: 3d1h |STR_LEN: 1115 |STR_TIME: 1.2826309204101562
> STR_ID: 3d1i |STR_LEN: 2200 |STR_TIME: 4.108953952789307
> STR_ID: 3d1j |STR_LEN: 495 |STR_TIME: 0.8739712238311768
> STR_ID: 3d1k |STR_LEN: 589 |STR_TIME: 1.0774788856506348
> STR_ID: 3d1l |STR_LEN: 750 |STR_TIME: 1.0306658744812012
> STR_ID: 3d1m |STR_LEN: 900 |STR_TIME: 1.008599042892456
> STR_ID: 3d1n |STR_LEN: 1207 |STR_TIME: 2.3697826862335205
> STR_ID: 3d1o |STR_LEN: 1145 |STR_TIME: 1.3174989223480225
> STR_ID: 3d1p |STR_LEN: 364 |STR_TIME: 0.5975081920623779
> STR_ID: 3d1q |STR_LEN: 1173 |STR_TIME: 1.2943530082702637
> STR_ID: 3d1r |STR_LEN: 651 |STR_TIME: 0.6792628765106201
> STR_ID: 3d1v |STR_LEN: 361 |STR_TIME: 0.5821759700775146
> STR_ID: 3d1x |STR_LEN: 453 |STR_TIME: 0.9257557392120361
> STR_ID: 3d1y |STR_LEN: 425 |STR_TIME: 0.789078950881958
> STR_ID: 3d1z |STR_LEN: 391 |STR_TIME: 0.7915678024291992
> STR_ID: 4d10 |STR_LEN: 4999 |STR_TIME: 16.188318014144897
> STR_ID: 4d11 |STR_LEN: 2704 |STR_TIME: 9.090631008148193
> STR_ID: 4d12 |STR_LEN: 892 |STR_TIME: 1.399228811264038
> STR_ID: 4d13 |STR_LEN: 935 |STR_TIME: 1.4671659469604492
> STR_ID: 4d17 |STR_LEN: 905 |STR_TIME: 1.366948127746582
> STR_ID: 4d18 |STR_LEN: 5180 |STR_TIME: 16.804077863693237
> STR_ID: 4d19 |STR_LEN: 891 |STR_TIME: 1.497161865234375
> STR_ID: 4d1a |STR_LEN: 458 |STR_TIME: 1.4504756927490234
> STR_ID: 4d1b |STR_LEN: 458 |STR_TIME: 1.4593732357025146
> STR_ID: 4d1c |STR_LEN: 458 |STR_TIME: 1.466761827468872
> STR_ID: 4d1d |STR_LEN: 459 |STR_TIME: 1.4943499565124512
> STR_ID: 4d1e |STR_LEN: 859 |STR_TIME: 2.8161962032318115
> STR_ID: 4d1f |STR_LEN: 1487 |STR_TIME: 2.4190328121185303
> STR_ID: 4d1g |STR_LEN: 2183 |STR_TIME: 2.5701730251312256
> STR_ID: 4d1i |STR_LEN: 7914 |STR_TIME: 8.748946189880371
> STR_ID: 4d1j |STR_LEN: 8361 |STR_TIME: 9.008694171905518
> STR_ID: 4d1k |STR_LEN: 1314 |STR_TIME: 1.351240873336792
> STR_ID: 4d1l |STR_LEN: 293 |STR_TIME: 0.8439617156982422
> STR_ID: 4d1m |STR_LEN: 538 |STR_TIME: 1.710810899734497
> STR_ID: 4d1n |STR_LEN: 2539 |STR_TIME: 6.029282093048096
> STR_ID: 4d1o |STR_LEN: 1587 |STR_TIME: 3.018172025680542
> STR_ID: 4d1p |STR_LEN: 1575 |STR_TIME: 2.9860100746154785
> STR_ID: 4d1q |STR_LEN: 2143 |STR_TIME: 4.220515966415405
> STR_ID: 4d1s |STR_LEN: 435 |STR_TIME: 0.6365566253662109
> STR_ID: 4d1t |STR_LEN: 511 |STR_TIME: 1.4123201370239258
> STR_ID: 4d1u |STR_LEN: 379 |STR_TIME: 0.8502650260925293
> STR_ID: 4d1v |STR_LEN: 470 |STR_TIME: 0.8424570560455322
> STR_ID: 4d1w |STR_LEN: 487 |STR_TIME: 0.9018449783325195
> STR_ID: 4d1x |STR_LEN: 393 |STR_TIME: 0.9464919567108154
> STR_ID: 4d1y |STR_LEN: 417 |STR_TIME: 1.170395851135254
> STR_ID: 4d1z |STR_LEN: 406 |STR_TIME: 1.2952849864959717
> STR_ID: 5d10 |STR_LEN: 597 |STR_TIME: 1.0065767765045166
> STR_ID: 5d11 |STR_LEN: 611 |STR_TIME: 1.0327768325805664
> STR_ID: 5d12 |STR_LEN: 515 |STR_TIME: 0.9992139339447021
> STR_ID: 5d13 |STR_LEN: 489 |STR_TIME: 1.94047212600708
> STR_ID: 5d14 |STR_LEN: 201 |STR_TIME: 0.43610501289367676
> STR_ID: 5d15 |STR_LEN: 660 |STR_TIME: 1.745107889175415
> STR_ID: 5d16 |STR_LEN: 521 |STR_TIME: 1.17360520362854
> STR_ID: 5d17 |STR_LEN: 1917 |STR_TIME: 6.314574718475342
> STR_ID: 5d18 |STR_LEN: 312 |STR_TIME: 0.8475008010864258
> STR_ID: 5d19 |STR_LEN: 483 |STR_TIME: 0.773665189743042
> STR_ID: 5d1b |STR_LEN: 746 |STR_TIME: 1.3457469940185547
> STR_ID: 5d1c |STR_LEN: 1558 |STR_TIME: 2.73856782913208
> STR_ID: 5d1d |STR_LEN: 1014 |STR_TIME: 1.4144032001495361
> STR_ID: 5d1f |STR_LEN: 293 |STR_TIME: 0.5553338527679443
> STR_ID: 5d1h |STR_LEN: 420 |STR_TIME: 1.3590538501739502
> STR_ID: 5d1i |STR_LEN: 404 |STR_TIME: 0.8667750358581543
> STR_ID: 5d1j |STR_LEN: 403 |STR_TIME: 0.5715219974517822
> STR_ID: 5d1k |STR_LEN: 515 |STR_TIME: 0.6371479034423828
> STR_ID: 5d1l |STR_LEN: 646 |STR_TIME: 0.6788551807403564
> STR_ID: 5d1m |STR_LEN: 637 |STR_TIME: 0.6765339374542236
> STR_ID: 5d1n |STR_LEN: 245 |STR_TIME: 0.48378682136535645
> STR_ID: 5d1o |STR_LEN: 830 |STR_TIME: 1.4374878406524658
> STR_ID: 5d1p |STR_LEN: 1162 |STR_TIME: 1.5760958194732666
> STR_ID: 5d1q |STR_LEN: 993 |STR_TIME: 3.1353800296783447
> STR_ID: 5d1r |STR_LEN: 703 |STR_TIME: 1.6210050582885742
> STR_ID: 5d1s |STR_LEN: 675 |STR_TIME: 1.004335880279541
> STR_ID: 5d1t |STR_LEN: 597 |STR_TIME: 1.0348169803619385
> STR_ID: 5d1u |STR_LEN: 507 |STR_TIME: 0.9299070835113525
> STR_ID: 5d1v |STR_LEN: 707 |STR_TIME: 1.465127944946289
> STR_ID: 5d1w |STR_LEN: 1166 |STR_TIME: 2.0214290618896484
> STR_ID: 5d1x |STR_LEN: 869 |STR_TIME: 1.5897588729858398
> STR_ID: 5d1y |STR_LEN: 1452 |STR_TIME: 2.520998954772949
> STR_ID: 5d1z |STR_LEN: 2039 |STR_TIME: 6.5165650844573975
>> FINISH_DIR: ./data/d/d1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 322 |DIR_TIME: 306.8731369972229 

>> START_DIR: ./data/d/d2/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1d20 |STR_LEN: 20 |STR_TIME: 0.1974020004272461
> STR_ID: 1d21 |STR_LEN: 91 |STR_TIME: 0.15813136100769043
> STR_ID: 1d22 |STR_LEN: 89 |STR_TIME: 0.15045404434204102
> STR_ID: 1d23 |STR_LEN: 176 |STR_TIME: 0.18308520317077637
> STR_ID: 1d24 |STR_LEN: 72 |STR_TIME: 0.11376190185546875
> STR_ID: 1d26 |STR_LEN: 37 |STR_TIME: 0.09166288375854492
> STR_ID: 1d27 |STR_LEN: 93 |STR_TIME: 0.17898273468017578
> STR_ID: 1d28 |STR_LEN: 109 |STR_TIME: 0.1804180145263672
