>> START_DIR: ./data/p/p0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1p00 |STR_LEN: 44 |STR_TIME: 1.348179817199707
> STR_ID: 3p0m |STR_LEN: 575 |STR_TIME: 1.2177388668060303
> STR_ID: 3p0n |STR_LEN: 914 |STR_TIME: 0.9400181770324707
> STR_ID: 3p0p |STR_LEN: 535 |STR_TIME: 0.8114047050476074
> STR_ID: 3p0q |STR_LEN: 763 |STR_TIME: 0.9540951251983643
> STR_ID: 3p0r |STR_LEN: 384 |STR_TIME: 0.7429399490356445
> STR_ID: 3p0s |STR_LEN: 412 |STR_TIME: 0.7944803237915039
> STR_ID: 3p0t |STR_LEN: 580 |STR_TIME: 1.0159099102020264
> STR_ID: 3p0u |STR_LEN: 511 |STR_TIME: 1.4439697265625
> STR_ID: 3p0v |STR_LEN: 876 |STR_TIME: 2.5995209217071533
> STR_ID: 3p0w |STR_LEN: 1936 |STR_TIME: 2.92128324508667
> STR_ID: 3p0x |STR_LEN: 2392 |STR_TIME: 5.33846116065979
> STR_ID: 3p0y |STR_LEN: 1283 |STR_TIME: 1.3380720615386963
> STR_ID: 3p0z |STR_LEN: 744 |STR_TIME: 1.5216548442840576
> STR_ID: 4p00 |STR_LEN: 1415 |STR_TIME: 4.49699592590332
> STR_ID: 4p01 |STR_LEN: 532 |STR_TIME: 0.7464690208435059
> STR_ID: 4p02 |STR_LEN: 1417 |STR_TIME: 4.447131872177124
> STR_ID: 4p04 |STR_LEN: 1943 |STR_TIME: 2.202136754989624
> STR_ID: 4p05 |STR_LEN: 1737 |STR_TIME: 2.1668689250946045
> STR_ID: 4p06 |STR_LEN: 1149 |STR_TIME: 1.9957020282745361
> STR_ID: 4p07 |STR_LEN: 1354 |STR_TIME: 2.066796064376831
> STR_ID: 4p08 |STR_LEN: 1000 |STR_TIME: 1.942824125289917
> STR_ID: 4p09 |STR_LEN: 347 |STR_TIME: 0.7154040336608887
> STR_ID: 4p0a |STR_LEN: 442 |STR_TIME: 1.1509199142456055
> STR_ID: 4p0b |STR_LEN: 399 |STR_TIME: 1.157581090927124
> STR_ID: 4p0c |STR_LEN: 232 |STR_TIME: 0.5153229236602783
> STR_ID: 4p0d |STR_LEN: 916 |STR_TIME: 0.9324090480804443
> STR_ID: 4p0e |STR_LEN: 504 |STR_TIME: 0.7900588512420654
> STR_ID: 4p0f |STR_LEN: 713 |STR_TIME: 1.3462841510772705
> STR_ID: 4p0g |STR_LEN: 1046 |STR_TIME: 0.9980661869049072
> STR_ID: 4p0h |STR_LEN: 671 |STR_TIME: 0.6974101066589355
> STR_ID: 4p0i |STR_LEN: 823 |STR_TIME: 1.7009212970733643
> STR_ID: 4p0j |STR_LEN: 346 |STR_TIME: 0.5389339923858643
> STR_ID: 4p0k |STR_LEN: 267 |STR_TIME: 0.3299980163574219
> STR_ID: 4p0l |STR_LEN: 282 |STR_TIME: 0.3361020088195801
> STR_ID: 4p0m |STR_LEN: 413 |STR_TIME: 0.569972038269043
> STR_ID: 4p0n |STR_LEN: 1184 |STR_TIME: 2.21895694732666
> STR_ID: 4p0o |STR_LEN: 748 |STR_TIME: 1.3476829528808594
> STR_ID: 4p0p |STR_LEN: 642 |STR_TIME: 1.2217960357666016
> STR_ID: 4p0q |STR_LEN: 636 |STR_TIME: 1.1869957447052002
> STR_ID: 4p0r |STR_LEN: 1208 |STR_TIME: 4.022223711013794
> STR_ID: 4p0s |STR_LEN: 2396 |STR_TIME: 4.800436973571777
> STR_ID: 4p0t |STR_LEN: 596 |STR_TIME: 1.0730350017547607
> STR_ID: 4p0u |STR_LEN: 510 |STR_TIME: 0.6934089660644531
> STR_ID: 4p0v |STR_LEN: 383 |STR_TIME: 0.6639878749847412
> STR_ID: 4p0w |STR_LEN: 407 |STR_TIME: 0.6793301105499268
> STR_ID: 4p0x |STR_LEN: 393 |STR_TIME: 0.9985730648040771
> STR_ID: 4p0y |STR_LEN: 459 |STR_TIME: 0.566504955291748
> STR_ID: 4p0z |STR_LEN: 332 |STR_TIME: 0.358565092086792
> STR_ID: 5p00 |STR_LEN: 546 |STR_TIME: 1.6159679889678955
> STR_ID: 5p01 |STR_LEN: 524 |STR_TIME: 1.5093109607696533
> STR_ID: 5p02 |STR_LEN: 559 |STR_TIME: 1.5008811950683594
> STR_ID: 5p03 |STR_LEN: 551 |STR_TIME: 1.5208001136779785
> STR_ID: 5p04 |STR_LEN: 476 |STR_TIME: 1.4933090209960938
> STR_ID: 5p05 |STR_LEN: 482 |STR_TIME: 1.4863595962524414
> STR_ID: 5p06 |STR_LEN: 562 |STR_TIME: 1.5605030059814453
> STR_ID: 5p07 |STR_LEN: 445 |STR_TIME: 1.4603168964385986
> STR_ID: 5p08 |STR_LEN: 484 |STR_TIME: 1.4763259887695312
> STR_ID: 5p09 |STR_LEN: 494 |STR_TIME: 1.5006728172302246
> STR_ID: 5p0a |STR_LEN: 458 |STR_TIME: 1.4590489864349365
> STR_ID: 5p0b |STR_LEN: 504 |STR_TIME: 1.565382957458496
> STR_ID: 5p0c |STR_LEN: 481 |STR_TIME: 1.4618268013000488
> STR_ID: 5p0d |STR_LEN: 443 |STR_TIME: 1.4578068256378174
> STR_ID: 5p0e |STR_LEN: 488 |STR_TIME: 1.499587059020996
> STR_ID: 5p0f |STR_LEN: 579 |STR_TIME: 1.5326509475708008
> STR_ID: 5p0g |STR_LEN: 538 |STR_TIME: 1.5754220485687256
> STR_ID: 5p0h |STR_LEN: 461 |STR_TIME: 1.4664411544799805
> STR_ID: 5p0i |STR_LEN: 596 |STR_TIME: 1.5394699573516846
> STR_ID: 5p0j |STR_LEN: 602 |STR_TIME: 1.5315890312194824
> STR_ID: 5p0k |STR_LEN: 487 |STR_TIME: 1.482215166091919
> STR_ID: 5p0l |STR_LEN: 517 |STR_TIME: 1.5272681713104248
> STR_ID: 5p0m |STR_LEN: 605 |STR_TIME: 1.6219730377197266
> STR_ID: 5p0n |STR_LEN: 572 |STR_TIME: 1.5351181030273438
> STR_ID: 5p0o |STR_LEN: 577 |STR_TIME: 1.5370659828186035
> STR_ID: 5p0p |STR_LEN: 577 |STR_TIME: 1.5552737712860107
> STR_ID: 5p0q |STR_LEN: 541 |STR_TIME: 1.5077300071716309
> STR_ID: 5p0r |STR_LEN: 588 |STR_TIME: 1.5804190635681152
> STR_ID: 5p0s |STR_LEN: 564 |STR_TIME: 1.506324291229248
> STR_ID: 5p0t |STR_LEN: 599 |STR_TIME: 1.5412781238555908
> STR_ID: 5p0u |STR_LEN: 522 |STR_TIME: 1.4807071685791016
> STR_ID: 5p0v |STR_LEN: 578 |STR_TIME: 1.487205982208252
> STR_ID: 5p0w |STR_LEN: 573 |STR_TIME: 1.5991129875183105
> STR_ID: 5p0x |STR_LEN: 587 |STR_TIME: 1.5234770774841309
> STR_ID: 5p0y |STR_LEN: 575 |STR_TIME: 1.5169117450714111
> STR_ID: 5p0z |STR_LEN: 572 |STR_TIME: 1.5181899070739746
>> FINISH_DIR: ./data/p/p0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 169 |DIR_TIME: 273.8346140384674 

>> START_DIR: ./data/p/p1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1p10 |STR_LEN: 351 |STR_TIME: 0.398284912109375
> STR_ID: 1p11 |STR_LEN: 401 |STR_TIME: 0.4223029613494873
> STR_ID: 1p12 |STR_LEN: 389 |STR_TIME: 0.3942289352416992
> STR_ID: 1p13 |STR_LEN: 495 |STR_TIME: 0.5319271087646484
> STR_ID: 1p14 |STR_LEN: 475 |STR_TIME: 0.5543098449707031
> STR_ID: 1p15 |STR_LEN: 606 |STR_TIME: 0.9172449111938477
> STR_ID: 1p16 |STR_LEN: 1231 |STR_TIME: 1.5897459983825684
> STR_ID: 1p17 |STR_LEN: 1142 |STR_TIME: 1.48038911819458
> STR_ID: 1p18 |STR_LEN: 498 |STR_TIME: 0.7746419906616211
> STR_ID: 1p19 |STR_LEN: 1526 |STR_TIME: 1.5663280487060547
> STR_ID: 1p1a |STR_LEN: 85 |STR_TIME: 3.7997920513153076
> STR_ID: 1p1b |STR_LEN: 926 |STR_TIME: 1.4624569416046143
> STR_ID: 1p1c |STR_LEN: 585 |STR_TIME: 0.7908201217651367
> STR_ID: 1p1d |STR_LEN: 196 |STR_TIME: 11.869723320007324
> STR_ID: 1p1e |STR_LEN: 101 |STR_TIME: 5.970725059509277
> STR_ID: 1p1f |STR_LEN: 1130 |STR_TIME: 1.8475630283355713
> STR_ID: 1p1g |STR_LEN: 375 |STR_TIME: 0.5737411975860596
> STR_ID: 1p1h |STR_LEN: 3534 |STR_TIME: 3.914001941680908
> STR_ID: 1p1i |STR_LEN: 1166 |STR_TIME: 1.8469798564910889
> STR_ID: 1p1j |STR_LEN: 2115 |STR_TIME: 2.0955870151519775
> STR_ID: 1p1k |STR_LEN: 1217 |STR_TIME: 1.872894048690796
> STR_ID: 1p1l |STR_LEN: 158 |STR_TIME: 0.23693203926086426
> STR_ID: 1p1m |STR_LEN: 927 |STR_TIME: 0.8655879497528076
> STR_ID: 1p1n |STR_LEN: 382 |STR_TIME: 0.5009522438049316
> STR_ID: 1p1o |STR_LEN: 483 |STR_TIME: 0.5207741260528564
> STR_ID: 1p1p |STR_LEN: 26 |STR_TIME: 0.7976751327514648
> STR_ID: 1p1q |STR_LEN: 1203 |STR_TIME: 1.3991138935089111
> STR_ID: 1p1r |STR_LEN: 2754 |STR_TIME: 4.85824990272522
> STR_ID: 1p1t |STR_LEN: 104 |STR_TIME: 6.377852916717529
> STR_ID: 1p1u |STR_LEN: 696 |STR_TIME: 0.9489679336547852
> STR_ID: 1p1v |STR_LEN: 1181 |STR_TIME: 1.0095539093017578
> STR_ID: 1p1w |STR_LEN: 755 |STR_TIME: 0.9657018184661865
> STR_ID: 1p1x |STR_LEN: 1145 |STR_TIME: 1.854099988937378
> STR_ID: 1p1y |STR_LEN: 37 |STR_TIME: 0.16365385055541992
> STR_ID: 1p1z |STR_LEN: 478 |STR_TIME: 0.8796627521514893
> STR_ID: 2p10 |STR_LEN: 2344 |STR_TIME: 2.93756103515625
> STR_ID: 2p11 |STR_LEN: 545 |STR_TIME: 0.8284070491790771
> STR_ID: 2p12 |STR_LEN: 862 |STR_TIME: 0.8268022537231445
> STR_ID: 2p13 |STR_LEN: 348 |STR_TIME: 0.41298675537109375
> STR_ID: 2p14 |STR_LEN: 348 |STR_TIME: 0.4194025993347168
> STR_ID: 2p15 |STR_LEN: 969 |STR_TIME: 1.103428840637207
> STR_ID: 2p16 |STR_LEN: 409 |STR_TIME: 0.6278338432312012
> STR_ID: 2p17 |STR_LEN: 461 |STR_TIME: 0.541841983795166
> STR_ID: 2p18 |STR_LEN: 398 |STR_TIME: 0.55706787109375
> STR_ID: 2p19 |STR_LEN: 944 |STR_TIME: 0.8988480567932129
> STR_ID: 2p1a |STR_LEN: 391 |STR_TIME: 0.5934457778930664
> STR_ID: 2p1b |STR_LEN: 1086 |STR_TIME: 1.644122838973999
> STR_ID: 2p1c |STR_LEN: 1032 |STR_TIME: 1.3813011646270752
> STR_ID: 2p1d |STR_LEN: 282 |STR_TIME: 0.514998197555542
> STR_ID: 2p1e |STR_LEN: 385 |STR_TIME: 0.5422201156616211
> STR_ID: 2p1f |STR_LEN: 562 |STR_TIME: 0.6038079261779785
> STR_ID: 2p1g |STR_LEN: 978 |STR_TIME: 0.9355850219726562
> STR_ID: 2p1h |STR_LEN: 152 |STR_TIME: 0.20984601974487305
> STR_ID: 2p1i |STR_LEN: 2179 |STR_TIME: 3.768259048461914
> STR_ID: 2p1j |STR_LEN: 421 |STR_TIME: 0.8005778789520264
> STR_ID: 2p1l |STR_LEN: 676 |STR_TIME: 1.2243578433990479
> STR_ID: 2p1m |STR_LEN: 1472 |STR_TIME: 2.446805000305176
> STR_ID: 2p1n |STR_LEN: 1949 |STR_TIME: 2.7399652004241943
> STR_ID: 2p1o |STR_LEN: 1344 |STR_TIME: 2.5477352142333984
> STR_ID: 2p1p |STR_LEN: 1103 |STR_TIME: 2.316084861755371
> STR_ID: 2p1q |STR_LEN: 1477 |STR_TIME: 1.4921107292175293
> STR_ID: 2p1r |STR_LEN: 1574 |STR_TIME: 2.056175708770752
> STR_ID: 2p1s |STR_LEN: 678 |STR_TIME: 0.7559230327606201
> STR_ID: 2p1t |STR_LEN: 334 |STR_TIME: 0.4441983699798584
> STR_ID: 2p1u |STR_LEN: 333 |STR_TIME: 0.5050010681152344
> STR_ID: 2p1v |STR_LEN: 296 |STR_TIME: 0.4392392635345459
> STR_ID: 2p1w |STR_LEN: 383 |STR_TIME: 0.46344494819641113
> STR_ID: 2p1x |STR_LEN: 224 |STR_TIME: 0.26204395294189453
> STR_ID: 2p1y |STR_LEN: 998 |STR_TIME: 1.5606508255004883
> STR_ID: 2p1z |STR_LEN: 429 |STR_TIME: 0.5893838405609131
> STR_ID: 3p10 |STR_LEN: 878 |STR_TIME: 1.6769521236419678
> STR_ID: 3p11 |STR_LEN: 939 |STR_TIME: 2.873824119567871
> STR_ID: 3p12 |STR_LEN: 738 |STR_TIME: 0.964684009552002
> STR_ID: 3p13 |STR_LEN: 666 |STR_TIME: 0.9544258117675781
> STR_ID: 3p14 |STR_LEN: 2059 |STR_TIME: 2.974504232406616
> STR_ID: 3p16 |STR_LEN: 2238 |STR_TIME: 3.5207369327545166
> STR_ID: 3p17 |STR_LEN: 569 |STR_TIME: 1.130587100982666
> STR_ID: 3p19 |STR_LEN: 1460 |STR_TIME: 1.722999095916748
> STR_ID: 3p1a |STR_LEN: 643 |STR_TIME: 1.043916940689087
> STR_ID: 3p1b |STR_LEN: 401 |STR_TIME: 0.5761559009552002
> STR_ID: 3p1c |STR_LEN: 412 |STR_TIME: 0.8464808464050293
> STR_ID: 3p1d |STR_LEN: 391 |STR_TIME: 0.8341729640960693
> STR_ID: 3p1e |STR_LEN: 409 |STR_TIME: 0.8338708877563477
> STR_ID: 3p1f |STR_LEN: 508 |STR_TIME: 0.9041709899902344
> STR_ID: 3p1g |STR_LEN: 320 |STR_TIME: 0.5803780555725098
> STR_ID: 3p1h |STR_LEN: 192 |STR_TIME: 0.5015769004821777
> STR_ID: 3p1i |STR_LEN: 741 |STR_TIME: 1.7693438529968262
> STR_ID: 3p1j |STR_LEN: 768 |STR_TIME: 2.1707088947296143
> STR_ID: 3p1l |STR_LEN: 442 |STR_TIME: 0.6468701362609863
> STR_ID: 3p1m |STR_LEN: 1303 |STR_TIME: 3.1614129543304443
> STR_ID: 3p1n |STR_LEN: 653 |STR_TIME: 0.6262969970703125
> STR_ID: 3p1o |STR_LEN: 453 |STR_TIME: 0.6004149913787842
> STR_ID: 3p1p |STR_LEN: 462 |STR_TIME: 0.5723531246185303
> STR_ID: 3p1q |STR_LEN: 451 |STR_TIME: 0.9888980388641357
> STR_ID: 3p1r |STR_LEN: 617 |STR_TIME: 0.5949680805206299
> STR_ID: 3p1s |STR_LEN: 496 |STR_TIME: 1.0014870166778564
> STR_ID: 3p1t |STR_LEN: 1869 |STR_TIME: 4.217418193817139
> STR_ID: 3p1u |STR_LEN: 1623 |STR_TIME: 3.3291070461273193
> STR_ID: 3p1v |STR_LEN: 1580 |STR_TIME: 2.838083028793335
> STR_ID: 3p1w |STR_LEN: 657 |STR_TIME: 1.551253080368042
> STR_ID: 3p1x |STR_LEN: 335 |STR_TIME: 0.37119293212890625
> STR_ID: 3p1y |STR_LEN: 1558 |STR_TIME: 2.2955169677734375
> STR_ID: 3p1z |STR_LEN: 2487 |STR_TIME: 3.636807918548584
> STR_ID: 4p10 |STR_LEN: 564 |STR_TIME: 0.8015248775482178
> STR_ID: 4p11 |STR_LEN: 922 |STR_TIME: 1.5740580558776855
> STR_ID: 4p12 |STR_LEN: 2587 |STR_TIME: 3.9133951663970947
> STR_ID: 4p13 |STR_LEN: 2372 |STR_TIME: 5.1561830043792725
> STR_ID: 4p14 |STR_LEN: 328 |STR_TIME: 0.8543939590454102
> STR_ID: 4p15 |STR_LEN: 151 |STR_TIME: 0.2937638759613037
> STR_ID: 4p16 |STR_LEN: 362 |STR_TIME: 0.6038269996643066
> STR_ID: 4p17 |STR_LEN: 1346 |STR_TIME: 2.1266000270843506
> STR_ID: 4p18 |STR_LEN: 9291 |STR_TIME: 8.983911991119385
> STR_ID: 4p19 |STR_LEN: 1238 |STR_TIME: 3.6513428688049316
> STR_ID: 4p1a |STR_LEN: 1243 |STR_TIME: 3.6683709621429443
> STR_ID: 4p1b |STR_LEN: 3908 |STR_TIME: 7.20904016494751
> STR_ID: 4p1c |STR_LEN: 2593 |STR_TIME: 3.695189952850342
> STR_ID: 4p1d |STR_LEN: 55 |STR_TIME: 0.1957857608795166
> STR_ID: 4p1e |STR_LEN: 551 |STR_TIME: 1.5071191787719727
> STR_ID: 4p1g |STR_LEN: 153 |STR_TIME: 0.3247041702270508
> STR_ID: 4p1h |STR_LEN: 800 |STR_TIME: 1.5435330867767334
> STR_ID: 4p1j |STR_LEN: 600 |STR_TIME: 1.5822827816009521
> STR_ID: 4p1l |STR_LEN: 1202 |STR_TIME: 3.0267281532287598
> STR_ID: 4p1m |STR_LEN: 332 |STR_TIME: 1.1171588897705078
> STR_ID: 4p1n |STR_LEN: 523 |STR_TIME: 1.4358820915222168
> STR_ID: 4p1o |STR_LEN: 308 |STR_TIME: 1.0620207786560059
> STR_ID: 4p1q |STR_LEN: 512 |STR_TIME: 0.5445899963378906
> STR_ID: 4p1r |STR_LEN: 1357 |STR_TIME: 1.4425289630889893
> STR_ID: 4p1t |STR_LEN: 663 |STR_TIME: 1.1758079528808594
> STR_ID: 4p1u |STR_LEN: 206 |STR_TIME: 0.5762350559234619
> STR_ID: 4p1v |STR_LEN: 2687 |STR_TIME: 3.917863130569458
> STR_ID: 4p1w |STR_LEN: 1193 |STR_TIME: 3.259859323501587
> STR_ID: 4p1x |STR_LEN: 3153 |STR_TIME: 7.3552210330963135
> STR_ID: 4p1y |STR_LEN: 2120 |STR_TIME: 7.167442798614502
> STR_ID: 4p1z |STR_LEN: 509 |STR_TIME: 1.7130727767944336
> STR_ID: 5p10 |STR_LEN: 520 |STR_TIME: 1.53273606300354
> STR_ID: 5p11 |STR_LEN: 579 |STR_TIME: 1.5467729568481445
> STR_ID: 5p12 |STR_LEN: 520 |STR_TIME: 1.513451099395752
> STR_ID: 5p13 |STR_LEN: 538 |STR_TIME: 1.5002999305725098
> STR_ID: 5p14 |STR_LEN: 599 |STR_TIME: 1.612766981124878
> STR_ID: 5p15 |STR_LEN: 562 |STR_TIME: 1.530601978302002
> STR_ID: 5p16 |STR_LEN: 517 |STR_TIME: 1.501373052597046
> STR_ID: 5p17 |STR_LEN: 512 |STR_TIME: 1.5437848567962646
> STR_ID: 5p18 |STR_LEN: 569 |STR_TIME: 1.5647869110107422
> STR_ID: 5p19 |STR_LEN: 582 |STR_TIME: 1.5320980548858643
> STR_ID: 5p1a |STR_LEN: 540 |STR_TIME: 1.553830862045288
> STR_ID: 5p1b |STR_LEN: 550 |STR_TIME: 1.5043959617614746
> STR_ID: 5p1c |STR_LEN: 523 |STR_TIME: 1.539729356765747
> STR_ID: 5p1d |STR_LEN: 577 |STR_TIME: 1.568464994430542
> STR_ID: 5p1e |STR_LEN: 507 |STR_TIME: 1.4989230632781982
> STR_ID: 5p1f |STR_LEN: 568 |STR_TIME: 1.5651006698608398
> STR_ID: 5p1g |STR_LEN: 529 |STR_TIME: 1.5051438808441162
> STR_ID: 5p1h |STR_LEN: 513 |STR_TIME: 1.5008158683776855
> STR_ID: 5p1i |STR_LEN: 555 |STR_TIME: 1.513045072555542
> STR_ID: 5p1j |STR_LEN: 544 |STR_TIME: 1.49855375289917
> STR_ID: 5p1k |STR_LEN: 518 |STR_TIME: 1.5629937648773193
> STR_ID: 5p1l |STR_LEN: 572 |STR_TIME: 1.5143702030181885
> STR_ID: 5p1m |STR_LEN: 504 |STR_TIME: 1.4847421646118164
> STR_ID: 5p1n |STR_LEN: 514 |STR_TIME: 1.5083248615264893
> STR_ID: 5p1o |STR_LEN: 515 |STR_TIME: 1.4887752532958984
> STR_ID: 5p1p |STR_LEN: 555 |STR_TIME: 1.5783329010009766
> STR_ID: 5p1q |STR_LEN: 567 |STR_TIME: 1.547825813293457
> STR_ID: 5p1r |STR_LEN: 544 |STR_TIME: 1.5475540161132812
> STR_ID: 5p1s |STR_LEN: 554 |STR_TIME: 1.542963981628418
> STR_ID: 5p1t |STR_LEN: 553 |STR_TIME: 1.4960260391235352
> STR_ID: 5p1u |STR_LEN: 526 |STR_TIME: 1.4740877151489258
