>> START_DIR: ./data/i/i0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1i00 |STR_LEN: 670 |STR_TIME: 1.1269898414611816
> STR_ID: 1i0q |STR_LEN: 111 |STR_TIME: 0.17834210395812988
> STR_ID: 1i0r |STR_LEN: 557 |STR_TIME: 0.7363681793212891
> STR_ID: 1i0s |STR_LEN: 568 |STR_TIME: 0.7465400695800781
> STR_ID: 1i0t |STR_LEN: 53 |STR_TIME: 0.12689781188964844
> STR_ID: 1i0u |STR_LEN: 84 |STR_TIME: 0.3110311031341553
> STR_ID: 1i0v |STR_LEN: 230 |STR_TIME: 0.28215909004211426
> STR_ID: 1i0x |STR_LEN: 954 |STR_TIME: 0.9737579822540283
> STR_ID: 1i0z |STR_LEN: 986 |STR_TIME: 1.5161170959472656
> STR_ID: 2i00 |STR_LEN: 2757 |STR_TIME: 5.368867874145508
> STR_ID: 2i02 |STR_LEN: 459 |STR_TIME: 0.7164607048034668
> STR_ID: 2i03 |STR_LEN: 5862 |STR_TIME: 6.861304044723511
> STR_ID: 2i04 |STR_LEN: 408 |STR_TIME: 0.47104787826538086
> STR_ID: 2i05 |STR_LEN: 347 |STR_TIME: 0.7966647148132324
> STR_ID: 2i06 |STR_LEN: 408 |STR_TIME: 0.8218731880187988
> STR_ID: 2i07 |STR_LEN: 1535 |STR_TIME: 3.8452117443084717
> STR_ID: 2i08 |STR_LEN: 127 |STR_TIME: 0.33802294731140137
> STR_ID: 2i0a |STR_LEN: 377 |STR_TIME: 1.0022509098052979
> STR_ID: 2i0b |STR_LEN: 1308 |STR_TIME: 3.2421298027038574
> STR_ID: 2i0c |STR_LEN: 719 |STR_TIME: 1.309124231338501
> STR_ID: 2i0d |STR_LEN: 362 |STR_TIME: 0.4989430904388428
> STR_ID: 2i0e |STR_LEN: 748 |STR_TIME: 1.4437170028686523
> STR_ID: 2i0f |STR_LEN: 919 |STR_TIME: 1.6164429187774658
> STR_ID: 2i0g |STR_LEN: 462 |STR_TIME: 0.959542989730835
> STR_ID: 2i0h |STR_LEN: 808 |STR_TIME: 0.9628889560699463
> STR_ID: 2i0i |STR_LEN: 337 |STR_TIME: 0.5702869892120361
> STR_ID: 2i0j |STR_LEN: 900 |STR_TIME: 1.8769447803497314
> STR_ID: 2i0k |STR_LEN: 1242 |STR_TIME: 1.4628849029541016
> STR_ID: 2i0l |STR_LEN: 345 |STR_TIME: 0.45438718795776367
> STR_ID: 2i0m |STR_LEN: 234 |STR_TIME: 0.4714019298553467
> STR_ID: 2i0n |STR_LEN: 80 |STR_TIME: 6.089962959289551
> STR_ID: 2i0o |STR_LEN: 678 |STR_TIME: 0.7963042259216309
> STR_ID: 2i0q |STR_LEN: 1003 |STR_TIME: 1.7185008525848389
> STR_ID: 2i0r |STR_LEN: 2666 |STR_TIME: 2.4464778900146484
> STR_ID: 2i0s |STR_LEN: 2711 |STR_TIME: 2.675175905227661
> STR_ID: 2i0t |STR_LEN: 2433 |STR_TIME: 2.474231004714966
> STR_ID: 2i0u |STR_LEN: 459 |STR_TIME: 0.6466829776763916
> STR_ID: 2i0v |STR_LEN: 331 |STR_TIME: 0.7222268581390381
> STR_ID: 2i0w |STR_LEN: 275 |STR_TIME: 0.4598388671875
> STR_ID: 2i0x |STR_LEN: 100 |STR_TIME: 0.23433399200439453
> STR_ID: 2i0y |STR_LEN: 391 |STR_TIME: 0.7124269008636475
> STR_ID: 2i0z |STR_LEN: 791 |STR_TIME: 1.0370869636535645
> STR_ID: 3i00 |STR_LEN: 221 |STR_TIME: 0.6761300563812256
> STR_ID: 3i01 |STR_LEN: 7051 |STR_TIME: 11.886776208877563
> STR_ID: 3i02 |STR_LEN: 1110 |STR_TIME: 1.852423906326294
> STR_ID: 3i03 |STR_LEN: 474 |STR_TIME: 0.40815114974975586
> STR_ID: 3i04 |STR_LEN: 7797 |STR_TIME: 11.763365745544434
> STR_ID: 3i05 |STR_LEN: 659 |STR_TIME: 1.4324281215667725
> STR_ID: 3i06 |STR_LEN: 554 |STR_TIME: 1.036285161972046
> STR_ID: 3i07 |STR_LEN: 571 |STR_TIME: 0.7084088325500488
> STR_ID: 3i08 |STR_LEN: 494 |STR_TIME: 1.0932791233062744
> STR_ID: 3i09 |STR_LEN: 1487 |STR_TIME: 1.8460640907287598
> STR_ID: 3i0a |STR_LEN: 625 |STR_TIME: 1.1183319091796875
> STR_ID: 3i0c |STR_LEN: 591 |STR_TIME: 0.8690900802612305
> STR_ID: 3i0d |STR_LEN: 475 |STR_TIME: 0.6772909164428711
> STR_ID: 3i0e |STR_LEN: 576 |STR_TIME: 0.7351601123809814
> STR_ID: 3i0f |STR_LEN: 579 |STR_TIME: 0.736191987991333
> STR_ID: 3i0g |STR_LEN: 618 |STR_TIME: 0.7752079963684082
> STR_ID: 3i0h |STR_LEN: 476 |STR_TIME: 0.7079100608825684
> STR_ID: 3i0i |STR_LEN: 500 |STR_TIME: 0.6992809772491455
> STR_ID: 3i0j |STR_LEN: 541 |STR_TIME: 0.7246170043945312
> STR_ID: 3i0k |STR_LEN: 412 |STR_TIME: 0.6759381294250488
> STR_ID: 3i0l |STR_LEN: 593 |STR_TIME: 0.8420360088348389
> STR_ID: 3i0m |STR_LEN: 362 |STR_TIME: 0.7466611862182617
> STR_ID: 3i0n |STR_LEN: 850 |STR_TIME: 1.4178600311279297
> STR_ID: 3i0o |STR_LEN: 381 |STR_TIME: 0.7743539810180664
> STR_ID: 3i0p |STR_LEN: 461 |STR_TIME: 0.801581859588623
> STR_ID: 3i0q |STR_LEN: 334 |STR_TIME: 0.7355709075927734
> STR_ID: 3i0r |STR_LEN: 951 |STR_TIME: 2.089570999145508
> STR_ID: 3i0s |STR_LEN: 964 |STR_TIME: 2.0923519134521484
> STR_ID: 3i0t |STR_LEN: 531 |STR_TIME: 0.8569788932800293
> STR_ID: 3i0u |STR_LEN: 400 |STR_TIME: 0.8882970809936523
> STR_ID: 3i0v |STR_LEN: 436 |STR_TIME: 0.6278691291809082
> STR_ID: 3i0w |STR_LEN: 640 |STR_TIME: 0.9356579780578613
> STR_ID: 3i0x |STR_LEN: 559 |STR_TIME: 0.9457242488861084
> STR_ID: 3i0y |STR_LEN: 1098 |STR_TIME: 1.3548901081085205
> STR_ID: 3i0z |STR_LEN: 1618 |STR_TIME: 1.8389270305633545
> STR_ID: 4i00 |STR_LEN: 806 |STR_TIME: 1.707977056503296
> STR_ID: 4i01 |STR_LEN: 489 |STR_TIME: 0.8843739032745361
> STR_ID: 4i02 |STR_LEN: 2156 |STR_TIME: 2.881060838699341
> STR_ID: 4i03 |STR_LEN: 348 |STR_TIME: 0.5003149509429932
> STR_ID: 4i04 |STR_LEN: 1753 |STR_TIME: 4.644486904144287
> STR_ID: 4i05 |STR_LEN: 618 |STR_TIME: 1.32710599899292
> STR_ID: 4i06 |STR_LEN: 1949 |STR_TIME: 2.1885499954223633
> STR_ID: 4i07 |STR_LEN: 682 |STR_TIME: 1.235996961593628
> STR_ID: 4i08 |STR_LEN: 630 |STR_TIME: 1.7818419933319092
> STR_ID: 4i09 |STR_LEN: 531 |STR_TIME: 0.9189651012420654
> STR_ID: 4i0a |STR_LEN: 520 |STR_TIME: 0.9892458915710449
> STR_ID: 4i0b |STR_LEN: 733 |STR_TIME: 0.9926948547363281
> STR_ID: 4i0c |STR_LEN: 895 |STR_TIME: 2.0372190475463867
> STR_ID: 4i0d |STR_LEN: 771 |STR_TIME: 1.9233222007751465
> STR_ID: 4i0e |STR_LEN: 617 |STR_TIME: 1.3677489757537842
> STR_ID: 4i0f |STR_LEN: 744 |STR_TIME: 0.9702787399291992
> STR_ID: 4i0g |STR_LEN: 626 |STR_TIME: 0.9737250804901123
> STR_ID: 4i0h |STR_LEN: 1425 |STR_TIME: 2.403064727783203
> STR_ID: 4i0i |STR_LEN: 1483 |STR_TIME: 2.97831392288208
> STR_ID: 4i0j |STR_LEN: 618 |STR_TIME: 0.9526200294494629
> STR_ID: 4i0k |STR_LEN: 212 |STR_TIME: 0.4811990261077881
> STR_ID: 4i0n |STR_LEN: 528 |STR_TIME: 0.9948351383209229
> STR_ID: 4i0o |STR_LEN: 632 |STR_TIME: 1.6154811382293701
> STR_ID: 4i0p |STR_LEN: 1506 |STR_TIME: 3.257650136947632
> STR_ID: 4i0r |STR_LEN: 345 |STR_TIME: 1.0491411685943604
> STR_ID: 4i0s |STR_LEN: 374 |STR_TIME: 1.18794584274292
> STR_ID: 4i0t |STR_LEN: 418 |STR_TIME: 1.0425050258636475
> STR_ID: 4i0u |STR_LEN: 3758 |STR_TIME: 7.31974196434021
> STR_ID: 4i0w |STR_LEN: 2081 |STR_TIME: 4.24902606010437
> STR_ID: 4i0x |STR_LEN: 1263 |STR_TIME: 4.659320116043091
> STR_ID: 4i0y |STR_LEN: 491 |STR_TIME: 1.6950430870056152
> STR_ID: 4i0z |STR_LEN: 646 |STR_TIME: 0.8733000755310059
> STR_ID: 5i00 |STR_LEN: 783 |STR_TIME: 1.5940518379211426
> STR_ID: 5i01 |STR_LEN: 838 |STR_TIME: 1.527068853378296
> STR_ID: 5i02 |STR_LEN: 681 |STR_TIME: 1.8282833099365234
> STR_ID: 5i03 |STR_LEN: 584 |STR_TIME: 1.4419469833374023
> STR_ID: 5i06 |STR_LEN: 635 |STR_TIME: 1.683089017868042
> STR_ID: 5i07 |STR_LEN: 1178 |STR_TIME: 2.824237108230591
> STR_ID: 5i08 |STR_LEN: 2874 |STR_TIME: 7.976284980773926
> STR_ID: 5i09 |STR_LEN: 759 |STR_TIME: 2.3318610191345215
> STR_ID: 5i0a |STR_LEN: 338 |STR_TIME: 0.7745330333709717
> STR_ID: 5i0b |STR_LEN: 290 |STR_TIME: 1.2268071174621582
> STR_ID: 5i0c |STR_LEN: 155 |STR_TIME: 0.5922641754150391
> STR_ID: 5i0d |STR_LEN: 4987 |STR_TIME: 10.504817008972168
> STR_ID: 5i0e |STR_LEN: 990 |STR_TIME: 3.2533559799194336
> STR_ID: 5i0f |STR_LEN: 1351 |STR_TIME: 3.5920541286468506
> STR_ID: 5i0g |STR_LEN: 1118 |STR_TIME: 3.2402477264404297
> STR_ID: 5i0h |STR_LEN: 2741 |STR_TIME: 7.394536256790161
> STR_ID: 5i0i |STR_LEN: 1992 |STR_TIME: 7.60348916053772
> STR_ID: 5i0j |STR_LEN: 1324 |STR_TIME: 2.2773821353912354
> STR_ID: 5i0l |STR_LEN: 638 |STR_TIME: 1.541297197341919
> STR_ID: 5i0m |STR_LEN: 1065 |STR_TIME: 2.0966360569000244
> STR_ID: 5i0n |STR_LEN: 715 |STR_TIME: 1.2452161312103271
> STR_ID: 5i0p |STR_LEN: 1660 |STR_TIME: 5.1006999015808105
> STR_ID: 5i0q |STR_LEN: 291 |STR_TIME: 0.7209429740905762
> STR_ID: 5i0r |STR_LEN: 510 |STR_TIME: 1.1550049781799316
> STR_ID: 5i0s |STR_LEN: 515 |STR_TIME: 1.3411169052124023
> STR_ID: 5i0t |STR_LEN: 501 |STR_TIME: 1.2824640274047852
> STR_ID: 5i0u |STR_LEN: 520 |STR_TIME: 1.3755590915679932
> STR_ID: 5i0v |STR_LEN: 581 |STR_TIME: 0.7730519771575928
> STR_ID: 5i0w |STR_LEN: 608 |STR_TIME: 0.8340160846710205
> STR_ID: 5i0x |STR_LEN: 660 |STR_TIME: 0.8449149131774902
> STR_ID: 5i0y |STR_LEN: 584 |STR_TIME: 0.801365852355957
> STR_ID: 5i0z |STR_LEN: 590 |STR_TIME: 1.097804069519043
>> FINISH_DIR: ./data/i/i0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 165 |DIR_TIME: 291.581570148468 

>> START_DIR: ./data/i/i1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1i10 |STR_LEN: 3318 |STR_TIME: 5.543694019317627
> STR_ID: 1i11 |STR_LEN: 70 |STR_TIME: 8.350415706634521
> STR_ID: 1i12 |STR_LEN: 1254 |STR_TIME: 1.6466481685638428
> STR_ID: 1i13 |STR_LEN: 567 |STR_TIME: 0.8946559429168701
> STR_ID: 1i14 |STR_LEN: 609 |STR_TIME: 0.9607837200164795
> STR_ID: 1i16 |STR_LEN: 130 |STR_TIME: 8.731119155883789
> STR_ID: 1i17 |STR_LEN: 107 |STR_TIME: 8.054672002792358
> STR_ID: 1i18 |STR_LEN: 196 |STR_TIME: 15.103931903839111
> STR_ID: 1i19 |STR_LEN: 2102 |STR_TIME: 2.5776209831237793
> STR_ID: 1i1a |STR_LEN: 808 |STR_TIME: 1.9215600490570068
> STR_ID: 1i1b |STR_LEN: 234 |STR_TIME: 0.3876330852508545
> STR_ID: 1i1c |STR_LEN: 426 |STR_TIME: 0.9313709735870361
> STR_ID: 1i1d |STR_LEN: 1174 |STR_TIME: 1.4333388805389404
> STR_ID: 1i1e |STR_LEN: 1644 |STR_TIME: 2.910444974899292
> STR_ID: 1i1f |STR_LEN: 768 |STR_TIME: 1.7053258419036865
> STR_ID: 1i1g |STR_LEN: 280 |STR_TIME: 0.5758018493652344
> STR_ID: 1i1h |STR_LEN: 327 |STR_TIME: 0.48494505882263184
> STR_ID: 1i1i |STR_LEN: 839 |STR_TIME: 1.420623779296875
> STR_ID: 1i1j |STR_LEN: 422 |STR_TIME: 0.5180821418762207
> STR_ID: 1i1k |STR_LEN: 1201 |STR_TIME: 1.90733003616333
> STR_ID: 1i1l |STR_LEN: 1222 |STR_TIME: 1.8718349933624268
> STR_ID: 1i1m |STR_LEN: 1213 |STR_TIME: 1.901885986328125
> STR_ID: 1i1n |STR_LEN: 504 |STR_TIME: 0.5875160694122314
> STR_ID: 1i1o |STR_LEN: 290 |STR_TIME: 0.3959481716156006
> STR_ID: 1i1p |STR_LEN: 157 |STR_TIME: 0.19727802276611328
> STR_ID: 1i1q |STR_LEN: 825 |STR_TIME: 1.4849457740783691
> STR_ID: 1i1r |STR_LEN: 838 |STR_TIME: 1.1012349128723145
> STR_ID: 1i1s |STR_LEN: 96 |STR_TIME: 6.828964948654175
> STR_ID: 1i1w |STR_LEN: 739 |STR_TIME: 1.89646315574646
> STR_ID: 1i1x |STR_LEN: 567 |STR_TIME: 1.748417854309082
> STR_ID: 1i1y |STR_LEN: 967 |STR_TIME: 1.7377209663391113
> STR_ID: 1i1z |STR_LEN: 250 |STR_TIME: 0.3610718250274658
> STR_ID: 2i10 |STR_LEN: 501 |STR_TIME: 0.8042402267456055
> STR_ID: 2i13 |STR_LEN: 815 |STR_TIME: 1.288283109664917
> STR_ID: 2i14 |STR_LEN: 2417 |STR_TIME: 4.969884872436523
> STR_ID: 2i15 |STR_LEN: 433 |STR_TIME: 0.8247089385986328
> STR_ID: 2i16 |STR_LEN: 927 |STR_TIME: 2.179192066192627
> STR_ID: 2i17 |STR_LEN: 927 |STR_TIME: 2.1162049770355225
> STR_ID: 2i18 |STR_LEN: 65 |STR_TIME: 3.5675718784332275
> STR_ID: 2i19 |STR_LEN: 1094 |STR_TIME: 1.7108311653137207
> STR_ID: 2i1a |STR_LEN: 609 |STR_TIME: 0.9894750118255615
> STR_ID: 2i1b |STR_LEN: 321 |STR_TIME: 0.39821696281433105
> STR_ID: 2i1d |STR_LEN: 14 |STR_TIME: 1.2684059143066406
> STR_ID: 2i1e |STR_LEN: 14 |STR_TIME: 1.3011600971221924
> STR_ID: 2i1f |STR_LEN: 14 |STR_TIME: 1.2091803550720215
> STR_ID: 2i1g |STR_LEN: 14 |STR_TIME: 1.2394816875457764
> STR_ID: 2i1h |STR_LEN: 14 |STR_TIME: 1.1877050399780273
> STR_ID: 2i1i |STR_LEN: 14 |STR_TIME: 1.261505126953125
> STR_ID: 2i1j |STR_LEN: 898 |STR_TIME: 1.3749470710754395
> STR_ID: 2i1k |STR_LEN: 590 |STR_TIME: 1.208000898361206
> STR_ID: 2i1l |STR_LEN: 619 |STR_TIME: 1.1741447448730469
> STR_ID: 2i1m |STR_LEN: 488 |STR_TIME: 0.7397730350494385
> STR_ID: 2i1n |STR_LEN: 396 |STR_TIME: 0.5068299770355225
> STR_ID: 2i1o |STR_LEN: 523 |STR_TIME: 0.8424389362335205
> STR_ID: 2i1p |STR_LEN: 49 |STR_TIME: 3.1716549396514893
> STR_ID: 2i1q |STR_LEN: 466 |STR_TIME: 0.7080497741699219
> STR_ID: 2i1r |STR_LEN: 1348 |STR_TIME: 2.2695870399475098
> STR_ID: 2i1s |STR_LEN: 516 |STR_TIME: 0.8627760410308838
> STR_ID: 2i1t |STR_LEN: 36 |STR_TIME: 2.4533069133758545
> STR_ID: 2i1u |STR_LEN: 265 |STR_TIME: 0.5333490371704102
> STR_ID: 2i1v |STR_LEN: 675 |STR_TIME: 1.0733411312103271
> STR_ID: 2i1w |STR_LEN: 1413 |STR_TIME: 2.1582698822021484
> STR_ID: 2i1x |STR_LEN: 260 |STR_TIME: 0.6217761039733887
> STR_ID: 2i1y |STR_LEN: 885 |STR_TIME: 1.2976140975952148
> STR_ID: 3i10 |STR_LEN: 655 |STR_TIME: 0.8828227519989014
> STR_ID: 3i11 |STR_LEN: 455 |STR_TIME: 0.9179801940917969
> STR_ID: 3i12 |STR_LEN: 1728 |STR_TIME: 2.7883570194244385
> STR_ID: 3i13 |STR_LEN: 436 |STR_TIME: 0.6174819469451904
> STR_ID: 3i14 |STR_LEN: 471 |STR_TIME: 0.5848171710968018
> STR_ID: 3i15 |STR_LEN: 481 |STR_TIME: 0.5821077823638916
> STR_ID: 3i16 |STR_LEN: 2733 |STR_TIME: 3.7628140449523926
> STR_ID: 3i17 |STR_LEN: 498 |STR_TIME: 0.7400569915771484
> STR_ID: 3i18 |STR_LEN: 218 |STR_TIME: 0.27006006240844727
> STR_ID: 3i19 |STR_LEN: 452 |STR_TIME: 0.6616199016571045
> STR_ID: 3i1a |STR_LEN: 1523 |STR_TIME: 1.6445419788360596
> STR_ID: 3i1c |STR_LEN: 663 |STR_TIME: 0.7645580768585205
> STR_ID: 3i1d |STR_LEN: 32 |STR_TIME: 0.20067501068115234
> STR_ID: 3i1e |STR_LEN: 202 |STR_TIME: 0.39943408966064453
> STR_ID: 3i1f |STR_LEN: 1191 |STR_TIME: 3.130885124206543
> STR_ID: 3i1g |STR_LEN: 54 |STR_TIME: 0.19824576377868652
> STR_ID: 3i1h |STR_LEN: 189 |STR_TIME: 0.36783719062805176
> STR_ID: 3i1i |STR_LEN: 1096 |STR_TIME: 1.6403367519378662
> STR_ID: 3i1j |STR_LEN: 828 |STR_TIME: 1.092430830001831
> STR_ID: 3i1k |STR_LEN: 1623 |STR_TIME: 2.439918041229248
> STR_ID: 3i1l |STR_LEN: 1119 |STR_TIME: 2.301010847091675
> STR_ID: 3i1u |STR_LEN: 635 |STR_TIME: 0.7611939907073975
> STR_ID: 3i1y |STR_LEN: 583 |STR_TIME: 1.1332130432128906
> STR_ID: 4i10 |STR_LEN: 641 |STR_TIME: 0.9043560028076172
> STR_ID: 4i11 |STR_LEN: 716 |STR_TIME: 0.928887128829956
> STR_ID: 4i12 |STR_LEN: 541 |STR_TIME: 0.904818058013916
> STR_ID: 4i13 |STR_LEN: 672 |STR_TIME: 1.2033488750457764
> STR_ID: 4i14 |STR_LEN: 656 |STR_TIME: 2.201976776123047
> STR_ID: 4i15 |STR_LEN: 1074 |STR_TIME: 1.3979661464691162
> STR_ID: 4i16 |STR_LEN: 183 |STR_TIME: 0.43370985984802246
> STR_ID: 4i17 |STR_LEN: 339 |STR_TIME: 0.9370689392089844
> STR_ID: 4i18 |STR_LEN: 1278 |STR_TIME: 2.5765938758850098
> STR_ID: 4i19 |STR_LEN: 589 |STR_TIME: 1.4480831623077393
> STR_ID: 4i1a |STR_LEN: 661 |STR_TIME: 2.4823930263519287
> STR_ID: 4i1b |STR_LEN: 242 |STR_TIME: 0.39882397651672363
> STR_ID: 4i1c |STR_LEN: 518 |STR_TIME: 0.8594970703125
> STR_ID: 4i1d |STR_LEN: 1603 |STR_TIME: 4.8660359382629395
> STR_ID: 4i1e |STR_LEN: 583 |STR_TIME: 1.7615070343017578
> STR_ID: 4i1f |STR_LEN: 582 |STR_TIME: 0.7631618976593018
> STR_ID: 4i1g |STR_LEN: 31 |STR_TIME: 0.10983586311340332
> STR_ID: 4i1h |STR_LEN: 577 |STR_TIME: 0.7505948543548584
> STR_ID: 4i1i |STR_LEN: 1265 |STR_TIME: 2.428762912750244
> STR_ID: 4i1k |STR_LEN: 606 |STR_TIME: 1.0967450141906738
> STR_ID: 4i1l |STR_LEN: 89 |STR_TIME: 0.2246389389038086
> STR_ID: 4i1m |STR_LEN: 883 |STR_TIME: 3.0673718452453613
> STR_ID: 4i1n |STR_LEN: 590 |STR_TIME: 1.194093942642212
> STR_ID: 4i1o |STR_LEN: 1995 |STR_TIME: 6.600530385971069
> STR_ID: 4i1p |STR_LEN: 895 |STR_TIME: 2.9812710285186768
> STR_ID: 4i1q |STR_LEN: 460 |STR_TIME: 0.8928630352020264
> STR_ID: 4i1r |STR_LEN: 380 |STR_TIME: 1.3524880409240723
> STR_ID: 4i1s |STR_LEN: 402 |STR_TIME: 1.1422488689422607
> STR_ID: 4i1t |STR_LEN: 169 |STR_TIME: 0.6803948879241943
> STR_ID: 4i1u |STR_LEN: 715 |STR_TIME: 1.5825059413909912
> STR_ID: 4i1v |STR_LEN: 464 |STR_TIME: 1.4796249866485596
> STR_ID: 4i1w |STR_LEN: 3620 |STR_TIME: 4.276875972747803
> STR_ID: 4i1y |STR_LEN: 1114 |STR_TIME: 3.5004472732543945
> STR_ID: 4i1z |STR_LEN: 338 |STR_TIME: 0.653256893157959
> STR_ID: 5i10 |STR_LEN: 290 |STR_TIME: 0.8714199066162109
> STR_ID: 5i11 |STR_LEN: 80 |STR_TIME: 0.40656423568725586
> STR_ID: 5i12 |STR_LEN: 283 |STR_TIME: 0.7764689922332764
> STR_ID: 5i13 |STR_LEN: 216 |STR_TIME: 0.5003972053527832
> STR_ID: 5i14 |STR_LEN: 440 |STR_TIME: 0.6217901706695557
> STR_ID: 5i15 |STR_LEN: 430 |STR_TIME: 0.8992528915405273
> STR_ID: 5i16 |STR_LEN: 1327 |STR_TIME: 1.8447620868682861
> STR_ID: 5i17 |STR_LEN: 857 |STR_TIME: 1.7824063301086426
> STR_ID: 5i18 |STR_LEN: 833 |STR_TIME: 1.0412700176239014
> STR_ID: 5i19 |STR_LEN: 434 |STR_TIME: 0.9020259380340576
> STR_ID: 5i1a |STR_LEN: 1284 |STR_TIME: 1.7973008155822754
> STR_ID: 5i1b |STR_LEN: 251 |STR_TIME: 0.3706340789794922
> STR_ID: 5i1c |STR_LEN: 654 |STR_TIME: 1.0477831363677979
> STR_ID: 5i1d |STR_LEN: 1502 |STR_TIME: 1.9246690273284912
> STR_ID: 5i1e |STR_LEN: 520 |STR_TIME: 0.9213418960571289
> STR_ID: 5i1f |STR_LEN: 475 |STR_TIME: 1.2224607467651367
> STR_ID: 5i1g |STR_LEN: 495 |STR_TIME: 0.8860008716583252
> STR_ID: 5i1h |STR_LEN: 499 |STR_TIME: 0.9288442134857178
> STR_ID: 5i1i |STR_LEN: 449 |STR_TIME: 0.9551980495452881
> STR_ID: 5i1j |STR_LEN: 624 |STR_TIME: 0.9209079742431641
> STR_ID: 5i1k |STR_LEN: 961 |STR_TIME: 1.0679333209991455
> STR_ID: 5i1l |STR_LEN: 1324 |STR_TIME: 3.306763172149658
> STR_ID: 5i1m |STR_LEN: 458 |STR_TIME: 0.9400017261505127
> STR_ID: 5i1n |STR_LEN: 590 |STR_TIME: 1.861396074295044
> STR_ID: 5i1o |STR_LEN: 574 |STR_TIME: 2.286795139312744
> STR_ID: 5i1p |STR_LEN: 431 |STR_TIME: 1.6985821723937988
> STR_ID: 5i1q |STR_LEN: 311 |STR_TIME: 0.6781909465789795
> STR_ID: 5i1r |STR_LEN: 57 |STR_TIME: 11.5527982711792
> STR_ID: 5i1s |STR_LEN: 439 |STR_TIME: 1.2356610298156738
> STR_ID: 5i1t |STR_LEN: 438 |STR_TIME: 1.2158329486846924
> STR_ID: 5i1u |STR_LEN: 1254 |STR_TIME: 2.5070078372955322
> STR_ID: 5i1v |STR_LEN: 3381 |STR_TIME: 7.965194940567017
> STR_ID: 5i1w |STR_LEN: 2600 |STR_TIME: 4.2542548179626465
> STR_ID: 5i1x |STR_LEN: 36 |STR_TIME: 2.5876171588897705
> STR_ID: 5i1y |STR_LEN: 316 |STR_TIME: 0.5316188335418701
> STR_ID: 5i1z |STR_LEN: 2585 |STR_TIME: 3.200801134109497
> STR_ID: 6i1b |STR_LEN: 160 |STR_TIME: 0.6127498149871826
> STR_ID: 7i1b |STR_LEN: 160 |STR_TIME: 18.862470149993896
> STR_ID: 8i1b |STR_LEN: 232 |STR_TIME: 0.4120781421661377
>> FINISH_DIR: ./data/i/i1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 325 |DIR_TIME: 308.1525659561157 

>> START_DIR: ./data/i/i2/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1i20 |STR_LEN: 212 |STR_TIME: 0.3121988773345947
> STR_ID: 1i21 |STR_LEN: 1195 |STR_TIME: 2.5913829803466797
> STR_ID: 1i22 |STR_LEN: 841 |STR_TIME: 1.7777748107910156
> STR_ID: 1i24 |STR_LEN: 783 |STR_TIME: 1.5850188732147217
> STR_ID: 1i25 |STR_LEN: 37 |STR_TIME: 1.4748239517211914
> STR_ID: 1i26 |STR_LEN: 34 |STR_TIME: 3.0290589332580566
