>> START_DIR: ./data/j/j0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1j00 |STR_LEN: 270 |STR_TIME: 0.39264512062072754
> STR_ID: 4j0u |STR_LEN: 851 |STR_TIME: 0.995107889175415
> STR_ID: 4j0v |STR_LEN: 663 |STR_TIME: 1.4040780067443848
> STR_ID: 4j0w |STR_LEN: 543 |STR_TIME: 0.6636669635772705
> STR_ID: 4j0x |STR_LEN: 763 |STR_TIME: 1.3951160907745361
> STR_ID: 4j0y |STR_LEN: 714 |STR_TIME: 1.3812661170959473
> STR_ID: 4j0z |STR_LEN: 610 |STR_TIME: 1.357947826385498
> STR_ID: 5j01 |STR_LEN: 624 |STR_TIME: 3.7753047943115234
> STR_ID: 5j02 |STR_LEN: 652 |STR_TIME: 4.007735013961792
> STR_ID: 5j03 |STR_LEN: 358 |STR_TIME: 1.1806731224060059
> STR_ID: 5j04 |STR_LEN: 1050 |STR_TIME: 1.499009132385254
> STR_ID: 5j05 |STR_LEN: 20 |STR_TIME: 1.2657511234283447
> STR_ID: 5j06 |STR_LEN: 905 |STR_TIME: 4.243829011917114
> STR_ID: 5j07 |STR_LEN: 315 |STR_TIME: 0.7235438823699951
> STR_ID: 5j08 |STR_LEN: 236 |STR_TIME: 0.3672318458557129
> STR_ID: 5j09 |STR_LEN: 3105 |STR_TIME: 6.386609077453613
> STR_ID: 5j0a |STR_LEN: 758 |STR_TIME: 1.205848217010498
> STR_ID: 5j0b |STR_LEN: 893 |STR_TIME: 4.280947923660278
> STR_ID: 5j0c |STR_LEN: 418 |STR_TIME: 0.7819859981536865
> STR_ID: 5j0d |STR_LEN: 248 |STR_TIME: 0.4987068176269531
> STR_ID: 5j0e |STR_LEN: 147 |STR_TIME: 0.4061598777770996
> STR_ID: 5j0f |STR_LEN: 496 |STR_TIME: 0.8280861377716064
> STR_ID: 5j0g |STR_LEN: 250 |STR_TIME: 0.7189669609069824
> STR_ID: 5j0h |STR_LEN: 293 |STR_TIME: 0.5700459480285645
> STR_ID: 5j0i |STR_LEN: 94 |STR_TIME: 0.32684898376464844
> STR_ID: 5j0j |STR_LEN: 249 |STR_TIME: 0.7959499359130859
> STR_ID: 5j0k |STR_LEN: 395 |STR_TIME: 0.9783499240875244
> STR_ID: 5j0l |STR_LEN: 836 |STR_TIME: 1.265488862991333
> STR_ID: 5j0m |STR_LEN: 43 |STR_TIME: 2.6243629455566406
> STR_ID: 5j0n |STR_LEN: 2349 |STR_TIME: 6.456857919692993
> STR_ID: 5j0o |STR_LEN: 779 |STR_TIME: 0.9136099815368652
> STR_ID: 5j0p |STR_LEN: 624 |STR_TIME: 0.9765751361846924
> STR_ID: 5j0q |STR_LEN: 980 |STR_TIME: 0.9737842082977295
> STR_ID: 5j0r |STR_LEN: 838 |STR_TIME: 0.9416542053222656
> STR_ID: 5j0s |STR_LEN: 964 |STR_TIME: 0.9571452140808105
> STR_ID: 5j0t |STR_LEN: 863 |STR_TIME: 0.9186282157897949
> STR_ID: 5j0u |STR_LEN: 761 |STR_TIME: 0.9589967727661133
> STR_ID: 5j0w |STR_LEN: 625 |STR_TIME: 0.8520381450653076
> STR_ID: 5j0x |STR_LEN: 910 |STR_TIME: 0.9543857574462891
> STR_ID: 5j0y |STR_LEN: 924 |STR_TIME: 0.9666528701782227
> STR_ID: 5j0z |STR_LEN: 1603 |STR_TIME: 2.9644858837127686
>> FINISH_DIR: ./data/j/j0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 159 |DIR_TIME: 400.5236909389496 

>> START_DIR: ./data/j/j1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1j10 |STR_LEN: 2654 |STR_TIME: 3.7631380558013916
> STR_ID: 1j11 |STR_LEN: 2598 |STR_TIME: 3.68927001953125
> STR_ID: 1j12 |STR_LEN: 2545 |STR_TIME: 3.7243709564208984
> STR_ID: 1j14 |STR_LEN: 290 |STR_TIME: 0.43253302574157715
> STR_ID: 1j15 |STR_LEN: 380 |STR_TIME: 0.4749267101287842
> STR_ID: 1j16 |STR_LEN: 510 |STR_TIME: 0.5078809261322021
> STR_ID: 1j17 |STR_LEN: 294 |STR_TIME: 0.434751033782959
> STR_ID: 1j18 |STR_LEN: 922 |STR_TIME: 1.062305212020874
> STR_ID: 1j19 |STR_LEN: 564 |STR_TIME: 0.6877713203430176
> STR_ID: 1j1a |STR_LEN: 391 |STR_TIME: 0.6104040145874023
> STR_ID: 1j1b |STR_LEN: 1139 |STR_TIME: 1.3910140991210938
> STR_ID: 1j1c |STR_LEN: 989 |STR_TIME: 1.3984289169311523
> STR_ID: 1j1d |STR_LEN: 806 |STR_TIME: 1.2958948612213135
> STR_ID: 1j1e |STR_LEN: 726 |STR_TIME: 1.380105972290039
> STR_ID: 1j1f |STR_LEN: 328 |STR_TIME: 0.4073660373687744
> STR_ID: 1j1g |STR_LEN: 378 |STR_TIME: 0.4278850555419922
> STR_ID: 1j1h |STR_LEN: 123 |STR_TIME: 4.482594728469849
> STR_ID: 1j1i |STR_LEN: 432 |STR_TIME: 0.5765008926391602
> STR_ID: 1j1j |STR_LEN: 1282 |STR_TIME: 1.682650089263916
> STR_ID: 1j1l |STR_LEN: 474 |STR_TIME: 0.5965020656585693
> STR_ID: 1j1m |STR_LEN: 671 |STR_TIME: 0.6002030372619629
> STR_ID: 1j1n |STR_LEN: 1850 |STR_TIME: 2.0945699214935303
> STR_ID: 1j1o |STR_LEN: 693 |STR_TIME: 0.6892359256744385
> STR_ID: 1j1p |STR_LEN: 714 |STR_TIME: 0.7434921264648438
> STR_ID: 1j1q |STR_LEN: 500 |STR_TIME: 0.5347499847412109
> STR_ID: 1j1r |STR_LEN: 466 |STR_TIME: 0.5289299488067627
> STR_ID: 1j1s |STR_LEN: 458 |STR_TIME: 0.5362899303436279
> STR_ID: 1j1t |STR_LEN: 550 |STR_TIME: 0.5224499702453613
> STR_ID: 1j1u |STR_LEN: 742 |STR_TIME: 1.0531878471374512
> STR_ID: 1j1v |STR_LEN: 263 |STR_TIME: 0.41808509826660156
> STR_ID: 1j1w |STR_LEN: 3401 |STR_TIME: 5.092217922210693
> STR_ID: 1j1x |STR_LEN: 707 |STR_TIME: 0.7443137168884277
> STR_ID: 1j1y |STR_LEN: 433 |STR_TIME: 0.46970510482788086
> STR_ID: 1j1z |STR_LEN: 2234 |STR_TIME: 2.8735299110412598
> STR_ID: 2j10 |STR_LEN: 124 |STR_TIME: 12.93830919265747
> STR_ID: 2j11 |STR_LEN: 124 |STR_TIME: 11.585883855819702
> STR_ID: 2j12 |STR_LEN: 590 |STR_TIME: 1.166229009628296
> STR_ID: 2j13 |STR_LEN: 393 |STR_TIME: 0.8156418800354004
> STR_ID: 2j14 |STR_LEN: 637 |STR_TIME: 0.982529878616333
> STR_ID: 2j15 |STR_LEN: 15 |STR_TIME: 0.8186030387878418
> STR_ID: 2j16 |STR_LEN: 323 |STR_TIME: 0.5641219615936279
> STR_ID: 2j17 |STR_LEN: 322 |STR_TIME: 0.568864107131958
> STR_ID: 2j18 |STR_LEN: 681 |STR_TIME: 0.7279350757598877
> STR_ID: 2j19 |STR_LEN: 659 |STR_TIME: 0.9228529930114746
> STR_ID: 2j1a |STR_LEN: 322 |STR_TIME: 0.34602975845336914
> STR_ID: 2j1d |STR_LEN: 473 |STR_TIME: 0.77724289894104
> STR_ID: 2j1e |STR_LEN: 321 |STR_TIME: 0.3364698886871338
> STR_ID: 2j1g |STR_LEN: 2135 |STR_TIME: 2.5611817836761475
> STR_ID: 2j1k |STR_LEN: 5504 |STR_TIME: 6.734158039093018
> STR_ID: 2j1l |STR_LEN: 167 |STR_TIME: 0.3427848815917969
> STR_ID: 2j1m |STR_LEN: 1876 |STR_TIME: 1.934290885925293
> STR_ID: 2j1n |STR_LEN: 1620 |STR_TIME: 2.0046119689941406
> STR_ID: 2j1o |STR_LEN: 343 |STR_TIME: 0.5853629112243652
> STR_ID: 2j1p |STR_LEN: 748 |STR_TIME: 1.0366721153259277
> STR_ID: 2j1q |STR_LEN: 506 |STR_TIME: 0.6588799953460693
> STR_ID: 2j1r |STR_LEN: 776 |STR_TIME: 1.1292932033538818
> STR_ID: 2j1s |STR_LEN: 766 |STR_TIME: 1.1652657985687256
> STR_ID: 2j1t |STR_LEN: 726 |STR_TIME: 1.1350579261779785
> STR_ID: 2j1u |STR_LEN: 689 |STR_TIME: 0.6457374095916748
> STR_ID: 2j1v |STR_LEN: 908 |STR_TIME: 1.2606661319732666
> STR_ID: 2j1w |STR_LEN: 783 |STR_TIME: 0.8426849842071533
> STR_ID: 2j1x |STR_LEN: 786 |STR_TIME: 0.8471481800079346
> STR_ID: 2j1y |STR_LEN: 1530 |STR_TIME: 1.626452922821045
> STR_ID: 2j1z |STR_LEN: 781 |STR_TIME: 0.8531448841094971
> STR_ID: 3j15 |STR_LEN: 954 |STR_TIME: 1.790736198425293
> STR_ID: 3j16 |STR_LEN: 2541 |STR_TIME: 6.135457992553711
> STR_ID: 3j17 |STR_LEN: 4053 |STR_TIME: 7.230530023574829
> STR_ID: 3j1a |STR_LEN: 898 |STR_TIME: 0.4094109535217285
> STR_ID: 3j1b |STR_LEN: 8304 |STR_TIME: 13.810433864593506
> STR_ID: 3j1c |STR_LEN: 9342 |STR_TIME: 15.430183172225952
> STR_ID: 3j1e |STR_LEN: 9090 |STR_TIME: 15.341660976409912
> STR_ID: 3j1f |STR_LEN: 9126 |STR_TIME: 15.799417972564697
> STR_ID: 3j1n |STR_LEN: 3894 |STR_TIME: 5.598874092102051
> STR_ID: 3j1o |STR_LEN: 1120 |STR_TIME: 2.5822219848632812
> STR_ID: 3j1p |STR_LEN: 1575 |STR_TIME: 2.568342924118042
> STR_ID: 3j1q |STR_LEN: 517 |STR_TIME: 1.1207256317138672
> STR_ID: 3j1r |STR_LEN: 546 |STR_TIME: 0.8578009605407715
> STR_ID: 3j1s |STR_LEN: 951 |STR_TIME: 1.6949760913848877
> STR_ID: 3j1t |STR_LEN: 1030 |STR_TIME: 1.8002266883850098
> STR_ID: 3j1u |STR_LEN: 1030 |STR_TIME: 1.7985949516296387
> STR_ID: 3j1v |STR_LEN: 2085 |STR_TIME: 3.558953285217285
> STR_ID: 3j1w |STR_LEN: 2544 |STR_TIME: 4.2638678550720215
> STR_ID: 3j1x |STR_LEN: 4584 |STR_TIME: 8.173838138580322
> STR_ID: 3j1z |STR_LEN: 592 |STR_TIME: 1.0359289646148682
> STR_ID: 4j10 |STR_LEN: 322 |STR_TIME: 0.6348631381988525
> STR_ID: 4j11 |STR_LEN: 834 |STR_TIME: 1.2734451293945312
> STR_ID: 4j12 |STR_LEN: 376 |STR_TIME: 0.4844989776611328
> STR_ID: 4j14 |STR_LEN: 521 |STR_TIME: 1.5059618949890137
> STR_ID: 4j15 |STR_LEN: 1223 |STR_TIME: 1.7815728187561035
> STR_ID: 4j16 |STR_LEN: 1046 |STR_TIME: 2.8350467681884766
> STR_ID: 4j17 |STR_LEN: 626 |STR_TIME: 1.4080467224121094
> STR_ID: 4j18 |STR_LEN: 794 |STR_TIME: 0.9429340362548828
> STR_ID: 4j19 |STR_LEN: 258 |STR_TIME: 0.5210058689117432
> STR_ID: 4j1a |STR_LEN: 279 |STR_TIME: 0.3179008960723877
> STR_ID: 4j1b |STR_LEN: 262 |STR_TIME: 0.3794212341308594
> STR_ID: 4j1c |STR_LEN: 628 |STR_TIME: 1.378255844116211
> STR_ID: 4j1e |STR_LEN: 743 |STR_TIME: 1.4328770637512207
> STR_ID: 4j1f |STR_LEN: 474 |STR_TIME: 1.3122589588165283
> STR_ID: 4j1g |STR_LEN: 1017 |STR_TIME: 1.790477991104126
> STR_ID: 4j1h |STR_LEN: 502 |STR_TIME: 1.2847301959991455
> STR_ID: 4j1i |STR_LEN: 558 |STR_TIME: 1.3306100368499756
> STR_ID: 4j1j |STR_LEN: 1030 |STR_TIME: 1.742311954498291
> STR_ID: 4j1k |STR_LEN: 514 |STR_TIME: 1.3104119300842285
> STR_ID: 4j1l |STR_LEN: 530 |STR_TIME: 0.7710871696472168
> STR_ID: 4j1m |STR_LEN: 244 |STR_TIME: 0.48911404609680176
> STR_ID: 4j1n |STR_LEN: 584 |STR_TIME: 0.9416201114654541
> STR_ID: 4j1o |STR_LEN: 1446 |STR_TIME: 2.5822951793670654
> STR_ID: 4j1p |STR_LEN: 370 |STR_TIME: 0.5674519538879395
> STR_ID: 4j1q |STR_LEN: 418 |STR_TIME: 1.3553829193115234
> STR_ID: 4j1r |STR_LEN: 1489 |STR_TIME: 2.4685540199279785
> STR_ID: 4j1s |STR_LEN: 417 |STR_TIME: 1.342562198638916
> STR_ID: 4j1t |STR_LEN: 2075 |STR_TIME: 5.620044946670532
> STR_ID: 4j1u |STR_LEN: 1340 |STR_TIME: 3.8614490032196045
> STR_ID: 4j1v |STR_LEN: 768 |STR_TIME: 0.8316588401794434
> STR_ID: 4j1w |STR_LEN: 633 |STR_TIME: 0.9860391616821289
> STR_ID: 4j1x |STR_LEN: 621 |STR_TIME: 1.0252013206481934
> STR_ID: 4j1y |STR_LEN: 782 |STR_TIME: 2.2872447967529297
> STR_ID: 4j1z |STR_LEN: 678 |STR_TIME: 0.8561558723449707
> STR_ID: 5j10 |STR_LEN: 291 |STR_TIME: 0.6419970989227295
> STR_ID: 5j11 |STR_LEN: 532 |STR_TIME: 3.1637661457061768
> STR_ID: 5j12 |STR_LEN: 521 |STR_TIME: 1.68180513381958
> STR_ID: 5j13 |STR_LEN: 642 |STR_TIME: 1.7667021751403809
> STR_ID: 5j14 |STR_LEN: 1600 |STR_TIME: 1.8447010517120361
> STR_ID: 5j16 |STR_LEN: 1210 |STR_TIME: 1.8292338848114014
> STR_ID: 5j17 |STR_LEN: 80 |STR_TIME: 2.52453875541687
> STR_ID: 5j18 |STR_LEN: 83 |STR_TIME: 2.8217668533325195
> STR_ID: 5j19 |STR_LEN: 577 |STR_TIME: 1.6041290760040283
> STR_ID: 5j1a |STR_LEN: 619 |STR_TIME: 1.3117389678955078
> STR_ID: 5j1b |STR_LEN: 439 |STR_TIME: 1.4056329727172852
> STR_ID: 5j1d |STR_LEN: 803 |STR_TIME: 0.8218510150909424
> STR_ID: 5j1e |STR_LEN: 1893 |STR_TIME: 6.2618091106414795
> STR_ID: 5j1f |STR_LEN: 376 |STR_TIME: 1.8137719631195068
> STR_ID: 5j1g |STR_LEN: 809 |STR_TIME: 2.4839799404144287
> STR_ID: 5j1h |STR_LEN: 358 |STR_TIME: 1.16599702835083
> STR_ID: 5j1i |STR_LEN: 692 |STR_TIME: 2.1484971046447754
> STR_ID: 5j1j |STR_LEN: 1102 |STR_TIME: 1.822066068649292
> STR_ID: 5j1k |STR_LEN: 281 |STR_TIME: 0.41350722312927246
> STR_ID: 5j1l |STR_LEN: 841 |STR_TIME: 1.3642692565917969
> STR_ID: 5j1m |STR_LEN: 820 |STR_TIME: 1.2838010787963867
> STR_ID: 5j1n |STR_LEN: 387 |STR_TIME: 0.7678542137145996
> STR_ID: 5j1o |STR_LEN: 43 |STR_TIME: 2.5974950790405273
> STR_ID: 5j1p |STR_LEN: 185 |STR_TIME: 0.6344151496887207
> STR_ID: 5j1q |STR_LEN: 506 |STR_TIME: 1.1354279518127441
> STR_ID: 5j1r |STR_LEN: 234 |STR_TIME: 0.40497303009033203
> STR_ID: 5j1s |STR_LEN: 1206 |STR_TIME: 2.4090418815612793
> STR_ID: 5j1t |STR_LEN: 1269 |STR_TIME: 2.4569828510284424
> STR_ID: 5j1u |STR_LEN: 229 |STR_TIME: 0.37046194076538086
> STR_ID: 5j1v |STR_LEN: 1089 |STR_TIME: 3.230455160140991
> STR_ID: 5j1w |STR_LEN: 1120 |STR_TIME: 3.355379343032837
> STR_ID: 5j1x |STR_LEN: 1056 |STR_TIME: 2.1124348640441895
> STR_ID: 5j1y |STR_LEN: 237 |STR_TIME: 0.4224269390106201
> STR_ID: 5j1z |STR_LEN: 239 |STR_TIME: 0.5416262149810791
>> FINISH_DIR: ./data/j/j1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 311 |DIR_TIME: 326.53565311431885 

>> START_DIR: ./data/j/j2/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1j20 |STR_LEN: 2418 |STR_TIME: 2.9830548763275146
> STR_ID: 1j21 |STR_LEN: 1995 |STR_TIME: 2.906280994415283
> STR_ID: 1j22 |STR_LEN: 236 |STR_TIME: 0.29744505882263184
> STR_ID: 1j23 |STR_LEN: 237 |STR_TIME: 0.2876439094543457
> STR_ID: 1j24 |STR_LEN: 228 |STR_TIME: 0.2993640899658203
> STR_ID: 1j25 |STR_LEN: 218 |STR_TIME: 0.29375386238098145
> STR_ID: 1j26 |STR_LEN: 112 |STR_TIME: 6.665168285369873
> STR_ID: 1j27 |STR_LEN: 227 |STR_TIME: 0.25526881217956543
> STR_ID: 1j2a |STR_LEN: 247 |STR_TIME: 0.32730698585510254
> STR_ID: 1j2b |STR_LEN: 1347 |STR_TIME: 2.758615016937256
> STR_ID: 1j2c |STR_LEN: 292 |STR_TIME: 0.4581601619720459
> STR_ID: 1j2e |STR_LEN: 1741 |STR_TIME: 2.759208917617798
> STR_ID: 1j2f |STR_LEN: 617 |STR_TIME: 0.8584010601043701
> STR_ID: 1j2g |STR_LEN: 1641 |STR_TIME: 2.3001651763916016
> STR_ID: 1j2j |STR_LEN: 488 |STR_TIME: 0.4794471263885498
> STR_ID: 1j2l |STR_LEN: 222 |STR_TIME: 0.1922149658203125
> STR_ID: 1j2m |STR_LEN: 99 |STR_TIME: 0.3464651107788086
> STR_ID: 1j2n |STR_LEN: 99 |STR_TIME: 0.35373711585998535
> STR_ID: 1j2o |STR_LEN: 116 |STR_TIME: 6.934934139251709
