>> START_DIR: ./data/s/s0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1s00 |STR_LEN: 1831 |STR_TIME: 3.7484123706817627
> STR_ID: 1s1k |STR_LEN: 53 |STR_TIME: 0.14240264892578125
> STR_ID: 1s1l |STR_LEN: 82 |STR_TIME: 0.16693878173828125
> STR_ID: 1s1m |STR_LEN: 1645 |STR_TIME: 2.3053739070892334
> STR_ID: 1s1n |STR_LEN: 60 |STR_TIME: 3.7312581539154053
> STR_ID: 1s1o |STR_LEN: 32 |STR_TIME: 0.7133429050445557
> STR_ID: 1s1p |STR_LEN: 750 |STR_TIME: 1.3633067607879639
> STR_ID: 1s1q |STR_LEN: 788 |STR_TIME: 1.00813889503479
> STR_ID: 1s1r |STR_LEN: 613 |STR_TIME: 0.8452529907226562
> STR_ID: 1s1s |STR_LEN: 531 |STR_TIME: 0.6318848133087158
> STR_ID: 1s1t |STR_LEN: 1137 |STR_TIME: 2.0030417442321777
> STR_ID: 1s1u |STR_LEN: 927 |STR_TIME: 1.9213111400604248
> STR_ID: 1s1v |STR_LEN: 1006 |STR_TIME: 2.04453182220459
> STR_ID: 1s1w |STR_LEN: 996 |STR_TIME: 1.9374818801879883
> STR_ID: 1s1x |STR_LEN: 965 |STR_TIME: 1.9762837886810303
> STR_ID: 1s1y |STR_LEN: 237 |STR_TIME: 0.3963956832885742
> STR_ID: 1s1z |STR_LEN: 232 |STR_TIME: 0.3578469753265381
> STR_ID: 3s11 |STR_LEN: 1627 |STR_TIME: 3.005571126937866
> STR_ID: 3s12 |STR_LEN: 497 |STR_TIME: 1.0050172805786133
> STR_ID: 3s13 |STR_LEN: 340 |STR_TIME: 0.7099931240081787
> STR_ID: 3s14 |STR_LEN: 3589 |STR_TIME: 13.462129831314087
> STR_ID: 3s15 |STR_LEN: 3591 |STR_TIME: 13.730798721313477
> STR_ID: 3s16 |STR_LEN: 3591 |STR_TIME: 13.632869005203247
> STR_ID: 3s17 |STR_LEN: 3592 |STR_TIME: 13.676437854766846
> STR_ID: 3s18 |STR_LEN: 596 |STR_TIME: 1.7445507049560547
> STR_ID: 3s19 |STR_LEN: 2240 |STR_TIME: 4.845253229141235
> STR_ID: 3s1a |STR_LEN: 3082 |STR_TIME: 5.940282106399536
> STR_ID: 3s1b |STR_LEN: 130 |STR_TIME: 0.5725100040435791
> STR_ID: 3s1c |STR_LEN: 850 |STR_TIME: 1.2208523750305176
> STR_ID: 3s1d |STR_LEN: 901 |STR_TIME: 1.1918931007385254
> STR_ID: 3s1e |STR_LEN: 820 |STR_TIME: 1.1774251461029053
> STR_ID: 3s1f |STR_LEN: 820 |STR_TIME: 1.1645660400390625
> STR_ID: 3s1g |STR_LEN: 611 |STR_TIME: 0.8275752067565918
> STR_ID: 3s1h |STR_LEN: 455 |STR_TIME: 0.7642381191253662
> STR_ID: 3s1i |STR_LEN: 587 |STR_TIME: 0.8778109550476074
> STR_ID: 3s1j |STR_LEN: 660 |STR_TIME: 0.8994863033294678
> STR_ID: 3s1k |STR_LEN: 329 |STR_TIME: 1.0935730934143066
> STR_ID: 3s1l |STR_LEN: 2273 |STR_TIME: 2.7182130813598633
> STR_ID: 3s1m |STR_LEN: 3583 |STR_TIME: 13.352707862854004
> STR_ID: 3s1n |STR_LEN: 3583 |STR_TIME: 13.389652967453003
> STR_ID: 3s1q |STR_LEN: 3590 |STR_TIME: 13.42648696899414
> STR_ID: 3s1r |STR_LEN: 3584 |STR_TIME: 13.533605813980103
> STR_ID: 3s1s |STR_LEN: 1246 |STR_TIME: 3.502426862716675
> STR_ID: 3s1t |STR_LEN: 553 |STR_TIME: 1.3254730701446533
> STR_ID: 3s1u |STR_LEN: 1750 |STR_TIME: 4.066652059555054
> STR_ID: 3s1v |STR_LEN: 2006 |STR_TIME: 4.162777900695801
> STR_ID: 3s1w |STR_LEN: 1902 |STR_TIME: 4.176032066345215
> STR_ID: 3s1x |STR_LEN: 2330 |STR_TIME: 4.416738748550415
> STR_ID: 3s1y |STR_LEN: 790 |STR_TIME: 1.562248945236206
> STR_ID: 3s1z |STR_LEN: 1096 |STR_TIME: 2.5372769832611084
> STR_ID: 4s10 |STR_LEN: 562 |STR_TIME: 1.6119649410247803
> STR_ID: 4s11 |STR_LEN: 186 |STR_TIME: 0.4893219470977783
> STR_ID: 4s12 |STR_LEN: 1859 |STR_TIME: 3.405703067779541
> STR_ID: 4s13 |STR_LEN: 5069 |STR_TIME: 14.24942421913147
> STR_ID: 4s14 |STR_LEN: 255 |STR_TIME: 1.001235008239746
> STR_ID: 4s15 |STR_LEN: 826 |STR_TIME: 2.4662668704986572
> STR_ID: 4s17 |STR_LEN: 3119 |STR_TIME: 13.005269050598145
> STR_ID: 4s18 |STR_LEN: 310 |STR_TIME: 0.5941660404205322
> STR_ID: 4s1a |STR_LEN: 841 |STR_TIME: 1.6283440589904785
> STR_ID: 4s1b |STR_LEN: 648 |STR_TIME: 0.9997639656066895
> STR_ID: 4s1c |STR_LEN: 606 |STR_TIME: 0.9606273174285889
> STR_ID: 4s1d |STR_LEN: 2043 |STR_TIME: 6.320986986160278
> STR_ID: 4s1e |STR_LEN: 451 |STR_TIME: 0.7534646987915039
> STR_ID: 4s1f |STR_LEN: 5150 |STR_TIME: 8.6182861328125
> STR_ID: 4s1g |STR_LEN: 975 |STR_TIME: 1.439194917678833
> STR_ID: 4s1h |STR_LEN: 877 |STR_TIME: 2.1470179557800293
> STR_ID: 4s1i |STR_LEN: 820 |STR_TIME: 2.0648458003997803
> STR_ID: 4s1j |STR_LEN: 441 |STR_TIME: 0.6649148464202881
> STR_ID: 4s1k |STR_LEN: 384 |STR_TIME: 0.5609478950500488
> STR_ID: 4s1l |STR_LEN: 412 |STR_TIME: 1.1852810382843018
> STR_ID: 4s1m |STR_LEN: 812 |STR_TIME: 2.0351507663726807
> STR_ID: 4s1n |STR_LEN: 187 |STR_TIME: 0.6904635429382324
> STR_ID: 4s1o |STR_LEN: 590 |STR_TIME: 0.8045601844787598
> STR_ID: 4s1p |STR_LEN: 385 |STR_TIME: 0.7794570922851562
> STR_ID: 4s1q |STR_LEN: 918 |STR_TIME: 4.02070689201355
> STR_ID: 4s1r |STR_LEN: 791 |STR_TIME: 2.867098093032837
> STR_ID: 4s1s |STR_LEN: 789 |STR_TIME: 2.8153860569000244
> STR_ID: 4s1t |STR_LEN: 2577 |STR_TIME: 4.195934772491455
> STR_ID: 4s1v |STR_LEN: 1711 |STR_TIME: 2.57045578956604
> STR_ID: 4s1w |STR_LEN: 1223 |STR_TIME: 2.5431339740753174
> STR_ID: 4s1x |STR_LEN: 249 |STR_TIME: 0.8085250854492188
> STR_ID: 4s1y |STR_LEN: 559 |STR_TIME: 1.1717472076416016
> STR_ID: 4s1z |STR_LEN: 503 |STR_TIME: 0.9521868228912354
>> FINISH_DIR: ./data/s/s1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 187 |DIR_TIME: 291.54341888427734 

>> START_DIR: ./data/s/s2/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1s20 |STR_LEN: 4085 |STR_TIME: 5.622917890548706
> STR_ID: 1s21 |STR_LEN: 310 |STR_TIME: 0.40319108963012695
> STR_ID: 1s22 |STR_LEN: 745 |STR_TIME: 0.8922669887542725
> STR_ID: 1s23 |STR_LEN: 57 |STR_TIME: 0.12235808372497559
> STR_ID: 1s24 |STR_LEN: 57 |STR_TIME: 3.947277784347534
> STR_ID: 1s26 |STR_LEN: 1894 |STR_TIME: 3.756577968597412
> STR_ID: 1s28 |STR_LEN: 524 |STR_TIME: 1.0676758289337158
> STR_ID: 1s29 |STR_LEN: 192 |STR_TIME: 0.254472017288208
> STR_ID: 1s2a |STR_LEN: 680 |STR_TIME: 0.8694238662719727
> STR_ID: 1s2b |STR_LEN: 366 |STR_TIME: 0.43822288513183594
> STR_ID: 1s2c |STR_LEN: 554 |STR_TIME: 0.7693319320678711
> STR_ID: 1s2d |STR_LEN: 783 |STR_TIME: 1.092362880706787
> STR_ID: 1s2e |STR_LEN: 870 |STR_TIME: 1.1572339534759521
> STR_ID: 1s2f |STR_LEN: 23 |STR_TIME: 0.22303271293640137
> STR_ID: 1s2g |STR_LEN: 774 |STR_TIME: 1.0901460647583008
> STR_ID: 1s2h |STR_LEN: 205 |STR_TIME: 0.8587992191314697
> STR_ID: 1s2i |STR_LEN: 686 |STR_TIME: 1.051084041595459
> STR_ID: 1s2j |STR_LEN: 453 |STR_TIME: 0.7313930988311768
> STR_ID: 1s2k |STR_LEN: 324 |STR_TIME: 0.4399590492248535
> STR_ID: 1s2l |STR_LEN: 876 |STR_TIME: 1.0302369594573975
> STR_ID: 1s2m |STR_LEN: 630 |STR_TIME: 0.8345978260040283
> STR_ID: 1s2n |STR_LEN: 940 |STR_TIME: 1.2217390537261963
> STR_ID: 1s2o |STR_LEN: 593 |STR_TIME: 0.664531946182251
> STR_ID: 1s2p |STR_LEN: 831 |STR_TIME: 1.569678783416748
> STR_ID: 1s2q |STR_LEN: 1499 |STR_TIME: 2.114342212677002
> STR_ID: 1s2r |STR_LEN: 200 |STR_TIME: 0.22867894172668457
> STR_ID: 1s2t |STR_LEN: 1221 |STR_TIME: 1.3058369159698486
> STR_ID: 1s2u |STR_LEN: 1149 |STR_TIME: 1.3659918308258057
> STR_ID: 1s2v |STR_LEN: 2072 |STR_TIME: 2.4530649185180664
> STR_ID: 1s2w |STR_LEN: 529 |STR_TIME: 0.6120049953460693
> STR_ID: 1s2x |STR_LEN: 272 |STR_TIME: 0.42332983016967773
> STR_ID: 1s2y |STR_LEN: 1480 |STR_TIME: 2.2469191551208496
> STR_ID: 1s2z |STR_LEN: 432 |STR_TIME: 0.47606897354125977
> STR_ID: 3s20 |STR_LEN: 1141 |STR_TIME: 2.495958089828491
> STR_ID: 3s21 |STR_LEN: 558 |STR_TIME: 1.391357183456421
> STR_ID: 3s22 |STR_LEN: 749 |STR_TIME: 1.4515769481658936
> STR_ID: 3s23 |STR_LEN: 474 |STR_TIME: 1.1516633033752441
> STR_ID: 3s24 |STR_LEN: 2282 |STR_TIME: 4.125111818313599
> STR_ID: 3s25 |STR_LEN: 468 |STR_TIME: 1.1128149032592773
> STR_ID: 3s26 |STR_LEN: 262 |STR_TIME: 0.6646928787231445
> STR_ID: 3s27 |STR_LEN: 6895 |STR_TIME: 12.225384950637817
> STR_ID: 3s28 |STR_LEN: 6752 |STR_TIME: 12.229214191436768
> STR_ID: 3s29 |STR_LEN: 6839 |STR_TIME: 12.1286940574646
> STR_ID: 3s2a |STR_LEN: 867 |STR_TIME: 2.997141122817993
> STR_ID: 3s2c |STR_LEN: 6227 |STR_TIME: 10.575337171554565
> STR_ID: 3s2d |STR_LEN: 3588 |STR_TIME: 12.43677282333374
> STR_ID: 3s2e |STR_LEN: 5141 |STR_TIME: 5.421319961547852
> STR_ID: 3s2f |STR_LEN: 4987 |STR_TIME: 5.343977928161621
> STR_ID: 3s2g |STR_LEN: 4155 |STR_TIME: 5.163301229476929
> STR_ID: 3s2h |STR_LEN: 3588 |STR_TIME: 12.459103107452393
> STR_ID: 3s2i |STR_LEN: 4253 |STR_TIME: 5.130886077880859
> STR_ID: 3s2j |STR_LEN: 945 |STR_TIME: 1.4672489166259766
> STR_ID: 3s2k |STR_LEN: 1372 |STR_TIME: 4.469037055969238
> STR_ID: 3s2l |STR_LEN: 985 |STR_TIME: 1.4803190231323242
> STR_ID: 3s2m |STR_LEN: 967 |STR_TIME: 1.458806037902832
> STR_ID: 3s2n |STR_LEN: 1037 |STR_TIME: 1.4996299743652344
> STR_ID: 3s2o |STR_LEN: 450 |STR_TIME: 1.3039259910583496
> STR_ID: 3s2p |STR_LEN: 320 |STR_TIME: 0.5409018993377686
> STR_ID: 3s2q |STR_LEN: 240 |STR_TIME: 0.5308630466461182
> STR_ID: 3s2r |STR_LEN: 294 |STR_TIME: 0.5841469764709473
> STR_ID: 3s2s |STR_LEN: 1323 |STR_TIME: 2.726454019546509
> STR_ID: 3s2u |STR_LEN: 447 |STR_TIME: 1.119868278503418
> STR_ID: 3s2v |STR_LEN: 849 |STR_TIME: 1.0595951080322266
> STR_ID: 3s2w |STR_LEN: 1216 |STR_TIME: 3.8108911514282227
> STR_ID: 3s2x |STR_LEN: 283 |STR_TIME: 0.5354633331298828
> STR_ID: 3s2y |STR_LEN: 1065 |STR_TIME: 1.401442050933838
> STR_ID: 3s2z |STR_LEN: 951 |STR_TIME: 1.9242210388183594
> STR_ID: 4s20 |STR_LEN: 7695 |STR_TIME: 26.274092197418213
> STR_ID: 4s21 |STR_LEN: 931 |STR_TIME: 3.1046128273010254
> STR_ID: 4s22 |STR_LEN: 348 |STR_TIME: 1.0184948444366455
> STR_ID: 4s23 |STR_LEN: 3032 |STR_TIME: 3.2600722312927246
> STR_ID: 4s24 |STR_LEN: 372 |STR_TIME: 0.7997927665710449
> STR_ID: 4s25 |STR_LEN: 1039 |STR_TIME: 1.330122709274292
> STR_ID: 4s26 |STR_LEN: 1585 |STR_TIME: 2.0928781032562256
> STR_ID: 4s27 |STR_LEN: 1024 |STR_TIME: 2.1075148582458496
> STR_ID: 4s28 |STR_LEN: 1076 |STR_TIME: 2.1664459705352783
> STR_ID: 4s29 |STR_LEN: 1012 |STR_TIME: 1.9855172634124756
> STR_ID: 4s2a |STR_LEN: 596 |STR_TIME: 1.0559039115905762
> STR_ID: 4s2b |STR_LEN: 1212 |STR_TIME: 2.3404440879821777
> STR_ID: 4s2c |STR_LEN: 936 |STR_TIME: 2.233441114425659
> STR_ID: 4s2d |STR_LEN: 343 |STR_TIME: 0.8749377727508545
> STR_ID: 4s2e |STR_LEN: 439 |STR_TIME: 0.7312049865722656
> STR_ID: 4s2f |STR_LEN: 337 |STR_TIME: 0.8063199520111084
> STR_ID: 4s2g |STR_LEN: 339 |STR_TIME: 0.8085677623748779
> STR_ID: 4s2h |STR_LEN: 361 |STR_TIME: 0.8278820514678955
> STR_ID: 4s2i |STR_LEN: 1065 |STR_TIME: 1.7987091541290283
> STR_ID: 4s2j |STR_LEN: 1155 |STR_TIME: 1.9212191104888916
> STR_ID: 4s2k |STR_LEN: 1515 |STR_TIME: 3.4338228702545166
> STR_ID: 4s2l |STR_LEN: 1167 |STR_TIME: 1.1027629375457764
> STR_ID: 4s2m |STR_LEN: 1023 |STR_TIME: 3.189877986907959
> STR_ID: 4s2n |STR_LEN: 1358 |STR_TIME: 1.9433908462524414
> STR_ID: 4s2o |STR_LEN: 935 |STR_TIME: 1.8723511695861816
> STR_ID: 4s2p |STR_LEN: 825 |STR_TIME: 1.0300040245056152
> STR_ID: 4s2q |STR_LEN: 110 |STR_TIME: 0.5862917900085449
> STR_ID: 4s2r |STR_LEN: 1827 |STR_TIME: 4.404826879501343
> STR_ID: 4s2s |STR_LEN: 1662 |STR_TIME: 1.7533361911773682
> STR_ID: 4s2t |STR_LEN: 1598 |STR_TIME: 2.4211857318878174
> STR_ID: 4s2u |STR_LEN: 320 |STR_TIME: 0.5885968208312988
> STR_ID: 4s2v |STR_LEN: 280 |STR_TIME: 0.6007533073425293
> STR_ID: 4s2w |STR_LEN: 254 |STR_TIME: 0.6066188812255859
> STR_ID: 4s2x |STR_LEN: 274 |STR_TIME: 0.6756086349487305
> STR_ID: 4s2y |STR_LEN: 281 |STR_TIME: 0.6604030132293701
> STR_ID: 4s2z |STR_LEN: 670 |STR_TIME: 0.7525448799133301
>> FINISH_DIR: ./data/s/s2/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 290 |DIR_TIME: 260.1406419277191 

>> START_DIR: ./data/s/s3/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1s30 |STR_LEN: 378 |STR_TIME: 0.4465610980987549
> STR_ID: 1s31 |STR_LEN: 364 |STR_TIME: 0.5585250854492188
> STR_ID: 1s32 |STR_LEN: 2000 |STR_TIME: 3.4018261432647705
> STR_ID: 1s34 |STR_LEN: 23 |STR_TIME: 2.212510108947754
> STR_ID: 1s35 |STR_LEN: 395 |STR_TIME: 0.45792698860168457
> STR_ID: 1s36 |STR_LEN: 334 |STR_TIME: 0.45228004455566406
> STR_ID: 1s37 |STR_LEN: 22 |STR_TIME: 0.2553861141204834
> STR_ID: 1s38 |STR_LEN: 710 |STR_TIME: 0.7994570732116699
> STR_ID: 1s39 |STR_LEN: 543 |STR_TIME: 0.7684271335601807
> STR_ID: 1s3a |STR_LEN: 85 |STR_TIME: 5.3959736824035645
> STR_ID: 1s3b |STR_LEN: 1816 |STR_TIME: 2.123450994491577
> STR_ID: 1s3c |STR_LEN: 420 |STR_TIME: 0.6526141166687012
> STR_ID: 1s3d |STR_LEN: 482 |STR_TIME: 0.7005958557128906
> STR_ID: 1s3e |STR_LEN: 1788 |STR_TIME: 2.15785813331604
> STR_ID: 1s3f |STR_LEN: 664 |STR_TIME: 0.9690639972686768
> STR_ID: 1s3g |STR_LEN: 328 |STR_TIME: 0.4718801975250244
> STR_ID: 1s3h |STR_LEN: 474 |STR_TIME: 0.8582620620727539
> STR_ID: 1s3i |STR_LEN: 365 |STR_TIME: 0.604254961013794
> STR_ID: 1s3j |STR_LEN: 410 |STR_TIME: 0.5975098609924316
> STR_ID: 1s3k |STR_LEN: 779 |STR_TIME: 0.877763032913208
> STR_ID: 1s3l |STR_LEN: 378 |STR_TIME: 0.7077889442443848
> STR_ID: 1s3m |STR_LEN: 403 |STR_TIME: 0.6718688011169434
> STR_ID: 1s3n |STR_LEN: 394 |STR_TIME: 0.658768892288208
> STR_ID: 1s3o |STR_LEN: 232 |STR_TIME: 0.4317638874053955
> STR_ID: 1s3p |STR_LEN: 241 |STR_TIME: 0.26625990867614746
> STR_ID: 1s3q |STR_LEN: 2837 |STR_TIME: 3.996896982192993
> STR_ID: 1s3r |STR_LEN: 1401 |STR_TIME: 1.8737430572509766
> STR_ID: 1s3s |STR_LEN: 2940 |STR_TIME: 5.2050158977508545
> STR_ID: 1s3t |STR_LEN: 1202 |STR_TIME: 1.5478227138519287
> STR_ID: 1s3u |STR_LEN: 241 |STR_TIME: 0.40708088874816895
> STR_ID: 1s3v |STR_LEN: 301 |STR_TIME: 0.42894983291625977
> STR_ID: 1s3w |STR_LEN: 270 |STR_TIME: 0.43210601806640625
> STR_ID: 1s3x |STR_LEN: 794 |STR_TIME: 0.8974471092224121
> STR_ID: 1s3y |STR_LEN: 231 |STR_TIME: 0.44269490242004395
> STR_ID: 1s3z |STR_LEN: 516 |STR_TIME: 0.6649291515350342
> STR_ID: 3s30 |STR_LEN: 680 |STR_TIME: 1.7788610458374023
> STR_ID: 3s32 |STR_LEN: 169 |STR_TIME: 0.579042911529541
