>> START_DIR: ./data/l/l0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1l00 |STR_LEN: 309 |STR_TIME: 0.36601710319519043
> STR_ID: 1l0v |STR_LEN: 2156 |STR_TIME: 3.9715940952301025
> STR_ID: 1l0w |STR_LEN: 1347 |STR_TIME: 2.1690449714660645
> STR_ID: 1l0x |STR_LEN: 1098 |STR_TIME: 1.6607060432434082
> STR_ID: 1l0y |STR_LEN: 1236 |STR_TIME: 1.7843151092529297
> STR_ID: 1l0z |STR_LEN: 578 |STR_TIME: 0.5672767162322998
> STR_ID: 2l00 |STR_LEN: 107 |STR_TIME: 3.448824882507324
> STR_ID: 2l01 |STR_LEN: 154 |STR_TIME: 10.27616810798645
> STR_ID: 2l02 |STR_LEN: 164 |STR_TIME: 10.689217567443848
> STR_ID: 2l03 |STR_LEN: 74 |STR_TIME: 4.649504899978638
> STR_ID: 2l04 |STR_LEN: 91 |STR_TIME: 5.2824790477752686
> STR_ID: 2l05 |STR_LEN: 86 |STR_TIME: 5.844137907028198
> STR_ID: 2l06 |STR_LEN: 155 |STR_TIME: 10.47122311592102
> STR_ID: 2l07 |STR_LEN: 18 |STR_TIME: 1.211794137954712
> STR_ID: 2l08 |STR_LEN: 97 |STR_TIME: 6.751467943191528
> STR_ID: 2l09 |STR_LEN: 62 |STR_TIME: 4.2099609375
> STR_ID: 2l0a |STR_LEN: 72 |STR_TIME: 4.648599863052368
> STR_ID: 2l0b |STR_LEN: 93 |STR_TIME: 5.7518792152404785
> STR_ID: 2l0c |STR_LEN: 97 |STR_TIME: 6.389806032180786
> STR_ID: 2l0d |STR_LEN: 114 |STR_TIME: 6.997420072555542
> STR_ID: 2l0e |STR_LEN: 33 |STR_TIME: 4.340784788131714
> STR_ID: 2l0f |STR_LEN: 121 |STR_TIME: 8.09013295173645
> STR_ID: 2l0g |STR_LEN: 32 |STR_TIME: 2.2045531272888184
> STR_ID: 2l0i |STR_LEN: 145 |STR_TIME: 4.911741018295288
> STR_ID: 2l0j |STR_LEN: 164 |STR_TIME: 4.500699043273926
> STR_ID: 2l0k |STR_LEN: 93 |STR_TIME: 6.166486740112305
> STR_ID: 2l0l |STR_LEN: 27 |STR_TIME: 1.7571208477020264
> STR_ID: 2l0m |STR_LEN: 27 |STR_TIME: 1.7436978816986084
> STR_ID: 2l0n |STR_LEN: 30 |STR_TIME: 2.192981004714966
> STR_ID: 2l0o |STR_LEN: 30 |STR_TIME: 2.265042781829834
> STR_ID: 2l0p |STR_LEN: 186 |STR_TIME: 11.761023998260498
> STR_ID: 2l0q |STR_LEN: 80 |STR_TIME: 5.090506076812744
> STR_ID: 2l0r |STR_LEN: 106 |STR_TIME: 10.970349073410034
> STR_ID: 2l0s |STR_LEN: 83 |STR_TIME: 5.2872819900512695
> STR_ID: 2l0t |STR_LEN: 239 |STR_TIME: 7.684107780456543
> STR_ID: 2l0w |STR_LEN: 135 |STR_TIME: 8.838665008544922
> STR_ID: 2l0x |STR_LEN: 171 |STR_TIME: 11.790940284729004
> STR_ID: 2l0y |STR_LEN: 81 |STR_TIME: 5.28720498085022
> STR_ID: 2l0z |STR_LEN: 44 |STR_TIME: 3.1080620288848877
> STR_ID: 3l00 |STR_LEN: 344 |STR_TIME: 0.6301517486572266
> STR_ID: 3l01 |STR_LEN: 971 |STR_TIME: 1.6088380813598633
> STR_ID: 3l02 |STR_LEN: 444 |STR_TIME: 0.6746289730072021
> STR_ID: 3l03 |STR_LEN: 635 |STR_TIME: 0.9926230907440186
> STR_ID: 3l04 |STR_LEN: 446 |STR_TIME: 0.7681028842926025
> STR_ID: 3l05 |STR_LEN: 395 |STR_TIME: 0.6564321517944336
> STR_ID: 3l06 |STR_LEN: 379 |STR_TIME: 0.6585662364959717
> STR_ID: 3l07 |STR_LEN: 1012 |STR_TIME: 1.1479151248931885
> STR_ID: 3l08 |STR_LEN: 888 |STR_TIME: 1.5927951335906982
> STR_ID: 3l09 |STR_LEN: 1049 |STR_TIME: 3.2357981204986572
> STR_ID: 3l0a |STR_LEN: 361 |STR_TIME: 0.5713257789611816
> STR_ID: 3l0b |STR_LEN: 458 |STR_TIME: 0.7355959415435791
> STR_ID: 3l0c |STR_LEN: 394 |STR_TIME: 0.7193989753723145
> STR_ID: 3l0d |STR_LEN: 763 |STR_TIME: 1.2083418369293213
> STR_ID: 3l0e |STR_LEN: 332 |STR_TIME: 0.5295310020446777
> STR_ID: 3l0f |STR_LEN: 910 |STR_TIME: 1.3707609176635742
> STR_ID: 3l0g |STR_LEN: 1954 |STR_TIME: 2.2338829040527344
> STR_ID: 3l0h |STR_LEN: 828 |STR_TIME: 1.6930530071258545
> STR_ID: 3l0i |STR_LEN: 1004 |STR_TIME: 1.7753562927246094
> STR_ID: 3l0j |STR_LEN: 421 |STR_TIME: 0.6146271228790283
> STR_ID: 3l0k |STR_LEN: 1115 |STR_TIME: 2.0262930393218994
> STR_ID: 3l0l |STR_LEN: 1247 |STR_TIME: 1.2083368301391602
> STR_ID: 3l0m |STR_LEN: 653 |STR_TIME: 1.156486988067627
> STR_ID: 3l0n |STR_LEN: 774 |STR_TIME: 1.0159533023834229
> STR_ID: 3l0o |STR_LEN: 884 |STR_TIME: 1.527644157409668
> STR_ID: 3l0p |STR_LEN: 232 |STR_TIME: 0.7604470252990723
> STR_ID: 3l0q |STR_LEN: 1986 |STR_TIME: 2.1465041637420654
> STR_ID: 3l0r |STR_LEN: 333 |STR_TIME: 0.7925698757171631
> STR_ID: 3l0s |STR_LEN: 752 |STR_TIME: 1.5078210830688477
> STR_ID: 3l0t |STR_LEN: 769 |STR_TIME: 1.0596818923950195
> STR_ID: 3l0u |STR_LEN: 85 |STR_TIME: 0.6712930202484131
> STR_ID: 3l0v |STR_LEN: 852 |STR_TIME: 1.0180630683898926
> STR_ID: 3l0w |STR_LEN: 329 |STR_TIME: 0.6098060607910156
> STR_ID: 3l0x |STR_LEN: 254 |STR_TIME: 0.4731869697570801
> STR_ID: 3l0y |STR_LEN: 520 |STR_TIME: 0.7420969009399414
> STR_ID: 3l0z |STR_LEN: 1044 |STR_TIME: 1.7175469398498535
> STR_ID: 4l00 |STR_LEN: 931 |STR_TIME: 1.9594659805297852
> STR_ID: 4l01 |STR_LEN: 769 |STR_TIME: 1.893768310546875
> STR_ID: 4l02 |STR_LEN: 1106 |STR_TIME: 1.9013831615447998
> STR_ID: 4l03 |STR_LEN: 1836 |STR_TIME: 3.6797378063201904
> STR_ID: 4l04 |STR_LEN: 2558 |STR_TIME: 8.001757860183716
> STR_ID: 4l05 |STR_LEN: 421 |STR_TIME: 0.9323270320892334
> STR_ID: 4l06 |STR_LEN: 2619 |STR_TIME: 7.886741876602173
> STR_ID: 4l07 |STR_LEN: 658 |STR_TIME: 0.8501889705657959
> STR_ID: 4l08 |STR_LEN: 1661 |STR_TIME: 2.6729509830474854
> STR_ID: 4l09 |STR_LEN: 676 |STR_TIME: 0.8882431983947754
> STR_ID: 4l0a |STR_LEN: 285 |STR_TIME: 0.3346421718597412
> STR_ID: 4l0b |STR_LEN: 777 |STR_TIME: 0.8824431896209717
> STR_ID: 4l0c |STR_LEN: 4144 |STR_TIME: 4.213500022888184
> STR_ID: 4l0d |STR_LEN: 996 |STR_TIME: 1.8419599533081055
> STR_ID: 4l0e |STR_LEN: 457 |STR_TIME: 1.4692490100860596
> STR_ID: 4l0f |STR_LEN: 871 |STR_TIME: 1.688110113143921
> STR_ID: 4l0g |STR_LEN: 828 |STR_TIME: 2.2503769397735596
> STR_ID: 4l0i |STR_LEN: 558 |STR_TIME: 0.8619439601898193
> STR_ID: 4l0j |STR_LEN: 328 |STR_TIME: 0.7988600730895996
> STR_ID: 4l0k |STR_LEN: 1193 |STR_TIME: 2.8313958644866943
> STR_ID: 4l0l |STR_LEN: 758 |STR_TIME: 0.9883811473846436
> STR_ID: 4l0m |STR_LEN: 352 |STR_TIME: 0.523608922958374
> STR_ID: 4l0n |STR_LEN: 1306 |STR_TIME: 2.1658172607421875
> STR_ID: 4l0o |STR_LEN: 2949 |STR_TIME: 5.077272891998291
> STR_ID: 4l0p |STR_LEN: 429 |STR_TIME: 1.154653787612915
> STR_ID: 4l0q |STR_LEN: 1153 |STR_TIME: 1.4914400577545166
> STR_ID: 4l0r |STR_LEN: 206 |STR_TIME: 0.33792781829833984
> STR_ID: 4l0s |STR_LEN: 735 |STR_TIME: 0.9064218997955322
> STR_ID: 4l0t |STR_LEN: 665 |STR_TIME: 0.8954529762268066
> STR_ID: 4l0u |STR_LEN: 1969 |STR_TIME: 5.735713958740234
> STR_ID: 4l0v |STR_LEN: 729 |STR_TIME: 0.9371120929718018
> STR_ID: 4l0w |STR_LEN: 249 |STR_TIME: 0.6455998420715332
> STR_ID: 4l0y |STR_LEN: 330 |STR_TIME: 0.6655969619750977
> STR_ID: 4l0z |STR_LEN: 307 |STR_TIME: 0.6906497478485107
> STR_ID: 5l00 |STR_LEN: 244 |STR_TIME: 0.44438815116882324
> STR_ID: 5l01 |STR_LEN: 426 |STR_TIME: 0.6709578037261963
> STR_ID: 5l02 |STR_LEN: 2750 |STR_TIME: 5.211715221405029
> STR_ID: 5l04 |STR_LEN: 682 |STR_TIME: 1.0350759029388428
> STR_ID: 5l05 |STR_LEN: 3313 |STR_TIME: 5.192889928817749
> STR_ID: 5l06 |STR_LEN: 24 |STR_TIME: 1.4134280681610107
> STR_ID: 5l07 |STR_LEN: 415 |STR_TIME: 1.1682829856872559
> STR_ID: 5l08 |STR_LEN: 1629 |STR_TIME: 2.9298388957977295
> STR_ID: 5l09 |STR_LEN: 478 |STR_TIME: 1.3343172073364258
> STR_ID: 5l0b |STR_LEN: 2176 |STR_TIME: 3.1093268394470215
> STR_ID: 5l0c |STR_LEN: 761 |STR_TIME: 1.2976629734039307
> STR_ID: 5l0d |STR_LEN: 874 |STR_TIME: 1.3537108898162842
> STR_ID: 5l0e |STR_LEN: 1674 |STR_TIME: 2.9915668964385986
> STR_ID: 5l0f |STR_LEN: 641 |STR_TIME: 0.7399606704711914
> STR_ID: 5l0g |STR_LEN: 733 |STR_TIME: 1.3254971504211426
> STR_ID: 5l0h |STR_LEN: 198 |STR_TIME: 0.37460994720458984
> STR_ID: 5l0i |STR_LEN: 243 |STR_TIME: 0.3814857006072998
> STR_ID: 5l0j |STR_LEN: 347 |STR_TIME: 0.594235897064209
> STR_ID: 5l0k |STR_LEN: 1688 |STR_TIME: 2.9284088611602783
> STR_ID: 5l0l |STR_LEN: 759 |STR_TIME: 1.6281569004058838
> STR_ID: 5l0m |STR_LEN: 173 |STR_TIME: 0.6670372486114502
> STR_ID: 5l0o |STR_LEN: 656 |STR_TIME: 1.2265939712524414
> STR_ID: 5l0p |STR_LEN: 431 |STR_TIME: 0.6289758682250977
> STR_ID: 5l0q |STR_LEN: 1602 |STR_TIME: 2.3336870670318604
> STR_ID: 5l0w |STR_LEN: 371 |STR_TIME: 0.6683089733123779
> STR_ID: 5l0y |STR_LEN: 1203 |STR_TIME: 2.001995086669922
>> FINISH_DIR: ./data/l/l0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 163 |DIR_TIME: 389.16154408454895 

>> START_DIR: ./data/l/l1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1l10 |STR_LEN: 283 |STR_TIME: 0.365405797958374
> STR_ID: 1l11 |STR_LEN: 283 |STR_TIME: 0.36160993576049805
> STR_ID: 1l12 |STR_LEN: 283 |STR_TIME: 0.3725860118865967
> STR_ID: 1l13 |STR_LEN: 282 |STR_TIME: 0.3643519878387451
> STR_ID: 1l14 |STR_LEN: 282 |STR_TIME: 0.3734719753265381
> STR_ID: 1l15 |STR_LEN: 283 |STR_TIME: 0.3563849925994873
> STR_ID: 1l16 |STR_LEN: 286 |STR_TIME: 0.35524511337280273
> STR_ID: 1l17 |STR_LEN: 316 |STR_TIME: 0.3741469383239746
> STR_ID: 1l18 |STR_LEN: 317 |STR_TIME: 0.39142394065856934
> STR_ID: 1l19 |STR_LEN: 315 |STR_TIME: 0.36682868003845215
> STR_ID: 1l1c |STR_LEN: 139 |STR_TIME: 0.6218388080596924
> STR_ID: 1l1d |STR_LEN: 418 |STR_TIME: 0.5890371799468994
> STR_ID: 1l1e |STR_LEN: 736 |STR_TIME: 1.066533088684082
> STR_ID: 1l1f |STR_LEN: 2976 |STR_TIME: 5.0589728355407715
> STR_ID: 1l1g |STR_LEN: 465 |STR_TIME: 0.5342910289764404
> STR_ID: 1l1h |STR_LEN: 175 |STR_TIME: 0.21449494361877441
> STR_ID: 1l1i |STR_LEN: 84 |STR_TIME: 4.3690571784973145
> STR_ID: 1l1j |STR_LEN: 510 |STR_TIME: 0.8425769805908203
> STR_ID: 1l1k |STR_LEN: 20 |STR_TIME: 0.6660101413726807
> STR_ID: 1l1l |STR_LEN: 5743 |STR_TIME: 5.8410680294036865
> STR_ID: 1l1m |STR_LEN: 170 |STR_TIME: 14.258336067199707
> STR_ID: 1l1n |STR_LEN: 493 |STR_TIME: 0.7065913677215576
> STR_ID: 1l1o |STR_LEN: 822 |STR_TIME: 1.5159051418304443
> STR_ID: 1l1p |STR_LEN: 106 |STR_TIME: 10.170521020889282
> STR_ID: 1l1q |STR_LEN: 274 |STR_TIME: 0.4212379455566406
> STR_ID: 1l1r |STR_LEN: 261 |STR_TIME: 0.3798251152038574
> STR_ID: 1l1s |STR_LEN: 130 |STR_TIME: 0.24875593185424805
> STR_ID: 1l1t |STR_LEN: 515 |STR_TIME: 0.6814248561859131
> STR_ID: 1l1v |STR_LEN: 20 |STR_TIME: 0.6154019832611084
> STR_ID: 1l1w |STR_LEN: 29 |STR_TIME: 0.22570085525512695
> STR_ID: 1l1y |STR_LEN: 5459 |STR_TIME: 7.322610855102539
> STR_ID: 1l1z |STR_LEN: 522 |STR_TIME: 0.6799569129943848
> STR_ID: 2l10 |STR_LEN: 158 |STR_TIME: 9.405681848526001
> STR_ID: 2l11 |STR_LEN: 69 |STR_TIME: 4.563951730728149
> STR_ID: 2l12 |STR_LEN: 71 |STR_TIME: 5.006757974624634
> STR_ID: 2l13 |STR_LEN: 13 |STR_TIME: 0.9610509872436523
> STR_ID: 2l14 |STR_LEN: 108 |STR_TIME: 6.957746982574463
> STR_ID: 2l15 |STR_LEN: 70 |STR_TIME: 2.1752312183380127
> STR_ID: 2l16 |STR_LEN: 52 |STR_TIME: 6.566016912460327
> STR_ID: 2l17 |STR_LEN: 131 |STR_TIME: 8.146958112716675
> STR_ID: 2l18 |STR_LEN: 131 |STR_TIME: 8.06085205078125
> STR_ID: 2l19 |STR_LEN: 131 |STR_TIME: 8.309206008911133
> STR_ID: 2l1a |STR_LEN: 107 |STR_TIME: 7.1179118156433105
> STR_ID: 2l1b |STR_LEN: 71 |STR_TIME: 4.942876815795898
> STR_ID: 2l1c |STR_LEN: 218 |STR_TIME: 10.792557001113892
> STR_ID: 2l1d |STR_LEN: 114 |STR_TIME: 7.502630233764648
> STR_ID: 2l1e |STR_LEN: 114 |STR_TIME: 7.431611776351929
> STR_ID: 2l1f |STR_LEN: 131 |STR_TIME: 18.5127911567688
> STR_ID: 2l1g |STR_LEN: 120 |STR_TIME: 8.926106929779053
> STR_ID: 2l1h |STR_LEN: 114 |STR_TIME: 7.634367227554321
> STR_ID: 2l1j |STR_LEN: 34 |STR_TIME: 2.0941381454467773
> STR_ID: 2l1k |STR_LEN: 114 |STR_TIME: 7.323507070541382
> STR_ID: 2l1l |STR_LEN: 154 |STR_TIME: 5.10173487663269
> STR_ID: 2l1m |STR_LEN: 135 |STR_TIME: 8.999478101730347
> STR_ID: 2l1n |STR_LEN: 120 |STR_TIME: 8.061137199401855
> STR_ID: 2l1o |STR_LEN: 40 |STR_TIME: 2.586604118347168
> STR_ID: 2l1p |STR_LEN: 83 |STR_TIME: 5.62167763710022
> STR_ID: 2l1q |STR_LEN: 40 |STR_TIME: 2.6688060760498047
> STR_ID: 2l1r |STR_LEN: 111 |STR_TIME: 7.222723722457886
> STR_ID: 2l1s |STR_LEN: 83 |STR_TIME: 5.262192010879517
> STR_ID: 2l1t |STR_LEN: 109 |STR_TIME: 6.967246055603027
> STR_ID: 2l1u |STR_LEN: 144 |STR_TIME: 9.16908597946167
> STR_ID: 2l1v |STR_LEN: 37 |STR_TIME: 5.026714086532593
> STR_ID: 2l1w |STR_LEN: 178 |STR_TIME: 14.42631483078003
> STR_ID: 2l1x |STR_LEN: 39 |STR_TIME: 1.362525224685669
> STR_ID: 2l1y |STR_LEN: 51 |STR_TIME: 3.317984104156494
> STR_ID: 2l1z |STR_LEN: 51 |STR_TIME: 3.20906400680542
> STR_ID: 3l10 |STR_LEN: 329 |STR_TIME: 0.6148037910461426
> STR_ID: 3l11 |STR_LEN: 142 |STR_TIME: 0.40917515754699707
> STR_ID: 3l12 |STR_LEN: 1303 |STR_TIME: 1.32989501953125
> STR_ID: 3l13 |STR_LEN: 842 |STR_TIME: 1.5739359855651855
> STR_ID: 3l14 |STR_LEN: 570 |STR_TIME: 1.0615179538726807
> STR_ID: 3l15 |STR_LEN: 560 |STR_TIME: 2.2332119941711426
> STR_ID: 3l16 |STR_LEN: 842 |STR_TIME: 1.6072618961334229
> STR_ID: 3l17 |STR_LEN: 842 |STR_TIME: 1.5768051147460938
> STR_ID: 3l18 |STR_LEN: 598 |STR_TIME: 1.2129969596862793
> STR_ID: 3l19 |STR_LEN: 511 |STR_TIME: 1.2332561016082764
> STR_ID: 3l1a |STR_LEN: 523 |STR_TIME: 0.8922631740570068
> STR_ID: 3l1b |STR_LEN: 247 |STR_TIME: 0.769615888595581
> STR_ID: 3l1c |STR_LEN: 933 |STR_TIME: 1.3364269733428955
> STR_ID: 3l1e |STR_LEN: 201 |STR_TIME: 0.45803189277648926
> STR_ID: 3l1f |STR_LEN: 141 |STR_TIME: 0.38193702697753906
> STR_ID: 3l1g |STR_LEN: 97 |STR_TIME: 0.357147216796875
> STR_ID: 3l1h |STR_LEN: 322 |STR_TIME: 0.556412935256958
> STR_ID: 3l1i |STR_LEN: 378 |STR_TIME: 0.5647947788238525
> STR_ID: 3l1j |STR_LEN: 391 |STR_TIME: 0.5691671371459961
> STR_ID: 3l1k |STR_LEN: 708 |STR_TIME: 1.1228821277618408
> STR_ID: 3l1l |STR_LEN: 425 |STR_TIME: 0.799659013748169
> STR_ID: 3l1m |STR_LEN: 155 |STR_TIME: 0.24759984016418457
> STR_ID: 3l1n |STR_LEN: 399 |STR_TIME: 0.6464569568634033
> STR_ID: 3l1o |STR_LEN: 876 |STR_TIME: 0.9408349990844727
> STR_ID: 3l1p |STR_LEN: 338 |STR_TIME: 1.3333361148834229
> STR_ID: 3l1q |STR_LEN: 66 |STR_TIME: 0.16851091384887695
> STR_ID: 3l1r |STR_LEN: 960 |STR_TIME: 1.784512996673584
> STR_ID: 3l1s |STR_LEN: 1076 |STR_TIME: 2.317652940750122
> STR_ID: 3l1t |STR_LEN: 2766 |STR_TIME: 3.5304510593414307
> STR_ID: 3l1u |STR_LEN: 713 |STR_TIME: 1.2794389724731445
> STR_ID: 3l1v |STR_LEN: 621 |STR_TIME: 1.3684580326080322
> STR_ID: 3l1w |STR_LEN: 3071 |STR_TIME: 5.525365114212036
> STR_ID: 3l1x |STR_LEN: 108 |STR_TIME: 0.3124349117279053
> STR_ID: 3l1y |STR_LEN: 328 |STR_TIME: 0.37874507904052734
> STR_ID: 3l1z |STR_LEN: 245 |STR_TIME: 0.8160200119018555
> STR_ID: 4l10 |STR_LEN: 745 |STR_TIME: 0.9706270694732666
> STR_ID: 4l11 |STR_LEN: 216 |STR_TIME: 0.69765305519104
> STR_ID: 4l12 |STR_LEN: 370 |STR_TIME: 0.509148120880127
> STR_ID: 4l13 |STR_LEN: 398 |STR_TIME: 0.515862226486206
> STR_ID: 4l15 |STR_LEN: 323 |STR_TIME: 0.9712331295013428
> STR_ID: 4l16 |STR_LEN: 313 |STR_TIME: 0.5471782684326172
> STR_ID: 4l17 |STR_LEN: 1178 |STR_TIME: 3.278823137283325
> STR_ID: 4l18 |STR_LEN: 704 |STR_TIME: 1.3404250144958496
> STR_ID: 4l19 |STR_LEN: 624 |STR_TIME: 1.2559230327606201
> STR_ID: 4l1a |STR_LEN: 421 |STR_TIME: 0.43667006492614746
> STR_ID: 4l1b |STR_LEN: 1309 |STR_TIME: 2.4161081314086914
> STR_ID: 4l1c |STR_LEN: 215 |STR_TIME: 0.3761899471282959
> STR_ID: 4l1d |STR_LEN: 449 |STR_TIME: 1.1625471115112305
> STR_ID: 4l1e |STR_LEN: 2266 |STR_TIME: 9.889961957931519
> STR_ID: 4l1f |STR_LEN: 1385 |STR_TIME: 1.5895030498504639
> STR_ID: 4l1g |STR_LEN: 1634 |STR_TIME: 3.098010778427124
> STR_ID: 4l1h |STR_LEN: 107 |STR_TIME: 0.23062872886657715
> STR_ID: 4l1i |STR_LEN: 427 |STR_TIME: 0.9559812545776367
> STR_ID: 4l1j |STR_LEN: 636 |STR_TIME: 1.5430331230163574
> STR_ID: 4l1k |STR_LEN: 448 |STR_TIME: 0.6905438899993896
> STR_ID: 4l1l |STR_LEN: 290 |STR_TIME: 0.6285250186920166
> STR_ID: 4l1m |STR_LEN: 1164 |STR_TIME: 3.2569751739501953
> STR_ID: 4l1n |STR_LEN: 171 |STR_TIME: 0.5820379257202148
> STR_ID: 4l1o |STR_LEN: 1555 |STR_TIME: 1.806405782699585
> STR_ID: 4l1p |STR_LEN: 335 |STR_TIME: 1.0229339599609375
> STR_ID: 4l1q |STR_LEN: 3254 |STR_TIME: 5.982014179229736
> STR_ID: 4l1r |STR_LEN: 1258 |STR_TIME: 4.1338889598846436
> STR_ID: 4l1s |STR_LEN: 371 |STR_TIME: 0.9136250019073486
> STR_ID: 4l1t |STR_LEN: 412 |STR_TIME: 0.936575174331665
> STR_ID: 4l1u |STR_LEN: 965 |STR_TIME: 4.2495338916778564
> STR_ID: 4l1w |STR_LEN: 1025 |STR_TIME: 1.3998322486877441
> STR_ID: 4l1x |STR_LEN: 1200 |STR_TIME: 1.369678258895874
> STR_ID: 4l1y |STR_LEN: 505 |STR_TIME: 0.6220810413360596
> STR_ID: 4l1z |STR_LEN: 455 |STR_TIME: 0.6032941341400146
> STR_ID: 5l10 |STR_LEN: 1115 |STR_TIME: 3.362361192703247
> STR_ID: 5l11 |STR_LEN: 338 |STR_TIME: 1.3951716423034668
> STR_ID: 5l13 |STR_LEN: 5708 |STR_TIME: 7.504209041595459
> STR_ID: 5l19 |STR_LEN: 213 |STR_TIME: 0.3764500617980957
> STR_ID: 5l1a |STR_LEN: 178 |STR_TIME: 0.46514415740966797
> STR_ID: 5l1b |STR_LEN: 3127 |STR_TIME: 5.573721170425415
> STR_ID: 5l1d |STR_LEN: 14708 |STR_TIME: 23.849730968475342
> STR_ID: 5l1e |STR_LEN: 3108 |STR_TIME: 5.70186185836792
> STR_ID: 5l1f |STR_LEN: 3108 |STR_TIME: 5.6103739738464355
> STR_ID: 5l1g |STR_LEN: 3110 |STR_TIME: 5.527950048446655
> STR_ID: 5l1h |STR_LEN: 3103 |STR_TIME: 5.513253211975098
> STR_ID: 5l1i |STR_LEN: 594 |STR_TIME: 1.0413179397583008
> STR_ID: 5l1j |STR_LEN: 864 |STR_TIME: 1.1075029373168945
> STR_ID: 5l1k |STR_LEN: 945 |STR_TIME: 1.2316563129425049
> STR_ID: 5l1l |STR_LEN: 982 |STR_TIME: 1.1475329399108887
> STR_ID: 5l1m |STR_LEN: 140 |STR_TIME: 0.31092405319213867
> STR_ID: 5l1o |STR_LEN: 1038 |STR_TIME: 1.6453320980072021
> STR_ID: 5l1p |STR_LEN: 682 |STR_TIME: 1.489522933959961
> STR_ID: 5l1q |STR_LEN: 880 |STR_TIME: 1.5423030853271484
> STR_ID: 5l1r |STR_LEN: 1018 |STR_TIME: 1.7879078388214111
> STR_ID: 5l1s |STR_LEN: 882 |STR_TIME: 1.6369528770446777
> STR_ID: 5l1t |STR_LEN: 911 |STR_TIME: 1.6377129554748535
> STR_ID: 5l1u |STR_LEN: 890 |STR_TIME: 1.626568078994751
> STR_ID: 5l1v |STR_LEN: 950 |STR_TIME: 1.617676019668579
> STR_ID: 5l1w |STR_LEN: 1030 |STR_TIME: 1.632929801940918
> STR_ID: 5l1x |STR_LEN: 2680 |STR_TIME: 8.563860177993774
> STR_ID: 5l1z |STR_LEN: 673 |STR_TIME: 1.4278850555419922
>> FINISH_DIR: ./data/l/l1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 326 |DIR_TIME: 489.7218098640442 

>> START_DIR: ./data/l/l2/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1l20 |STR_LEN: 316 |STR_TIME: 0.37848520278930664
> STR_ID: 1l21 |STR_LEN: 318 |STR_TIME: 0.3693859577178955
> STR_ID: 1l22 |STR_LEN: 317 |STR_TIME: 0.3865687847137451
> STR_ID: 1l23 |STR_LEN: 316 |STR_TIME: 0.37769389152526855
> STR_ID: 1l24 |STR_LEN: 315 |STR_TIME: 0.3811807632446289
