>> START_DIR: ./data/g/g0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1g00 |STR_LEN: 49 |STR_TIME: 0.20544195175170898
> STR_ID: 2g0w |STR_LEN: 1049 |STR_TIME: 1.1359221935272217
> STR_ID: 2g0x |STR_LEN: 304 |STR_TIME: 0.6851761341094971
> STR_ID: 2g0y |STR_LEN: 152 |STR_TIME: 0.2863330841064453
> STR_ID: 2g0z |STR_LEN: 304 |STR_TIME: 0.6566178798675537
> STR_ID: 3g00 |STR_LEN: 1198 |STR_TIME: 1.3883929252624512
> STR_ID: 3g01 |STR_LEN: 448 |STR_TIME: 0.779411792755127
> STR_ID: 3g02 |STR_LEN: 1476 |STR_TIME: 1.6667890548706055
> STR_ID: 3g03 |STR_LEN: 350 |STR_TIME: 0.4494478702545166
> STR_ID: 3g04 |STR_LEN: 955 |STR_TIME: 1.334000825881958
> STR_ID: 3g05 |STR_LEN: 1055 |STR_TIME: 1.829157829284668
> STR_ID: 3g06 |STR_LEN: 1007 |STR_TIME: 1.1880638599395752
> STR_ID: 3g08 |STR_LEN: 842 |STR_TIME: 1.506592035293579
> STR_ID: 3g0a |STR_LEN: 332 |STR_TIME: 0.5439238548278809
> STR_ID: 3g0b |STR_LEN: 3507 |STR_TIME: 5.634887933731079
> STR_ID: 3g0c |STR_LEN: 3700 |STR_TIME: 5.618663787841797
> STR_ID: 3g0d |STR_LEN: 4252 |STR_TIME: 5.982814073562622
> STR_ID: 3g0e |STR_LEN: 649 |STR_TIME: 0.7370638847351074
> STR_ID: 3g0f |STR_LEN: 602 |STR_TIME: 1.100719928741455
> STR_ID: 3g0g |STR_LEN: 3642 |STR_TIME: 5.771235942840576
> STR_ID: 3g0h |STR_LEN: 418 |STR_TIME: 0.8542888164520264
> STR_ID: 3g0i |STR_LEN: 1226 |STR_TIME: 1.5135188102722168
> STR_ID: 3g0j |STR_LEN: 496 |STR_TIME: 0.5486640930175781
> STR_ID: 3g0k |STR_LEN: 317 |STR_TIME: 0.5946412086486816
> STR_ID: 3g0l |STR_LEN: 250 |STR_TIME: 0.36065006256103516
> STR_ID: 3g0m |STR_LEN: 203 |STR_TIME: 0.31174707412719727
> STR_ID: 3g0o |STR_LEN: 606 |STR_TIME: 0.6086018085479736
> STR_ID: 3g0q |STR_LEN: 409 |STR_TIME: 0.7817070484161377
> STR_ID: 3g0r |STR_LEN: 852 |STR_TIME: 1.1902680397033691
> STR_ID: 3g0s |STR_LEN: 1141 |STR_TIME: 1.248762845993042
> STR_ID: 3g0t |STR_LEN: 2024 |STR_TIME: 2.0167269706726074
> STR_ID: 3g0u |STR_LEN: 678 |STR_TIME: 0.775101900100708
> STR_ID: 3g0v |STR_LEN: 126 |STR_TIME: 0.18826818466186523
> STR_ID: 3g0w |STR_LEN: 421 |STR_TIME: 0.5527451038360596
> STR_ID: 3g0x |STR_LEN: 603 |STR_TIME: 0.750499963760376
> STR_ID: 3g0y |STR_LEN: 595 |STR_TIME: 0.7810549736022949
> STR_ID: 3g0z |STR_LEN: 362 |STR_TIME: 0.5444250106811523
> STR_ID: 4g01 |STR_LEN: 665 |STR_TIME: 0.9053781032562256
> STR_ID: 4g03 |STR_LEN: 1237 |STR_TIME: 2.0934641361236572
> STR_ID: 4g04 |STR_LEN: 1217 |STR_TIME: 2.0284030437469482
> STR_ID: 4g05 |STR_LEN: 489 |STR_TIME: 0.6677730083465576
> STR_ID: 4g06 |STR_LEN: 142 |STR_TIME: 0.2868061065673828
> STR_ID: 4g07 |STR_LEN: 716 |STR_TIME: 0.8874552249908447
> STR_ID: 4g08 |STR_LEN: 252 |STR_TIME: 0.3241899013519287
> STR_ID: 4g09 |STR_LEN: 673 |STR_TIME: 0.8423848152160645
> STR_ID: 4g0a |STR_LEN: 2420 |STR_TIME: 4.441019296646118
> STR_ID: 4g0b |STR_LEN: 877 |STR_TIME: 2.7413361072540283
> STR_ID: 4g0c |STR_LEN: 403 |STR_TIME: 1.0469210147857666
> STR_ID: 4g0d |STR_LEN: 2545 |STR_TIME: 3.2542998790740967
> STR_ID: 4g0f |STR_LEN: 33 |STR_TIME: 0.17471098899841309
> STR_ID: 4g0h |STR_LEN: 450 |STR_TIME: 0.9182407855987549
> STR_ID: 4g0i |STR_LEN: 974 |STR_TIME: 1.3325958251953125
> STR_ID: 4g0j |STR_LEN: 2900 |STR_TIME: 5.139888048171997
> STR_ID: 4g0k |STR_LEN: 814 |STR_TIME: 1.3173160552978516
> STR_ID: 4g0l |STR_LEN: 792 |STR_TIME: 1.2328917980194092
> STR_ID: 4g0m |STR_LEN: 410 |STR_TIME: 0.550307035446167
> STR_ID: 4g0n |STR_LEN: 330 |STR_TIME: 0.8567399978637695
> STR_ID: 4g0o |STR_LEN: 449 |STR_TIME: 0.6546740531921387
> STR_ID: 4g0p |STR_LEN: 309 |STR_TIME: 0.34789395332336426
> STR_ID: 4g0q |STR_LEN: 279 |STR_TIME: 0.5851831436157227
> STR_ID: 4g0r |STR_LEN: 705 |STR_TIME: 1.1776020526885986
> STR_ID: 4g0s |STR_LEN: 545 |STR_TIME: 1.46760892868042
> STR_ID: 4g0u |STR_LEN: 1797 |STR_TIME: 2.8064870834350586
> STR_ID: 4g0v |STR_LEN: 1936 |STR_TIME: 2.818850040435791
> STR_ID: 4g0w |STR_LEN: 1796 |STR_TIME: 2.894871950149536
> STR_ID: 4g0x |STR_LEN: 325 |STR_TIME: 0.6094329357147217
> STR_ID: 4g0y |STR_LEN: 313 |STR_TIME: 0.34041380882263184
> STR_ID: 4g0z |STR_LEN: 290 |STR_TIME: 0.3404998779296875
> STR_ID: 5g00 |STR_LEN: 205 |STR_TIME: 0.37436866760253906
> STR_ID: 5g01 |STR_LEN: 537 |STR_TIME: 1.0827739238739014
> STR_ID: 5g02 |STR_LEN: 359 |STR_TIME: 1.186720848083496
> STR_ID: 5g03 |STR_LEN: 521 |STR_TIME: 1.0907871723175049
> STR_ID: 5g04 |STR_LEN: 8325 |STR_TIME: 15.920193910598755
> STR_ID: 5g05 |STR_LEN: 8030 |STR_TIME: 14.986871719360352
> STR_ID: 5g06 |STR_LEN: 3420 |STR_TIME: 6.373605251312256
> STR_ID: 5g08 |STR_LEN: 354 |STR_TIME: 0.7816691398620605
> STR_ID: 5g09 |STR_LEN: 2816 |STR_TIME: 3.6717329025268555
> STR_ID: 5g0a |STR_LEN: 2998 |STR_TIME: 3.6951990127563477
> STR_ID: 5g0b |STR_LEN: 505 |STR_TIME: 1.058811902999878
> STR_ID: 5g0c |STR_LEN: 590 |STR_TIME: 1.113792896270752
> STR_ID: 5g0f |STR_LEN: 278 |STR_TIME: 0.46476101875305176
> STR_ID: 5g0g |STR_LEN: 619 |STR_TIME: 1.3236637115478516
> STR_ID: 5g0h |STR_LEN: 725 |STR_TIME: 1.368121862411499
> STR_ID: 5g0i |STR_LEN: 2091 |STR_TIME: 4.892272710800171
> STR_ID: 5g0j |STR_LEN: 927 |STR_TIME: 1.455003023147583
> STR_ID: 5g0m |STR_LEN: 704 |STR_TIME: 0.8856320381164551
> STR_ID: 5g0n |STR_LEN: 1326 |STR_TIME: 2.9110500812530518
> STR_ID: 5g0o |STR_LEN: 1288 |STR_TIME: 2.8915247917175293
> STR_ID: 5g0p |STR_LEN: 1160 |STR_TIME: 2.9548768997192383
> STR_ID: 5g0q |STR_LEN: 752 |STR_TIME: 1.6256520748138428
> STR_ID: 5g0r |STR_LEN: 5115 |STR_TIME: 9.183385133743286
> STR_ID: 5g0s |STR_LEN: 1959 |STR_TIME: 3.4356741905212402
> STR_ID: 5g0t |STR_LEN: 2100 |STR_TIME: 3.396030902862549
> STR_ID: 5g0u |STR_LEN: 1951 |STR_TIME: 3.468863010406494
> STR_ID: 5g0v |STR_LEN: 1867 |STR_TIME: 3.3985631465911865
> STR_ID: 5g0w |STR_LEN: 2030 |STR_TIME: 3.47932505607605
> STR_ID: 5g0x |STR_LEN: 1294 |STR_TIME: 2.6861519813537598
> STR_ID: 5g0y |STR_LEN: 978 |STR_TIME: 1.3977439403533936
> STR_ID: 5g0z |STR_LEN: 340 |STR_TIME: 0.9533729553222656
>> FINISH_DIR: ./data/g/g0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 162 |DIR_TIME: 331.06762981414795 

>> START_DIR: ./data/g/g1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1g10 |STR_LEN: 102 |STR_TIME: 0.36327123641967773
> STR_ID: 1g11 |STR_LEN: 102 |STR_TIME: 6.6206982135772705
> STR_ID: 1g12 |STR_LEN: 370 |STR_TIME: 0.43210506439208984
> STR_ID: 1g13 |STR_LEN: 873 |STR_TIME: 0.9662988185882568
> STR_ID: 1g14 |STR_LEN: 24 |STR_TIME: 1.5454630851745605
> STR_ID: 1g15 |STR_LEN: 243 |STR_TIME: 0.31006693840026855
> STR_ID: 1g16 |STR_LEN: 987 |STR_TIME: 1.3211641311645508
> STR_ID: 1g17 |STR_LEN: 456 |STR_TIME: 0.7002787590026855
> STR_ID: 1g18 |STR_LEN: 312 |STR_TIME: 0.6682369709014893
> STR_ID: 1g19 |STR_LEN: 377 |STR_TIME: 0.5819637775421143
> STR_ID: 1g1a |STR_LEN: 1933 |STR_TIME: 2.638943910598755
> STR_ID: 1g1b |STR_LEN: 580 |STR_TIME: 0.6840691566467285
> STR_ID: 1g1c |STR_LEN: 394 |STR_TIME: 0.43332815170288086
> STR_ID: 1g1d |STR_LEN: 360 |STR_TIME: 0.5300781726837158
> STR_ID: 1g1e |STR_LEN: 105 |STR_TIME: 5.222836017608643
> STR_ID: 1g1f |STR_LEN: 550 |STR_TIME: 0.7116861343383789
> STR_ID: 1g1g |STR_LEN: 386 |STR_TIME: 0.6207082271575928
> STR_ID: 1g1h |STR_LEN: 421 |STR_TIME: 0.6242680549621582
> STR_ID: 1g1i |STR_LEN: 153 |STR_TIME: 0.22554898262023926
> STR_ID: 1g1j |STR_LEN: 175 |STR_TIME: 0.23911499977111816
> STR_ID: 1g1k |STR_LEN: 512 |STR_TIME: 0.5585217475891113
> STR_ID: 1g1l |STR_LEN: 5350 |STR_TIME: 9.482528924942017
> STR_ID: 1g1m |STR_LEN: 925 |STR_TIME: 1.0778679847717285
> STR_ID: 1g1n |STR_LEN: 22 |STR_TIME: 4.491008043289185
> STR_ID: 1g1o |STR_LEN: 602 |STR_TIME: 0.8456320762634277
> STR_ID: 1g1p |STR_LEN: 33 |STR_TIME: 1.5777719020843506
> STR_ID: 1g1q |STR_LEN: 779 |STR_TIME: 1.2805290222167969
> STR_ID: 1g1r |STR_LEN: 657 |STR_TIME: 1.2583911418914795
> STR_ID: 1g1s |STR_LEN: 589 |STR_TIME: 0.796766996383667
> STR_ID: 1g1t |STR_LEN: 348 |STR_TIME: 0.39229702949523926
> STR_ID: 1g1u |STR_LEN: 1222 |STR_TIME: 1.6362791061401367
> STR_ID: 1g1v |STR_LEN: 291 |STR_TIME: 0.35951876640319824
> STR_ID: 1g1w |STR_LEN: 272 |STR_TIME: 0.42227888107299805
> STR_ID: 1g1x |STR_LEN: 635 |STR_TIME: 1.6753041744232178
> STR_ID: 1g1y |STR_LEN: 1695 |STR_TIME: 2.2487120628356934
> STR_ID: 1g1z |STR_LEN: 33 |STR_TIME: 1.6112539768218994
> STR_ID: 2g10 |STR_LEN: 304 |STR_TIME: 0.648723840713501
> STR_ID: 2g11 |STR_LEN: 304 |STR_TIME: 0.6530539989471436
> STR_ID: 2g12 |STR_LEN: 304 |STR_TIME: 0.6830582618713379
> STR_ID: 2g13 |STR_LEN: 126 |STR_TIME: 0.20794081687927246
> STR_ID: 2g14 |STR_LEN: 304 |STR_TIME: 0.6626467704772949
> STR_ID: 2g15 |STR_LEN: 451 |STR_TIME: 0.6632139682769775
> STR_ID: 2g16 |STR_LEN: 400 |STR_TIME: 0.4946269989013672
> STR_ID: 2g17 |STR_LEN: 676 |STR_TIME: 0.7255411148071289
> STR_ID: 2g18 |STR_LEN: 3109 |STR_TIME: 5.249273061752319
> STR_ID: 2g19 |STR_LEN: 353 |STR_TIME: 0.48362278938293457
> STR_ID: 2g1a |STR_LEN: 1061 |STR_TIME: 0.986515998840332
> STR_ID: 2g1d |STR_LEN: 98 |STR_TIME: 3.3675098419189453
> STR_ID: 2g1e |STR_LEN: 90 |STR_TIME: 5.841049909591675
> STR_ID: 2g1g |STR_LEN: 17 |STR_TIME: 2.221146821975708
> STR_ID: 2g1h |STR_LEN: 475 |STR_TIME: 0.5709869861602783
> STR_ID: 2g1j |STR_LEN: 552 |STR_TIME: 0.6253130435943604
> STR_ID: 2g1k |STR_LEN: 348 |STR_TIME: 0.37257909774780273
> STR_ID: 2g1l |STR_LEN: 114 |STR_TIME: 0.23987817764282227
> STR_ID: 2g1m |STR_LEN: 340 |STR_TIME: 0.44085001945495605
> STR_ID: 2g1n |STR_LEN: 1023 |STR_TIME: 1.393524169921875
> STR_ID: 2g1o |STR_LEN: 940 |STR_TIME: 1.282853126525879
> STR_ID: 2g1p |STR_LEN: 831 |STR_TIME: 1.1743550300598145
> STR_ID: 2g1q |STR_LEN: 835 |STR_TIME: 1.298630952835083
> STR_ID: 2g1r |STR_LEN: 1040 |STR_TIME: 1.3264451026916504
> STR_ID: 2g1s |STR_LEN: 1040 |STR_TIME: 1.3050990104675293
> STR_ID: 2g1t |STR_LEN: 2037 |STR_TIME: 2.368039846420288
> STR_ID: 2g1u |STR_LEN: 250 |STR_TIME: 0.3649299144744873
> STR_ID: 2g1w |STR_LEN: 22 |STR_TIME: 2.148548126220703
> STR_ID: 2g1y |STR_LEN: 992 |STR_TIME: 1.3035428524017334
> STR_ID: 2g1z |STR_LEN: 18 |STR_TIME: 0.13294386863708496
> STR_ID: 3g10 |STR_LEN: 301 |STR_TIME: 0.5241658687591553
> STR_ID: 3g11 |STR_LEN: 816 |STR_TIME: 0.8209991455078125
> STR_ID: 3g12 |STR_LEN: 254 |STR_TIME: 0.44188904762268066
> STR_ID: 3g13 |STR_LEN: 476 |STR_TIME: 0.6234679222106934
> STR_ID: 3g14 |STR_LEN: 637 |STR_TIME: 0.7863261699676514
> STR_ID: 3g15 |STR_LEN: 1015 |STR_TIME: 1.42830491065979
> STR_ID: 3g16 |STR_LEN: 688 |STR_TIME: 0.6877987384796143
> STR_ID: 3g17 |STR_LEN: 2690 |STR_TIME: 4.1546311378479
> STR_ID: 3g18 |STR_LEN: 615 |STR_TIME: 0.851445198059082
> STR_ID: 3g19 |STR_LEN: 214 |STR_TIME: 0.2359170913696289
> STR_ID: 3g1a |STR_LEN: 773 |STR_TIME: 0.8782839775085449
> STR_ID: 3g1b |STR_LEN: 498 |STR_TIME: 0.7076709270477295
> STR_ID: 3g1c |STR_LEN: 159 |STR_TIME: 0.2228081226348877
> STR_ID: 3g1d |STR_LEN: 683 |STR_TIME: 0.8899710178375244
> STR_ID: 3g1e |STR_LEN: 102 |STR_TIME: 0.20006895065307617
> STR_ID: 3g1f |STR_LEN: 2901 |STR_TIME: 4.891052007675171
> STR_ID: 3g1g |STR_LEN: 213 |STR_TIME: 0.32209110260009766
> STR_ID: 3g1h |STR_LEN: 3075 |STR_TIME: 5.008481025695801
> STR_ID: 3g1i |STR_LEN: 303 |STR_TIME: 0.3586719036102295
> STR_ID: 3g1j |STR_LEN: 396 |STR_TIME: 0.7270689010620117
> STR_ID: 3g1k |STR_LEN: 518 |STR_TIME: 0.9981179237365723
> STR_ID: 3g1l |STR_LEN: 304 |STR_TIME: 0.7146298885345459
> STR_ID: 3g1m |STR_LEN: 468 |STR_TIME: 0.4666461944580078
> STR_ID: 3g1n |STR_LEN: 887 |STR_TIME: 2.6272311210632324
> STR_ID: 3g1o |STR_LEN: 360 |STR_TIME: 0.7536771297454834
> STR_ID: 3g1p |STR_LEN: 1389 |STR_TIME: 1.152479887008667
> STR_ID: 3g1q |STR_LEN: 2285 |STR_TIME: 3.3609139919281006
> STR_ID: 3g1r |STR_LEN: 1407 |STR_TIME: 1.401620864868164
> STR_ID: 3g1s |STR_LEN: 748 |STR_TIME: 0.8525941371917725
> STR_ID: 3g1t |STR_LEN: 499 |STR_TIME: 0.5415213108062744
> STR_ID: 3g1u |STR_LEN: 2372 |STR_TIME: 3.0354809761047363
> STR_ID: 3g1v |STR_LEN: 711 |STR_TIME: 0.8356690406799316
> STR_ID: 3g1w |STR_LEN: 810 |STR_TIME: 1.1500320434570312
> STR_ID: 3g1x |STR_LEN: 628 |STR_TIME: 0.8292438983917236
> STR_ID: 3g1y |STR_LEN: 651 |STR_TIME: 0.7730717658996582
> STR_ID: 3g1z |STR_LEN: 1280 |STR_TIME: 1.4255611896514893
> STR_ID: 4g10 |STR_LEN: 642 |STR_TIME: 1.5183608531951904
> STR_ID: 4g11 |STR_LEN: 837 |STR_TIME: 1.6466009616851807
> STR_ID: 4g12 |STR_LEN: 386 |STR_TIME: 1.2391679286956787
> STR_ID: 4g13 |STR_LEN: 18 |STR_TIME: 0.1278529167175293
> STR_ID: 4g14 |STR_LEN: 18 |STR_TIME: 0.10780739784240723
> STR_ID: 4g16 |STR_LEN: 524 |STR_TIME: 0.6483089923858643
> STR_ID: 4g17 |STR_LEN: 520 |STR_TIME: 0.6551568508148193
> STR_ID: 4g19 |STR_LEN: 1665 |STR_TIME: 2.0077109336853027
> STR_ID: 4g1a |STR_LEN: 91 |STR_TIME: 0.27929115295410156
> STR_ID: 4g1b |STR_LEN: 1710 |STR_TIME: 5.337447881698608
> STR_ID: 4g1c |STR_LEN: 776 |STR_TIME: 1.8450539112091064
> STR_ID: 4g1d |STR_LEN: 299 |STR_TIME: 0.5082769393920898
> STR_ID: 4g1e |STR_LEN: 1841 |STR_TIME: 5.647679090499878
> STR_ID: 4g1f |STR_LEN: 3305 |STR_TIME: 9.848278999328613
> STR_ID: 4g1g |STR_LEN: 891 |STR_TIME: 2.1963257789611816
> STR_ID: 4g1h |STR_LEN: 268 |STR_TIME: 0.37208127975463867
> STR_ID: 4g1i |STR_LEN: 626 |STR_TIME: 1.4184129238128662
> STR_ID: 4g1j |STR_LEN: 752 |STR_TIME: 0.8384840488433838
> STR_ID: 4g1k |STR_LEN: 1552 |STR_TIME: 3.1994481086730957
> STR_ID: 4g1l |STR_LEN: 689 |STR_TIME: 1.1960968971252441
> STR_ID: 4g1m |STR_LEN: 1772 |STR_TIME: 5.36814284324646
> STR_ID: 4g1n |STR_LEN: 2304 |STR_TIME: 3.5754997730255127
> STR_ID: 4g1o |STR_LEN: 726 |STR_TIME: 2.09515380859375
> STR_ID: 4g1p |STR_LEN: 651 |STR_TIME: 0.9738879203796387
> STR_ID: 4g1q |STR_LEN: 1809 |STR_TIME: 5.221909046173096
> STR_ID: 4g1r |STR_LEN: 510 |STR_TIME: 0.5490097999572754
> STR_ID: 4g1t |STR_LEN: 878 |STR_TIME: 1.5772850513458252
> STR_ID: 4g1u |STR_LEN: 1115 |STR_TIME: 3.427072048187256
> STR_ID: 4g1v |STR_LEN: 579 |STR_TIME: 1.4380989074707031
> STR_ID: 4g1w |STR_LEN: 375 |STR_TIME: 1.1664378643035889
> STR_ID: 4g1x |STR_LEN: 1194 |STR_TIME: 1.0170769691467285
> STR_ID: 4g1y |STR_LEN: 290 |STR_TIME: 0.564033031463623
> STR_ID: 4g1z |STR_LEN: 283 |STR_TIME: 0.5080509185791016
> STR_ID: 5g10 |STR_LEN: 1380 |STR_TIME: 2.6896579265594482
> STR_ID: 5g11 |STR_LEN: 1028 |STR_TIME: 1.402496099472046
> STR_ID: 5g12 |STR_LEN: 1133 |STR_TIME: 1.412599802017212
> STR_ID: 5g13 |STR_LEN: 1208 |STR_TIME: 1.4874622821807861
> STR_ID: 5g17 |STR_LEN: 1660 |STR_TIME: 2.800969123840332
> STR_ID: 5g18 |STR_LEN: 773 |STR_TIME: 1.4514951705932617
> STR_ID: 5g1a |STR_LEN: 1691 |STR_TIME: 2.888089179992676
> STR_ID: 5g1b |STR_LEN: 1670 |STR_TIME: 2.82871675491333
> STR_ID: 5g1c |STR_LEN: 1746 |STR_TIME: 2.87378191947937
> STR_ID: 5g1d |STR_LEN: 351 |STR_TIME: 1.154926061630249
> STR_ID: 5g1e |STR_LEN: 480 |STR_TIME: 0.6600258350372314
> STR_ID: 5g1f |STR_LEN: 518 |STR_TIME: 1.74983811378479
> STR_ID: 5g1k |STR_LEN: 773 |STR_TIME: 1.6056492328643799
> STR_ID: 5g1l |STR_LEN: 919 |STR_TIME: 1.7507970333099365
> STR_ID: 5g1m |STR_LEN: 1241 |STR_TIME: 1.9762849807739258
> STR_ID: 5g1n |STR_LEN: 2328 |STR_TIME: 3.3404200077056885
> STR_ID: 5g1o |STR_LEN: 2264 |STR_TIME: 3.2440528869628906
> STR_ID: 5g1p |STR_LEN: 1864 |STR_TIME: 2.9933838844299316
> STR_ID: 5g1q |STR_LEN: 1217 |STR_TIME: 2.1371610164642334
> STR_ID: 5g1r |STR_LEN: 2423 |STR_TIME: 2.732065200805664
> STR_ID: 5g1s |STR_LEN: 8031 |STR_TIME: 8.699006080627441
> STR_ID: 5g1t |STR_LEN: 380 |STR_TIME: 0.7734262943267822
> STR_ID: 5g1u |STR_LEN: 2579 |STR_TIME: 3.541274309158325
> STR_ID: 5g1v |STR_LEN: 2467 |STR_TIME: 3.411090135574341
> STR_ID: 5g1w |STR_LEN: 3929 |STR_TIME: 3.861849069595337
> STR_ID: 5g1x |STR_LEN: 493 |STR_TIME: 0.663503885269165
> STR_ID: 5g1y |STR_LEN: 344 |STR_TIME: 0.7819161415100098
> STR_ID: 5g1z |STR_LEN: 2789 |STR_TIME: 2.81522274017334
>> FINISH_DIR: ./data/g/g1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 325 |DIR_TIME: 277.14205622673035 

>> START_DIR: ./data/g/g2/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1g20 |STR_LEN: 4110 |STR_TIME: 5.638643026351929
> STR_ID: 1g21 |STR_LEN: 3085 |STR_TIME: 5.585177183151245
> STR_ID: 1g22 |STR_LEN: 17 |STR_TIME: 0.15740227699279785
> STR_ID: 1g23 |STR_LEN: 2357 |STR_TIME: 4.1829259395599365
> STR_ID: 1g24 |STR_LEN: 1713 |STR_TIME: 1.6792519092559814
