>> START_DIR: ./data/e/e0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1e00 |STR_LEN: 496 |STR_TIME: 0.7557981014251709
> STR_ID: 1e0z |STR_LEN: 129 |STR_TIME: 9.049305200576782
> STR_ID: 2e00 |STR_LEN: 716 |STR_TIME: 0.9848687648773193
> STR_ID: 2e01 |STR_LEN: 766 |STR_TIME: 0.9672479629516602
> STR_ID: 2e02 |STR_LEN: 565 |STR_TIME: 0.91159987449646
> STR_ID: 2e03 |STR_LEN: 618 |STR_TIME: 0.9408769607543945
> STR_ID: 2e07 |STR_LEN: 1025 |STR_TIME: 1.297950029373169
> STR_ID: 2e08 |STR_LEN: 967 |STR_TIME: 1.1562671661376953
> STR_ID: 2e09 |STR_LEN: 936 |STR_TIME: 1.0215051174163818
> STR_ID: 2e0a |STR_LEN: 1026 |STR_TIME: 1.4704160690307617
> STR_ID: 2e0c |STR_LEN: 1265 |STR_TIME: 1.6174070835113525
> STR_ID: 2e0g |STR_LEN: 107 |STR_TIME: 9.228516101837158
> STR_ID: 2e0h |STR_LEN: 64 |STR_TIME: 3.7948238849639893
> STR_ID: 2e0i |STR_LEN: 1902 |STR_TIME: 3.480325937271118
> STR_ID: 2e0j |STR_LEN: 647 |STR_TIME: 0.7408199310302734
> STR_ID: 2e0k |STR_LEN: 636 |STR_TIME: 0.8820867538452148
> STR_ID: 2e0l |STR_LEN: 657 |STR_TIME: 0.632274866104126
> STR_ID: 2e0m |STR_LEN: 665 |STR_TIME: 0.6793091297149658
> STR_ID: 2e0n |STR_LEN: 653 |STR_TIME: 0.9125766754150391
> STR_ID: 2e0o |STR_LEN: 433 |STR_TIME: 0.5890421867370605
> STR_ID: 2e0p |STR_LEN: 992 |STR_TIME: 1.1644771099090576
> STR_ID: 2e0q |STR_LEN: 218 |STR_TIME: 0.3104259967803955
> STR_ID: 2e0s |STR_LEN: 660 |STR_TIME: 0.8104760646820068
> STR_ID: 2e0t |STR_LEN: 413 |STR_TIME: 0.41969919204711914
> STR_ID: 2e0w |STR_LEN: 1049 |STR_TIME: 1.731356143951416
> STR_ID: 2e0x |STR_LEN: 1510 |STR_TIME: 1.9754159450531006
> STR_ID: 2e0y |STR_LEN: 1659 |STR_TIME: 2.1118569374084473
> STR_ID: 2e0z |STR_LEN: 700 |STR_TIME: 1.3493990898132324
> STR_ID: 3e00 |STR_LEN: 717 |STR_TIME: 1.5065999031066895
> STR_ID: 3e01 |STR_LEN: 954 |STR_TIME: 1.854355812072754
> STR_ID: 3e02 |STR_LEN: 632 |STR_TIME: 0.7566778659820557
> STR_ID: 3e03 |STR_LEN: 1617 |STR_TIME: 1.669450044631958
> STR_ID: 3e04 |STR_LEN: 2442 |STR_TIME: 3.4208481311798096
> STR_ID: 3e05 |STR_LEN: 2067 |STR_TIME: 3.1469521522521973
> STR_ID: 3e07 |STR_LEN: 217 |STR_TIME: 0.437255859375
> STR_ID: 3e08 |STR_LEN: 4206 |STR_TIME: 5.1368138790130615
> STR_ID: 3e0a |STR_LEN: 606 |STR_TIME: 0.9048769474029541
> STR_ID: 3e0b |STR_LEN: 481 |STR_TIME: 0.7439892292022705
> STR_ID: 3e0c |STR_LEN: 1198 |STR_TIME: 2.1292428970336914
> STR_ID: 3e0d |STR_LEN: 2378 |STR_TIME: 4.960479021072388
> STR_ID: 3e0e |STR_LEN: 195 |STR_TIME: 0.2492969036102295
> STR_ID: 3e0f |STR_LEN: 395 |STR_TIME: 0.5935771465301514
> STR_ID: 3e0g |STR_LEN: 490 |STR_TIME: 0.9905509948730469
> STR_ID: 3e0h |STR_LEN: 294 |STR_TIME: 0.3448677062988281
> STR_ID: 3e0i |STR_LEN: 1105 |STR_TIME: 2.1107919216156006
> STR_ID: 3e0j |STR_LEN: 2274 |STR_TIME: 4.081023216247559
> STR_ID: 3e0k |STR_LEN: 200 |STR_TIME: 0.374239444732666
> STR_ID: 3e0l |STR_LEN: 930 |STR_TIME: 1.6812078952789307
> STR_ID: 3e0m |STR_LEN: 1569 |STR_TIME: 2.4918200969696045
> STR_ID: 3e0n |STR_LEN: 504 |STR_TIME: 1.0604698657989502
> STR_ID: 3e0o |STR_LEN: 1231 |STR_TIME: 1.6355891227722168
> STR_ID: 3e0p |STR_LEN: 454 |STR_TIME: 0.9068100452423096
> STR_ID: 3e0q |STR_LEN: 1422 |STR_TIME: 1.61629319190979
> STR_ID: 3e0r |STR_LEN: 1497 |STR_TIME: 1.9827039241790771
> STR_ID: 3e0s |STR_LEN: 788 |STR_TIME: 1.1424529552459717
> STR_ID: 3e0u |STR_LEN: 228 |STR_TIME: 0.3482329845428467
> STR_ID: 3e0v |STR_LEN: 3328 |STR_TIME: 6.02358603477478
> STR_ID: 3e0w |STR_LEN: 560 |STR_TIME: 0.9363541603088379
> STR_ID: 3e0x |STR_LEN: 1244 |STR_TIME: 2.106987953186035
> STR_ID: 3e0y |STR_LEN: 309 |STR_TIME: 0.655742883682251
> STR_ID: 3e0z |STR_LEN: 829 |STR_TIME: 1.0607867240905762
> STR_ID: 4e00 |STR_LEN: 383 |STR_TIME: 1.1577248573303223
> STR_ID: 4e01 |STR_LEN: 430 |STR_TIME: 1.2659571170806885
> STR_ID: 4e02 |STR_LEN: 468 |STR_TIME: 1.3877360820770264
> STR_ID: 4e03 |STR_LEN: 551 |STR_TIME: 1.009734869003296
> STR_ID: 4e04 |STR_LEN: 1135 |STR_TIME: 2.5721068382263184
> STR_ID: 4e05 |STR_LEN: 401 |STR_TIME: 1.1945438385009766
> STR_ID: 4e06 |STR_LEN: 333 |STR_TIME: 0.6604659557342529
> STR_ID: 4e07 |STR_LEN: 418 |STR_TIME: 0.7667489051818848
> STR_ID: 4e08 |STR_LEN: 651 |STR_TIME: 1.2712531089782715
> STR_ID: 4e09 |STR_LEN: 206 |STR_TIME: 0.4058399200439453
> STR_ID: 4e0a |STR_LEN: 558 |STR_TIME: 1.246286153793335
> STR_ID: 4e0b |STR_LEN: 1933 |STR_TIME: 4.14805006980896
> STR_ID: 4e0c |STR_LEN: 1378 |STR_TIME: 2.4695982933044434
> STR_ID: 4e0d |STR_LEN: 1432 |STR_TIME: 3.60133695602417
> STR_ID: 4e0e |STR_LEN: 676 |STR_TIME: 2.3362419605255127
> STR_ID: 4e0f |STR_LEN: 672 |STR_TIME: 1.2266480922698975
> STR_ID: 4e0g |STR_LEN: 757 |STR_TIME: 2.0487821102142334
> STR_ID: 4e0h |STR_LEN: 127 |STR_TIME: 0.5090739727020264
> STR_ID: 4e0i |STR_LEN: 392 |STR_TIME: 0.9015898704528809
> STR_ID: 4e0j |STR_LEN: 716 |STR_TIME: 1.6194648742675781
> STR_ID: 4e0k |STR_LEN: 76 |STR_TIME: 0.2850308418273926
> STR_ID: 4e0l |STR_LEN: 74 |STR_TIME: 0.280933141708374
> STR_ID: 4e0m |STR_LEN: 93 |STR_TIME: 0.2918059825897217
> STR_ID: 4e0n |STR_LEN: 131 |STR_TIME: 0.32076215744018555
> STR_ID: 4e0o |STR_LEN: 116 |STR_TIME: 0.3114938735961914
> STR_ID: 4e0p |STR_LEN: 787 |STR_TIME: 1.7389180660247803
> STR_ID: 4e0q |STR_LEN: 245 |STR_TIME: 0.844933032989502
> STR_ID: 4e0r |STR_LEN: 1271 |STR_TIME: 1.5760927200317383
> STR_ID: 4e0s |STR_LEN: 2462 |STR_TIME: 8.522885799407959
> STR_ID: 4e0t |STR_LEN: 2436 |STR_TIME: 6.15091872215271
> STR_ID: 4e0u |STR_LEN: 874 |STR_TIME: 2.8891518115997314
> STR_ID: 4e0v |STR_LEN: 972 |STR_TIME: 1.8303391933441162
> STR_ID: 4e0w |STR_LEN: 370 |STR_TIME: 0.9853801727294922
> STR_ID: 4e0x |STR_LEN: 968 |STR_TIME: 1.0805799961090088
> STR_ID: 4e0y |STR_LEN: 485 |STR_TIME: 1.5253701210021973
> STR_ID: 4e0z |STR_LEN: 609 |STR_TIME: 1.6317009925842285
> STR_ID: 5e00 |STR_LEN: 893 |STR_TIME: 1.4753961563110352
> STR_ID: 5e01 |STR_LEN: 517 |STR_TIME: 0.7674791812896729
> STR_ID: 5e02 |STR_LEN: 969 |STR_TIME: 1.9260516166687012
> STR_ID: 5e03 |STR_LEN: 235 |STR_TIME: 0.4703240394592285
> STR_ID: 5e04 |STR_LEN: 638 |STR_TIME: 1.09555983543396
> STR_ID: 5e05 |STR_LEN: 315 |STR_TIME: 1.1980280876159668
> STR_ID: 5e06 |STR_LEN: 270 |STR_TIME: 1.078230857849121
> STR_ID: 5e08 |STR_LEN: 532 |STR_TIME: 0.9039120674133301
> STR_ID: 5e09 |STR_LEN: 727 |STR_TIME: 1.0608770847320557
> STR_ID: 5e0a |STR_LEN: 1015 |STR_TIME: 1.3738782405853271
> STR_ID: 5e0b |STR_LEN: 1026 |STR_TIME: 1.4117679595947266
> STR_ID: 5e0c |STR_LEN: 992 |STR_TIME: 1.2518830299377441
> STR_ID: 5e0e |STR_LEN: 483 |STR_TIME: 0.9221727848052979
> STR_ID: 5e0f |STR_LEN: 926 |STR_TIME: 1.9319438934326172
> STR_ID: 5e0g |STR_LEN: 340 |STR_TIME: 0.7922990322113037
> STR_ID: 5e0h |STR_LEN: 423 |STR_TIME: 0.7198920249938965
> STR_ID: 5e0i |STR_LEN: 1326 |STR_TIME: 3.4213171005249023
> STR_ID: 5e0j |STR_LEN: 348 |STR_TIME: 0.6727931499481201
> STR_ID: 5e0k |STR_LEN: 3836 |STR_TIME: 12.964509963989258
> STR_ID: 5e0l |STR_LEN: 158 |STR_TIME: 0.6412601470947266
> STR_ID: 5e0m |STR_LEN: 157 |STR_TIME: 0.6292967796325684
> STR_ID: 5e0n |STR_LEN: 393 |STR_TIME: 0.6978111267089844
> STR_ID: 5e0o |STR_LEN: 468 |STR_TIME: 2.2661077976226807
> STR_ID: 5e0q |STR_LEN: 423 |STR_TIME: 1.6942460536956787
> STR_ID: 5e0r |STR_LEN: 279 |STR_TIME: 0.8215720653533936
> STR_ID: 5e0s |STR_LEN: 5397 |STR_TIME: 18.92330288887024
> STR_ID: 5e0t |STR_LEN: 989 |STR_TIME: 1.5630290508270264
> STR_ID: 5e0u |STR_LEN: 1521 |STR_TIME: 1.8684370517730713
> STR_ID: 5e0v |STR_LEN: 622 |STR_TIME: 1.9295928478240967
> STR_ID: 5e0w |STR_LEN: 689 |STR_TIME: 1.8746287822723389
> STR_ID: 5e0x |STR_LEN: 706 |STR_TIME: 1.8103790283203125
> STR_ID: 5e0y |STR_LEN: 126 |STR_TIME: 0.26437807083129883
> STR_ID: 5e0z |STR_LEN: 236 |STR_TIME: 0.3411288261413574
>> FINISH_DIR: ./data/e/e0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 162 |DIR_TIME: 335.5963840484619 

>> START_DIR: ./data/e/e1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1e10 |STR_LEN: 130 |STR_TIME: 8.759698867797852
> STR_ID: 1e12 |STR_LEN: 349 |STR_TIME: 0.5913987159729004
> STR_ID: 1e14 |STR_LEN: 951 |STR_TIME: 1.9066150188446045
> STR_ID: 1e15 |STR_LEN: 1251 |STR_TIME: 1.9270317554473877
> STR_ID: 1e17 |STR_LEN: 90 |STR_TIME: 6.185564041137695
> STR_ID: 1e18 |STR_LEN: 1179 |STR_TIME: 1.588150978088379
> STR_ID: 1e19 |STR_LEN: 1346 |STR_TIME: 1.464261770248413
> STR_ID: 1e1a |STR_LEN: 670 |STR_TIME: 0.7244658470153809
> STR_ID: 1e1c |STR_LEN: 4221 |STR_TIME: 5.390083074569702
> STR_ID: 1e1d |STR_LEN: 970 |STR_TIME: 1.1414449214935303
> STR_ID: 1e1e |STR_LEN: 1316 |STR_TIME: 1.9121429920196533
> STR_ID: 1e1f |STR_LEN: 1338 |STR_TIME: 1.9286079406738281
> STR_ID: 1e1g |STR_LEN: 104 |STR_TIME: 7.2376549243927
> STR_ID: 1e1h |STR_LEN: 1569 |STR_TIME: 1.754624843597412
> STR_ID: 1e1j |STR_LEN: 104 |STR_TIME: 0.4073619842529297
> STR_ID: 1e1k |STR_LEN: 803 |STR_TIME: 0.9537160396575928
> STR_ID: 1e1l |STR_LEN: 566 |STR_TIME: 0.9181399345397949
> STR_ID: 1e1m |STR_LEN: 850 |STR_TIME: 1.0881342887878418
> STR_ID: 1e1n |STR_LEN: 575 |STR_TIME: 0.9915149211883545
> STR_ID: 1e1o |STR_LEN: 854 |STR_TIME: 1.0366439819335938
> STR_ID: 1e1p |STR_LEN: 104 |STR_TIME: 7.408740997314453
> STR_ID: 1e1q |STR_LEN: 3532 |STR_TIME: 5.657392740249634
> STR_ID: 1e1r |STR_LEN: 3851 |STR_TIME: 6.013046026229858
> STR_ID: 1e1s |STR_LEN: 104 |STR_TIME: 0.4389960765838623
> STR_ID: 1e1t |STR_LEN: 833 |STR_TIME: 1.0949060916900635
> STR_ID: 1e1u |STR_LEN: 104 |STR_TIME: 7.223257064819336
> STR_ID: 1e1v |STR_LEN: 465 |STR_TIME: 0.6902332305908203
> STR_ID: 1e1w |STR_LEN: 104 |STR_TIME: 0.39873194694519043
> STR_ID: 1e1x |STR_LEN: 435 |STR_TIME: 0.7717208862304688
> STR_ID: 1e1y |STR_LEN: 1461 |STR_TIME: 2.214055061340332
> STR_ID: 1e1z |STR_LEN: 655 |STR_TIME: 0.9363629817962646
> STR_ID: 2e10 |STR_LEN: 980 |STR_TIME: 0.9626278877258301
> STR_ID: 2e11 |STR_LEN: 1804 |STR_TIME: 2.2940969467163086
> STR_ID: 2e12 |STR_LEN: 308 |STR_TIME: 0.4074270725250244
> STR_ID: 2e15 |STR_LEN: 1103 |STR_TIME: 1.165266990661621
> STR_ID: 2e16 |STR_LEN: 915 |STR_TIME: 1.2542572021484375
> STR_ID: 2e17 |STR_LEN: 1042 |STR_TIME: 1.2205891609191895
> STR_ID: 2e18 |STR_LEN: 958 |STR_TIME: 1.1200978755950928
> STR_ID: 2e19 |STR_LEN: 64 |STR_TIME: 3.921004056930542
> STR_ID: 2e1a |STR_LEN: 585 |STR_TIME: 0.6834971904754639
> STR_ID: 2e1b |STR_LEN: 217 |STR_TIME: 0.45987820625305176
> STR_ID: 2e1c |STR_LEN: 314 |STR_TIME: 0.9751441478729248
> STR_ID: 2e1d |STR_LEN: 1298 |STR_TIME: 1.3454930782318115
> STR_ID: 2e1e |STR_LEN: 124 |STR_TIME: 0.21721124649047852
> STR_ID: 2e1f |STR_LEN: 147 |STR_TIME: 0.20331883430480957
> STR_ID: 2e1h |STR_LEN: 921 |STR_TIME: 1.011888027191162
> STR_ID: 2e1m |STR_LEN: 601 |STR_TIME: 1.1751651763916016
> STR_ID: 2e1n |STR_LEN: 368 |STR_TIME: 0.5139968395233154
> STR_ID: 2e1o |STR_LEN: 70 |STR_TIME: 4.722060918807983
> STR_ID: 2e1p |STR_LEN: 671 |STR_TIME: 0.8112649917602539
> STR_ID: 2e1q |STR_LEN: 6213 |STR_TIME: 10.730560064315796
> STR_ID: 2e1r |STR_LEN: 830 |STR_TIME: 1.9916410446166992
> STR_ID: 2e1s |STR_LEN: 612 |STR_TIME: 1.339892864227295
> STR_ID: 2e1t |STR_LEN: 1345 |STR_TIME: 2.2144668102264404
> STR_ID: 2e1u |STR_LEN: 1577 |STR_TIME: 2.101675033569336
> STR_ID: 2e1v |STR_LEN: 1826 |STR_TIME: 2.4490039348602295
> STR_ID: 2e1w |STR_LEN: 472 |STR_TIME: 0.8398160934448242
> STR_ID: 2e1x |STR_LEN: 28 |STR_TIME: 1.1317558288574219
> STR_ID: 2e1y |STR_LEN: 498 |STR_TIME: 0.779879093170166
> STR_ID: 2e1z |STR_LEN: 585 |STR_TIME: 0.8288390636444092
> STR_ID: 3e10 |STR_LEN: 852 |STR_TIME: 1.7029650211334229
> STR_ID: 3e11 |STR_LEN: 425 |STR_TIME: 0.5542569160461426
> STR_ID: 3e12 |STR_LEN: 1064 |STR_TIME: 1.265106201171875
> STR_ID: 3e13 |STR_LEN: 798 |STR_TIME: 0.8043897151947021
> STR_ID: 3e15 |STR_LEN: 1938 |STR_TIME: 2.8604469299316406
> STR_ID: 3e16 |STR_LEN: 450 |STR_TIME: 1.033243179321289
> STR_ID: 3e17 |STR_LEN: 362 |STR_TIME: 0.3782052993774414
> STR_ID: 3e18 |STR_LEN: 1118 |STR_TIME: 1.4410300254821777
> STR_ID: 3e19 |STR_LEN: 482 |STR_TIME: 0.5971240997314453
> STR_ID: 3e1e |STR_LEN: 1524 |STR_TIME: 2.0770397186279297
> STR_ID: 3e1f |STR_LEN: 4476 |STR_TIME: 8.072097778320312
> STR_ID: 3e1g |STR_LEN: 327 |STR_TIME: 0.5171971321105957
> STR_ID: 3e1h |STR_LEN: 1179 |STR_TIME: 1.5124399662017822
> STR_ID: 3e1i |STR_LEN: 1560 |STR_TIME: 2.6154658794403076
> STR_ID: 3e1j |STR_LEN: 2317 |STR_TIME: 3.950916051864624
> STR_ID: 3e1k |STR_LEN: 3258 |STR_TIME: 6.5167529582977295
> STR_ID: 3e1l |STR_LEN: 2414 |STR_TIME: 4.084578037261963
> STR_ID: 3e1m |STR_LEN: 2200 |STR_TIME: 4.218069076538086
> STR_ID: 3e1n |STR_LEN: 2176 |STR_TIME: 4.048506021499634
> STR_ID: 3e1o |STR_LEN: 2132 |STR_TIME: 4.10140585899353
> STR_ID: 3e1p |STR_LEN: 2817 |STR_TIME: 4.339298725128174
> STR_ID: 3e1q |STR_LEN: 2375 |STR_TIME: 4.1792802810668945
> STR_ID: 3e1r |STR_LEN: 213 |STR_TIME: 0.28318095207214355
> STR_ID: 3e1s |STR_LEN: 782 |STR_TIME: 1.0737202167510986
> STR_ID: 3e1t |STR_LEN: 679 |STR_TIME: 1.0008649826049805
> STR_ID: 3e1u |STR_LEN: 215 |STR_TIME: 0.427933931350708
> STR_ID: 3e1v |STR_LEN: 387 |STR_TIME: 0.7683069705963135
> STR_ID: 3e1w |STR_LEN: 379 |STR_TIME: 0.7419142723083496
> STR_ID: 3e1x |STR_LEN: 448 |STR_TIME: 0.5725507736206055
> STR_ID: 3e1y |STR_LEN: 2178 |STR_TIME: 4.400530815124512
> STR_ID: 3e1z |STR_LEN: 631 |STR_TIME: 0.7842197418212891
> STR_ID: 4e10 |STR_LEN: 524 |STR_TIME: 1.5311510562896729
> STR_ID: 4e11 |STR_LEN: 389 |STR_TIME: 1.1398131847381592
> STR_ID: 4e12 |STR_LEN: 357 |STR_TIME: 0.6489858627319336
> STR_ID: 4e13 |STR_LEN: 325 |STR_TIME: 0.5857462882995605
> STR_ID: 4e14 |STR_LEN: 460 |STR_TIME: 1.174800157546997
> STR_ID: 4e15 |STR_LEN: 1125 |STR_TIME: 1.3733079433441162
> STR_ID: 4e16 |STR_LEN: 229 |STR_TIME: 0.809751033782959
> STR_ID: 4e17 |STR_LEN: 325 |STR_TIME: 1.02815580368042
> STR_ID: 4e18 |STR_LEN: 367 |STR_TIME: 1.05509614944458
> STR_ID: 4e19 |STR_LEN: 573 |STR_TIME: 0.6453120708465576
> STR_ID: 4e1a |STR_LEN: 256 |STR_TIME: 0.6275489330291748
> STR_ID: 4e1b |STR_LEN: 510 |STR_TIME: 0.7894430160522461
> STR_ID: 4e1c |STR_LEN: 834 |STR_TIME: 1.42842698097229
> STR_ID: 4e1d |STR_LEN: 498 |STR_TIME: 1.3895881175994873
> STR_ID: 4e1e |STR_LEN: 390 |STR_TIME: 0.724207878112793
> STR_ID: 4e1f |STR_LEN: 836 |STR_TIME: 1.3854470252990723
> STR_ID: 4e1g |STR_LEN: 1873 |STR_TIME: 4.06239914894104
> STR_ID: 4e1h |STR_LEN: 135 |STR_TIME: 0.3941690921783447
> STR_ID: 4e1i |STR_LEN: 139 |STR_TIME: 0.22637414932250977
> STR_ID: 4e1j |STR_LEN: 2025 |STR_TIME: 3.345134735107422
> STR_ID: 4e1k |STR_LEN: 863 |STR_TIME: 1.693011999130249
> STR_ID: 4e1l |STR_LEN: 2427 |STR_TIME: 4.979374170303345
> STR_ID: 4e1m |STR_LEN: 200 |STR_TIME: 0.3480641841888428
> STR_ID: 4e1n |STR_LEN: 187 |STR_TIME: 0.3429110050201416
> STR_ID: 4e1o |STR_LEN: 4920 |STR_TIME: 10.683417081832886
> STR_ID: 4e1p |STR_LEN: 317 |STR_TIME: 0.3098771572113037
> STR_ID: 4e1q |STR_LEN: 340 |STR_TIME: 0.37103891372680664
> STR_ID: 4e1r |STR_LEN: 246 |STR_TIME: 0.2792189121246338
> STR_ID: 4e1s |STR_LEN: 419 |STR_TIME: 1.084014892578125
> STR_ID: 4e1t |STR_LEN: 375 |STR_TIME: 0.9672300815582275
> STR_ID: 4e1u |STR_LEN: 228 |STR_TIME: 0.6143908500671387
> STR_ID: 4e1v |STR_LEN: 2641 |STR_TIME: 8.335815191268921
> STR_ID: 4e1y |STR_LEN: 993 |STR_TIME: 2.448276996612549
> STR_ID: 4e1z |STR_LEN: 330 |STR_TIME: 0.9168920516967773
> STR_ID: 5e10 |STR_LEN: 268 |STR_TIME: 0.4540889263153076
> STR_ID: 5e11 |STR_LEN: 189 |STR_TIME: 0.7477281093597412
> STR_ID: 5e12 |STR_LEN: 533 |STR_TIME: 0.8468589782714844
> STR_ID: 5e13 |STR_LEN: 313 |STR_TIME: 0.43200206756591797
> STR_ID: 5e14 |STR_LEN: 581 |STR_TIME: 1.8530430793762207
> STR_ID: 5e15 |STR_LEN: 614 |STR_TIME: 1.7553191184997559
> STR_ID: 5e16 |STR_LEN: 243 |STR_TIME: 0.44362378120422363
> STR_ID: 5e17 |STR_LEN: 3696 |STR_TIME: 7.601770877838135
> STR_ID: 5e18 |STR_LEN: 3563 |STR_TIME: 8.622416019439697
> STR_ID: 5e19 |STR_LEN: 608 |STR_TIME: 2.6236379146575928
> STR_ID: 5e1a |STR_LEN: 537 |STR_TIME: 2.589036703109741
> STR_ID: 5e1b |STR_LEN: 961 |STR_TIME: 2.322824001312256
> STR_ID: 5e1c |STR_LEN: 807 |STR_TIME: 2.252539873123169
> STR_ID: 5e1d |STR_LEN: 915 |STR_TIME: 2.03869891166687
> STR_ID: 5e1e |STR_LEN: 793 |STR_TIME: 2.3471570014953613
> STR_ID: 5e1f |STR_LEN: 215 |STR_TIME: 0.6408131122589111
> STR_ID: 5e1g |STR_LEN: 1098 |STR_TIME: 1.534059762954712
> STR_ID: 5e1h |STR_LEN: 507 |STR_TIME: 1.5228726863861084
> STR_ID: 5e1i |STR_LEN: 1015 |STR_TIME: 1.6223728656768799
> STR_ID: 5e1j |STR_LEN: 630 |STR_TIME: 2.563537120819092
> STR_ID: 5e1k |STR_LEN: 328 |STR_TIME: 1.0021300315856934
> STR_ID: 5e1l |STR_LEN: 273 |STR_TIME: 0.4719109535217285
> STR_ID: 5e1m |STR_LEN: 930 |STR_TIME: 2.1797850131988525
> STR_ID: 5e1n |STR_LEN: 330 |STR_TIME: 2.7241060733795166
> STR_ID: 5e1o |STR_LEN: 891 |STR_TIME: 2.094884157180786
> STR_ID: 5e1p |STR_LEN: 333 |STR_TIME: 2.2845709323883057
> STR_ID: 5e1q |STR_LEN: 2058 |STR_TIME: 5.778074264526367
> STR_ID: 5e1r |STR_LEN: 2195 |STR_TIME: 5.783018112182617
> STR_ID: 5e1s |STR_LEN: 422 |STR_TIME: 1.101200819015503
> STR_ID: 5e1t |STR_LEN: 582 |STR_TIME: 2.0894839763641357
> STR_ID: 5e1u |STR_LEN: 369 |STR_TIME: 0.6119799613952637
> STR_ID: 5e1v |STR_LEN: 659 |STR_TIME: 1.3209178447723389
> STR_ID: 5e1w |STR_LEN: 416 |STR_TIME: 0.8609316349029541
> STR_ID: 5e1x |STR_LEN: 399 |STR_TIME: 0.507530927658081
> STR_ID: 5e1y |STR_LEN: 199 |STR_TIME: 0.7054281234741211
> STR_ID: 5e1z |STR_LEN: 334 |STR_TIME: 0.46895575523376465
>> FINISH_DIR: ./data/e/e1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 323 |DIR_TIME: 334.4318861961365 

>> START_DIR: ./data/e/e2/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1e20 |STR_LEN: 280 |STR_TIME: 0.4227328300476074
> STR_ID: 1e21 |STR_LEN: 257 |STR_TIME: 0.3644530773162842
> STR_ID: 1e22 |STR_LEN: 802 |STR_TIME: 1.0837550163269043
> STR_ID: 1e24 |STR_LEN: 852 |STR_TIME: 1.1649761199951172
> STR_ID: 1e25 |STR_LEN: 432 |STR_TIME: 0.7937989234924316
> STR_ID: 1e26 |STR_LEN: 308 |STR_TIME: 0.5086410045623779
> STR_ID: 1e27 |STR_LEN: 778 |STR_TIME: 1.2642927169799805
> STR_ID: 1e28 |STR_LEN: 383 |STR_TIME: 0.990818977355957
