>> START_DIR: ./data/t/t0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1t00 |STR_LEN: 262 |STR_TIME: 0.350830078125
> STR_ID: 1t1n |STR_LEN: 344 |STR_TIME: 0.6242830753326416
> STR_ID: 1t1o |STR_LEN: 73 |STR_TIME: 0.05611419677734375
> STR_ID: 1t1p |STR_LEN: 51 |STR_TIME: 2.619004011154175
> STR_ID: 1t1q |STR_LEN: 51 |STR_TIME: 2.6564857959747314
> STR_ID: 1t1r |STR_LEN: 890 |STR_TIME: 1.496002197265625
> STR_ID: 1t1s |STR_LEN: 961 |STR_TIME: 1.5203471183776855
> STR_ID: 1t1t |STR_LEN: 63 |STR_TIME: 4.446043968200684
> STR_ID: 1t1u |STR_LEN: 1005 |STR_TIME: 1.433274745941162
> STR_ID: 1t1v |STR_LEN: 330 |STR_TIME: 0.450092077255249
> STR_ID: 1t1w |STR_LEN: 702 |STR_TIME: 0.9421939849853516
> STR_ID: 1t1x |STR_LEN: 714 |STR_TIME: 0.9077110290527344
> STR_ID: 1t1y |STR_LEN: 803 |STR_TIME: 0.921356201171875
> STR_ID: 1t1z |STR_LEN: 818 |STR_TIME: 0.9292397499084473
> STR_ID: 3t10 |STR_LEN: 458 |STR_TIME: 1.5950520038604736
> STR_ID: 3t11 |STR_LEN: 274 |STR_TIME: 0.7429640293121338
> STR_ID: 3t12 |STR_LEN: 638 |STR_TIME: 0.925947904586792
> STR_ID: 3t13 |STR_LEN: 534 |STR_TIME: 1.1707167625427246
> STR_ID: 3t14 |STR_LEN: 613 |STR_TIME: 1.5105819702148438
> STR_ID: 3t15 |STR_LEN: 263 |STR_TIME: 0.8825197219848633
> STR_ID: 3t16 |STR_LEN: 195 |STR_TIME: 0.5192587375640869
> STR_ID: 3t19 |STR_LEN: 1151 |STR_TIME: 1.9655301570892334
> STR_ID: 3t1a |STR_LEN: 1223 |STR_TIME: 1.9655349254608154
> STR_ID: 3t1b |STR_LEN: 1358 |STR_TIME: 4.141476154327393
> STR_ID: 3t1c |STR_LEN: 203 |STR_TIME: 0.7241969108581543
> STR_ID: 3t1d |STR_LEN: 795 |STR_TIME: 2.2571170330047607
> STR_ID: 3t1e |STR_LEN: 966 |STR_TIME: 5.226188898086548
> STR_ID: 3t1f |STR_LEN: 754 |STR_TIME: 2.801118850708008
> STR_ID: 3t1g |STR_LEN: 490 |STR_TIME: 2.4508419036865234
> STR_ID: 3t1h |STR_LEN: 4111 |STR_TIME: 16.6713228225708
> STR_ID: 3t1i |STR_LEN: 1608 |STR_TIME: 3.092474937438965
> STR_ID: 3t1k |STR_LEN: 783 |STR_TIME: 1.7294120788574219
> STR_ID: 3t1l |STR_LEN: 263 |STR_TIME: 0.5922811031341553
> STR_ID: 3t1m |STR_LEN: 306 |STR_TIME: 0.6080238819122314
> STR_ID: 3t1n |STR_LEN: 455 |STR_TIME: 2.2330451011657715
> STR_ID: 3t1o |STR_LEN: 481 |STR_TIME: 0.8329789638519287
> STR_ID: 3t1p |STR_LEN: 371 |STR_TIME: 0.7176268100738525
> STR_ID: 3t1q |STR_LEN: 492 |STR_TIME: 0.8977458477020264
> STR_ID: 3t1r |STR_LEN: 776 |STR_TIME: 1.1667518615722656
> STR_ID: 3t1s |STR_LEN: 194 |STR_TIME: 0.341754674911499
> STR_ID: 3t1t |STR_LEN: 898 |STR_TIME: 1.697563886642456
> STR_ID: 3t1u |STR_LEN: 287 |STR_TIME: 0.4046483039855957
> STR_ID: 3t1v |STR_LEN: 841 |STR_TIME: 1.5589451789855957
> STR_ID: 3t1w |STR_LEN: 486 |STR_TIME: 1.3632688522338867
> STR_ID: 3t1x |STR_LEN: 134 |STR_TIME: 0.34116411209106445
> STR_ID: 3t1y |STR_LEN: 4112 |STR_TIME: 13.440921068191528
> STR_ID: 5t10 |STR_LEN: 626 |STR_TIME: 1.8863451480865479
> STR_ID: 5t11 |STR_LEN: 2284 |STR_TIME: 5.682605981826782
> STR_ID: 5t12 |STR_LEN: 284 |STR_TIME: 0.520596981048584
> STR_ID: 5t13 |STR_LEN: 551 |STR_TIME: 1.3988337516784668
> STR_ID: 5t14 |STR_LEN: 995 |STR_TIME: 2.038588047027588
> STR_ID: 5t15 |STR_LEN: 17116 |STR_TIME: 31.254388332366943
> STR_ID: 5t16 |STR_LEN: 2510 |STR_TIME: 5.046323776245117
> STR_ID: 5t17 |STR_LEN: 85 |STR_TIME: 8.808414220809937
> STR_ID: 5t18 |STR_LEN: 409 |STR_TIME: 1.061659336090088
> STR_ID: 5t19 |STR_LEN: 470 |STR_TIME: 1.2286250591278076
> STR_ID: 5t1a |STR_LEN: 470 |STR_TIME: 1.6572020053863525
> STR_ID: 5t1d |STR_LEN: 1360 |STR_TIME: 7.1985228061676025
> STR_ID: 5t1g |STR_LEN: 91 |STR_TIME: 0.34496498107910156
> STR_ID: 5t1i |STR_LEN: 207 |STR_TIME: 0.6005141735076904
> STR_ID: 5t1j |STR_LEN: 480 |STR_TIME: 2.358872890472412
> STR_ID: 5t1k |STR_LEN: 1407 |STR_TIME: 1.9777610301971436
> STR_ID: 5t1l |STR_LEN: 1437 |STR_TIME: 3.358497142791748
> STR_ID: 5t1m |STR_LEN: 1380 |STR_TIME: 3.3216118812561035
> STR_ID: 5t1n |STR_LEN: 85 |STR_TIME: 5.666305065155029
> STR_ID: 5t1o |STR_LEN: 340 |STR_TIME: 23.585411071777344
> STR_ID: 5t1p |STR_LEN: 4243 |STR_TIME: 10.092836856842041
> STR_ID: 5t1s |STR_LEN: 1252 |STR_TIME: 2.1241979598999023
> STR_ID: 5t1t |STR_LEN: 1229 |STR_TIME: 2.0469038486480713
> STR_ID: 5t1u |STR_LEN: 668 |STR_TIME: 1.1677699089050293
> STR_ID: 5t1v |STR_LEN: 321 |STR_TIME: 1.222299337387085
> STR_ID: 5t1w |STR_LEN: 383 |STR_TIME: 0.8246850967407227
> STR_ID: 5t1x |STR_LEN: 1596 |STR_TIME: 3.238908290863037
> STR_ID: 5t1y |STR_LEN: 1119 |STR_TIME: 3.2756872177124023
>> FINISH_DIR: ./data/t/t1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 191 |DIR_TIME: 268.53712797164917 

>> START_DIR: ./data/t/t2/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1t20 |STR_LEN: 671 |STR_TIME: 0.9566848278045654
> STR_ID: 1t21 |STR_LEN: 747 |STR_TIME: 0.9290750026702881
> STR_ID: 1t22 |STR_LEN: 739 |STR_TIME: 0.9174857139587402
> STR_ID: 1t23 |STR_LEN: 93 |STR_TIME: 2.690140962600708
> STR_ID: 1t24 |STR_LEN: 640 |STR_TIME: 0.7815029621124268
> STR_ID: 1t25 |STR_LEN: 551 |STR_TIME: 0.7002568244934082
> STR_ID: 1t26 |STR_LEN: 587 |STR_TIME: 0.7044849395751953
> STR_ID: 1t27 |STR_LEN: 414 |STR_TIME: 0.6201772689819336
> STR_ID: 1t28 |STR_LEN: 34 |STR_TIME: 0.2672560214996338
> STR_ID: 1t29 |STR_LEN: 458 |STR_TIME: 0.5221419334411621
> STR_ID: 1t2a |STR_LEN: 2357 |STR_TIME: 3.1703526973724365
> STR_ID: 1t2b |STR_LEN: 1784 |STR_TIME: 1.8759739398956299
> STR_ID: 1t2c |STR_LEN: 542 |STR_TIME: 0.7171027660369873
> STR_ID: 1t2d |STR_LEN: 613 |STR_TIME: 1.2791571617126465
> STR_ID: 1t2e |STR_LEN: 562 |STR_TIME: 0.7203950881958008
> STR_ID: 1t2f |STR_LEN: 1569 |STR_TIME: 2.676481008529663
> STR_ID: 1t2h |STR_LEN: 782 |STR_TIME: 1.0564658641815186
> STR_ID: 1t2i |STR_LEN: 339 |STR_TIME: 0.5183150768280029
> STR_ID: 1t2j |STR_LEN: 256 |STR_TIME: 0.2947061061859131
> STR_ID: 1t2k |STR_LEN: 411 |STR_TIME: 1.0294289588928223
> STR_ID: 1t2l |STR_LEN: 293 |STR_TIME: 0.5459620952606201
> STR_ID: 1t2m |STR_LEN: 93 |STR_TIME: 5.999003887176514
> STR_ID: 1t2n |STR_LEN: 372 |STR_TIME: 0.4617741107940674
> STR_ID: 1t2o |STR_LEN: 478 |STR_TIME: 0.8711662292480469
> STR_ID: 1t2p |STR_LEN: 790 |STR_TIME: 1.0228838920593262
> STR_ID: 1t2q |STR_LEN: 1049 |STR_TIME: 1.030975341796875
> STR_ID: 1t2r |STR_LEN: 125 |STR_TIME: 4.553622007369995
> STR_ID: 1t2s |STR_LEN: 125 |STR_TIME: 4.505741119384766
> STR_ID: 1t2t |STR_LEN: 211 |STR_TIME: 0.48139429092407227
> STR_ID: 1t2u |STR_LEN: 261 |STR_TIME: 0.46158504486083984
> STR_ID: 1t2v |STR_LEN: 1101 |STR_TIME: 2.154676914215088
> STR_ID: 1t2w |STR_LEN: 651 |STR_TIME: 0.9102392196655273
> STR_ID: 1t2x |STR_LEN: 957 |STR_TIME: 1.315046787261963
> STR_ID: 1t2y |STR_LEN: 25 |STR_TIME: 0.08569097518920898
> STR_ID: 3t20 |STR_LEN: 459 |STR_TIME: 0.7627861499786377
> STR_ID: 3t22 |STR_LEN: 1217 |STR_TIME: 1.7760019302368164
> STR_ID: 3t24 |STR_LEN: 1374 |STR_TIME: 3.8462719917297363
> STR_ID: 3t25 |STR_LEN: 389 |STR_TIME: 0.5072250366210938
> STR_ID: 3t26 |STR_LEN: 395 |STR_TIME: 0.4916880130767822
> STR_ID: 3t27 |STR_LEN: 362 |STR_TIME: 0.48163390159606934
> STR_ID: 3t28 |STR_LEN: 264 |STR_TIME: 0.4531590938568115
> STR_ID: 3t29 |STR_LEN: 473 |STR_TIME: 0.5316612720489502
> STR_ID: 3t2a |STR_LEN: 87 |STR_TIME: 0.16042304039001465
> STR_ID: 3t2b |STR_LEN: 701 |STR_TIME: 0.9472360610961914
> STR_ID: 3t2c |STR_LEN: 767 |STR_TIME: 1.7668368816375732
> STR_ID: 3t2d |STR_LEN: 757 |STR_TIME: 1.6040818691253662
> STR_ID: 3t2e |STR_LEN: 664 |STR_TIME: 1.1755049228668213
> STR_ID: 3t2f |STR_LEN: 551 |STR_TIME: 0.9734690189361572
> STR_ID: 3t2g |STR_LEN: 392 |STR_TIME: 0.7884519100189209
> STR_ID: 3t2h |STR_LEN: 785 |STR_TIME: 0.8360581398010254
> STR_ID: 3t2i |STR_LEN: 525 |STR_TIME: 0.7327427864074707
> STR_ID: 3t2j |STR_LEN: 683 |STR_TIME: 0.7605781555175781
> STR_ID: 3t2k |STR_LEN: 599 |STR_TIME: 1.55796217918396
> STR_ID: 3t2l |STR_LEN: 432 |STR_TIME: 1.0855810642242432
> STR_ID: 3t2m |STR_LEN: 205 |STR_TIME: 0.721304178237915
> STR_ID: 3t2n |STR_LEN: 1820 |STR_TIME: 6.409414291381836
> STR_ID: 3t2o |STR_LEN: 8943 |STR_TIME: 9.64250922203064
> STR_ID: 3t2p |STR_LEN: 5457 |STR_TIME: 8.819138050079346
> STR_ID: 3t2q |STR_LEN: 6286 |STR_TIME: 8.865785837173462
> STR_ID: 3t2s |STR_LEN: 837 |STR_TIME: 1.7920029163360596
> STR_ID: 3t2t |STR_LEN: 403 |STR_TIME: 0.9902098178863525
> STR_ID: 3t2v |STR_LEN: 1084 |STR_TIME: 1.4860877990722656
> STR_ID: 3t2w |STR_LEN: 225 |STR_TIME: 0.486602783203125
> STR_ID: 3t2x |STR_LEN: 1020 |STR_TIME: 1.923875093460083
> STR_ID: 3t2y |STR_LEN: 480 |STR_TIME: 1.4868919849395752
> STR_ID: 3t2z |STR_LEN: 1498 |STR_TIME: 2.093299150466919
> STR_ID: 5t20 |STR_LEN: 2622 |STR_TIME: 6.613101243972778
> STR_ID: 5t23 |STR_LEN: 822 |STR_TIME: 1.6941380500793457
> STR_ID: 5t25 |STR_LEN: 1257 |STR_TIME: 1.187736988067627
> STR_ID: 5t26 |STR_LEN: 1110 |STR_TIME: 1.1554780006408691
> STR_ID: 5t27 |STR_LEN: 838 |STR_TIME: 1.6433720588684082
> STR_ID: 5t28 |STR_LEN: 835 |STR_TIME: 1.7848129272460938
> STR_ID: 5t29 |STR_LEN: 735 |STR_TIME: 2.1209442615509033
> STR_ID: 5t2a |STR_LEN: 16210 |STR_TIME: 52.241482973098755
> STR_ID: 5t2b |STR_LEN: 866 |STR_TIME: 1.818444013595581
> STR_ID: 5t2c |STR_LEN: 17474 |STR_TIME: 57.64588189125061
> STR_ID: 5t2d |STR_LEN: 827 |STR_TIME: 1.798306941986084
> STR_ID: 5t2e |STR_LEN: 235 |STR_TIME: 0.49584102630615234
> STR_ID: 5t2f |STR_LEN: 1140 |STR_TIME: 5.643923997879028
> STR_ID: 5t2g |STR_LEN: 870 |STR_TIME: 1.6701691150665283
> STR_ID: 5t2h |STR_LEN: 373 |STR_TIME: 0.8220949172973633
> STR_ID: 5t2i |STR_LEN: 881 |STR_TIME: 1.640251874923706
> STR_ID: 5t2k |STR_LEN: 2579 |STR_TIME: 5.103961229324341
> STR_ID: 5t2l |STR_LEN: 891 |STR_TIME: 1.8017919063568115
> STR_ID: 5t2m |STR_LEN: 822 |STR_TIME: 1.6746129989624023
> STR_ID: 5t2n |STR_LEN: 406 |STR_TIME: 0.8373098373413086
> STR_ID: 5t2o |STR_LEN: 360 |STR_TIME: 0.8094263076782227
> STR_ID: 5t2p |STR_LEN: 1532 |STR_TIME: 3.406557083129883
> STR_ID: 5t2s |STR_LEN: 700 |STR_TIME: 1.2184407711029053
> STR_ID: 5t2u |STR_LEN: 1699 |STR_TIME: 3.3484139442443848
> STR_ID: 5t2v |STR_LEN: 440 |STR_TIME: 0.8736400604248047
> STR_ID: 5t2w |STR_LEN: 403 |STR_TIME: 1.3513216972351074
> STR_ID: 5t2x |STR_LEN: 1054 |STR_TIME: 2.9922878742218018
> STR_ID: 5t2y |STR_LEN: 752 |STR_TIME: 0.9776442050933838
> STR_ID: 5t2z |STR_LEN: 289 |STR_TIME: 0.910728931427002
>> FINISH_DIR: ./data/t/t2/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 286 |DIR_TIME: 279.2748579978943 

>> START_DIR: ./data/t/t3/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1t31 |STR_LEN: 458 |STR_TIME: 0.5870258808135986
> STR_ID: 1t32 |STR_LEN: 491 |STR_TIME: 0.5522880554199219
> STR_ID: 1t33 |STR_LEN: 628 |STR_TIME: 0.8917648792266846
> STR_ID: 1t34 |STR_LEN: 878 |STR_TIME: 1.7094237804412842
> STR_ID: 1t35 |STR_LEN: 1501 |STR_TIME: 2.8132359981536865
> STR_ID: 1t36 |STR_LEN: 9741 |STR_TIME: 12.712642192840576
> STR_ID: 1t37 |STR_LEN: 182 |STR_TIME: 0.31303882598876953
> STR_ID: 1t38 |STR_LEN: 179 |STR_TIME: 0.4631030559539795
> STR_ID: 1t39 |STR_LEN: 351 |STR_TIME: 0.8513691425323486
> STR_ID: 1t3a |STR_LEN: 1144 |STR_TIME: 1.8109469413757324
> STR_ID: 1t3b |STR_LEN: 219 |STR_TIME: 0.4258880615234375
> STR_ID: 1t3c |STR_LEN: 1314 |STR_TIME: 1.7610137462615967
> STR_ID: 1t3d |STR_LEN: 1205 |STR_TIME: 1.636101245880127
> STR_ID: 1t3e |STR_LEN: 830 |STR_TIME: 1.5642759799957275
> STR_ID: 1t3f |STR_LEN: 837 |STR_TIME: 0.9997830390930176
> STR_ID: 1t3g |STR_LEN: 494 |STR_TIME: 0.7144670486450195
> STR_ID: 1t3h |STR_LEN: 746 |STR_TIME: 1.1932520866394043
> STR_ID: 1t3i |STR_LEN: 1389 |STR_TIME: 1.665187120437622
> STR_ID: 1t3j |STR_LEN: 95 |STR_TIME: 0.17968082427978516
> STR_ID: 1t3k |STR_LEN: 133 |STR_TIME: 9.236594915390015
> STR_ID: 1t3l |STR_LEN: 451 |STR_TIME: 0.6905038356781006
> STR_ID: 1t3m |STR_LEN: 1266 |STR_TIME: 1.2131738662719727
> STR_ID: 1t3n |STR_LEN: 1243 |STR_TIME: 3.2159929275512695
> STR_ID: 1t3o |STR_LEN: 84 |STR_TIME: 3.8554792404174805
> STR_ID: 1t3p |STR_LEN: 318 |STR_TIME: 0.3383200168609619
> STR_ID: 1t3q |STR_LEN: 5026 |STR_TIME: 5.200042009353638
> STR_ID: 1t3r |STR_LEN: 463 |STR_TIME: 0.8430020809173584
> STR_ID: 1t3s |STR_LEN: 382 |STR_TIME: 0.6119349002838135
> STR_ID: 1t3t |STR_LEN: 2373 |STR_TIME: 2.6470887660980225
> STR_ID: 1t3u |STR_LEN: 416 |STR_TIME: 0.7261197566986084
> STR_ID: 1t3v |STR_LEN: 124 |STR_TIME: 8.763129949569702
> STR_ID: 1t3w |STR_LEN: 275 |STR_TIME: 0.54787278175354
> STR_ID: 1t3x |STR_LEN: 269 |STR_TIME: 0.3054320812225342
> STR_ID: 1t3y |STR_LEN: 361 |STR_TIME: 0.5727920532226562
> STR_ID: 1t3z |STR_LEN: 1295 |STR_TIME: 1.644698143005371
> STR_ID: 3t30 |STR_LEN: 1594 |STR_TIME: 1.9293811321258545
> STR_ID: 3t31 |STR_LEN: 740 |STR_TIME: 1.4812591075897217
> STR_ID: 3t32 |STR_LEN: 1172 |STR_TIME: 2.6048381328582764
> STR_ID: 3t33 |STR_LEN: 475 |STR_TIME: 0.7808361053466797
> STR_ID: 3t34 |STR_LEN: 1057 |STR_TIME: 1.4337983131408691
> STR_ID: 3t35 |STR_LEN: 1741 |STR_TIME: 2.6029748916625977
