>> START_DIR: ./data/k/k0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1k01 |STR_LEN: 3163 |STR_TIME: 14.32282280921936
> STR_ID: 2k0l |STR_LEN: 210 |STR_TIME: 12.660591125488281
> STR_ID: 2k0m |STR_LEN: 104 |STR_TIME: 7.7735137939453125
> STR_ID: 2k0n |STR_LEN: 85 |STR_TIME: 5.349785804748535
> STR_ID: 2k0p |STR_LEN: 56 |STR_TIME: 0.17413783073425293
> STR_ID: 2k0q |STR_LEN: 74 |STR_TIME: 4.7153589725494385
> STR_ID: 2k0r |STR_LEN: 128 |STR_TIME: 7.995820045471191
> STR_ID: 2k0s |STR_LEN: 130 |STR_TIME: 2.141836643218994
> STR_ID: 2k0t |STR_LEN: 25 |STR_TIME: 2.1135830879211426
> STR_ID: 2k0u |STR_LEN: 25 |STR_TIME: 0.21575093269348145
> STR_ID: 2k0v |STR_LEN: 24 |STR_TIME: 0.19543099403381348
> STR_ID: 2k0x |STR_LEN: 87 |STR_TIME: 5.25734806060791
> STR_ID: 2k0y |STR_LEN: 86 |STR_TIME: 5.070364952087402
> STR_ID: 2k0z |STR_LEN: 110 |STR_TIME: 7.399888038635254
> STR_ID: 3k00 |STR_LEN: 951 |STR_TIME: 0.8799428939819336
> STR_ID: 3k01 |STR_LEN: 1017 |STR_TIME: 0.8850078582763672
> STR_ID: 3k02 |STR_LEN: 780 |STR_TIME: 0.9635429382324219
> STR_ID: 3k03 |STR_LEN: 331 |STR_TIME: 0.4210481643676758
> STR_ID: 3k04 |STR_LEN: 346 |STR_TIME: 0.4197201728820801
> STR_ID: 3k05 |STR_LEN: 875 |STR_TIME: 1.5909721851348877
> STR_ID: 3k06 |STR_LEN: 322 |STR_TIME: 0.4205169677734375
> STR_ID: 3k07 |STR_LEN: 1025 |STR_TIME: 3.255831003189087
> STR_ID: 3k08 |STR_LEN: 336 |STR_TIME: 0.4344761371612549
> STR_ID: 3k09 |STR_LEN: 3053 |STR_TIME: 5.416857719421387
> STR_ID: 3k0a |STR_LEN: 3121 |STR_TIME: 5.393916130065918
> STR_ID: 3k0b |STR_LEN: 902 |STR_TIME: 0.9400198459625244
> STR_ID: 3k0c |STR_LEN: 3119 |STR_TIME: 5.577408075332642
> STR_ID: 3k0d |STR_LEN: 262 |STR_TIME: 0.4194619655609131
> STR_ID: 3k0e |STR_LEN: 3065 |STR_TIME: 5.5559680461883545
> STR_ID: 3k0f |STR_LEN: 3156 |STR_TIME: 5.552824974060059
> STR_ID: 3k0g |STR_LEN: 264 |STR_TIME: 0.4143209457397461
> STR_ID: 3k0h |STR_LEN: 236 |STR_TIME: 0.4536170959472656
> STR_ID: 3k0i |STR_LEN: 1017 |STR_TIME: 3.2713968753814697
> STR_ID: 3k0j |STR_LEN: 536 |STR_TIME: 1.5414948463439941
> STR_ID: 3k0k |STR_LEN: 229 |STR_TIME: 0.4456300735473633
> STR_ID: 3k0l |STR_LEN: 347 |STR_TIME: 0.9713630676269531
> STR_ID: 3k0m |STR_LEN: 433 |STR_TIME: 1.0844180583953857
> STR_ID: 3k0n |STR_LEN: 295 |STR_TIME: 1.0116841793060303
> STR_ID: 3k0o |STR_LEN: 283 |STR_TIME: 0.851719856262207
> STR_ID: 3k0p |STR_LEN: 380 |STR_TIME: 0.8724899291992188
> STR_ID: 3k0q |STR_LEN: 259 |STR_TIME: 0.6013097763061523
> STR_ID: 3k0r |STR_LEN: 223 |STR_TIME: 0.5931720733642578
> STR_ID: 3k0s |STR_LEN: 2345 |STR_TIME: 5.765013933181763
> STR_ID: 3k0t |STR_LEN: 621 |STR_TIME: 0.7453277111053467
> STR_ID: 3k0v |STR_LEN: 770 |STR_TIME: 0.7618918418884277
> STR_ID: 3k0w |STR_LEN: 199 |STR_TIME: 0.6536920070648193
> STR_ID: 3k0x |STR_LEN: 254 |STR_TIME: 0.2677440643310547
> STR_ID: 3k0y |STR_LEN: 256 |STR_TIME: 0.4407796859741211
> STR_ID: 3k0z |STR_LEN: 619 |STR_TIME: 0.712183952331543
> STR_ID: 4k00 |STR_LEN: 457 |STR_TIME: 0.9728219509124756
> STR_ID: 4k02 |STR_LEN: 306 |STR_TIME: 0.8592920303344727
> STR_ID: 4k03 |STR_LEN: 1126 |STR_TIME: 2.0174872875213623
> STR_ID: 4k05 |STR_LEN: 1955 |STR_TIME: 1.8048670291900635
> STR_ID: 4k06 |STR_LEN: 501 |STR_TIME: 0.8711040019989014
> STR_ID: 4k07 |STR_LEN: 1114 |STR_TIME: 5.1802308559417725
> STR_ID: 4k08 |STR_LEN: 222 |STR_TIME: 0.5408380031585693
> STR_ID: 4k09 |STR_LEN: 433 |STR_TIME: 0.8031859397888184
> STR_ID: 4k0a |STR_LEN: 529 |STR_TIME: 1.8804349899291992
> STR_ID: 4k0b |STR_LEN: 1406 |STR_TIME: 1.6670808792114258
> STR_ID: 4k0c |STR_LEN: 321 |STR_TIME: 0.5731656551361084
> STR_ID: 4k0d |STR_LEN: 511 |STR_TIME: 0.5904710292816162
> STR_ID: 4k0e |STR_LEN: 2880 |STR_TIME: 9.109292984008789
> STR_ID: 4k0g |STR_LEN: 633 |STR_TIME: 0.9827489852905273
> STR_ID: 4k0j |STR_LEN: 5746 |STR_TIME: 18.05878472328186
> STR_ID: 4k0k |STR_LEN: 3918 |STR_TIME: 12.509912252426147
> STR_ID: 4k0n |STR_LEN: 656 |STR_TIME: 0.9629318714141846
> STR_ID: 4k0o |STR_LEN: 244 |STR_TIME: 0.3833637237548828
> STR_ID: 4k0r |STR_LEN: 534 |STR_TIME: 0.9118239879608154
> STR_ID: 4k0s |STR_LEN: 525 |STR_TIME: 0.6051208972930908
> STR_ID: 4k0t |STR_LEN: 501 |STR_TIME: 0.6038360595703125
> STR_ID: 4k0u |STR_LEN: 124 |STR_TIME: 0.24093270301818848
> STR_ID: 4k0v |STR_LEN: 731 |STR_TIME: 1.3623569011688232
> STR_ID: 4k0w |STR_LEN: 534 |STR_TIME: 0.7850179672241211
> STR_ID: 4k0x |STR_LEN: 500 |STR_TIME: 0.5499668121337891
> STR_ID: 4k0y |STR_LEN: 462 |STR_TIME: 1.0186290740966797
> STR_ID: 4k0z |STR_LEN: 570 |STR_TIME: 0.6140451431274414
> STR_ID: 5k00 |STR_LEN: 547 |STR_TIME: 1.1848278045654297
> STR_ID: 5k01 |STR_LEN: 445 |STR_TIME: 1.3070588111877441
> STR_ID: 5k02 |STR_LEN: 4404 |STR_TIME: 6.322943210601807
> STR_ID: 5k03 |STR_LEN: 401 |STR_TIME: 0.8466091156005859
> STR_ID: 5k04 |STR_LEN: 1218 |STR_TIME: 3.171121835708618
> STR_ID: 5k05 |STR_LEN: 607 |STR_TIME: 1.5309202671051025
> STR_ID: 5k06 |STR_LEN: 197 |STR_TIME: 0.3873152732849121
> STR_ID: 5k07 |STR_LEN: 170 |STR_TIME: 0.25102996826171875
> STR_ID: 5k08 |STR_LEN: 273 |STR_TIME: 0.5775518417358398
> STR_ID: 5k09 |STR_LEN: 5803 |STR_TIME: 17.348241090774536
> STR_ID: 5k0b |STR_LEN: 2459 |STR_TIME: 6.015053749084473
> STR_ID: 5k0c |STR_LEN: 833 |STR_TIME: 1.076798915863037
> STR_ID: 5k0d |STR_LEN: 849 |STR_TIME: 1.037322998046875
> STR_ID: 5k0e |STR_LEN: 276 |STR_TIME: 0.7950520515441895
> STR_ID: 5k0f |STR_LEN: 767 |STR_TIME: 0.9874758720397949
> STR_ID: 5k0g |STR_LEN: 696 |STR_TIME: 0.9737811088562012
> STR_ID: 5k0h |STR_LEN: 431 |STR_TIME: 0.6236181259155273
> STR_ID: 5k0i |STR_LEN: 287 |STR_TIME: 0.6705381870269775
> STR_ID: 5k0j |STR_LEN: 783 |STR_TIME: 1.0526206493377686
> STR_ID: 5k0k |STR_LEN: 545 |STR_TIME: 2.660594940185547
> STR_ID: 5k0l |STR_LEN: 1462 |STR_TIME: 1.872809886932373
> STR_ID: 5k0m |STR_LEN: 726 |STR_TIME: 1.4570178985595703
> STR_ID: 5k0n |STR_LEN: 1517 |STR_TIME: 1.9192521572113037
> STR_ID: 5k0p |STR_LEN: 1458 |STR_TIME: 3.5628669261932373
> STR_ID: 5k0s |STR_LEN: 1700 |STR_TIME: 4.911895036697388
> STR_ID: 5k0t |STR_LEN: 1625 |STR_TIME: 4.670551061630249
> STR_ID: 5k0u |STR_LEN: 852 |STR_TIME: 1.4241647720336914
> STR_ID: 5k0w |STR_LEN: 631 |STR_TIME: 1.1178340911865234
> STR_ID: 5k0x |STR_LEN: 614 |STR_TIME: 1.8943099975585938
> STR_ID: 5k0y |STR_LEN: 7919 |STR_TIME: 21.453409910202026
> STR_ID: 5k0z |STR_LEN: 1309 |STR_TIME: 2.2408838272094727
>> FINISH_DIR: ./data/k/k0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 156 |DIR_TIME: 656.2688210010529 

>> START_DIR: ./data/k/k1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1k12 |STR_LEN: 291 |STR_TIME: 0.3571040630340576
> STR_ID: 1k18 |STR_LEN: 31 |STR_TIME: 0.13219118118286133
> STR_ID: 1k19 |STR_LEN: 112 |STR_TIME: 7.9026947021484375
> STR_ID: 1k1a |STR_LEN: 423 |STR_TIME: 0.6077780723571777
> STR_ID: 1k1b |STR_LEN: 426 |STR_TIME: 0.6083688735961914
> STR_ID: 1k1c |STR_LEN: 84 |STR_TIME: 6.503427028656006
> STR_ID: 1k1d |STR_LEN: 3696 |STR_TIME: 6.478355884552002
> STR_ID: 1k1e |STR_LEN: 3555 |STR_TIME: 4.153814077377319
> STR_ID: 1k1f |STR_LEN: 947 |STR_TIME: 1.112910270690918
> STR_ID: 1k1g |STR_LEN: 133 |STR_TIME: 4.874095678329468
> STR_ID: 1k1h |STR_LEN: 15 |STR_TIME: 0.15296316146850586
> STR_ID: 1k1i |STR_LEN: 370 |STR_TIME: 0.47163820266723633
> STR_ID: 1k1j |STR_LEN: 341 |STR_TIME: 0.4582819938659668
> STR_ID: 1k1k |STR_LEN: 404 |STR_TIME: 0.5710940361022949
> STR_ID: 1k1l |STR_LEN: 332 |STR_TIME: 0.5126287937164307
> STR_ID: 1k1m |STR_LEN: 353 |STR_TIME: 0.45189619064331055
> STR_ID: 1k1n |STR_LEN: 365 |STR_TIME: 0.46025800704956055
> STR_ID: 1k1o |STR_LEN: 404 |STR_TIME: 0.47396373748779297
> STR_ID: 1k1p |STR_LEN: 405 |STR_TIME: 0.4734001159667969
> STR_ID: 1k1q |STR_LEN: 742 |STR_TIME: 1.2047441005706787
> STR_ID: 1k1r |STR_LEN: 15 |STR_TIME: 0.15029406547546387
> STR_ID: 1k1s |STR_LEN: 372 |STR_TIME: 0.636401891708374
> STR_ID: 1k1t |STR_LEN: 373 |STR_TIME: 0.49831104278564453
> STR_ID: 1k1u |STR_LEN: 344 |STR_TIME: 0.47791600227355957
> STR_ID: 1k1v |STR_LEN: 41 |STR_TIME: 2.9513871669769287
> STR_ID: 1k1w |STR_LEN: 699 |STR_TIME: 1.2425410747528076
> STR_ID: 1k1x |STR_LEN: 1775 |STR_TIME: 2.5923330783843994
> STR_ID: 1k1y |STR_LEN: 1850 |STR_TIME: 2.583281993865967
> STR_ID: 1k1z |STR_LEN: 78 |STR_TIME: 0.2946481704711914
> STR_ID: 2k10 |STR_LEN: 32 |STR_TIME: 1.9657361507415771
> STR_ID: 2k11 |STR_LEN: 127 |STR_TIME: 8.206139326095581
> STR_ID: 2k13 |STR_LEN: 103 |STR_TIME: 3.3439600467681885
> STR_ID: 2k14 |STR_LEN: 84 |STR_TIME: 4.992578983306885
> STR_ID: 2k16 |STR_LEN: 77 |STR_TIME: 4.888880252838135
> STR_ID: 2k17 |STR_LEN: 90 |STR_TIME: 5.620707988739014
> STR_ID: 2k18 |STR_LEN: 228 |STR_TIME: 7.698468208312988
> STR_ID: 2k19 |STR_LEN: 98 |STR_TIME: 6.475878000259399
> STR_ID: 2k1a |STR_LEN: 42 |STR_TIME: 3.026723861694336
> STR_ID: 2k1b |STR_LEN: 55 |STR_TIME: 4.0508856773376465
> STR_ID: 2k1d |STR_LEN: 107 |STR_TIME: 6.987120866775513
> STR_ID: 2k1e |STR_LEN: 412 |STR_TIME: 26.43114709854126
> STR_ID: 2k1f |STR_LEN: 88 |STR_TIME: 5.663445949554443
> STR_ID: 2k1g |STR_LEN: 129 |STR_TIME: 8.806360960006714
> STR_ID: 2k1h |STR_LEN: 86 |STR_TIME: 2.8831140995025635
> STR_ID: 2k1i |STR_LEN: 32 |STR_TIME: 1.0317389965057373
> STR_ID: 2k1j |STR_LEN: 65 |STR_TIME: 5.078031301498413
> STR_ID: 2k1k |STR_LEN: 76 |STR_TIME: 2.825307846069336
> STR_ID: 2k1l |STR_LEN: 76 |STR_TIME: 2.8664913177490234
> STR_ID: 2k1m |STR_LEN: 95 |STR_TIME: 5.9233081340789795
> STR_ID: 2k1n |STR_LEN: 270 |STR_TIME: 11.03572392463684
> STR_ID: 2k1o |STR_LEN: 108 |STR_TIME: 7.503185033798218
> STR_ID: 2k1p |STR_LEN: 34 |STR_TIME: 2.2157881259918213
> STR_ID: 2k1q |STR_LEN: 171 |STR_TIME: 10.703465938568115
> STR_ID: 2k1r |STR_LEN: 142 |STR_TIME: 9.200118064880371
> STR_ID: 2k1s |STR_LEN: 149 |STR_TIME: 9.442373991012573
> STR_ID: 2k1v |STR_LEN: 49 |STR_TIME: 2.8462278842926025
> STR_ID: 2k1w |STR_LEN: 87 |STR_TIME: 5.4704790115356445
> STR_ID: 2k1x |STR_LEN: 85 |STR_TIME: 5.137444257736206
> STR_ID: 2k1y |STR_LEN: 22 |STR_TIME: 1.3204357624053955
> STR_ID: 2k1z |STR_LEN: 104 |STR_TIME: 6.562592029571533
> STR_ID: 3k10 |STR_LEN: 316 |STR_TIME: 0.45361781120300293
> STR_ID: 3k11 |STR_LEN: 927 |STR_TIME: 0.9798648357391357
> STR_ID: 3k12 |STR_LEN: 1254 |STR_TIME: 1.4183852672576904
> STR_ID: 3k13 |STR_LEN: 1563 |STR_TIME: 1.7611448764801025
> STR_ID: 3k14 |STR_LEN: 769 |STR_TIME: 1.0453271865844727
> STR_ID: 3k15 |STR_LEN: 237 |STR_TIME: 0.4563310146331787
> STR_ID: 3k16 |STR_LEN: 223 |STR_TIME: 0.45690393447875977
> STR_ID: 3k17 |STR_LEN: 1806 |STR_TIME: 2.5657899379730225
> STR_ID: 3k18 |STR_LEN: 36 |STR_TIME: 0.10516214370727539
> STR_ID: 3k19 |STR_LEN: 4080 |STR_TIME: 6.947279930114746
> STR_ID: 3k1a |STR_LEN: 2817 |STR_TIME: 3.8530027866363525
> STR_ID: 3k1b |STR_LEN: 1360 |STR_TIME: 2.4569549560546875
> STR_ID: 3k1d |STR_LEN: 1045 |STR_TIME: 1.420896291732788
> STR_ID: 3k1e |STR_LEN: 655 |STR_TIME: 0.6319279670715332
> STR_ID: 3k1f |STR_LEN: 4124 |STR_TIME: 13.69051194190979
> STR_ID: 3k1g |STR_LEN: 3347 |STR_TIME: 5.006186008453369
> STR_ID: 3k1h |STR_LEN: 197 |STR_TIME: 0.45780301094055176
> STR_ID: 3k1i |STR_LEN: 465 |STR_TIME: 0.865319013595581
> STR_ID: 3k1j |STR_LEN: 1966 |STR_TIME: 2.3906612396240234
> STR_ID: 3k1k |STR_LEN: 1086 |STR_TIME: 1.3794589042663574
> STR_ID: 3k1l |STR_LEN: 775 |STR_TIME: 2.4849610328674316
> STR_ID: 3k1m |STR_LEN: 1119 |STR_TIME: 1.3657231330871582
> STR_ID: 3k1n |STR_LEN: 875 |STR_TIME: 1.232468843460083
> STR_ID: 3k1o |STR_LEN: 454 |STR_TIME: 0.8738951683044434
> STR_ID: 3k1p |STR_LEN: 979 |STR_TIME: 1.2371728420257568
> STR_ID: 3k1q |STR_LEN: 13496 |STR_TIME: 23.996227025985718
> STR_ID: 3k1r |STR_LEN: 505 |STR_TIME: 0.6139388084411621
> STR_ID: 3k1s |STR_LEN: 1588 |STR_TIME: 1.996410846710205
> STR_ID: 3k1t |STR_LEN: 1020 |STR_TIME: 0.9922680854797363
> STR_ID: 3k1u |STR_LEN: 683 |STR_TIME: 0.8036139011383057
> STR_ID: 3k1v |STR_LEN: 97 |STR_TIME: 0.21816110610961914
> STR_ID: 3k1w |STR_LEN: 1304 |STR_TIME: 1.444671869277954
> STR_ID: 3k1x |STR_LEN: 936 |STR_TIME: 1.4970581531524658
> STR_ID: 3k1y |STR_LEN: 1306 |STR_TIME: 3.436095952987671
> STR_ID: 3k1z |STR_LEN: 546 |STR_TIME: 0.5839102268218994
> STR_ID: 4k10 |STR_LEN: 1720 |STR_TIME: 2.67250919342041
> STR_ID: 4k11 |STR_LEN: 721 |STR_TIME: 0.9482626914978027
> STR_ID: 4k12 |STR_LEN: 401 |STR_TIME: 0.6299269199371338
> STR_ID: 4k13 |STR_LEN: 572 |STR_TIME: 0.6060922145843506
> STR_ID: 4k14 |STR_LEN: 215 |STR_TIME: 0.31063389778137207
> STR_ID: 4k15 |STR_LEN: 498 |STR_TIME: 1.3706109523773193
> STR_ID: 4k17 |STR_LEN: 2634 |STR_TIME: 4.750515937805176
> STR_ID: 4k18 |STR_LEN: 423 |STR_TIME: 0.6092979907989502
> STR_ID: 4k19 |STR_LEN: 595 |STR_TIME: 1.0170221328735352
> STR_ID: 4k1b |STR_LEN: 402 |STR_TIME: 0.9636406898498535
> STR_ID: 4k1c |STR_LEN: 837 |STR_TIME: 2.4963018894195557
> STR_ID: 4k1e |STR_LEN: 354 |STR_TIME: 0.8294038772583008
> STR_ID: 4k1f |STR_LEN: 1337 |STR_TIME: 1.8387210369110107
> STR_ID: 4k1g |STR_LEN: 1237 |STR_TIME: 1.4851758480072021
> STR_ID: 4k1h |STR_LEN: 1616 |STR_TIME: 2.9030351638793945
> STR_ID: 4k1i |STR_LEN: 1723 |STR_TIME: 2.870737314224243
> STR_ID: 4k1j |STR_LEN: 1557 |STR_TIME: 1.647130012512207
> STR_ID: 4k1k |STR_LEN: 1745 |STR_TIME: 3.0728888511657715
> STR_ID: 4k1l |STR_LEN: 1677 |STR_TIME: 2.1119070053100586
> STR_ID: 4k1n |STR_LEN: 1040 |STR_TIME: 1.9817206859588623
> STR_ID: 4k1o |STR_LEN: 210 |STR_TIME: 0.41318202018737793
> STR_ID: 4k1p |STR_LEN: 4185 |STR_TIME: 9.082212209701538
> STR_ID: 4k1q |STR_LEN: 485 |STR_TIME: 0.6059792041778564
> STR_ID: 4k1r |STR_LEN: 777 |STR_TIME: 1.0821621417999268
> STR_ID: 4k1s |STR_LEN: 785 |STR_TIME: 0.817213773727417
> STR_ID: 4k1t |STR_LEN: 1465 |STR_TIME: 1.304509162902832
> STR_ID: 4k1u |STR_LEN: 337 |STR_TIME: 0.47519493103027344
> STR_ID: 4k1v |STR_LEN: 191 |STR_TIME: 0.27202296257019043
> STR_ID: 4k1w |STR_LEN: 2575 |STR_TIME: 5.472758054733276
> STR_ID: 4k1x |STR_LEN: 730 |STR_TIME: 2.6042890548706055
> STR_ID: 4k1y |STR_LEN: 1157 |STR_TIME: 1.8142499923706055
> STR_ID: 4k1z |STR_LEN: 1513 |STR_TIME: 1.8576200008392334
> STR_ID: 5k10 |STR_LEN: 796 |STR_TIME: 2.5862371921539307
> STR_ID: 5k11 |STR_LEN: 796 |STR_TIME: 2.6824381351470947
> STR_ID: 5k12 |STR_LEN: 2850 |STR_TIME: 3.5347180366516113
> STR_ID: 5k13 |STR_LEN: 389 |STR_TIME: 0.5365500450134277
> STR_ID: 5k14 |STR_LEN: 1101 |STR_TIME: 1.9028210639953613
> STR_ID: 5k15 |STR_LEN: 858 |STR_TIME: 1.0325708389282227
> STR_ID: 5k16 |STR_LEN: 712 |STR_TIME: 1.2359259128570557
> STR_ID: 5k17 |STR_LEN: 275 |STR_TIME: 0.4153177738189697
> STR_ID: 5k18 |STR_LEN: 1799 |STR_TIME: 5.954580068588257
> STR_ID: 5k19 |STR_LEN: 1172 |STR_TIME: 2.065500259399414
> STR_ID: 5k1a |STR_LEN: 4892 |STR_TIME: 6.359467029571533
> STR_ID: 5k1b |STR_LEN: 844 |STR_TIME: 1.574059009552002
> STR_ID: 5k1c |STR_LEN: 1302 |STR_TIME: 2.211135149002075
> STR_ID: 5k1d |STR_LEN: 562 |STR_TIME: 0.6977541446685791
> STR_ID: 5k1f |STR_LEN: 447 |STR_TIME: 0.6548428535461426
> STR_ID: 5k1g |STR_LEN: 192 |STR_TIME: 0.2864811420440674
> STR_ID: 5k1h |STR_LEN: 608 |STR_TIME: 1.1117150783538818
> STR_ID: 5k1i |STR_LEN: 2824 |STR_TIME: 8.891461849212646
> STR_ID: 5k1j |STR_LEN: 410 |STR_TIME: 0.5654432773590088
> STR_ID: 5k1n |STR_LEN: 394 |STR_TIME: 1.0293529033660889
> STR_ID: 5k1p |STR_LEN: 546 |STR_TIME: 1.5374059677124023
> STR_ID: 5k1r |STR_LEN: 1181 |STR_TIME: 3.006159782409668
> STR_ID: 5k1s |STR_LEN: 1497 |STR_TIME: 6.348367929458618
> STR_ID: 5k1v |STR_LEN: 1816 |STR_TIME: 3.461817979812622
> STR_ID: 5k1x |STR_LEN: 411 |STR_TIME: 1.050987958908081
> STR_ID: 5k1y |STR_LEN: 611 |STR_TIME: 1.3158488273620605
> STR_ID: 5k1z |STR_LEN: 288 |STR_TIME: 0.9339780807495117
>> FINISH_DIR: ./data/k/k1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 310 |DIR_TIME: 456.3691861629486 

>> START_DIR: ./data/k/k2/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1k20 |STR_LEN: 1307 |STR_TIME: 1.2747128009796143
> STR_ID: 1k21 |STR_LEN: 538 |STR_TIME: 0.6518871784210205
> STR_ID: 1k22 |STR_LEN: 534 |STR_TIME: 0.756047248840332
> STR_ID: 1k23 |STR_LEN: 1219 |STR_TIME: 2.0246317386627197
> STR_ID: 1k24 |STR_LEN: 398 |STR_TIME: 0.552941083908081
> STR_ID: 1k25 |STR_LEN: 2258 |STR_TIME: 3.9387240409851074
> STR_ID: 1k26 |STR_LEN: 462 |STR_TIME: 0.6440601348876953
> STR_ID: 1k27 |STR_LEN: 410 |STR_TIME: 0.5567679405212402
> STR_ID: 1k28 |STR_LEN: 1312 |STR_TIME: 1.7973859310150146
> STR_ID: 1k29 |STR_LEN: 24 |STR_TIME: 0.19966483116149902
> STR_ID: 1k2a |STR_LEN: 382 |STR_TIME: 0.6316490173339844
> STR_ID: 1k2b |STR_LEN: 327 |STR_TIME: 0.4512457847595215
> STR_ID: 1k2c |STR_LEN: 304 |STR_TIME: 0.5016999244689941
> STR_ID: 1k2d |STR_LEN: 832 |STR_TIME: 0.8423240184783936
> STR_ID: 1k2e |STR_LEN: 557 |STR_TIME: 0.6610589027404785
> STR_ID: 1k2f |STR_LEN: 455 |STR_TIME: 0.7223479747772217
> STR_ID: 1k2g |STR_LEN: 22 |STR_TIME: 0.18671822547912598
> STR_ID: 1k2h |STR_LEN: 186 |STR_TIME: 11.66972804069519
> STR_ID: 1k2i |STR_LEN: 372 |STR_TIME: 0.4909050464630127
> STR_ID: 1k2j |STR_LEN: 12 |STR_TIME: 0.10970473289489746
> STR_ID: 1k2k |STR_LEN: 12 |STR_TIME: 0.1062929630279541
