>> START_DIR: ./data/r/r0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1r00 |STR_LEN: 433 |STR_TIME: 0.7098422050476074
> STR_ID: 4r0v |STR_LEN: 1130 |STR_TIME: 2.65493106842041
> STR_ID: 4r0w |STR_LEN: 8 |STR_TIME: 0.058856964111328125
> STR_ID: 4r0x |STR_LEN: 315 |STR_TIME: 0.48734593391418457
> STR_ID: 4r0y |STR_LEN: 1123 |STR_TIME: 1.7660987377166748
> STR_ID: 4r0z |STR_LEN: 690 |STR_TIME: 1.8845100402832031
>> FINISH_DIR: ./data/r/r0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 133 |DIR_TIME: 247.36376404762268 

>> START_DIR: ./data/r/r1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1r10 |STR_LEN: 535 |STR_TIME: 1.0086719989776611
> STR_ID: 1r11 |STR_LEN: 606 |STR_TIME: 1.1307528018951416
> STR_ID: 1r12 |STR_LEN: 778 |STR_TIME: 0.9830548763275146
> STR_ID: 1r13 |STR_LEN: 265 |STR_TIME: 0.33504819869995117
> STR_ID: 1r14 |STR_LEN: 154 |STR_TIME: 0.2996668815612793
> STR_ID: 1r15 |STR_LEN: 2032 |STR_TIME: 3.654237985610962
> STR_ID: 1r16 |STR_LEN: 598 |STR_TIME: 0.9514360427856445
> STR_ID: 1r17 |STR_LEN: 1103 |STR_TIME: 1.2934870719909668
> STR_ID: 1r18 |STR_LEN: 301 |STR_TIME: 0.4343571662902832
> STR_ID: 1r19 |STR_LEN: 1176 |STR_TIME: 1.9196319580078125
> STR_ID: 1r1a |STR_LEN: 794 |STR_TIME: 1.8071410655975342
> STR_ID: 1r1b |STR_LEN: 56 |STR_TIME: 0.22688913345336914
> STR_ID: 1r1c |STR_LEN: 823 |STR_TIME: 1.0315451622009277
> STR_ID: 1r1d |STR_LEN: 1144 |STR_TIME: 1.0757768154144287
> STR_ID: 1r1f |STR_LEN: 37 |STR_TIME: 2.117637872695923
> STR_ID: 1r1g |STR_LEN: 170 |STR_TIME: 0.18108391761779785
> STR_ID: 1r1h |STR_LEN: 996 |STR_TIME: 1.3481619358062744
> STR_ID: 1r1i |STR_LEN: 720 |STR_TIME: 1.304401159286499
> STR_ID: 1r1j |STR_LEN: 789 |STR_TIME: 1.3907830715179443
> STR_ID: 1r1k |STR_LEN: 487 |STR_TIME: 0.9590978622436523
> STR_ID: 1r1l |STR_LEN: 963 |STR_TIME: 1.5505683422088623
> STR_ID: 1r1m |STR_LEN: 255 |STR_TIME: 0.3182179927825928
> STR_ID: 1r1n |STR_LEN: 5607 |STR_TIME: 5.575121164321899
> STR_ID: 1r1o |STR_LEN: 992 |STR_TIME: 1.6510181427001953
> STR_ID: 1r1p |STR_LEN: 788 |STR_TIME: 0.9315941333770752
> STR_ID: 1r1q |STR_LEN: 357 |STR_TIME: 0.49537205696105957
> STR_ID: 1r1r |STR_LEN: 2565 |STR_TIME: 4.0875771045684814
> STR_ID: 1r1s |STR_LEN: 867 |STR_TIME: 0.9769330024719238
> STR_ID: 1r1t |STR_LEN: 476 |STR_TIME: 0.45592498779296875
> STR_ID: 1r1u |STR_LEN: 578 |STR_TIME: 0.7443368434906006
> STR_ID: 1r1v |STR_LEN: 417 |STR_TIME: 0.4390122890472412
> STR_ID: 1r1w |STR_LEN: 520 |STR_TIME: 0.5933339595794678
> STR_ID: 1r1x |STR_LEN: 485 |STR_TIME: 0.5685091018676758
> STR_ID: 1r1y |STR_LEN: 1176 |STR_TIME: 1.2459540367126465
> STR_ID: 1r1z |STR_LEN: 1189 |STR_TIME: 1.7980740070343018
> STR_ID: 2r10 |STR_LEN: 1004 |STR_TIME: 1.2452011108398438
> STR_ID: 2r11 |STR_LEN: 2133 |STR_TIME: 2.412106990814209
> STR_ID: 2r13 |STR_LEN: 203 |STR_TIME: 0.36226606369018555
> STR_ID: 2r14 |STR_LEN: 1049 |STR_TIME: 1.4890339374542236
> STR_ID: 2r15 |STR_LEN: 665 |STR_TIME: 0.8143858909606934
> STR_ID: 2r16 |STR_LEN: 306 |STR_TIME: 0.6983857154846191
> STR_ID: 2r17 |STR_LEN: 991 |STR_TIME: 1.6912939548492432
> STR_ID: 2r18 |STR_LEN: 183 |STR_TIME: 0.2967560291290283
> STR_ID: 2r19 |STR_LEN: 580 |STR_TIME: 0.648634672164917
> STR_ID: 2r1a |STR_LEN: 1134 |STR_TIME: 1.7486817836761475
> STR_ID: 2r1b |STR_LEN: 749 |STR_TIME: 0.8229000568389893
> STR_ID: 2r1c |STR_LEN: 91 |STR_TIME: 0.18816518783569336
> STR_ID: 2r1d |STR_LEN: 1716 |STR_TIME: 2.867794990539551
> STR_ID: 2r1f |STR_LEN: 790 |STR_TIME: 1.0847432613372803
> STR_ID: 2r1g |STR_LEN: 556 |STR_TIME: 0.21393322944641113
> STR_ID: 2r1h |STR_LEN: 941 |STR_TIME: 1.1719276905059814
> STR_ID: 2r1i |STR_LEN: 627 |STR_TIME: 0.7112209796905518
> STR_ID: 2r1j |STR_LEN: 503 |STR_TIME: 0.5487589836120605
> STR_ID: 2r1k |STR_LEN: 623 |STR_TIME: 0.6933698654174805
> STR_ID: 2r1l |STR_LEN: 605 |STR_TIME: 0.7558369636535645
> STR_ID: 2r1m |STR_LEN: 485 |STR_TIME: 0.6570758819580078
> STR_ID: 2r1n |STR_LEN: 648 |STR_TIME: 0.7096810340881348
> STR_ID: 2r1p |STR_LEN: 620 |STR_TIME: 0.7123701572418213
> STR_ID: 2r1q |STR_LEN: 84 |STR_TIME: 0.18035888671875
> STR_ID: 2r1r |STR_LEN: 2245 |STR_TIME: 3.9968976974487305
> STR_ID: 2r1s |STR_LEN: 208 |STR_TIME: 0.2483067512512207
> STR_ID: 2r1t |STR_LEN: 791 |STR_TIME: 0.7828280925750732
> STR_ID: 2r1u |STR_LEN: 790 |STR_TIME: 0.7463550567626953
> STR_ID: 2r1v |STR_LEN: 807 |STR_TIME: 0.7555930614471436
> STR_ID: 2r1w |STR_LEN: 742 |STR_TIME: 0.8568859100341797
> STR_ID: 2r1x |STR_LEN: 813 |STR_TIME: 0.9585049152374268
> STR_ID: 2r1y |STR_LEN: 792 |STR_TIME: 0.8756289482116699
> STR_ID: 2r1z |STR_LEN: 527 |STR_TIME: 0.7985849380493164
> STR_ID: 3r10 |STR_LEN: 1319 |STR_TIME: 2.400573968887329
> STR_ID: 3r11 |STR_LEN: 1444 |STR_TIME: 2.4893879890441895
> STR_ID: 3r12 |STR_LEN: 770 |STR_TIME: 1.8104159832000732
> STR_ID: 3r13 |STR_LEN: 784 |STR_TIME: 1.832519769668579
> STR_ID: 3r15 |STR_LEN: 275 |STR_TIME: 0.3435802459716797
> STR_ID: 3r16 |STR_LEN: 589 |STR_TIME: 0.612299919128418
> STR_ID: 3r17 |STR_LEN: 545 |STR_TIME: 0.599776029586792
> STR_ID: 3r18 |STR_LEN: 573 |STR_TIME: 1.289247989654541
> STR_ID: 3r19 |STR_LEN: 564 |STR_TIME: 1.2958159446716309
> STR_ID: 3r1a |STR_LEN: 3743 |STR_TIME: 6.637825012207031
> STR_ID: 3r1b |STR_LEN: 1867 |STR_TIME: 3.317018985748291
> STR_ID: 3r1c |STR_LEN: 819 |STR_TIME: 1.6022579669952393
> STR_ID: 3r1d |STR_LEN: 271 |STR_TIME: 0.5642910003662109
> STR_ID: 3r1e |STR_LEN: 124 |STR_TIME: 0.24802374839782715
> STR_ID: 3r1f |STR_LEN: 2210 |STR_TIME: 3.7438180446624756
> STR_ID: 3r1g |STR_LEN: 907 |STR_TIME: 2.5603199005126953
> STR_ID: 3r1h |STR_LEN: 524 |STR_TIME: 1.7977571487426758
> STR_ID: 3r1i |STR_LEN: 864 |STR_TIME: 1.5873610973358154
> STR_ID: 3r1j |STR_LEN: 821 |STR_TIME: 1.6974530220031738
> STR_ID: 3r1k |STR_LEN: 689 |STR_TIME: 1.4110281467437744
> STR_ID: 3r1l |STR_LEN: 556 |STR_TIME: 1.8480517864227295
> STR_ID: 3r1m |STR_LEN: 625 |STR_TIME: 0.7510206699371338
> STR_ID: 3r1n |STR_LEN: 348 |STR_TIME: 0.9525513648986816
> STR_ID: 3r1o |STR_LEN: 417 |STR_TIME: 0.7908077239990234
> STR_ID: 3r1p |STR_LEN: 1066 |STR_TIME: 2.187690019607544
> STR_ID: 3r1q |STR_LEN: 467 |STR_TIME: 0.6657779216766357
> STR_ID: 3r1r |STR_LEN: 2328 |STR_TIME: 4.150223970413208
> STR_ID: 3r1s |STR_LEN: 489 |STR_TIME: 0.6250238418579102
> STR_ID: 3r1v |STR_LEN: 310 |STR_TIME: 0.8430960178375244
> STR_ID: 3r1w |STR_LEN: 1004 |STR_TIME: 1.8367609977722168
> STR_ID: 3r1x |STR_LEN: 1732 |STR_TIME: 4.059441804885864
> STR_ID: 3r1y |STR_LEN: 466 |STR_TIME: 0.6188149452209473
> STR_ID: 3r1z |STR_LEN: 1448 |STR_TIME: 2.5269768238067627
> STR_ID: 4r10 |STR_LEN: 767 |STR_TIME: 1.9002420902252197
> STR_ID: 4r11 |STR_LEN: 1762 |STR_TIME: 5.292243242263794
> STR_ID: 4r12 |STR_LEN: 975 |STR_TIME: 2.084951162338257
> STR_ID: 4r14 |STR_LEN: 314 |STR_TIME: 1.0360538959503174
> STR_ID: 4r15 |STR_LEN: 82 |STR_TIME: 0.1966261863708496
> STR_ID: 4r16 |STR_LEN: 1850 |STR_TIME: 1.807176113128662
> STR_ID: 4r17 |STR_LEN: 9825 |STR_TIME: 21.80189085006714
> STR_ID: 4r18 |STR_LEN: 8095 |STR_TIME: 21.059143781661987
> STR_ID: 4r19 |STR_LEN: 1071 |STR_TIME: 2.2844789028167725
> STR_ID: 4r1a |STR_LEN: 400 |STR_TIME: 0.9266109466552734
> STR_ID: 4r1b |STR_LEN: 578 |STR_TIME: 1.2536709308624268
> STR_ID: 4r1c |STR_LEN: 844 |STR_TIME: 1.9050559997558594
> STR_ID: 4r1d |STR_LEN: 1779 |STR_TIME: 1.757086992263794
> STR_ID: 4r1e |STR_LEN: 225 |STR_TIME: 0.33837294578552246
> STR_ID: 4r1f |STR_LEN: 1648 |STR_TIME: 2.802790880203247
> STR_ID: 4r1g |STR_LEN: 1275 |STR_TIME: 2.660193920135498
> STR_ID: 4r1h |STR_LEN: 433 |STR_TIME: 0.8909521102905273
> STR_ID: 4r1i |STR_LEN: 1013 |STR_TIME: 3.0188090801239014
> STR_ID: 4r1j |STR_LEN: 442 |STR_TIME: 0.4812312126159668
> STR_ID: 4r1k |STR_LEN: 275 |STR_TIME: 0.9433116912841797
> STR_ID: 4r1l |STR_LEN: 2308 |STR_TIME: 5.803899765014648
> STR_ID: 4r1m |STR_LEN: 2029 |STR_TIME: 5.659533977508545
> STR_ID: 4r1n |STR_LEN: 1364 |STR_TIME: 1.935148000717163
> STR_ID: 4r1o |STR_LEN: 4152 |STR_TIME: 5.521297931671143
> STR_ID: 4r1p |STR_LEN: 4139 |STR_TIME: 5.474184036254883
> STR_ID: 4r1q |STR_LEN: 4629 |STR_TIME: 5.611448764801025
> STR_ID: 4r1r |STR_LEN: 2256 |STR_TIME: 4.057961940765381
> STR_ID: 4r1s |STR_LEN: 1347 |STR_TIME: 3.33978009223938
> STR_ID: 4r1t |STR_LEN: 568 |STR_TIME: 1.6101901531219482
> STR_ID: 4r1u |STR_LEN: 922 |STR_TIME: 1.1977007389068604
> STR_ID: 4r1v |STR_LEN: 642 |STR_TIME: 1.2176589965820312
> STR_ID: 4r1y |STR_LEN: 418 |STR_TIME: 0.5870990753173828
> STR_ID: 4r1z |STR_LEN: 847 |STR_TIME: 2.808931827545166
> STR_ID: 5r1r |STR_LEN: 2362 |STR_TIME: 3.9617128372192383
> STR_ID: 6r1r |STR_LEN: 2362 |STR_TIME: 4.035723924636841
> STR_ID: 7r1r |STR_LEN: 2362 |STR_TIME: 4.066389083862305
>> FINISH_DIR: ./data/r/r1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 270 |DIR_TIME: 269.84742498397827 

>> START_DIR: ./data/r/r2/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1r20 |STR_LEN: 480 |STR_TIME: 0.9063870906829834
> STR_ID: 1r21 |STR_LEN: 100 |STR_TIME: 7.586368083953857
> STR_ID: 1r22 |STR_LEN: 252 |STR_TIME: 0.41178083419799805
> STR_ID: 1r23 |STR_LEN: 325 |STR_TIME: 0.42090296745300293
> STR_ID: 1r24 |STR_LEN: 846 |STR_TIME: 1.534787893295288
> STR_ID: 1r26 |STR_LEN: 239 |STR_TIME: 0.27854108810424805
> STR_ID: 1r27 |STR_LEN: 5703 |STR_TIME: 6.616822957992554
> STR_ID: 1r28 |STR_LEN: 374 |STR_TIME: 0.5310580730438232
> STR_ID: 1r29 |STR_LEN: 310 |STR_TIME: 0.5246899127960205
> STR_ID: 1r2a |STR_LEN: 92 |STR_TIME: 5.176724910736084
> STR_ID: 1r2b |STR_LEN: 414 |STR_TIME: 0.5588290691375732
> STR_ID: 1r2c |STR_LEN: 1210 |STR_TIME: 2.3808720111846924
> STR_ID: 1r2d |STR_LEN: 352 |STR_TIME: 0.36605310440063477
> STR_ID: 1r2e |STR_LEN: 281 |STR_TIME: 0.33534789085388184
> STR_ID: 1r2f |STR_LEN: 965 |STR_TIME: 1.1213200092315674
> STR_ID: 1r2g |STR_LEN: 159 |STR_TIME: 0.31189775466918945
> STR_ID: 1r2h |STR_LEN: 242 |STR_TIME: 0.3238818645477295
> STR_ID: 1r2i |STR_LEN: 357 |STR_TIME: 0.3647322654724121
> STR_ID: 1r2j |STR_LEN: 520 |STR_TIME: 0.6879010200500488
> STR_ID: 1r2k |STR_LEN: 479 |STR_TIME: 0.6505558490753174
> STR_ID: 1r2l |STR_LEN: 24 |STR_TIME: 0.20101213455200195
> STR_ID: 1r2m |STR_LEN: 392 |STR_TIME: 0.5460700988769531
> STR_ID: 1r2n |STR_LEN: 237 |STR_TIME: 9.007691144943237
> STR_ID: 1r2o |STR_LEN: 16 |STR_TIME: 0.09687113761901855
> STR_ID: 1r2p |STR_LEN: 34 |STR_TIME: 2.132404088973999
> STR_ID: 1r2q |STR_LEN: 391 |STR_TIME: 0.8800880908966064
> STR_ID: 1r2r |STR_LEN: 2166 |STR_TIME: 2.0646519660949707
> STR_ID: 1r2s |STR_LEN: 1122 |STR_TIME: 1.6640169620513916
> STR_ID: 1r2t |STR_LEN: 828 |STR_TIME: 0.9406888484954834
> STR_ID: 1r2u |STR_LEN: 90 |STR_TIME: 11.082771062850952
> STR_ID: 1r2w |STR_LEN: 191 |STR_TIME: 0.1849987506866455
> STR_ID: 1r2x |STR_LEN: 190 |STR_TIME: 0.09598588943481445
> STR_ID: 1r2y |STR_LEN: 433 |STR_TIME: 0.6849110126495361
> STR_ID: 1r2z |STR_LEN: 616 |STR_TIME: 0.710766077041626
> STR_ID: 2r20 |STR_LEN: 197 |STR_TIME: 0.22562313079833984
> STR_ID: 2r21 |STR_LEN: 193 |STR_TIME: 0.21946287155151367
> STR_ID: 2r22 |STR_LEN: 176 |STR_TIME: 0.1992478370666504
> STR_ID: 2r23 |STR_LEN: 814 |STR_TIME: 0.9015071392059326
> STR_ID: 2r24 |STR_LEN: 603 |STR_TIME: 1.1714587211608887
> STR_ID: 2r25 |STR_LEN: 540 |STR_TIME: 0.676750898361206
> STR_ID: 2r26 |STR_LEN: 2486 |STR_TIME: 3.0175278186798096
> STR_ID: 2r27 |STR_LEN: 460 |STR_TIME: 0.51904296875
> STR_ID: 2r28 |STR_LEN: 587 |STR_TIME: 0.7020268440246582
> STR_ID: 2r29 |STR_LEN: 771 |STR_TIME: 0.9874370098114014
> STR_ID: 2r2a |STR_LEN: 656 |STR_TIME: 0.8740580081939697
> STR_ID: 2r2b |STR_LEN: 748 |STR_TIME: 0.8814427852630615
> STR_ID: 2r2c |STR_LEN: 580 |STR_TIME: 0.5688900947570801
> STR_ID: 2r2d |STR_LEN: 3208 |STR_TIME: 6.2719199657440186
> STR_ID: 2r2e |STR_LEN: 528 |STR_TIME: 0.8327717781066895
> STR_ID: 2r2f |STR_LEN: 988 |STR_TIME: 1.135059118270874
> STR_ID: 2r2g |STR_LEN: 974 |STR_TIME: 1.2475051879882812
> STR_ID: 2r2h |STR_LEN: 705 |STR_TIME: 0.8624320030212402
> STR_ID: 2r2i |STR_LEN: 276 |STR_TIME: 0.41417789459228516
> STR_ID: 2r2j |STR_LEN: 441 |STR_TIME: 0.7466533184051514
> STR_ID: 2r2k |STR_LEN: 741 |STR_TIME: 1.2004411220550537
> STR_ID: 2r2l |STR_LEN: 1253 |STR_TIME: 1.4794209003448486
> STR_ID: 2r2m |STR_LEN: 424 |STR_TIME: 0.6140396595001221
> STR_ID: 2r2n |STR_LEN: 3055 |STR_TIME: 3.4005722999572754
> STR_ID: 2r2o |STR_LEN: 263 |STR_TIME: 0.4379160404205322
> STR_ID: 2r2p |STR_LEN: 354 |STR_TIME: 0.9839019775390625
