>> START_DIR: ./data/b/b0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1b00 |STR_LEN: 375 |STR_TIME: 0.4944469928741455
> STR_ID: 2b0t |STR_LEN: 1210 |STR_TIME: 1.3823769092559814
> STR_ID: 2b0u |STR_LEN: 950 |STR_TIME: 1.4251418113708496
> STR_ID: 2b0v |STR_LEN: 315 |STR_TIME: 0.36745595932006836
> STR_ID: 2b0y |STR_LEN: 17 |STR_TIME: 1.1011183261871338
> STR_ID: 2b0z |STR_LEN: 511 |STR_TIME: 0.7760789394378662
> STR_ID: 3b00 |STR_LEN: 1789 |STR_TIME: 3.7449517250061035
> STR_ID: 3b01 |STR_LEN: 1682 |STR_TIME: 3.8090109825134277
> STR_ID: 3b02 |STR_LEN: 341 |STR_TIME: 0.4305117130279541
> STR_ID: 3b03 |STR_LEN: 2007 |STR_TIME: 2.732041120529175
> STR_ID: 3b04 |STR_LEN: 1908 |STR_TIME: 2.72354793548584
> STR_ID: 3b05 |STR_LEN: 1935 |STR_TIME: 2.7108380794525146
> STR_ID: 3b06 |STR_LEN: 1762 |STR_TIME: 2.6829991340637207
> STR_ID: 3b07 |STR_LEN: 2669 |STR_TIME: 4.05248498916626
> STR_ID: 3b08 |STR_LEN: 1672 |STR_TIME: 2.8788039684295654
> STR_ID: 3b09 |STR_LEN: 93 |STR_TIME: 0.17408108711242676
> STR_ID: 3b0a |STR_LEN: 745 |STR_TIME: 1.4626209735870361
> STR_ID: 3b0b |STR_LEN: 464 |STR_TIME: 1.1901021003723145
> STR_ID: 3b0c |STR_LEN: 219 |STR_TIME: 0.6104211807250977
> STR_ID: 3b0d |STR_LEN: 471 |STR_TIME: 1.1842410564422607
> STR_ID: 3b0f |STR_LEN: 164 |STR_TIME: 0.4926879405975342
> STR_ID: 3b0g |STR_LEN: 1467 |STR_TIME: 1.3203010559082031
> STR_ID: 3b0h |STR_LEN: 1578 |STR_TIME: 2.0325398445129395
> STR_ID: 3b0i |STR_LEN: 182 |STR_TIME: 0.2876400947570801
> STR_ID: 3b0j |STR_LEN: 1343 |STR_TIME: 1.2607450485229492
> STR_ID: 3b0k |STR_LEN: 513 |STR_TIME: 0.9223768711090088
> STR_ID: 3b0l |STR_LEN: 1357 |STR_TIME: 1.236854076385498
> STR_ID: 3b0m |STR_LEN: 1225 |STR_TIME: 1.2197189331054688
> STR_ID: 3b0n |STR_LEN: 1154 |STR_TIME: 1.1815879344940186
> STR_ID: 3b0o |STR_LEN: 463 |STR_TIME: 0.5386910438537598
> STR_ID: 3b0p |STR_LEN: 1004 |STR_TIME: 2.138258218765259
> STR_ID: 3b0q |STR_LEN: 644 |STR_TIME: 1.7297601699829102
> STR_ID: 3b0r |STR_LEN: 571 |STR_TIME: 1.6895091533660889
> STR_ID: 3b0s |STR_LEN: 521 |STR_TIME: 0.4084899425506592
> STR_ID: 3b0t |STR_LEN: 531 |STR_TIME: 0.9488558769226074
> STR_ID: 3b0u |STR_LEN: 1052 |STR_TIME: 2.2345621585845947
> STR_ID: 3b0v |STR_LEN: 778 |STR_TIME: 1.9772799015045166
> STR_ID: 3b0w |STR_LEN: 507 |STR_TIME: 1.4682259559631348
> STR_ID: 3b0x |STR_LEN: 1134 |STR_TIME: 2.1614699363708496
> STR_ID: 3b0y |STR_LEN: 1103 |STR_TIME: 2.134992837905884
> STR_ID: 3b0z |STR_LEN: 149 |STR_TIME: 0.46367621421813965
> STR_ID: 4b00 |STR_LEN: 744 |STR_TIME: 0.8582079410552979
> STR_ID: 4b02 |STR_LEN: 1995 |STR_TIME: 3.447854995727539
> STR_ID: 4b03 |STR_LEN: 1983 |STR_TIME: 0.693425178527832
> STR_ID: 4b04 |STR_LEN: 712 |STR_TIME: 2.0709421634674072
> STR_ID: 4b05 |STR_LEN: 734 |STR_TIME: 0.8125052452087402
> STR_ID: 4b08 |STR_LEN: 937 |STR_TIME: 2.998067855834961
> STR_ID: 4b09 |STR_LEN: 2613 |STR_TIME: 8.631255865097046
> STR_ID: 4b0a |STR_LEN: 460 |STR_TIME: 0.5678119659423828
> STR_ID: 4b0b |STR_LEN: 640 |STR_TIME: 1.295957088470459
> STR_ID: 4b0c |STR_LEN: 867 |STR_TIME: 2.6482880115509033
> STR_ID: 4b0d |STR_LEN: 296 |STR_TIME: 0.4832310676574707
> STR_ID: 4b0e |STR_LEN: 620 |STR_TIME: 1.3075158596038818
> STR_ID: 4b0f |STR_LEN: 386 |STR_TIME: 1.2450597286224365
> STR_ID: 4b0g |STR_LEN: 288 |STR_TIME: 0.5012459754943848
> STR_ID: 4b0h |STR_LEN: 1350 |STR_TIME: 1.9810078144073486
> STR_ID: 4b0i |STR_LEN: 1205 |STR_TIME: 2.883692979812622
> STR_ID: 4b0j |STR_LEN: 4225 |STR_TIME: 10.803661108016968
> STR_ID: 4b0m |STR_LEN: 907 |STR_TIME: 1.6476726531982422
> STR_ID: 4b0n |STR_LEN: 1105 |STR_TIME: 2.405566930770874
> STR_ID: 4b0o |STR_LEN: 844 |STR_TIME: 2.062649965286255
> STR_ID: 4b0p |STR_LEN: 738 |STR_TIME: 1.8614270687103271
> STR_ID: 4b0q |STR_LEN: 693 |STR_TIME: 0.7924652099609375
> STR_ID: 4b0r |STR_LEN: 485 |STR_TIME: 1.454361915588379
> STR_ID: 4b0s |STR_LEN: 464 |STR_TIME: 1.5653598308563232
> STR_ID: 4b0t |STR_LEN: 1380 |STR_TIME: 3.1733648777008057
> STR_ID: 4b0y |STR_LEN: 168 |STR_TIME: 0.5721561908721924
> STR_ID: 4b0z |STR_LEN: 820 |STR_TIME: 2.4762978553771973
> STR_ID: 5b00 |STR_LEN: 977 |STR_TIME: 1.4515700340270996
> STR_ID: 5b01 |STR_LEN: 2620 |STR_TIME: 4.3965020179748535
> STR_ID: 5b02 |STR_LEN: 2045 |STR_TIME: 2.3039581775665283
> STR_ID: 5b03 |STR_LEN: 1839 |STR_TIME: 2.2489421367645264
> STR_ID: 5b04 |STR_LEN: 3661 |STR_TIME: 6.586755037307739
> STR_ID: 5b05 |STR_LEN: 282 |STR_TIME: 0.36836886405944824
> STR_ID: 5b06 |STR_LEN: 282 |STR_TIME: 0.33589887619018555
> STR_ID: 5b07 |STR_LEN: 282 |STR_TIME: 0.3407018184661865
> STR_ID: 5b08 |STR_LEN: 427 |STR_TIME: 0.48160624504089355
> STR_ID: 5b09 |STR_LEN: 153 |STR_TIME: 0.2619462013244629
> STR_ID: 5b0a |STR_LEN: 241 |STR_TIME: 0.4073598384857178
> STR_ID: 5b0b |STR_LEN: 547 |STR_TIME: 0.8863167762756348
> STR_ID: 5b0c |STR_LEN: 429 |STR_TIME: 0.4792470932006836
> STR_ID: 5b0d |STR_LEN: 317 |STR_TIME: 0.7391822338104248
> STR_ID: 5b0e |STR_LEN: 361 |STR_TIME: 0.8185551166534424
> STR_ID: 5b0f |STR_LEN: 337 |STR_TIME: 0.7784719467163086
> STR_ID: 5b0g |STR_LEN: 255 |STR_TIME: 0.45052003860473633
> STR_ID: 5b0h |STR_LEN: 436 |STR_TIME: 0.5566239356994629
> STR_ID: 5b0i |STR_LEN: 1874 |STR_TIME: 2.286083936691284
> STR_ID: 5b0j |STR_LEN: 1900 |STR_TIME: 2.2506651878356934
> STR_ID: 5b0k |STR_LEN: 1897 |STR_TIME: 2.2774198055267334
> STR_ID: 5b0l |STR_LEN: 3489 |STR_TIME: 4.609010219573975
> STR_ID: 5b0m |STR_LEN: 2918 |STR_TIME: 4.396067142486572
> STR_ID: 5b0n |STR_LEN: 578 |STR_TIME: 0.8705770969390869
> STR_ID: 5b0o |STR_LEN: 2862 |STR_TIME: 4.963633060455322
> STR_ID: 5b0p |STR_LEN: 1425 |STR_TIME: 1.4810600280761719
> STR_ID: 5b0q |STR_LEN: 1060 |STR_TIME: 1.5087311267852783
> STR_ID: 5b0r |STR_LEN: 1247 |STR_TIME: 1.4603490829467773
> STR_ID: 5b0s |STR_LEN: 1078 |STR_TIME: 1.4596588611602783
> STR_ID: 5b0t |STR_LEN: 272 |STR_TIME: 0.4694657325744629
> STR_ID: 5b0u |STR_LEN: 671 |STR_TIME: 0.7624659538269043
> STR_ID: 5b0v |STR_LEN: 549 |STR_TIME: 1.8460619449615479
> STR_ID: 5b0w |STR_LEN: 2024 |STR_TIME: 2.9567201137542725
> STR_ID: 5b0x |STR_LEN: 468 |STR_TIME: 0.6890323162078857
> STR_ID: 5b0y |STR_LEN: 1085 |STR_TIME: 2.9238178730010986
> STR_ID: 5b0z |STR_LEN: 1376 |STR_TIME: 3.044163942337036
>> FINISH_DIR: ./data/b/b0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 164 |DIR_TIME: 260.7239348888397 

>> START_DIR: ./data/b/b1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1b10 |STR_LEN: 104 |STR_TIME: 8.579383850097656
> STR_ID: 1b11 |STR_LEN: 176 |STR_TIME: 0.29718708992004395
> STR_ID: 1b12 |STR_LEN: 1351 |STR_TIME: 1.8419089317321777
> STR_ID: 1b13 |STR_LEN: 95 |STR_TIME: 0.14623117446899414
> STR_ID: 1b14 |STR_LEN: 562 |STR_TIME: 0.9137096405029297
> STR_ID: 1b15 |STR_LEN: 640 |STR_TIME: 0.9255549907684326
> STR_ID: 1b16 |STR_LEN: 995 |STR_TIME: 1.0738732814788818
> STR_ID: 1b17 |STR_LEN: 127 |STR_TIME: 0.15051817893981934
> STR_ID: 1b18 |STR_LEN: 116 |STR_TIME: 0.14446091651916504
> STR_ID: 1b19 |STR_LEN: 111 |STR_TIME: 0.1460731029510498
> STR_ID: 1b1a |STR_LEN: 137 |STR_TIME: 0.45448803901672363
> STR_ID: 1b1b |STR_LEN: 231 |STR_TIME: 0.39061903953552246
> STR_ID: 1b1c |STR_LEN: 229 |STR_TIME: 0.36284399032592773
> STR_ID: 1b1e |STR_LEN: 157 |STR_TIME: 0.28473591804504395
> STR_ID: 1b1g |STR_LEN: 77 |STR_TIME: 2.435832977294922
> STR_ID: 1b1h |STR_LEN: 858 |STR_TIME: 1.0271751880645752
> STR_ID: 1b1i |STR_LEN: 177 |STR_TIME: 0.28202390670776367
> STR_ID: 1b1j |STR_LEN: 161 |STR_TIME: 0.2696850299835205
> STR_ID: 1b1u |STR_LEN: 205 |STR_TIME: 0.270618200302124
> STR_ID: 1b1v |STR_LEN: 23 |STR_TIME: 2.0542211532592773
> STR_ID: 1b1x |STR_LEN: 805 |STR_TIME: 1.2399141788482666
> STR_ID: 1b1y |STR_LEN: 643 |STR_TIME: 0.9585180282592773
> STR_ID: 1b1z |STR_LEN: 959 |STR_TIME: 1.5539562702178955
> STR_ID: 2b10 |STR_LEN: 831 |STR_TIME: 1.5425729751586914
> STR_ID: 2b11 |STR_LEN: 1307 |STR_TIME: 1.583125114440918
> STR_ID: 2b12 |STR_LEN: 428 |STR_TIME: 0.7659049034118652
> STR_ID: 2b13 |STR_LEN: 608 |STR_TIME: 0.542151927947998
> STR_ID: 2b14 |STR_LEN: 303 |STR_TIME: 0.43018174171447754
> STR_ID: 2b15 |STR_LEN: 410 |STR_TIME: 0.4711461067199707
> STR_ID: 2b16 |STR_LEN: 386 |STR_TIME: 0.48133301734924316
> STR_ID: 2b17 |STR_LEN: 209 |STR_TIME: 0.2791919708251953
> STR_ID: 2b18 |STR_LEN: 285 |STR_TIME: 0.6290700435638428
> STR_ID: 2b19 |STR_LEN: 36 |STR_TIME: 2.275731086730957
> STR_ID: 2b1a |STR_LEN: 517 |STR_TIME: 0.7982587814331055
> STR_ID: 2b1b |STR_LEN: 50 |STR_TIME: 0.14889883995056152
> STR_ID: 2b1c |STR_LEN: 41 |STR_TIME: 0.1447441577911377
> STR_ID: 2b1d |STR_LEN: 132 |STR_TIME: 0.43413400650024414
> STR_ID: 2b1e |STR_LEN: 793 |STR_TIME: 1.0127463340759277
> STR_ID: 2b1f |STR_LEN: 241 |STR_TIME: 0.27576184272766113
> STR_ID: 2b1g |STR_LEN: 2794 |STR_TIME: 7.341984987258911
> STR_ID: 2b1h |STR_LEN: 580 |STR_TIME: 0.8665978908538818
> STR_ID: 2b1i |STR_LEN: 1485 |STR_TIME: 3.873089075088501
> STR_ID: 2b1j |STR_LEN: 432 |STR_TIME: 0.6001760959625244
> STR_ID: 2b1k |STR_LEN: 212 |STR_TIME: 0.34188318252563477
> STR_ID: 2b1l |STR_LEN: 396 |STR_TIME: 0.5328531265258789
> STR_ID: 2b1m |STR_LEN: 501 |STR_TIME: 0.5181522369384766
> STR_ID: 2b1n |STR_LEN: 303 |STR_TIME: 0.46557116508483887
> STR_ID: 2b1o |STR_LEN: 215 |STR_TIME: 6.417531967163086
> STR_ID: 2b1p |STR_LEN: 522 |STR_TIME: 0.7265338897705078
> STR_ID: 2b1q |STR_LEN: 546 |STR_TIME: 0.6061170101165771
> STR_ID: 2b1r |STR_LEN: 487 |STR_TIME: 0.5328772068023682
> STR_ID: 2b1u |STR_LEN: 71 |STR_TIME: 4.3751139640808105
> STR_ID: 2b1v |STR_LEN: 591 |STR_TIME: 0.9898960590362549
> STR_ID: 2b1w |STR_LEN: 99 |STR_TIME: 3.1694133281707764
> STR_ID: 2b1x |STR_LEN: 2955 |STR_TIME: 3.6319191455841064
> STR_ID: 2b1y |STR_LEN: 175 |STR_TIME: 0.260545015335083
> STR_ID: 2b1z |STR_LEN: 602 |STR_TIME: 0.9640908241271973
> STR_ID: 3b12 |STR_LEN: 1154 |STR_TIME: 1.200887680053711
> STR_ID: 3b13 |STR_LEN: 1218 |STR_TIME: 4.137224912643433
> STR_ID: 3b18 |STR_LEN: 196 |STR_TIME: 0.36034584045410156
> STR_ID: 3b1b |STR_LEN: 1520 |STR_TIME: 1.380479097366333
> STR_ID: 3b1c |STR_LEN: 3035 |STR_TIME: 3.2770402431488037
> STR_ID: 3b1d |STR_LEN: 3183 |STR_TIME: 3.3928771018981934
> STR_ID: 3b1e |STR_LEN: 3265 |STR_TIME: 3.090425968170166
> STR_ID: 3b1f |STR_LEN: 396 |STR_TIME: 1.0018072128295898
> STR_ID: 3b1j |STR_LEN: 935 |STR_TIME: 1.3324651718139648
> STR_ID: 3b1k |STR_LEN: 1450 |STR_TIME: 2.602220058441162
> STR_ID: 3b1l |STR_LEN: 109 |STR_TIME: 0.18838286399841309
> STR_ID: 3b1m |STR_LEN: 550 |STR_TIME: 0.6002810001373291
> STR_ID: 3b1n |STR_LEN: 1343 |STR_TIME: 1.3130559921264648
> STR_ID: 3b1o |STR_LEN: 810 |STR_TIME: 2.0179107189178467
> STR_ID: 3b1p |STR_LEN: 577 |STR_TIME: 0.6859431266784668
> STR_ID: 3b1q |STR_LEN: 2913 |STR_TIME: 6.0370049476623535
> STR_ID: 3b1r |STR_LEN: 2900 |STR_TIME: 3.621222972869873
> STR_ID: 3b1s |STR_LEN: 394 |STR_TIME: 0.6612181663513184
> STR_ID: 3b1t |STR_LEN: 787 |STR_TIME: 2.1091339588165283
> STR_ID: 3b1u |STR_LEN: 811 |STR_TIME: 2.1748969554901123
> STR_ID: 3b1v |STR_LEN: 380 |STR_TIME: 0.9685969352722168
> STR_ID: 3b1w |STR_LEN: 1148 |STR_TIME: 3.233078956604004
> STR_ID: 3b1x |STR_LEN: 577 |STR_TIME: 1.6862750053405762
> STR_ID: 3b1y |STR_LEN: 284 |STR_TIME: 0.8312909603118896
> STR_ID: 3b1z |STR_LEN: 261 |STR_TIME: 0.8426721096038818
> STR_ID: 4b10 |STR_LEN: 2541 |STR_TIME: 2.6767120361328125
> STR_ID: 4b11 |STR_LEN: 2578 |STR_TIME: 2.6183290481567383
> STR_ID: 4b12 |STR_LEN: 2287 |STR_TIME: 2.6229209899902344
> STR_ID: 4b13 |STR_LEN: 2304 |STR_TIME: 2.6328680515289307
> STR_ID: 4b14 |STR_LEN: 2285 |STR_TIME: 2.5275139808654785
> STR_ID: 4b15 |STR_LEN: 705 |STR_TIME: 1.2063910961151123
> STR_ID: 4b16 |STR_LEN: 655 |STR_TIME: 1.1403577327728271
> STR_ID: 4b17 |STR_LEN: 462 |STR_TIME: 0.7520120143890381
> STR_ID: 4b18 |STR_LEN: 457 |STR_TIME: 0.8715147972106934
> STR_ID: 4b19 |STR_LEN: 30 |STR_TIME: 0.5276329517364502
> STR_ID: 4b1a |STR_LEN: 236 |STR_TIME: 0.3087952136993408
> STR_ID: 4b1b |STR_LEN: 879 |STR_TIME: 1.5623230934143066
> STR_ID: 4b1c |STR_LEN: 637 |STR_TIME: 0.793694019317627
> STR_ID: 4b1d |STR_LEN: 650 |STR_TIME: 0.7870693206787109
> STR_ID: 4b1e |STR_LEN: 588 |STR_TIME: 0.7563199996948242
> STR_ID: 4b1f |STR_LEN: 735 |STR_TIME: 1.744075059890747
> STR_ID: 4b1g |STR_LEN: 795 |STR_TIME: 1.7946240901947021
> STR_ID: 4b1h |STR_LEN: 893 |STR_TIME: 1.886446237564087
> STR_ID: 4b1i |STR_LEN: 1001 |STR_TIME: 1.8933460712432861
> STR_ID: 4b1j |STR_LEN: 1043 |STR_TIME: 1.8990979194641113
> STR_ID: 4b1l |STR_LEN: 220 |STR_TIME: 0.6426999568939209
> STR_ID: 4b1m |STR_LEN: 969 |STR_TIME: 1.9059710502624512
> STR_ID: 4b1q |STR_LEN: 35 |STR_TIME: 2.2622249126434326
> STR_ID: 4b1r |STR_LEN: 299 |STR_TIME: 0.7851362228393555
> STR_ID: 4b1t |STR_LEN: 846 |STR_TIME: 1.9742016792297363
> STR_ID: 4b1u |STR_LEN: 539 |STR_TIME: 1.3447718620300293
> STR_ID: 4b1v |STR_LEN: 1378 |STR_TIME: 2.7367138862609863
> STR_ID: 4b1w |STR_LEN: 656 |STR_TIME: 1.3793659210205078
> STR_ID: 4b1x |STR_LEN: 599 |STR_TIME: 1.4641211032867432
> STR_ID: 4b1y |STR_LEN: 959 |STR_TIME: 1.6764140129089355
> STR_ID: 4b1z |STR_LEN: 2372 |STR_TIME: 7.475488901138306
> STR_ID: 5b10 |STR_LEN: 467 |STR_TIME: 0.5458359718322754
> STR_ID: 5b11 |STR_LEN: 589 |STR_TIME: 0.5581538677215576
> STR_ID: 5b12 |STR_LEN: 2876 |STR_TIME: 2.779574155807495
> STR_ID: 5b13 |STR_LEN: 3884 |STR_TIME: 4.109232664108276
> STR_ID: 5b15 |STR_LEN: 612 |STR_TIME: 0.6144931316375732
> STR_ID: 5b16 |STR_LEN: 772 |STR_TIME: 2.6534359455108643
> STR_ID: 5b18 |STR_LEN: 547 |STR_TIME: 0.7646658420562744
> STR_ID: 5b19 |STR_LEN: 454 |STR_TIME: 0.7402758598327637
> STR_ID: 5b1a |STR_LEN: 7213 |STR_TIME: 14.336009979248047
> STR_ID: 5b1b |STR_LEN: 7166 |STR_TIME: 14.355561017990112
> STR_ID: 5b1c |STR_LEN: 544 |STR_TIME: 0.6768341064453125
> STR_ID: 5b1d |STR_LEN: 352 |STR_TIME: 0.5399618148803711
> STR_ID: 5b1e |STR_LEN: 348 |STR_TIME: 0.5322580337524414
> STR_ID: 5b1f |STR_LEN: 160 |STR_TIME: 0.30559515953063965
> STR_ID: 5b1g |STR_LEN: 161 |STR_TIME: 0.2874000072479248
> STR_ID: 5b1h |STR_LEN: 1644 |STR_TIME: 2.22537899017334
> STR_ID: 5b1i |STR_LEN: 2448 |STR_TIME: 4.2429399490356445
> STR_ID: 5b1j |STR_LEN: 797 |STR_TIME: 1.41593599319458
> STR_ID: 5b1k |STR_LEN: 638 |STR_TIME: 1.3456010818481445
> STR_ID: 5b1l |STR_LEN: 1285 |STR_TIME: 2.9327518939971924
> STR_ID: 5b1m |STR_LEN: 1133 |STR_TIME: 2.865010976791382
> STR_ID: 5b1n |STR_LEN: 151 |STR_TIME: 0.3029439449310303
> STR_ID: 5b1o |STR_LEN: 151 |STR_TIME: 0.2765669822692871
> STR_ID: 5b1q |STR_LEN: 2118 |STR_TIME: 1.938567876815796
> STR_ID: 5b1r |STR_LEN: 288 |STR_TIME: 0.5718400478363037
> STR_ID: 5b1s |STR_LEN: 1767 |STR_TIME: 2.304009199142456
> STR_ID: 5b1u |STR_LEN: 658 |STR_TIME: 0.717318058013916
> STR_ID: 5b1w |STR_LEN: 531 |STR_TIME: 1.0571060180664062
> STR_ID: 5b1x |STR_LEN: 554 |STR_TIME: 1.0826828479766846
> STR_ID: 5b1y |STR_LEN: 723 |STR_TIME: 0.9019169807434082
> STR_ID: 5b1z |STR_LEN: 473 |STR_TIME: 1.1338999271392822
>> FINISH_DIR: ./data/b/b1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 308 |DIR_TIME: 247.44820284843445 

>> START_DIR: ./data/b/b2/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1b20 |STR_LEN: 815 |STR_TIME: 0.7424089908599854
> STR_ID: 1b21 |STR_LEN: 666 |STR_TIME: 0.7520730495452881
> STR_ID: 1b22 |STR_LEN: 70 |STR_TIME: 6.472656011581421
> STR_ID: 1b23 |STR_LEN: 747 |STR_TIME: 1.239757776260376
> STR_ID: 1b24 |STR_LEN: 251 |STR_TIME: 0.38373494148254395
> STR_ID: 1b25 |STR_LEN: 3801 |STR_TIME: 4.684262037277222
> STR_ID: 1b26 |STR_LEN: 2454 |STR_TIME: 4.116344690322876
> STR_ID: 1b27 |STR_LEN: 1099 |STR_TIME: 1.156872034072876
> STR_ID: 1b28 |STR_LEN: 106 |STR_TIME: 5.006672143936157
> STR_ID: 1b2a |STR_LEN: 118 |STR_TIME: 0.16451478004455566
> STR_ID: 1b2b |STR_LEN: 118 |STR_TIME: 0.14931297302246094
> STR_ID: 1b2c |STR_LEN: 117 |STR_TIME: 0.14586591720581055
> STR_ID: 1b2d |STR_LEN: 121 |STR_TIME: 0.14591312408447266
> STR_ID: 1b2e |STR_LEN: 108 |STR_TIME: 0.14928197860717773
> STR_ID: 1b2f |STR_LEN: 117 |STR_TIME: 0.16604900360107422
> STR_ID: 1b2g |STR_LEN: 100 |STR_TIME: 0.13674688339233398
> STR_ID: 1b2h |STR_LEN: 905 |STR_TIME: 1.0777521133422852
> STR_ID: 1b2i |STR_LEN: 84 |STR_TIME: 5.386791944503784
> STR_ID: 1b2j |STR_LEN: 92 |STR_TIME: 0.1588120460510254
> STR_ID: 1b2k |STR_LEN: 566 |STR_TIME: 0.5718398094177246
> STR_ID: 1b2l |STR_LEN: 490 |STR_TIME: 0.5651729106903076
> STR_ID: 1b2m |STR_LEN: 306 |STR_TIME: 0.43677783012390137
