>> START_DIR: ./data/o/o0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1o00 |STR_LEN: 5748 |STR_TIME: 7.231147050857544
> STR_ID: 2o06 |STR_LEN: 1052 |STR_TIME: 1.181020975112915
> STR_ID: 2o07 |STR_LEN: 1187 |STR_TIME: 1.3043901920318604
> STR_ID: 2o08 |STR_LEN: 714 |STR_TIME: 0.8382132053375244
> STR_ID: 2o09 |STR_LEN: 595 |STR_TIME: 0.7259807586669922
> STR_ID: 2o0a |STR_LEN: 512 |STR_TIME: 0.5732719898223877
> STR_ID: 2o0b |STR_LEN: 1035 |STR_TIME: 1.4498567581176758
> STR_ID: 2o0c |STR_LEN: 432 |STR_TIME: 0.6731300354003906
> STR_ID: 2o0d |STR_LEN: 1038 |STR_TIME: 0.9756231307983398
> STR_ID: 2o0e |STR_LEN: 1048 |STR_TIME: 0.93778395652771
> STR_ID: 2o0f |STR_LEN: 488 |STR_TIME: 0.18442177772521973
> STR_ID: 2o0g |STR_LEN: 489 |STR_TIME: 0.7018780708312988
> STR_ID: 2o0h |STR_LEN: 808 |STR_TIME: 0.7962360382080078
> STR_ID: 2o0i |STR_LEN: 180 |STR_TIME: 0.33841991424560547
> STR_ID: 2o0j |STR_LEN: 780 |STR_TIME: 0.7891669273376465
> STR_ID: 2o0k |STR_LEN: 472 |STR_TIME: 0.7379789352416992
> STR_ID: 2o0l |STR_LEN: 826 |STR_TIME: 1.1031689643859863
> STR_ID: 2o0m |STR_LEN: 626 |STR_TIME: 0.9702370166778564
> STR_ID: 2o0o |STR_LEN: 496 |STR_TIME: 0.8272068500518799
> STR_ID: 2o0p |STR_LEN: 217 |STR_TIME: 0.2584998607635498
> STR_ID: 2o0q |STR_LEN: 266 |STR_TIME: 0.26041173934936523
> STR_ID: 2o0r |STR_LEN: 1231 |STR_TIME: 1.423100233078003
> STR_ID: 2o0s |STR_LEN: 12 |STR_TIME: 0.429293155670166
> STR_ID: 2o0t |STR_LEN: 2179 |STR_TIME: 3.063225030899048
> STR_ID: 2o0u |STR_LEN: 497 |STR_TIME: 0.7025468349456787
> STR_ID: 2o0v |STR_LEN: 1038 |STR_TIME: 0.8796801567077637
> STR_ID: 2o0w |STR_LEN: 1040 |STR_TIME: 0.9308857917785645
> STR_ID: 2o0x |STR_LEN: 1089 |STR_TIME: 0.9432461261749268
> STR_ID: 2o0y |STR_LEN: 1474 |STR_TIME: 1.7465629577636719
> STR_ID: 2o0z |STR_LEN: 952 |STR_TIME: 0.9252631664276123
> STR_ID: 3o00 |STR_LEN: 850 |STR_TIME: 1.072997808456421
> STR_ID: 3o01 |STR_LEN: 1050 |STR_TIME: 1.1082189083099365
> STR_ID: 3o02 |STR_LEN: 870 |STR_TIME: 1.0907373428344727
> STR_ID: 3o03 |STR_LEN: 465 |STR_TIME: 0.5277988910675049
> STR_ID: 3o04 |STR_LEN: 903 |STR_TIME: 0.8489978313446045
> STR_ID: 3o05 |STR_LEN: 1134 |STR_TIME: 1.4443690776824951
> STR_ID: 3o06 |STR_LEN: 850 |STR_TIME: 2.26111102104187
> STR_ID: 3o07 |STR_LEN: 1531 |STR_TIME: 1.5699372291564941
> STR_ID: 3o08 |STR_LEN: 1373 |STR_TIME: 3.0084757804870605
> STR_ID: 3o0a |STR_LEN: 938 |STR_TIME: 1.5300769805908203
> STR_ID: 3o0d |STR_LEN: 3786 |STR_TIME: 4.14083194732666
> STR_ID: 3o0e |STR_LEN: 2192 |STR_TIME: 6.3886878490448
> STR_ID: 3o0f |STR_LEN: 477 |STR_TIME: 0.989055871963501
> STR_ID: 3o0g |STR_LEN: 1086 |STR_TIME: 2.8143110275268555
> STR_ID: 3o0h |STR_LEN: 1728 |STR_TIME: 3.0265491008758545
> STR_ID: 3o0i |STR_LEN: 476 |STR_TIME: 0.4801902770996094
> STR_ID: 3o0j |STR_LEN: 474 |STR_TIME: 0.6795132160186768
> STR_ID: 3o0k |STR_LEN: 1790 |STR_TIME: 3.5603866577148438
> STR_ID: 3o0l |STR_LEN: 377 |STR_TIME: 0.7862961292266846
> STR_ID: 3o0m |STR_LEN: 521 |STR_TIME: 0.9728550910949707
> STR_ID: 3o0n |STR_LEN: 1739 |STR_TIME: 4.052478075027466
> STR_ID: 3o0o |STR_LEN: 1703 |STR_TIME: 4.264003038406372
> STR_ID: 3o0p |STR_LEN: 367 |STR_TIME: 0.653710126876831
> STR_ID: 3o0q |STR_LEN: 2148 |STR_TIME: 4.270230054855347
> STR_ID: 3o0r |STR_LEN: 1207 |STR_TIME: 3.3901000022888184
> STR_ID: 3o0t |STR_LEN: 576 |STR_TIME: 1.3086459636688232
> STR_ID: 3o0u |STR_LEN: 367 |STR_TIME: 0.44527196884155273
> STR_ID: 3o0v |STR_LEN: 308 |STR_TIME: 0.8624749183654785
> STR_ID: 3o0w |STR_LEN: 430 |STR_TIME: 0.5484018325805664
> STR_ID: 3o0x |STR_LEN: 883 |STR_TIME: 1.746410846710205
> STR_ID: 3o0y |STR_LEN: 4170 |STR_TIME: 3.677497148513794
> STR_ID: 3o0z |STR_LEN: 650 |STR_TIME: 2.052963972091675
> STR_ID: 4o00 |STR_LEN: 541 |STR_TIME: 1.0726609230041504
> STR_ID: 4o01 |STR_LEN: 1938 |STR_TIME: 3.3865699768066406
> STR_ID: 4o02 |STR_LEN: 2071 |STR_TIME: 5.580822706222534
> STR_ID: 4o03 |STR_LEN: 547 |STR_TIME: 1.007270097732544
> STR_ID: 4o04 |STR_LEN: 411 |STR_TIME: 0.477855920791626
> STR_ID: 4o05 |STR_LEN: 396 |STR_TIME: 0.45465970039367676
> STR_ID: 4o06 |STR_LEN: 202 |STR_TIME: 0.4046950340270996
> STR_ID: 4o07 |STR_LEN: 420 |STR_TIME: 0.4659848213195801
> STR_ID: 4o08 |STR_LEN: 1064 |STR_TIME: 1.246647596359253
> STR_ID: 4o09 |STR_LEN: 351 |STR_TIME: 0.45961880683898926
> STR_ID: 4o0a |STR_LEN: 273 |STR_TIME: 0.6452558040618896
> STR_ID: 4o0b |STR_LEN: 362 |STR_TIME: 0.44199490547180176
> STR_ID: 4o0c |STR_LEN: 940 |STR_TIME: 1.858971118927002
> STR_ID: 4o0d |STR_LEN: 819 |STR_TIME: 1.0444481372833252
> STR_ID: 4o0e |STR_LEN: 773 |STR_TIME: 1.0177288055419922
> STR_ID: 4o0f |STR_LEN: 752 |STR_TIME: 1.038855791091919
> STR_ID: 4o0g |STR_LEN: 740 |STR_TIME: 1.0463781356811523
> STR_ID: 4o0h |STR_LEN: 787 |STR_TIME: 1.0316588878631592
> STR_ID: 4o0i |STR_LEN: 849 |STR_TIME: 2.1718740463256836
> STR_ID: 4o0j |STR_LEN: 199 |STR_TIME: 0.313662052154541
> STR_ID: 4o0k |STR_LEN: 732 |STR_TIME: 1.1739089488983154
> STR_ID: 4o0l |STR_LEN: 1370 |STR_TIME: 1.9748327732086182
> STR_ID: 4o0m |STR_LEN: 1691 |STR_TIME: 2.708923101425171
> STR_ID: 4o0n |STR_LEN: 2401 |STR_TIME: 6.0526721477508545
> STR_ID: 4o0o |STR_LEN: 351 |STR_TIME: 0.5018670558929443
> STR_ID: 4o0p |STR_LEN: 971 |STR_TIME: 1.6451361179351807
> STR_ID: 4o0q |STR_LEN: 954 |STR_TIME: 1.048705816268921
> STR_ID: 4o0r |STR_LEN: 622 |STR_TIME: 1.8796510696411133
> STR_ID: 4o0s |STR_LEN: 284 |STR_TIME: 0.5274360179901123
> STR_ID: 4o0t |STR_LEN: 596 |STR_TIME: 1.798125982284546
> STR_ID: 4o0u |STR_LEN: 282 |STR_TIME: 0.5280060768127441
> STR_ID: 4o0v |STR_LEN: 302 |STR_TIME: 0.9601738452911377
> STR_ID: 4o0w |STR_LEN: 272 |STR_TIME: 0.5006630420684814
> STR_ID: 4o0x |STR_LEN: 346 |STR_TIME: 0.9582228660583496
> STR_ID: 4o0y |STR_LEN: 395 |STR_TIME: 0.9920620918273926
> STR_ID: 4o0z |STR_LEN: 1620 |STR_TIME: 3.3172779083251953
> STR_ID: 5o00 |STR_LEN: 364 |STR_TIME: 1.0669898986816406
>> FINISH_DIR: ./data/o/o0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 133 |DIR_TIME: 234.99326300621033 

>> START_DIR: ./data/o/o1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1o12 |STR_LEN: 936 |STR_TIME: 1.3119912147521973
> STR_ID: 1o13 |STR_LEN: 203 |STR_TIME: 0.24993300437927246
> STR_ID: 1o15 |STR_LEN: 34 |STR_TIME: 0.2461869716644287
> STR_ID: 1o16 |STR_LEN: 375 |STR_TIME: 0.3589448928833008
> STR_ID: 1o17 |STR_LEN: 2300 |STR_TIME: 2.5163679122924805
> STR_ID: 1o18 |STR_LEN: 11708 |STR_TIME: 21.812499046325684
> STR_ID: 1o19 |STR_LEN: 12000 |STR_TIME: 22.383551836013794
> STR_ID: 1o1a |STR_LEN: 12000 |STR_TIME: 22.29364514350891
> STR_ID: 1o1b |STR_LEN: 9736 |STR_TIME: 18.769476175308228
> STR_ID: 1o1c |STR_LEN: 10868 |STR_TIME: 20.162028789520264
> STR_ID: 1o1d |STR_LEN: 12000 |STR_TIME: 22.502742767333984
> STR_ID: 1o1e |STR_LEN: 12000 |STR_TIME: 22.52593994140625
> STR_ID: 1o1f |STR_LEN: 9736 |STR_TIME: 18.213852167129517
> STR_ID: 1o1g |STR_LEN: 12000 |STR_TIME: 22.43218994140625
> STR_ID: 1o1h |STR_LEN: 1719 |STR_TIME: 1.8625578880310059
> STR_ID: 1o1i |STR_LEN: 428 |STR_TIME: 0.5792381763458252
> STR_ID: 1o1j |STR_LEN: 949 |STR_TIME: 1.1179239749908447
> STR_ID: 1o1k |STR_LEN: 778 |STR_TIME: 1.055927038192749
> STR_ID: 1o1l |STR_LEN: 750 |STR_TIME: 1.038344144821167
> STR_ID: 1o1m |STR_LEN: 917 |STR_TIME: 1.093440055847168
> STR_ID: 1o1n |STR_LEN: 831 |STR_TIME: 1.3012206554412842
> STR_ID: 1o1o |STR_LEN: 860 |STR_TIME: 1.0687620639801025
> STR_ID: 1o1p |STR_LEN: 830 |STR_TIME: 1.0584571361541748
> STR_ID: 1o1r |STR_LEN: 1459 |STR_TIME: 1.5109810829162598
> STR_ID: 1o1s |STR_LEN: 1461 |STR_TIME: 1.5202422142028809
> STR_ID: 1o1t |STR_LEN: 1371 |STR_TIME: 1.4457101821899414
> STR_ID: 1o1u |STR_LEN: 127 |STR_TIME: 3.9403021335601807
> STR_ID: 1o1v |STR_LEN: 128 |STR_TIME: 4.115396022796631
> STR_ID: 1o1w |STR_LEN: 138 |STR_TIME: 3.0932788848876953
> STR_ID: 1o1x |STR_LEN: 358 |STR_TIME: 0.3791959285736084
> STR_ID: 1o1y |STR_LEN: 597 |STR_TIME: 0.5816681385040283
> STR_ID: 1o1z |STR_LEN: 649 |STR_TIME: 0.5677170753479004
> STR_ID: 2o10 |STR_LEN: 62 |STR_TIME: 3.4754719734191895
> STR_ID: 2o11 |STR_LEN: 926 |STR_TIME: 0.8355898857116699
> STR_ID: 2o12 |STR_LEN: 904 |STR_TIME: 0.8419618606567383
> STR_ID: 2o13 |STR_LEN: 60 |STR_TIME: 3.5958828926086426
> STR_ID: 2o14 |STR_LEN: 624 |STR_TIME: 0.7191011905670166
> STR_ID: 2o15 |STR_LEN: 599 |STR_TIME: 0.7841639518737793
> STR_ID: 2o16 |STR_LEN: 499 |STR_TIME: 0.5738251209259033
> STR_ID: 2o17 |STR_LEN: 923 |STR_TIME: 0.8486781120300293
> STR_ID: 2o18 |STR_LEN: 1433 |STR_TIME: 2.173125982284546
> STR_ID: 2o19 |STR_LEN: 1498 |STR_TIME: 4.040488958358765
> STR_ID: 2o1a |STR_LEN: 254 |STR_TIME: 0.5292730331420898
> STR_ID: 2o1b |STR_LEN: 648 |STR_TIME: 0.7576601505279541
> STR_ID: 2o1c |STR_LEN: 1195 |STR_TIME: 1.274322748184204
> STR_ID: 2o1d |STR_LEN: 1000 |STR_TIME: 0.8684930801391602
> STR_ID: 2o1e |STR_LEN: 567 |STR_TIME: 0.9598836898803711
> STR_ID: 2o1f |STR_LEN: 447 |STR_TIME: 0.5728609561920166
> STR_ID: 2o1g |STR_LEN: 467 |STR_TIME: 0.5673820972442627
> STR_ID: 2o1h |STR_LEN: 505 |STR_TIME: 0.5857977867126465
> STR_ID: 2o1i |STR_LEN: 90 |STR_TIME: 0.2291860580444336
> STR_ID: 2o1j |STR_LEN: 186 |STR_TIME: 0.3886237144470215
> STR_ID: 2o1k |STR_LEN: 148 |STR_TIME: 0.2255840301513672
> STR_ID: 2o1l |STR_LEN: 676 |STR_TIME: 0.7498118877410889
> STR_ID: 2o1m |STR_LEN: 761 |STR_TIME: 0.9001328945159912
> STR_ID: 2o1n |STR_LEN: 175 |STR_TIME: 0.2598879337310791
> STR_ID: 2o1o |STR_LEN: 702 |STR_TIME: 1.2449750900268555
> STR_ID: 2o1p |STR_LEN: 1228 |STR_TIME: 1.8290901184082031
> STR_ID: 2o1q |STR_LEN: 503 |STR_TIME: 0.6507198810577393
> STR_ID: 2o1s |STR_LEN: 2722 |STR_TIME: 3.7247250080108643
> STR_ID: 2o1t |STR_LEN: 4130 |STR_TIME: 7.239214181900024
> STR_ID: 2o1u |STR_LEN: 1396 |STR_TIME: 2.1722941398620605
> STR_ID: 2o1v |STR_LEN: 1419 |STR_TIME: 2.1734228134155273
> STR_ID: 2o1w |STR_LEN: 2133 |STR_TIME: 3.8356807231903076
> STR_ID: 2o1x |STR_LEN: 2233 |STR_TIME: 6.876774787902832
> STR_ID: 2o1y |STR_LEN: 182 |STR_TIME: 0.6621758937835693
> STR_ID: 2o1z |STR_LEN: 732 |STR_TIME: 1.059791088104248
> STR_ID: 3o10 |STR_LEN: 961 |STR_TIME: 1.8971481323242188
> STR_ID: 3o11 |STR_LEN: 963 |STR_TIME: 1.5413768291473389
> STR_ID: 3o12 |STR_LEN: 371 |STR_TIME: 0.6994340419769287
> STR_ID: 3o13 |STR_LEN: 298 |STR_TIME: 0.6705770492553711
> STR_ID: 3o14 |STR_LEN: 1024 |STR_TIME: 1.607450008392334
> STR_ID: 3o15 |STR_LEN: 434 |STR_TIME: 0.4512922763824463
> STR_ID: 3o16 |STR_LEN: 359 |STR_TIME: 0.4026639461517334
> STR_ID: 3o17 |STR_LEN: 738 |STR_TIME: 1.306809663772583
> STR_ID: 3o18 |STR_LEN: 738 |STR_TIME: 0.7321701049804688
> STR_ID: 3o19 |STR_LEN: 327 |STR_TIME: 0.5680670738220215
> STR_ID: 3o1a |STR_LEN: 399 |STR_TIME: 1.2455668449401855
> STR_ID: 3o1b |STR_LEN: 477 |STR_TIME: 1.4668619632720947
> STR_ID: 3o1c |STR_LEN: 322 |STR_TIME: 0.5563862323760986
> STR_ID: 3o1d |STR_LEN: 314 |STR_TIME: 0.8569343090057373
> STR_ID: 3o1e |STR_LEN: 270 |STR_TIME: 0.8768439292907715
> STR_ID: 3o1f |STR_LEN: 564 |STR_TIME: 0.6712431907653809
> STR_ID: 3o1g |STR_LEN: 417 |STR_TIME: 0.8006191253662109
> STR_ID: 3o1h |STR_LEN: 638 |STR_TIME: 1.076545000076294
> STR_ID: 3o1i |STR_LEN: 1231 |STR_TIME: 1.992781162261963
> STR_ID: 3o1j |STR_LEN: 1181 |STR_TIME: 1.9421610832214355
> STR_ID: 3o1k |STR_LEN: 606 |STR_TIME: 1.5846128463745117
> STR_ID: 3o1l |STR_LEN: 894 |STR_TIME: 2.0841619968414307
> STR_ID: 3o1m |STR_LEN: 557 |STR_TIME: 1.0015029907226562
> STR_ID: 3o1n |STR_LEN: 1278 |STR_TIME: 2.0179340839385986
> STR_ID: 3o1o |STR_LEN: 476 |STR_TIME: 0.9542109966278076
> STR_ID: 3o1p |STR_LEN: 577 |STR_TIME: 0.9899499416351318
> STR_ID: 3o1q |STR_LEN: 1313 |STR_TIME: 1.3062841892242432
> STR_ID: 3o1r |STR_LEN: 589 |STR_TIME: 1.0282549858093262
> STR_ID: 3o1s |STR_LEN: 517 |STR_TIME: 1.0131990909576416
> STR_ID: 3o1t |STR_LEN: 568 |STR_TIME: 1.015395164489746
> STR_ID: 3o1u |STR_LEN: 548 |STR_TIME: 0.9925389289855957
> STR_ID: 3o1v |STR_LEN: 426 |STR_TIME: 0.9739670753479004
> STR_ID: 3o1w |STR_LEN: 1724 |STR_TIME: 3.282893657684326
> STR_ID: 3o1x |STR_LEN: 327 |STR_TIME: 0.587913990020752
> STR_ID: 3o1y |STR_LEN: 847 |STR_TIME: 0.7981727123260498
> STR_ID: 3o1z |STR_LEN: 347 |STR_TIME: 0.5671989917755127
> STR_ID: 4o10 |STR_LEN: 2041 |STR_TIME: 3.5237700939178467
> STR_ID: 4o11 |STR_LEN: 876 |STR_TIME: 1.5477499961853027
> STR_ID: 4o12 |STR_LEN: 1522 |STR_TIME: 3.333922863006592
> STR_ID: 4o13 |STR_LEN: 1883 |STR_TIME: 3.4653499126434326
> STR_ID: 4o14 |STR_LEN: 1806 |STR_TIME: 3.4343109130859375
> STR_ID: 4o15 |STR_LEN: 1990 |STR_TIME: 3.424943685531616
> STR_ID: 4o16 |STR_LEN: 736 |STR_TIME: 1.649902105331421
> STR_ID: 4o17 |STR_LEN: 1642 |STR_TIME: 3.365088939666748
> STR_ID: 4o18 |STR_LEN: 1684 |STR_TIME: 3.354543685913086
> STR_ID: 4o19 |STR_LEN: 1977 |STR_TIME: 3.4224140644073486
> STR_ID: 4o1a |STR_LEN: 1785 |STR_TIME: 3.385906219482422
> STR_ID: 4o1b |STR_LEN: 2089 |STR_TIME: 3.5525999069213867
> STR_ID: 4o1c |STR_LEN: 1510 |STR_TIME: 3.2286839485168457
> STR_ID: 4o1d |STR_LEN: 1971 |STR_TIME: 3.5181450843811035
> STR_ID: 4o1e |STR_LEN: 923 |STR_TIME: 1.8291800022125244
> STR_ID: 4o1f |STR_LEN: 807 |STR_TIME: 1.7635769844055176
> STR_ID: 4o1g |STR_LEN: 465 |STR_TIME: 1.1003971099853516
> STR_ID: 4o1h |STR_LEN: 490 |STR_TIME: 1.4541711807250977
> STR_ID: 4o1i |STR_LEN: 738 |STR_TIME: 1.712254285812378
> STR_ID: 4o1j |STR_LEN: 556 |STR_TIME: 1.286478042602539
> STR_ID: 4o1k |STR_LEN: 275 |STR_TIME: 0.7396199703216553
> STR_ID: 4o1l |STR_LEN: 713 |STR_TIME: 1.2166638374328613
> STR_ID: 4o1m |STR_LEN: 2203 |STR_TIME: 5.471955060958862
> STR_ID: 4o1n |STR_LEN: 1292 |STR_TIME: 3.6302011013031006
> STR_ID: 4o1o |STR_LEN: 2691 |STR_TIME: 4.797343015670776
> STR_ID: 4o1p |STR_LEN: 3730 |STR_TIME: 5.15418815612793
> STR_ID: 4o1q |STR_LEN: 2122 |STR_TIME: 5.540540933609009
> STR_ID: 4o1r |STR_LEN: 429 |STR_TIME: 0.671807050704956
> STR_ID: 4o1s |STR_LEN: 473 |STR_TIME: 1.1281070709228516
> STR_ID: 4o1t |STR_LEN: 309 |STR_TIME: 0.4130878448486328
> STR_ID: 4o1u |STR_LEN: 720 |STR_TIME: 1.7878918647766113
> STR_ID: 4o1v |STR_LEN: 253 |STR_TIME: 0.5171902179718018
> STR_ID: 4o1w |STR_LEN: 684 |STR_TIME: 0.8849730491638184
> STR_ID: 4o1x |STR_LEN: 1406 |STR_TIME: 2.1684815883636475
> STR_ID: 4o1y |STR_LEN: 165 |STR_TIME: 0.44608473777770996
> STR_ID: 4o1z |STR_LEN: 1433 |STR_TIME: 2.1007091999053955
> STR_ID: 5o1n |STR_LEN: 471 |STR_TIME: 0.7512261867523193
>> FINISH_DIR: ./data/o/o1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 273 |DIR_TIME: 415.4365451335907 

>> START_DIR: ./data/o/o2/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1o20 |STR_LEN: 713 |STR_TIME: 0.8318297863006592
> STR_ID: 1o22 |STR_LEN: 251 |STR_TIME: 0.396740198135376
> STR_ID: 1o23 |STR_LEN: 1213 |STR_TIME: 1.6067156791687012
> STR_ID: 1o24 |STR_LEN: 1263 |STR_TIME: 1.6540942192077637
> STR_ID: 1o25 |STR_LEN: 1090 |STR_TIME: 1.6629819869995117
> STR_ID: 1o26 |STR_LEN: 1157 |STR_TIME: 1.7543871402740479
> STR_ID: 1o27 |STR_LEN: 1073 |STR_TIME: 1.6817281246185303
> STR_ID: 1o28 |STR_LEN: 1218 |STR_TIME: 1.7039740085601807
> STR_ID: 1o29 |STR_LEN: 1303 |STR_TIME: 1.8048861026763916
> STR_ID: 1o2a |STR_LEN: 1164 |STR_TIME: 1.6618070602416992
> STR_ID: 1o2b |STR_LEN: 1101 |STR_TIME: 1.656935214996338
> STR_ID: 1o2d |STR_LEN: 1617 |STR_TIME: 2.7467010021209717
> STR_ID: 1o2e |STR_LEN: 168 |STR_TIME: 0.2686271667480469
> STR_ID: 1o2f |STR_LEN: 227 |STR_TIME: 2.061505079269409
> STR_ID: 1o2g |STR_LEN: 608 |STR_TIME: 1.294762134552002
> STR_ID: 1o2h |STR_LEN: 343 |STR_TIME: 0.8912808895111084
> STR_ID: 1o2i |STR_LEN: 508 |STR_TIME: 0.9395899772644043
> STR_ID: 1o2j |STR_LEN: 378 |STR_TIME: 0.8703539371490479
> STR_ID: 1o2k |STR_LEN: 371 |STR_TIME: 0.8379659652709961
> STR_ID: 1o2l |STR_LEN: 351 |STR_TIME: 0.8276321887969971
> STR_ID: 1o2m |STR_LEN: 370 |STR_TIME: 0.8376381397247314
> STR_ID: 1o2n |STR_LEN: 471 |STR_TIME: 0.9331488609313965
> STR_ID: 1o2o |STR_LEN: 367 |STR_TIME: 0.8895399570465088
> STR_ID: 1o2p |STR_LEN: 381 |STR_TIME: 0.863469123840332
> STR_ID: 1o2q |STR_LEN: 452 |STR_TIME: 0.8915259838104248
> STR_ID: 1o2r |STR_LEN: 409 |STR_TIME: 0.8640129566192627
> STR_ID: 1o2s |STR_LEN: 359 |STR_TIME: 0.8324410915374756
> STR_ID: 1o2t |STR_LEN: 359 |STR_TIME: 0.8394420146942139
> STR_ID: 1o2u |STR_LEN: 361 |STR_TIME: 0.8819429874420166
> STR_ID: 1o2v |STR_LEN: 370 |STR_TIME: 0.87857985496521
> STR_ID: 1o2w |STR_LEN: 375 |STR_TIME: 0.855339765548706
> STR_ID: 1o2x |STR_LEN: 378 |STR_TIME: 0.8474907875061035
> STR_ID: 1o2y |STR_LEN: 365 |STR_TIME: 0.8533470630645752
> STR_ID: 1o2z |STR_LEN: 359 |STR_TIME: 0.8324680328369141
> STR_ID: 2o20 |STR_LEN: 3516 |STR_TIME: 4.090041637420654
> STR_ID: 2o21 |STR_LEN: 165 |STR_TIME: 0.5979101657867432
> STR_ID: 2o22 |STR_LEN: 165 |STR_TIME: 0.5787339210510254
> STR_ID: 2o23 |STR_LEN: 1120 |STR_TIME: 1.847015380859375
> STR_ID: 2o24 |STR_LEN: 453 |STR_TIME: 0.5123870372772217
> STR_ID: 2o25 |STR_LEN: 748 |STR_TIME: 1.2329909801483154
> STR_ID: 2o26 |STR_LEN: 3415 |STR_TIME: 3.398186683654785
> STR_ID: 2o27 |STR_LEN: 731 |STR_TIME: 0.6133830547332764
> STR_ID: 2o28 |STR_LEN: 680 |STR_TIME: 0.7635271549224854
> STR_ID: 2o29 |STR_LEN: 416 |STR_TIME: 0.5044519901275635
> STR_ID: 2o2a |STR_LEN: 743 |STR_TIME: 0.9512262344360352
> STR_ID: 2o2b |STR_LEN: 390 |STR_TIME: 0.49097394943237305
> STR_ID: 2o2c |STR_LEN: 3009 |STR_TIME: 3.361859083175659
> STR_ID: 2o2d |STR_LEN: 2824 |STR_TIME: 3.2566609382629395
> STR_ID: 2o2e |STR_LEN: 665 |STR_TIME: 1.0719661712646484
> STR_ID: 2o2f |STR_LEN: 139 |STR_TIME: 0.49235987663269043
> STR_ID: 2o2g |STR_LEN: 388 |STR_TIME: 0.44432878494262695
> STR_ID: 2o2h |STR_LEN: 530 |STR_TIME: 0.6186790466308594
> STR_ID: 2o2i |STR_LEN: 592 |STR_TIME: 0.6148948669433594
> STR_ID: 2o2j |STR_LEN: 651 |STR_TIME: 1.0800702571868896
> STR_ID: 2o2k |STR_LEN: 1860 |STR_TIME: 1.573551893234253
> STR_ID: 2o2l |STR_LEN: 1340 |STR_TIME: 1.936150074005127
> STR_ID: 2o2m |STR_LEN: 146 |STR_TIME: 0.49742698669433594
