>> START_DIR: ./data/f/f0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1f00 |STR_LEN: 472 |STR_TIME: 0.5687499046325684
> STR_ID: 1f0q |STR_LEN: 388 |STR_TIME: 0.6621789932250977
> STR_ID: 1f0r |STR_LEN: 457 |STR_TIME: 0.6107170581817627
> STR_ID: 1f0s |STR_LEN: 434 |STR_TIME: 0.5972390174865723
> STR_ID: 1f0t |STR_LEN: 345 |STR_TIME: 0.43909311294555664
> STR_ID: 1f0u |STR_LEN: 360 |STR_TIME: 0.46028685569763184
> STR_ID: 1f0v |STR_LEN: 1086 |STR_TIME: 1.1141481399536133
> STR_ID: 1f0w |STR_LEN: 266 |STR_TIME: 0.30745482444763184
> STR_ID: 1f0x |STR_LEN: 1327 |STR_TIME: 2.002518892288208
> STR_ID: 1f0y |STR_LEN: 1050 |STR_TIME: 1.1973001956939697
> STR_ID: 1f0z |STR_LEN: 66 |STR_TIME: 4.856266021728516
> STR_ID: 2f00 |STR_LEN: 1339 |STR_TIME: 1.7637932300567627
> STR_ID: 2f01 |STR_LEN: 521 |STR_TIME: 0.8989193439483643
> STR_ID: 2f02 |STR_LEN: 1044 |STR_TIME: 1.2885692119598389
> STR_ID: 2f03 |STR_LEN: 676 |STR_TIME: 2.23193097114563
> STR_ID: 2f05 |STR_LEN: 85 |STR_TIME: 8.478227138519287
> STR_ID: 2f06 |STR_LEN: 375 |STR_TIME: 0.5930380821228027
> STR_ID: 2f07 |STR_LEN: 483 |STR_TIME: 0.7275242805480957
> STR_ID: 2f08 |STR_LEN: 673 |STR_TIME: 0.909862756729126
> STR_ID: 2f09 |STR_LEN: 82 |STR_TIME: 5.557249069213867
> STR_ID: 2f0a |STR_LEN: 509 |STR_TIME: 0.6912529468536377
> STR_ID: 2f0c |STR_LEN: 1160 |STR_TIME: 0.9744789600372314
> STR_ID: 2f0d |STR_LEN: 148 |STR_TIME: 0.3674647808074951
> STR_ID: 2f0e |STR_LEN: 207 |STR_TIME: 0.32050609588623047
> STR_ID: 2f0f |STR_LEN: 172 |STR_TIME: 0.2901592254638672
> STR_ID: 2f0g |STR_LEN: 183 |STR_TIME: 0.29221487045288086
> STR_ID: 2f0h |STR_LEN: 165 |STR_TIME: 0.28304195404052734
> STR_ID: 2f0i |STR_LEN: 177 |STR_TIME: 0.31413793563842773
> STR_ID: 2f0j |STR_LEN: 190 |STR_TIME: 0.3066291809082031
> STR_ID: 2f0k |STR_LEN: 191 |STR_TIME: 0.2969248294830322
> STR_ID: 2f0l |STR_LEN: 200 |STR_TIME: 0.29693007469177246
> STR_ID: 2f0m |STR_LEN: 186 |STR_TIME: 0.29622697830200195
> STR_ID: 2f0n |STR_LEN: 194 |STR_TIME: 0.3054509162902832
> STR_ID: 2f0o |STR_LEN: 167 |STR_TIME: 0.30518078804016113
> STR_ID: 2f0p |STR_LEN: 172 |STR_TIME: 0.28545284271240234
> STR_ID: 2f0q |STR_LEN: 184 |STR_TIME: 0.28948402404785156
> STR_ID: 2f0r |STR_LEN: 529 |STR_TIME: 0.627979040145874
> STR_ID: 2f0s |STR_LEN: 191 |STR_TIME: 0.31110215187072754
> STR_ID: 2f0t |STR_LEN: 223 |STR_TIME: 0.3145022392272949
> STR_ID: 2f0u |STR_LEN: 245 |STR_TIME: 0.31908559799194336
> STR_ID: 2f0v |STR_LEN: 176 |STR_TIME: 0.2935960292816162
> STR_ID: 2f0w |STR_LEN: 176 |STR_TIME: 0.3530731201171875
> STR_ID: 2f0x |STR_LEN: 1551 |STR_TIME: 2.023845911026001
> STR_ID: 2f0y |STR_LEN: 1121 |STR_TIME: 1.4191930294036865
> STR_ID: 2f0z |STR_LEN: 435 |STR_TIME: 0.6699807643890381
> STR_ID: 3f00 |STR_LEN: 391 |STR_TIME: 0.6150922775268555
> STR_ID: 3f01 |STR_LEN: 341 |STR_TIME: 0.6067309379577637
> STR_ID: 3f02 |STR_LEN: 1272 |STR_TIME: 1.5318520069122314
> STR_ID: 3f03 |STR_LEN: 1019 |STR_TIME: 1.5090601444244385
> STR_ID: 3f04 |STR_LEN: 494 |STR_TIME: 0.6605119705200195
> STR_ID: 3f05 |STR_LEN: 465 |STR_TIME: 0.644413948059082
> STR_ID: 3f06 |STR_LEN: 752 |STR_TIME: 1.2878830432891846
> STR_ID: 3f07 |STR_LEN: 1100 |STR_TIME: 1.9662199020385742
> STR_ID: 3f08 |STR_LEN: 398 |STR_TIME: 0.5744199752807617
> STR_ID: 3f0a |STR_LEN: 229 |STR_TIME: 0.3871450424194336
> STR_ID: 3f0b |STR_LEN: 284 |STR_TIME: 0.3859848976135254
> STR_ID: 3f0c |STR_LEN: 195 |STR_TIME: 0.40528011322021484
> STR_ID: 3f0d |STR_LEN: 1407 |STR_TIME: 2.997871160507202
> STR_ID: 3f0e |STR_LEN: 702 |STR_TIME: 0.8723890781402588
> STR_ID: 3f0f |STR_LEN: 683 |STR_TIME: 0.9396617412567139
> STR_ID: 3f0g |STR_LEN: 1476 |STR_TIME: 1.8191778659820557
> STR_ID: 3f0h |STR_LEN: 743 |STR_TIME: 0.8291840553283691
> STR_ID: 3f0i |STR_LEN: 541 |STR_TIME: 0.5459990501403809
> STR_ID: 3f0l |STR_LEN: 553 |STR_TIME: 0.5983598232269287
> STR_ID: 3f0m |STR_LEN: 535 |STR_TIME: 0.5999822616577148
> STR_ID: 3f0n |STR_LEN: 1202 |STR_TIME: 2.591097116470337
> STR_ID: 3f0o |STR_LEN: 751 |STR_TIME: 0.8115050792694092
> STR_ID: 3f0p |STR_LEN: 717 |STR_TIME: 0.78426194190979
> STR_ID: 3f0q |STR_LEN: 280 |STR_TIME: 0.37793922424316406
> STR_ID: 3f0r |STR_LEN: 1201 |STR_TIME: 1.9867851734161377
> STR_ID: 3f0s |STR_LEN: 159 |STR_TIME: 0.37342119216918945
> STR_ID: 3f0t |STR_LEN: 933 |STR_TIME: 1.1723978519439697
> STR_ID: 3f0u |STR_LEN: 318 |STR_TIME: 0.3762540817260742
> STR_ID: 3f0v |STR_LEN: 244 |STR_TIME: 0.37686610221862793
> STR_ID: 3f0w |STR_LEN: 156 |STR_TIME: 0.3348710536956787
> STR_ID: 3f0x |STR_LEN: 167 |STR_TIME: 0.3719370365142822
> STR_ID: 3f0y |STR_LEN: 3593 |STR_TIME: 3.6773340702056885
> STR_ID: 3f0z |STR_LEN: 533 |STR_TIME: 0.650590181350708
> STR_ID: 4f00 |STR_LEN: 314 |STR_TIME: 0.7491240501403809
> STR_ID: 4f01 |STR_LEN: 822 |STR_TIME: 1.6095490455627441
> STR_ID: 4f02 |STR_LEN: 603 |STR_TIME: 1.4762659072875977
> STR_ID: 4f03 |STR_LEN: 1913 |STR_TIME: 2.103353977203369
> STR_ID: 4f04 |STR_LEN: 1203 |STR_TIME: 2.9824440479278564
> STR_ID: 4f06 |STR_LEN: 759 |STR_TIME: 1.4823260307312012
> STR_ID: 4f07 |STR_LEN: 2442 |STR_TIME: 3.5913479328155518
> STR_ID: 4f08 |STR_LEN: 582 |STR_TIME: 1.1355328559875488
> STR_ID: 4f09 |STR_LEN: 382 |STR_TIME: 0.6189908981323242
> STR_ID: 4f0a |STR_LEN: 426 |STR_TIME: 0.7862260341644287
> STR_ID: 4f0b |STR_LEN: 960 |STR_TIME: 1.6466569900512695
> STR_ID: 4f0c |STR_LEN: 476 |STR_TIME: 0.9508678913116455
> STR_ID: 4f0d |STR_LEN: 406 |STR_TIME: 1.3095340728759766
> STR_ID: 4f0e |STR_LEN: 866 |STR_TIME: 1.4197471141815186
> STR_ID: 4f0f |STR_LEN: 488 |STR_TIME: 0.6297788619995117
> STR_ID: 4f0g |STR_LEN: 325 |STR_TIME: 0.5259990692138672
> STR_ID: 4f0h |STR_LEN: 925 |STR_TIME: 1.2101480960845947
> STR_ID: 4f0i |STR_LEN: 890 |STR_TIME: 2.1163456439971924
> STR_ID: 4f0j |STR_LEN: 610 |STR_TIME: 1.2058780193328857
> STR_ID: 4f0k |STR_LEN: 997 |STR_TIME: 1.1993088722229004
> STR_ID: 4f0l |STR_LEN: 1520 |STR_TIME: 2.9831790924072266
> STR_ID: 4f0m |STR_LEN: 944 |STR_TIME: 1.8889899253845215
> STR_ID: 4f0n |STR_LEN: 248 |STR_TIME: 0.2817249298095703
> STR_ID: 4f0o |STR_LEN: 209 |STR_TIME: 0.26838088035583496
> STR_ID: 4f0p |STR_LEN: 2101 |STR_TIME: 3.074846029281616
> STR_ID: 4f0q |STR_LEN: 2792 |STR_TIME: 3.292080879211426
> STR_ID: 4f0r |STR_LEN: 764 |STR_TIME: 0.9372808933258057
> STR_ID: 4f0s |STR_LEN: 737 |STR_TIME: 0.9098148345947266
> STR_ID: 4f0t |STR_LEN: 554 |STR_TIME: 0.6647968292236328
> STR_ID: 4f0u |STR_LEN: 1155 |STR_TIME: 1.7625889778137207
> STR_ID: 4f0v |STR_LEN: 349 |STR_TIME: 0.6364579200744629
> STR_ID: 4f0w |STR_LEN: 389 |STR_TIME: 0.6564788818359375
> STR_ID: 4f0x |STR_LEN: 3567 |STR_TIME: 6.081437110900879
> STR_ID: 4f0y |STR_LEN: 381 |STR_TIME: 1.0365607738494873
> STR_ID: 4f0z |STR_LEN: 1024 |STR_TIME: 2.9708521366119385
> STR_ID: 5f00 |STR_LEN: 670 |STR_TIME: 0.8897600173950195
> STR_ID: 5f01 |STR_LEN: 800 |STR_TIME: 0.9016292095184326
> STR_ID: 5f02 |STR_LEN: 443 |STR_TIME: 1.3781356811523438
> STR_ID: 5f03 |STR_LEN: 1176 |STR_TIME: 1.864591121673584
> STR_ID: 5f04 |STR_LEN: 269 |STR_TIME: 0.4251530170440674
> STR_ID: 5f05 |STR_LEN: 1731 |STR_TIME: 3.174400568008423
> STR_ID: 5f06 |STR_LEN: 1185 |STR_TIME: 2.4150938987731934
> STR_ID: 5f07 |STR_LEN: 495 |STR_TIME: 0.8755290508270264
> STR_ID: 5f08 |STR_LEN: 212 |STR_TIME: 0.4176909923553467
> STR_ID: 5f09 |STR_LEN: 1277 |STR_TIME: 2.7164642810821533
> STR_ID: 5f0a |STR_LEN: 990 |STR_TIME: 2.7351338863372803
> STR_ID: 5f0b |STR_LEN: 223 |STR_TIME: 0.34427881240844727
> STR_ID: 5f0c |STR_LEN: 231 |STR_TIME: 0.4165768623352051
> STR_ID: 5f0e |STR_LEN: 1891 |STR_TIME: 3.6909849643707275
> STR_ID: 5f0f |STR_LEN: 233 |STR_TIME: 0.427257776260376
> STR_ID: 5f0g |STR_LEN: 928 |STR_TIME: 0.9308090209960938
> STR_ID: 5f0h |STR_LEN: 216 |STR_TIME: 0.4100461006164551
> STR_ID: 5f0j |STR_LEN: 1049 |STR_TIME: 1.7722442150115967
> STR_ID: 5f0k |STR_LEN: 2203 |STR_TIME: 7.647749185562134
> STR_ID: 5f0l |STR_LEN: 951 |STR_TIME: 1.747431993484497
> STR_ID: 5f0m |STR_LEN: 935 |STR_TIME: 1.7116281986236572
> STR_ID: 5f0n |STR_LEN: 1038 |STR_TIME: 1.9920482635498047
> STR_ID: 5f0o |STR_LEN: 1035 |STR_TIME: 1.892533779144287
> STR_ID: 5f0p |STR_LEN: 986 |STR_TIME: 1.7373628616333008
> STR_ID: 5f0q |STR_LEN: 475 |STR_TIME: 0.94964599609375
> STR_ID: 5f0s |STR_LEN: 410 |STR_TIME: 0.9066040515899658
> STR_ID: 5f0u |STR_LEN: 115 |STR_TIME: 0.2717249393463135
> STR_ID: 5f0v |STR_LEN: 2759 |STR_TIME: 5.055384159088135
> STR_ID: 5f0w |STR_LEN: 292 |STR_TIME: 0.5524461269378662
> STR_ID: 5f0x |STR_LEN: 1473 |STR_TIME: 2.8354640007019043
> STR_ID: 5f0z |STR_LEN: 662 |STR_TIME: 1.6163079738616943
>> FINISH_DIR: ./data/f/f0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 167 |DIR_TIME: 226.90105319023132 

>> START_DIR: ./data/f/f1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1f10 |STR_LEN: 255 |STR_TIME: 0.3080439567565918
> STR_ID: 1f11 |STR_LEN: 868 |STR_TIME: 1.4135799407958984
> STR_ID: 1f12 |STR_LEN: 772 |STR_TIME: 1.0548779964447021
> STR_ID: 1f13 |STR_LEN: 1928 |STR_TIME: 2.688220977783203
> STR_ID: 1f14 |STR_LEN: 869 |STR_TIME: 1.0973482131958008
> STR_ID: 1f15 |STR_LEN: 538 |STR_TIME: 0.9744620323181152
> STR_ID: 1f16 |STR_LEN: 192 |STR_TIME: 12.121114015579224
> STR_ID: 1f17 |STR_LEN: 784 |STR_TIME: 1.1609289646148682
> STR_ID: 1f18 |STR_LEN: 317 |STR_TIME: 0.3304898738861084
> STR_ID: 1f1a |STR_LEN: 253 |STR_TIME: 0.30754780769348145
> STR_ID: 1f1b |STR_LEN: 1942 |STR_TIME: 1.9079170227050781
> STR_ID: 1f1c |STR_LEN: 277 |STR_TIME: 0.5137639045715332
> STR_ID: 1f1d |STR_LEN: 155 |STR_TIME: 0.28933286666870117
> STR_ID: 1f1e |STR_LEN: 328 |STR_TIME: 0.6354010105133057
> STR_ID: 1f1f |STR_LEN: 89 |STR_TIME: 0.18880295753479004
> STR_ID: 1f1g |STR_LEN: 2136 |STR_TIME: 3.4806017875671387
> STR_ID: 1f1h |STR_LEN: 7140 |STR_TIME: 10.676325798034668
> STR_ID: 1f1j |STR_LEN: 870 |STR_TIME: 1.0288000106811523
> STR_ID: 1f1m |STR_LEN: 1286 |STR_TIME: 1.242011308670044
> STR_ID: 1f1o |STR_LEN: 351 |STR_TIME: 0.16256165504455566
> STR_ID: 1f1r |STR_LEN: 995 |STR_TIME: 1.301738977432251
> STR_ID: 1f1s |STR_LEN: 1352 |STR_TIME: 1.6933770179748535
> STR_ID: 1f1t |STR_LEN: 52 |STR_TIME: 0.2400670051574707
> STR_ID: 1f1u |STR_LEN: 1307 |STR_TIME: 1.3559050559997559
> STR_ID: 1f1v |STR_LEN: 960 |STR_TIME: 1.246372938156128
> STR_ID: 1f1w |STR_LEN: 186 |STR_TIME: 0.26552820205688477
> STR_ID: 1f1x |STR_LEN: 2373 |STR_TIME: 2.6560561656951904
> STR_ID: 1f1z |STR_LEN: 818 |STR_TIME: 1.0873041152954102
> STR_ID: 2f10 |STR_LEN: 376 |STR_TIME: 0.6523160934448242
> STR_ID: 2f11 |STR_LEN: 445 |STR_TIME: 0.6574289798736572
> STR_ID: 2f12 |STR_LEN: 516 |STR_TIME: 0.7085771560668945
> STR_ID: 2f13 |STR_LEN: 543 |STR_TIME: 0.6852259635925293
> STR_ID: 2f14 |STR_LEN: 561 |STR_TIME: 0.630540132522583
> STR_ID: 2f15 |STR_LEN: 122 |STR_TIME: 0.2105419635772705
> STR_ID: 2f16 |STR_LEN: 7411 |STR_TIME: 11.306564807891846
> STR_ID: 2f17 |STR_LEN: 642 |STR_TIME: 1.012207269668579
> STR_ID: 2f18 |STR_LEN: 2191 |STR_TIME: 2.1852028369903564
> STR_ID: 2f19 |STR_LEN: 435 |STR_TIME: 0.7565891742706299
> STR_ID: 2f1a |STR_LEN: 2119 |STR_TIME: 2.317135810852051
> STR_ID: 2f1b |STR_LEN: 2176 |STR_TIME: 2.225309133529663
> STR_ID: 2f1c |STR_LEN: 367 |STR_TIME: 0.5265588760375977
> STR_ID: 2f1d |STR_LEN: 2976 |STR_TIME: 5.0003862380981445
> STR_ID: 2f1e |STR_LEN: 116 |STR_TIME: 7.303337812423706
> STR_ID: 2f1f |STR_LEN: 587 |STR_TIME: 1.2277922630310059
> STR_ID: 2f1g |STR_LEN: 766 |STR_TIME: 0.8823468685150146
> STR_ID: 2f1h |STR_LEN: 318 |STR_TIME: 0.585200309753418
> STR_ID: 2f1i |STR_LEN: 309 |STR_TIME: 0.5816130638122559
> STR_ID: 2f1j |STR_LEN: 369 |STR_TIME: 0.5845611095428467
> STR_ID: 2f1k |STR_LEN: 1545 |STR_TIME: 2.2014639377593994
> STR_ID: 2f1l |STR_LEN: 213 |STR_TIME: 0.37827181816101074
> STR_ID: 2f1m |STR_LEN: 959 |STR_TIME: 1.668821096420288
> STR_ID: 2f1n |STR_LEN: 407 |STR_TIME: 0.4947841167449951
> STR_ID: 2f1o |STR_LEN: 2322 |STR_TIME: 3.975468873977661
> STR_ID: 2f1q |STR_LEN: 43 |STR_TIME: 3.7512519359588623
> STR_ID: 2f1r |STR_LEN: 462 |STR_TIME: 0.6874880790710449
> STR_ID: 2f1s |STR_LEN: 351 |STR_TIME: 0.38822388648986816
> STR_ID: 2f1t |STR_LEN: 563 |STR_TIME: 1.0136210918426514
> STR_ID: 2f1v |STR_LEN: 1098 |STR_TIME: 1.9666099548339844
> STR_ID: 2f1w |STR_LEN: 283 |STR_TIME: 0.346904993057251
> STR_ID: 2f1x |STR_LEN: 386 |STR_TIME: 0.5744678974151611
> STR_ID: 2f1y |STR_LEN: 319 |STR_TIME: 0.33971500396728516
> STR_ID: 2f1z |STR_LEN: 1191 |STR_TIME: 1.8545758724212646
> STR_ID: 3f10 |STR_LEN: 407 |STR_TIME: 0.6268100738525391
> STR_ID: 3f11 |STR_LEN: 640 |STR_TIME: 0.6611177921295166
> STR_ID: 3f12 |STR_LEN: 825 |STR_TIME: 1.39790678024292
> STR_ID: 3f13 |STR_LEN: 475 |STR_TIME: 0.5700337886810303
> STR_ID: 3f14 |STR_LEN: 220 |STR_TIME: 0.30533385276794434
> STR_ID: 3f15 |STR_LEN: 303 |STR_TIME: 0.387531042098999
> STR_ID: 3f16 |STR_LEN: 469 |STR_TIME: 0.753204345703125
> STR_ID: 3f17 |STR_LEN: 416 |STR_TIME: 0.6749420166015625
> STR_ID: 3f18 |STR_LEN: 464 |STR_TIME: 0.7173380851745605
> STR_ID: 3f19 |STR_LEN: 487 |STR_TIME: 0.7090790271759033
> STR_ID: 3f1a |STR_LEN: 463 |STR_TIME: 0.7029082775115967
> STR_ID: 3f1b |STR_LEN: 187 |STR_TIME: 0.37193894386291504
> STR_ID: 3f1c |STR_LEN: 526 |STR_TIME: 0.8589901924133301
> STR_ID: 3f1i |STR_LEN: 227 |STR_TIME: 0.4169762134552002
> STR_ID: 3f1j |STR_LEN: 183 |STR_TIME: 0.3297269344329834
> STR_ID: 3f1k |STR_LEN: 302 |STR_TIME: 0.5037417411804199
> STR_ID: 3f1l |STR_LEN: 1252 |STR_TIME: 2.5413389205932617
> STR_ID: 3f1n |STR_LEN: 398 |STR_TIME: 1.2735719680786133
> STR_ID: 3f1o |STR_LEN: 408 |STR_TIME: 1.3169810771942139
> STR_ID: 3f1p |STR_LEN: 482 |STR_TIME: 1.3786330223083496
> STR_ID: 3f1q |STR_LEN: 678 |STR_TIME: 0.7960729598999023
> STR_ID: 3f1r |STR_LEN: 329 |STR_TIME: 0.6185781955718994
> STR_ID: 3f1s |STR_LEN: 730 |STR_TIME: 1.2721920013427734
> STR_ID: 3f1t |STR_LEN: 791 |STR_TIME: 1.069701910018921
> STR_ID: 3f1v |STR_LEN: 1113 |STR_TIME: 1.3966221809387207
> STR_ID: 3f1w |STR_LEN: 254 |STR_TIME: 0.4820990562438965
> STR_ID: 3f1x |STR_LEN: 429 |STR_TIME: 0.5621151924133301
> STR_ID: 3f1y |STR_LEN: 1066 |STR_TIME: 1.340313196182251
> STR_ID: 3f1z |STR_LEN: 1507 |STR_TIME: 2.1763970851898193
> STR_ID: 4f10 |STR_LEN: 985 |STR_TIME: 1.3389298915863037
> STR_ID: 4f11 |STR_LEN: 559 |STR_TIME: 1.4835240840911865
> STR_ID: 4f12 |STR_LEN: 512 |STR_TIME: 1.41050386428833
> STR_ID: 4f13 |STR_LEN: 972 |STR_TIME: 1.4279301166534424
> STR_ID: 4f14 |STR_LEN: 172 |STR_TIME: 0.45189905166625977
> STR_ID: 4f15 |STR_LEN: 2721 |STR_TIME: 4.643416881561279
> STR_ID: 4f16 |STR_LEN: 102 |STR_TIME: 0.165999174118042
> STR_ID: 4f17 |STR_LEN: 100 |STR_TIME: 0.15588784217834473
> STR_ID: 4f18 |STR_LEN: 1367 |STR_TIME: 2.9596259593963623
> STR_ID: 4f19 |STR_LEN: 1380 |STR_TIME: 3.039573907852173
> STR_ID: 4f1a |STR_LEN: 199 |STR_TIME: 0.2631521224975586
> STR_ID: 4f1b |STR_LEN: 213 |STR_TIME: 0.43940305709838867
> STR_ID: 4f1c |STR_LEN: 208 |STR_TIME: 0.43807101249694824
> STR_ID: 4f1d |STR_LEN: 209 |STR_TIME: 0.3247690200805664
> STR_ID: 4f1e |STR_LEN: 1274 |STR_TIME: 3.776278018951416
> STR_ID: 4f1f |STR_LEN: 201 |STR_TIME: 0.2766871452331543
> STR_ID: 4f1g |STR_LEN: 210 |STR_TIME: 0.2589879035949707
> STR_ID: 4f1h |STR_LEN: 1098 |STR_TIME: 2.043454885482788
> STR_ID: 4f1i |STR_LEN: 478 |STR_TIME: 1.1709740161895752
> STR_ID: 4f1j |STR_LEN: 816 |STR_TIME: 0.9273688793182373
> STR_ID: 4f1k |STR_LEN: 702 |STR_TIME: 0.8436620235443115
> STR_ID: 4f1l |STR_LEN: 991 |STR_TIME: 2.534240961074829
> STR_ID: 4f1m |STR_LEN: 377 |STR_TIME: 1.1334099769592285
> STR_ID: 4f1n |STR_LEN: 1809 |STR_TIME: 6.10103702545166
> STR_ID: 4f1o |STR_LEN: 442 |STR_TIME: 0.6116728782653809
> STR_ID: 4f1p |STR_LEN: 616 |STR_TIME: 1.5723340511322021
> STR_ID: 4f1q |STR_LEN: 365 |STR_TIME: 1.2619259357452393
> STR_ID: 4f1r |STR_LEN: 282 |STR_TIME: 0.8923821449279785
> STR_ID: 4f1s |STR_LEN: 864 |STR_TIME: 2.722810745239258
> STR_ID: 4f1t |STR_LEN: 325 |STR_TIME: 0.6183111667633057
> STR_ID: 4f1u |STR_LEN: 1615 |STR_TIME: 3.2317278385162354
> STR_ID: 4f1v |STR_LEN: 1742 |STR_TIME: 3.281574249267578
> STR_ID: 4f1w |STR_LEN: 866 |STR_TIME: 1.7378900051116943
> STR_ID: 4f1y |STR_LEN: 1012 |STR_TIME: 1.0509982109069824
> STR_ID: 4f1z |STR_LEN: 348 |STR_TIME: 1.091252088546753
> STR_ID: 5f11 |STR_LEN: 513 |STR_TIME: 1.0667083263397217
> STR_ID: 5f12 |STR_LEN: 589 |STR_TIME: 0.7686421871185303
> STR_ID: 5f13 |STR_LEN: 1507 |STR_TIME: 6.580682039260864
> STR_ID: 5f14 |STR_LEN: 387 |STR_TIME: 0.6203949451446533
> STR_ID: 5f15 |STR_LEN: 628 |STR_TIME: 1.9762701988220215
> STR_ID: 5f16 |STR_LEN: 276 |STR_TIME: 0.5638020038604736
> STR_ID: 5f17 |STR_LEN: 1286 |STR_TIME: 2.240029811859131
> STR_ID: 5f18 |STR_LEN: 398 |STR_TIME: 0.8821613788604736
> STR_ID: 5f19 |STR_LEN: 1838 |STR_TIME: 4.058090925216675
> STR_ID: 5f1a |STR_LEN: 1519 |STR_TIME: 3.952453136444092
> STR_ID: 5f1b |STR_LEN: 633 |STR_TIME: 1.6707508563995361
> STR_ID: 5f1c |STR_LEN: 1182 |STR_TIME: 1.9362728595733643
> STR_ID: 5f1e |STR_LEN: 422 |STR_TIME: 0.6473238468170166
> STR_ID: 5f1f |STR_LEN: 689 |STR_TIME: 0.7820549011230469
> STR_ID: 5f1g |STR_LEN: 614 |STR_TIME: 0.7727510929107666
> STR_ID: 5f1h |STR_LEN: 436 |STR_TIME: 0.9286208152770996
> STR_ID: 5f1i |STR_LEN: 3030 |STR_TIME: 9.962112188339233
> STR_ID: 5f1j |STR_LEN: 359 |STR_TIME: 0.48747682571411133
> STR_ID: 5f1k |STR_LEN: 1050 |STR_TIME: 2.510164976119995
> STR_ID: 5f1l |STR_LEN: 297 |STR_TIME: 0.8527040481567383
> STR_ID: 5f1m |STR_LEN: 394 |STR_TIME: 0.9467880725860596
> STR_ID: 5f1n |STR_LEN: 1353 |STR_TIME: 2.8790950775146484
> STR_ID: 5f1o |STR_LEN: 576 |STR_TIME: 1.3631927967071533
> STR_ID: 5f1p |STR_LEN: 618 |STR_TIME: 1.5720398426055908
> STR_ID: 5f1q |STR_LEN: 1523 |STR_TIME: 3.607658863067627
> STR_ID: 5f1r |STR_LEN: 482 |STR_TIME: 1.6319961547851562
> STR_ID: 5f1s |STR_LEN: 337 |STR_TIME: 0.8010661602020264
> STR_ID: 5f1t |STR_LEN: 208 |STR_TIME: 0.5980930328369141
> STR_ID: 5f1u |STR_LEN: 1501 |STR_TIME: 3.849703788757324
> STR_ID: 5f1v |STR_LEN: 1602 |STR_TIME: 4.062023162841797
> STR_ID: 5f1w |STR_LEN: 154 |STR_TIME: 0.5523049831390381
> STR_ID: 5f1x |STR_LEN: 1192 |STR_TIME: 2.766768217086792
> STR_ID: 5f1y |STR_LEN: 1019 |STR_TIME: 2.396245002746582
> STR_ID: 5f1z |STR_LEN: 437 |STR_TIME: 1.0914618968963623
>> FINISH_DIR: ./data/f/f1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 327 |DIR_TIME: 265.60464310646057 

>> START_DIR: ./data/f/f2/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1f20 |STR_LEN: 924 |STR_TIME: 0.9747700691223145
> STR_ID: 1f21 |STR_LEN: 319 |STR_TIME: 0.33196091651916504
> STR_ID: 1f22 |STR_LEN: 71 |STR_TIME: 8.808186054229736
