>> START_DIR: ./data/c/c0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1c01 |STR_LEN: 76 |STR_TIME: 4.4108357429504395
> STR_ID: 1c0r |STR_LEN: 67 |STR_TIME: 0.15686893463134766
> STR_ID: 1c0t |STR_LEN: 908 |STR_TIME: 1.6941969394683838
> STR_ID: 1c0u |STR_LEN: 1044 |STR_TIME: 1.7935779094696045
> STR_ID: 1c0v |STR_LEN: 79 |STR_TIME: 2.2952070236206055
> STR_ID: 1c0w |STR_LEN: 792 |STR_TIME: 1.565051794052124
> STR_ID: 1c0y |STR_LEN: 24 |STR_TIME: 0.9444711208343506
> STR_ID: 2c00 |STR_LEN: 1369 |STR_TIME: 1.6225011348724365
> STR_ID: 2c01 |STR_LEN: 375 |STR_TIME: 0.37990880012512207
> STR_ID: 2c02 |STR_LEN: 237 |STR_TIME: 0.31472206115722656
> STR_ID: 2c03 |STR_LEN: 1242 |STR_TIME: 5.2581682205200195
> STR_ID: 2c04 |STR_LEN: 1182 |STR_TIME: 7.187616586685181
> STR_ID: 2c05 |STR_LEN: 256 |STR_TIME: 0.3473639488220215
> STR_ID: 2c06 |STR_LEN: 225 |STR_TIME: 5.468203067779541
> STR_ID: 2c07 |STR_LEN: 431 |STR_TIME: 0.5509021282196045
> STR_ID: 2c08 |STR_LEN: 204 |STR_TIME: 0.3892037868499756
> STR_ID: 2c0a |STR_LEN: 1381 |STR_TIME: 2.2721080780029297
> STR_ID: 2c0b |STR_LEN: 551 |STR_TIME: 0.9357790946960449
> STR_ID: 2c0c |STR_LEN: 1371 |STR_TIME: 2.561339855194092
> STR_ID: 2c0d |STR_LEN: 623 |STR_TIME: 0.7635610103607178
> STR_ID: 2c0e |STR_LEN: 560 |STR_TIME: 1.4536089897155762
> STR_ID: 2c0f |STR_LEN: 549 |STR_TIME: 1.4654793739318848
> STR_ID: 2c0g |STR_LEN: 618 |STR_TIME: 1.4756569862365723
> STR_ID: 2c0h |STR_LEN: 557 |STR_TIME: 0.684424877166748
> STR_ID: 2c0i |STR_LEN: 1145 |STR_TIME: 1.7135980129241943
> STR_ID: 2c0j |STR_LEN: 372 |STR_TIME: 0.5924100875854492
> STR_ID: 2c0k |STR_LEN: 309 |STR_TIME: 0.5980961322784424
> STR_ID: 2c0l |STR_LEN: 513 |STR_TIME: 0.7532379627227783
> STR_ID: 2c0m |STR_LEN: 1344 |STR_TIME: 2.0981969833374023
> STR_ID: 2c0n |STR_LEN: 300 |STR_TIME: 0.4380769729614258
> STR_ID: 2c0o |STR_LEN: 1120 |STR_TIME: 1.7489500045776367
> STR_ID: 2c0p |STR_LEN: 1494 |STR_TIME: 1.9676768779754639
> STR_ID: 2c0q |STR_LEN: 1303 |STR_TIME: 1.9315800666809082
> STR_ID: 2c0r |STR_LEN: 1533 |STR_TIME: 2.6732070446014404
> STR_ID: 2c0s |STR_LEN: 64 |STR_TIME: 5.643255233764648
> STR_ID: 2c0t |STR_LEN: 1064 |STR_TIME: 1.651379108428955
> STR_ID: 2c0u |STR_LEN: 2420 |STR_TIME: 3.2841758728027344
> STR_ID: 2c0w |STR_LEN: 50 |STR_TIME: 0.13997817039489746
> STR_ID: 2c0x |STR_LEN: 50 |STR_TIME: 0.17441105842590332
> STR_ID: 2c0y |STR_LEN: 550 |STR_TIME: 0.6603991985321045
> STR_ID: 2c0z |STR_LEN: 403 |STR_TIME: 0.7485029697418213
> STR_ID: 3c00 |STR_LEN: 147 |STR_TIME: 0.2585327625274658
> STR_ID: 3c01 |STR_LEN: 473 |STR_TIME: 0.8573923110961914
> STR_ID: 3c02 |STR_LEN: 304 |STR_TIME: 0.4851551055908203
> STR_ID: 3c03 |STR_LEN: 259 |STR_TIME: 0.46310901641845703
> STR_ID: 3c04 |STR_LEN: 600 |STR_TIME: 0.843501091003418
> STR_ID: 3c05 |STR_LEN: 538 |STR_TIME: 0.5486190319061279
> STR_ID: 3c06 |STR_LEN: 345 |STR_TIME: 0.6436042785644531
> STR_ID: 3c07 |STR_LEN: 438 |STR_TIME: 0.8583519458770752
> STR_ID: 3c08 |STR_LEN: 524 |STR_TIME: 0.7934489250183105
> STR_ID: 3c09 |STR_LEN: 1188 |STR_TIME: 2.003748893737793
> STR_ID: 3c0a |STR_LEN: 369 |STR_TIME: 0.6006369590759277
> STR_ID: 3c0b |STR_LEN: 1426 |STR_TIME: 2.2102158069610596
> STR_ID: 3c0c |STR_LEN: 145 |STR_TIME: 0.18987202644348145
> STR_ID: 3c0d |STR_LEN: 931 |STR_TIME: 1.5178539752960205
> STR_ID: 3c0e |STR_LEN: 593 |STR_TIME: 0.5459649562835693
> STR_ID: 3c0f |STR_LEN: 206 |STR_TIME: 0.23421001434326172
> STR_ID: 3c0g |STR_LEN: 883 |STR_TIME: 1.2440650463104248
> STR_ID: 3c0h |STR_LEN: 860 |STR_TIME: 1.2740209102630615
> STR_ID: 3c0i |STR_LEN: 567 |STR_TIME: 0.6637251377105713
> STR_ID: 3c0j |STR_LEN: 1056 |STR_TIME: 1.17411208152771
> STR_ID: 3c0k |STR_LEN: 1248 |STR_TIME: 1.465101718902588
> STR_ID: 3c0l |STR_LEN: 279 |STR_TIME: 0.5281567573547363
> STR_ID: 3c0m |STR_LEN: 922 |STR_TIME: 1.6176390647888184
> STR_ID: 3c0n |STR_LEN: 1317 |STR_TIME: 2.923738956451416
> STR_ID: 3c0o |STR_LEN: 1076 |STR_TIME: 2.9083738327026367
> STR_ID: 3c0p |STR_LEN: 874 |STR_TIME: 1.0473518371582031
> STR_ID: 3c0q |STR_LEN: 307 |STR_TIME: 0.5376019477844238
> STR_ID: 3c0r |STR_LEN: 828 |STR_TIME: 1.7490930557250977
> STR_ID: 3c0s |STR_LEN: 575 |STR_TIME: 0.6058218479156494
> STR_ID: 3c0t |STR_LEN: 286 |STR_TIME: 0.4698038101196289
> STR_ID: 3c0u |STR_LEN: 398 |STR_TIME: 0.6963012218475342
> STR_ID: 3c0v |STR_LEN: 1197 |STR_TIME: 1.2986037731170654
> STR_ID: 3c0w |STR_LEN: 373 |STR_TIME: 0.7497408390045166
> STR_ID: 3c0x |STR_LEN: 332 |STR_TIME: 0.731846809387207
> STR_ID: 3c0y |STR_LEN: 1473 |STR_TIME: 2.0000178813934326
> STR_ID: 3c0z |STR_LEN: 1457 |STR_TIME: 2.0112690925598145
> STR_ID: 4c00 |STR_LEN: 791 |STR_TIME: 3.0378689765930176
> STR_ID: 4c01 |STR_LEN: 2701 |STR_TIME: 5.5354321002960205
> STR_ID: 4c02 |STR_LEN: 674 |STR_TIME: 1.5898809432983398
> STR_ID: 4c03 |STR_LEN: 1258 |STR_TIME: 3.509121894836426
> STR_ID: 4c04 |STR_LEN: 552 |STR_TIME: 1.7333800792694092
> STR_ID: 4c05 |STR_LEN: 392 |STR_TIME: 1.1180801391601562
> STR_ID: 4c06 |STR_LEN: 682 |STR_TIME: 1.8422119617462158
> STR_ID: 4c07 |STR_LEN: 591 |STR_TIME: 1.694437026977539
> STR_ID: 4c08 |STR_LEN: 645 |STR_TIME: 1.775475025177002
> STR_ID: 4c09 |STR_LEN: 510 |STR_TIME: 0.931053876876831
> STR_ID: 4c0a |STR_LEN: 2061 |STR_TIME: 6.865386009216309
> STR_ID: 4c0b |STR_LEN: 969 |STR_TIME: 3.0550549030303955
> STR_ID: 4c0c |STR_LEN: 588 |STR_TIME: 0.9032540321350098
> STR_ID: 4c0d |STR_LEN: 845 |STR_TIME: 1.6566290855407715
> STR_ID: 4c0e |STR_LEN: 2047 |STR_TIME: 6.296020984649658
> STR_ID: 4c0f |STR_LEN: 513 |STR_TIME: 1.483820915222168
> STR_ID: 4c0g |STR_LEN: 639 |STR_TIME: 2.9739489555358887
> STR_ID: 4c0h |STR_LEN: 935 |STR_TIME: 3.067870855331421
> STR_ID: 4c0j |STR_LEN: 470 |STR_TIME: 0.7969777584075928
> STR_ID: 4c0k |STR_LEN: 481 |STR_TIME: 0.7839372158050537
> STR_ID: 4c0l |STR_LEN: 430 |STR_TIME: 0.8635218143463135
> STR_ID: 4c0m |STR_LEN: 563 |STR_TIME: 1.7210700511932373
> STR_ID: 4c0n |STR_LEN: 268 |STR_TIME: 0.3708150386810303
> STR_ID: 4c0o |STR_LEN: 2042 |STR_TIME: 3.4148471355438232
> STR_ID: 4c0p |STR_LEN: 3561 |STR_TIME: 6.246975898742676
> STR_ID: 4c0q |STR_LEN: 1968 |STR_TIME: 6.452305316925049
> STR_ID: 4c0r |STR_LEN: 1196 |STR_TIME: 2.0400280952453613
> STR_ID: 4c0s |STR_LEN: 906 |STR_TIME: 1.5804719924926758
> STR_ID: 4c0t |STR_LEN: 291 |STR_TIME: 0.6739528179168701
> STR_ID: 4c0u |STR_LEN: 1148 |STR_TIME: 1.9179389476776123
> STR_ID: 4c0w |STR_LEN: 506 |STR_TIME: 0.8148951530456543
> STR_ID: 4c0x |STR_LEN: 461 |STR_TIME: 0.5424478054046631
> STR_ID: 4c0y |STR_LEN: 1148 |STR_TIME: 1.8937950134277344
> STR_ID: 4c0z |STR_LEN: 3499 |STR_TIME: 8.574289321899414
> STR_ID: 5c00 |STR_LEN: 1190 |STR_TIME: 2.7316689491271973
> STR_ID: 5c01 |STR_LEN: 769 |STR_TIME: 1.0300359725952148
> STR_ID: 5c02 |STR_LEN: 54 |STR_TIME: 0.19142580032348633
> STR_ID: 5c03 |STR_LEN: 833 |STR_TIME: 1.1354050636291504
> STR_ID: 5c04 |STR_LEN: 473 |STR_TIME: 1.1819429397583008
> STR_ID: 5c05 |STR_LEN: 1986 |STR_TIME: 3.8397209644317627
> STR_ID: 5c07 |STR_LEN: 2235 |STR_TIME: 5.767383098602295
> STR_ID: 5c08 |STR_LEN: 1896 |STR_TIME: 5.591157913208008
> STR_ID: 5c09 |STR_LEN: 1751 |STR_TIME: 5.615210056304932
> STR_ID: 5c0a |STR_LEN: 1852 |STR_TIME: 5.531865119934082
> STR_ID: 5c0b |STR_LEN: 2199 |STR_TIME: 5.788279056549072
> STR_ID: 5c0c |STR_LEN: 2277 |STR_TIME: 5.821597099304199
> STR_ID: 5c0d |STR_LEN: 875 |STR_TIME: 1.5618979930877686
> STR_ID: 5c0e |STR_LEN: 811 |STR_TIME: 1.5997121334075928
> STR_ID: 5c0f |STR_LEN: 870 |STR_TIME: 1.5936660766601562
> STR_ID: 5c0g |STR_LEN: 781 |STR_TIME: 1.5447697639465332
> STR_ID: 5c0i |STR_LEN: 674 |STR_TIME: 1.5644969940185547
> STR_ID: 5c0j |STR_LEN: 527 |STR_TIME: 1.6606237888336182
> STR_ID: 5c0k |STR_LEN: 234 |STR_TIME: 0.4813978672027588
> STR_ID: 5c0l |STR_LEN: 164 |STR_TIME: 0.47168397903442383
> STR_ID: 5c0m |STR_LEN: 745 |STR_TIME: 0.8179938793182373
> STR_ID: 5c0n |STR_LEN: 1124 |STR_TIME: 1.8981330394744873
> STR_ID: 5c0o |STR_LEN: 1055 |STR_TIME: 1.7310857772827148
> STR_ID: 5c0p |STR_LEN: 586 |STR_TIME: 1.1256389617919922
> STR_ID: 5c0q |STR_LEN: 1817 |STR_TIME: 3.1943910121917725
> STR_ID: 5c0r |STR_LEN: 717 |STR_TIME: 3.4087250232696533
> STR_ID: 5c0s |STR_LEN: 675 |STR_TIME: 2.168997049331665
> STR_ID: 5c0t |STR_LEN: 671 |STR_TIME: 1.4663009643554688
> STR_ID: 5c0u |STR_LEN: 741 |STR_TIME: 1.495276927947998
> STR_ID: 5c0v |STR_LEN: 768 |STR_TIME: 2.2054991722106934
> STR_ID: 5c0w |STR_LEN: 3995 |STR_TIME: 13.413457870483398
> STR_ID: 5c0x |STR_LEN: 3665 |STR_TIME: 11.972387075424194
> STR_ID: 5c0y |STR_LEN: 1377 |STR_TIME: 2.8553731441497803
> STR_ID: 5c0z |STR_LEN: 961 |STR_TIME: 1.7287418842315674
>> FINISH_DIR: ./data/c/c0/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 167 |DIR_TIME: 338.2383711338043 

>> START_DIR: ./data/c/c1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'>
> STR_ID: 1c10 |STR_LEN: 208 |STR_TIME: 0.29405689239501953
> STR_ID: 1c11 |STR_LEN: 22 |STR_TIME: 1.0706958770751953
> STR_ID: 1c12 |STR_LEN: 549 |STR_TIME: 0.8320510387420654
> STR_ID: 1c14 |STR_LEN: 753 |STR_TIME: 0.9437730312347412
> STR_ID: 1c15 |STR_LEN: 97 |STR_TIME: 4.993206977844238
> STR_ID: 1c16 |STR_LEN: 1430 |STR_TIME: 2.533034086227417
> STR_ID: 1c17 |STR_LEN: 1090 |STR_TIME: 3.7565760612487793
> STR_ID: 1c1a |STR_LEN: 430 |STR_TIME: 0.7979750633239746
> STR_ID: 1c1b |STR_LEN: 1009 |STR_TIME: 1.7300999164581299
> STR_ID: 1c1c |STR_LEN: 1096 |STR_TIME: 1.8742830753326416
> STR_ID: 1c1d |STR_LEN: 1637 |STR_TIME: 1.4630680084228516
> STR_ID: 1c1e |STR_LEN: 632 |STR_TIME: 0.8216531276702881
> STR_ID: 1c1f |STR_LEN: 216 |STR_TIME: 0.2885019779205322
> STR_ID: 1c1g |STR_LEN: 1136 |STR_TIME: 2.0183937549591064
> STR_ID: 1c1h |STR_LEN: 652 |STR_TIME: 0.7462620735168457
> STR_ID: 1c1j |STR_LEN: 543 |STR_TIME: 0.9213769435882568
> STR_ID: 1c1k |STR_LEN: 529 |STR_TIME: 0.5366129875183105
> STR_ID: 1c1l |STR_LEN: 221 |STR_TIME: 0.321563720703125
> STR_ID: 1c1m |STR_LEN: 371 |STR_TIME: 0.46378278732299805
> STR_ID: 1c1n |STR_LEN: 438 |STR_TIME: 0.8981530666351318
> STR_ID: 1c1o |STR_LEN: 457 |STR_TIME: 0.925950288772583
> STR_ID: 1c1p |STR_LEN: 467 |STR_TIME: 1.000262975692749
> STR_ID: 1c1q |STR_LEN: 442 |STR_TIME: 0.8868129253387451
> STR_ID: 1c1r |STR_LEN: 445 |STR_TIME: 0.9100627899169922
> STR_ID: 1c1s |STR_LEN: 508 |STR_TIME: 0.9492180347442627
> STR_ID: 1c1t |STR_LEN: 459 |STR_TIME: 0.9497101306915283
> STR_ID: 1c1u |STR_LEN: 590 |STR_TIME: 1.2803268432617188
> STR_ID: 1c1v |STR_LEN: 566 |STR_TIME: 1.341465950012207
> STR_ID: 1c1w |STR_LEN: 543 |STR_TIME: 1.268489122390747
> STR_ID: 1c1x |STR_LEN: 1552 |STR_TIME: 1.4218120574951172
> STR_ID: 1c1y |STR_LEN: 330 |STR_TIME: 0.5326693058013916
> STR_ID: 1c1z |STR_LEN: 359 |STR_TIME: 0.6429722309112549
> STR_ID: 2c10 |STR_LEN: 3458 |STR_TIME: 5.3396806716918945
> STR_ID: 2c11 |STR_LEN: 2824 |STR_TIME: 5.010747909545898
> STR_ID: 2c12 |STR_LEN: 3724 |STR_TIME: 4.889818906784058
> STR_ID: 2c13 |STR_LEN: 1131 |STR_TIME: 1.3995239734649658
> STR_ID: 2c14 |STR_LEN: 1388 |STR_TIME: 1.5559601783752441
> STR_ID: 2c15 |STR_LEN: 1633 |STR_TIME: 1.5853118896484375
> STR_ID: 2c16 |STR_LEN: 1316 |STR_TIME: 1.4934239387512207
> STR_ID: 2c18 |STR_LEN: 1315 |STR_TIME: 1.4750721454620361
> STR_ID: 2c19 |STR_LEN: 1326 |STR_TIME: 1.4483771324157715
> STR_ID: 2c1a |STR_LEN: 773 |STR_TIME: 0.8091590404510498
> STR_ID: 2c1b |STR_LEN: 806 |STR_TIME: 0.8205506801605225
> STR_ID: 2c1c |STR_LEN: 975 |STR_TIME: 1.2953641414642334
> STR_ID: 2c1d |STR_LEN: 3779 |STR_TIME: 3.446540117263794
> STR_ID: 2c1e |STR_LEN: 669 |STR_TIME: 0.6329050064086914
> STR_ID: 2c1f |STR_LEN: 394 |STR_TIME: 0.4713783264160156
> STR_ID: 2c1g |STR_LEN: 566 |STR_TIME: 0.8296682834625244
> STR_ID: 2c1h |STR_LEN: 896 |STR_TIME: 1.1641380786895752
> STR_ID: 2c1i |STR_LEN: 598 |STR_TIME: 1.4069058895111084
> STR_ID: 2c1j |STR_LEN: 562 |STR_TIME: 0.8936710357666016
> STR_ID: 2c1l |STR_LEN: 1210 |STR_TIME: 1.4367039203643799
> STR_ID: 2c1m |STR_LEN: 586 |STR_TIME: 0.8683257102966309
> STR_ID: 2c1n |STR_LEN: 706 |STR_TIME: 0.9287881851196289
> STR_ID: 2c1o |STR_LEN: 1062 |STR_TIME: 1.523022174835205
> STR_ID: 2c1p |STR_LEN: 1299 |STR_TIME: 1.6253001689910889
> STR_ID: 2c1q |STR_LEN: 186 |STR_TIME: 0.2788548469543457
> STR_ID: 2c1s |STR_LEN: 460 |STR_TIME: 0.6021649837493896
> STR_ID: 2c1t |STR_LEN: 1072 |STR_TIME: 1.6516389846801758
> STR_ID: 2c1u |STR_LEN: 2149 |STR_TIME: 2.496354103088379
> STR_ID: 2c1v |STR_LEN: 1735 |STR_TIME: 1.5577971935272217
> STR_ID: 2c1w |STR_LEN: 1261 |STR_TIME: 3.032402992248535
> STR_ID: 2c1x |STR_LEN: 806 |STR_TIME: 0.884570837020874
> STR_ID: 2c1y |STR_LEN: 414 |STR_TIME: 1.1191740036010742
> STR_ID: 2c1z |STR_LEN: 747 |STR_TIME: 0.8813419342041016
> STR_ID: 3c10 |STR_LEN: 1584 |STR_TIME: 2.1338839530944824
> STR_ID: 3c11 |STR_LEN: 514 |STR_TIME: 0.8887789249420166
> STR_ID: 3c12 |STR_LEN: 169 |STR_TIME: 0.2699167728424072
> STR_ID: 3c13 |STR_LEN: 631 |STR_TIME: 0.7384157180786133
> STR_ID: 3c14 |STR_LEN: 746 |STR_TIME: 1.3692102432250977
> STR_ID: 3c15 |STR_LEN: 730 |STR_TIME: 1.438033103942871
> STR_ID: 3c16 |STR_LEN: 720 |STR_TIME: 1.335505723953247
> STR_ID: 3c17 |STR_LEN: 1073 |STR_TIME: 1.1984548568725586
> STR_ID: 3c18 |STR_LEN: 1414 |STR_TIME: 1.7743213176727295
> STR_ID: 3c19 |STR_LEN: 191 |STR_TIME: 0.3553469181060791
> STR_ID: 3c1a |STR_LEN: 1261 |STR_TIME: 1.298529863357544
> STR_ID: 3c1b |STR_LEN: 1841 |STR_TIME: 2.947632074356079
> STR_ID: 3c1c |STR_LEN: 1327 |STR_TIME: 2.861886978149414
> STR_ID: 3c1d |STR_LEN: 608 |STR_TIME: 1.139765977859497
> STR_ID: 3c1e |STR_LEN: 236 |STR_TIME: 0.3225080966949463
> STR_ID: 3c1f |STR_LEN: 185 |STR_TIME: 0.31183314323425293
> STR_ID: 3c1g |STR_LEN: 454 |STR_TIME: 0.6564109325408936
> STR_ID: 3c1h |STR_LEN: 496 |STR_TIME: 0.6650898456573486
> STR_ID: 3c1i |STR_LEN: 492 |STR_TIME: 0.6550190448760986
> STR_ID: 3c1j |STR_LEN: 487 |STR_TIME: 0.6495957374572754
> STR_ID: 3c1k |STR_LEN: 439 |STR_TIME: 0.667104959487915
> STR_ID: 3c1l |STR_LEN: 2940 |STR_TIME: 3.860161066055298
> STR_ID: 3c1m |STR_LEN: 2503 |STR_TIME: 3.4659929275512695
> STR_ID: 3c1n |STR_LEN: 1903 |STR_TIME: 3.0704288482666016
> STR_ID: 3c1o |STR_LEN: 525 |STR_TIME: 0.6580901145935059
> STR_ID: 3c1p |STR_LEN: 172 |STR_TIME: 0.3429539203643799
> STR_ID: 3c1q |STR_LEN: 571 |STR_TIME: 0.5652379989624023
> STR_ID: 3c1r |STR_LEN: 228 |STR_TIME: 0.2911508083343506
> STR_ID: 3c1s |STR_LEN: 181 |STR_TIME: 0.25834083557128906
> STR_ID: 3c1t |STR_LEN: 2072 |STR_TIME: 2.4779679775238037
> STR_ID: 3c1u |STR_LEN: 589 |STR_TIME: 0.999000072479248
> STR_ID: 3c1v |STR_LEN: 940 |STR_TIME: 1.6025071144104004
> STR_ID: 3c1x |STR_LEN: 383 |STR_TIME: 0.5974273681640625
> STR_ID: 3c1y |STR_LEN: 916 |STR_TIME: 1.315366268157959
> STR_ID: 3c1z |STR_LEN: 809 |STR_TIME: 1.2614450454711914
> STR_ID: 4c10 |STR_LEN: 1285 |STR_TIME: 2.1971402168273926
> STR_ID: 4c11 |STR_LEN: 1624 |STR_TIME: 2.327049970626831
> STR_ID: 4c12 |STR_LEN: 989 |STR_TIME: 1.7535550594329834
> STR_ID: 4c13 |STR_LEN: 709 |STR_TIME: 1.6837530136108398
> STR_ID: 4c14 |STR_LEN: 345 |STR_TIME: 0.5674660205841064
> STR_ID: 4c16 |STR_LEN: 1109 |STR_TIME: 1.272740125656128
> STR_ID: 4c18 |STR_LEN: 239 |STR_TIME: 0.3327600955963135
> STR_ID: 4c1a |STR_LEN: 259 |STR_TIME: 0.7715620994567871
> STR_ID: 4c1b |STR_LEN: 571 |STR_TIME: 2.4113659858703613
> STR_ID: 4c1c |STR_LEN: 492 |STR_TIME: 0.9120502471923828
> STR_ID: 4c1d |STR_LEN: 910 |STR_TIME: 1.7469120025634766
> STR_ID: 4c1e |STR_LEN: 1013 |STR_TIME: 1.8008160591125488
> STR_ID: 4c1f |STR_LEN: 604 |STR_TIME: 1.4399187564849854
> STR_ID: 4c1g |STR_LEN: 658 |STR_TIME: 1.5096392631530762
> STR_ID: 4c1h |STR_LEN: 521 |STR_TIME: 0.9654438495635986
> STR_ID: 4c1i |STR_LEN: 1543 |STR_TIME: 2.4665749073028564
> STR_ID: 4c1k |STR_LEN: 2007 |STR_TIME: 2.963135004043579
> STR_ID: 4c1l |STR_LEN: 955 |STR_TIME: 1.1263151168823242
> STR_ID: 4c1m |STR_LEN: 1838 |STR_TIME: 2.4087719917297363
> STR_ID: 4c1n |STR_LEN: 6246 |STR_TIME: 9.111425876617432
> STR_ID: 4c1o |STR_LEN: 1372 |STR_TIME: 2.7791268825531006
> STR_ID: 4c1p |STR_LEN: 1012 |STR_TIME: 2.62583589553833
> STR_ID: 4c1q |STR_LEN: 407 |STR_TIME: 0.7168440818786621
> STR_ID: 4c1r |STR_LEN: 1893 |STR_TIME: 2.1526570320129395
> STR_ID: 4c1s |STR_LEN: 1052 |STR_TIME: 1.493821144104004
> STR_ID: 4c1t |STR_LEN: 452 |STR_TIME: 1.2937190532684326
> STR_ID: 4c1u |STR_LEN: 622 |STR_TIME: 1.457491159439087
> STR_ID: 4c1w |STR_LEN: 360 |STR_TIME: 0.4241342544555664
> STR_ID: 4c1x |STR_LEN: 340 |STR_TIME: 0.441756010055542
> STR_ID: 4c1y |STR_LEN: 1415 |STR_TIME: 2.2792809009552
> STR_ID: 5c10 |STR_LEN: 520 |STR_TIME: 1.28196382522583
> STR_ID: 5c11 |STR_LEN: 61 |STR_TIME: 0.18130111694335938
> STR_ID: 5c12 |STR_LEN: 562 |STR_TIME: 1.3764419555664062
> STR_ID: 5c13 |STR_LEN: 346 |STR_TIME: 0.9565639495849609
> STR_ID: 5c14 |STR_LEN: 441 |STR_TIME: 1.4310460090637207
> STR_ID: 5c15 |STR_LEN: 503 |STR_TIME: 1.2117211818695068
> STR_ID: 5c16 |STR_LEN: 2606 |STR_TIME: 6.87086296081543
> STR_ID: 5c17 |STR_LEN: 488 |STR_TIME: 1.2338979244232178
> STR_ID: 5c18 |STR_LEN: 4398 |STR_TIME: 21.57133412361145
> STR_ID: 5c19 |STR_LEN: 4203 |STR_TIME: 13.533158779144287
> STR_ID: 5c1a |STR_LEN: 8877 |STR_TIME: 44.671168088912964
> STR_ID: 5c1b |STR_LEN: 4427 |STR_TIME: 21.986469984054565
> STR_ID: 5c1c |STR_LEN: 621 |STR_TIME: 1.1402218341827393
> STR_ID: 5c1d |STR_LEN: 960 |STR_TIME: 1.401548147201538
> STR_ID: 5c1e |STR_LEN: 635 |STR_TIME: 1.1209781169891357
> STR_ID: 5c1f |STR_LEN: 751 |STR_TIME: 2.0802881717681885
> STR_ID: 5c1g |STR_LEN: 513 |STR_TIME: 0.680351972579956
> STR_ID: 5c1h |STR_LEN: 519 |STR_TIME: 0.679633378982544
> STR_ID: 5c1i |STR_LEN: 903 |STR_TIME: 1.9092960357666016
> STR_ID: 5c1j |STR_LEN: 640 |STR_TIME: 1.2166459560394287
> STR_ID: 5c1l |STR_LEN: 538 |STR_TIME: 0.6721148490905762
> STR_ID: 5c1m |STR_LEN: 515 |STR_TIME: 1.50126314163208
> STR_ID: 5c1o |STR_LEN: 1237 |STR_TIME: 2.1199090480804443
> STR_ID: 5c1p |STR_LEN: 1431 |STR_TIME: 2.163479804992676
> STR_ID: 5c1q |STR_LEN: 274 |STR_TIME: 0.56209397315979
> STR_ID: 5c1r |STR_LEN: 1196 |STR_TIME: 1.360050916671753
> STR_ID: 5c1s |STR_LEN: 627 |STR_TIME: 1.0870749950408936
> STR_ID: 5c1t |STR_LEN: 637 |STR_TIME: 1.1541202068328857
> STR_ID: 5c1u |STR_LEN: 689 |STR_TIME: 0.8056290149688721
> STR_ID: 5c1v |STR_LEN: 634 |STR_TIME: 2.186898946762085
> STR_ID: 5c1w |STR_LEN: 1102 |STR_TIME: 1.3439230918884277
> STR_ID: 5c1x |STR_LEN: 607 |STR_TIME: 0.7511038780212402
> STR_ID: 5c1y |STR_LEN: 239 |STR_TIME: 0.39614176750183105
> STR_ID: 5c1z |STR_LEN: 1503 |STR_TIME: 2.9140799045562744
>> FINISH_DIR: ./data/c/c1/ PARSER: <class 'Bio.PDB.MMCIFParser.MMCIFParser'> |STR_COUNT: 331 |DIR_TIME: 341.1454839706421 

