>> START_DIR: ./data/a/a0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1a00 |STR_LEN: 794 |STR_TIME: 0.10735487937927246
> STR_ID: 5a02 |STR_LEN: 3590 |STR_TIME: 0.4056687355041504
> STR_ID: 5a03 |STR_LEN: 3855 |STR_TIME: 0.4669938087463379
> STR_ID: 5a04 |STR_LEN: 4073 |STR_TIME: 0.44770216941833496
> STR_ID: 5a05 |STR_LEN: 3861 |STR_TIME: 0.5252411365509033
> STR_ID: 5a06 |STR_LEN: 4134 |STR_TIME: 0.4808657169342041
> STR_ID: 5a07 |STR_LEN: 1373 |STR_TIME: 0.1519639492034912
> STR_ID: 5a08 |STR_LEN: 1284 |STR_TIME: 0.22771382331848145
> STR_ID: 5a09 |STR_LEN: 403 |STR_TIME: 0.03637099266052246
> STR_ID: 5a0a |STR_LEN: 405 |STR_TIME: 0.03459906578063965
> STR_ID: 5a0b |STR_LEN: 293 |STR_TIME: 0.041773080825805664
> STR_ID: 5a0c |STR_LEN: 785 |STR_TIME: 0.09129810333251953
> STR_ID: 5a0d |STR_LEN: 1076 |STR_TIME: 0.22479796409606934
> STR_ID: 5a0e |STR_LEN: 655 |STR_TIME: 0.07732915878295898
> STR_ID: 5a0f |STR_LEN: 261 |STR_TIME: 0.029633045196533203
> STR_ID: 5a0g |STR_LEN: 1088 |STR_TIME: 0.2371230125427246
> STR_ID: 5a0i |STR_LEN: 723 |STR_TIME: 0.0926520824432373
> STR_ID: 5a0j |STR_LEN: 388 |STR_TIME: 0.07316184043884277
> STR_ID: 5a0k |STR_LEN: 393 |STR_TIME: 0.04772496223449707
> STR_ID: 5a0l |STR_LEN: 874 |STR_TIME: 0.09013032913208008
> STR_ID: 5a0m |STR_LEN: 578 |STR_TIME: 0.10939311981201172
> STR_ID: 5a0n |STR_LEN: 450 |STR_TIME: 0.08604192733764648
> STR_ID: 5a0o |STR_LEN: 234 |STR_TIME: 0.06090378761291504
> STR_ID: 5a0p |STR_LEN: 924 |STR_TIME: 0.14568614959716797
> STR_ID: 5a0q |STR_LEN: 5588 |STR_TIME: 1.0366237163543701
> STR_ID: 5a0r |STR_LEN: 854 |STR_TIME: 0.15458202362060547
> STR_ID: 5a0s |STR_LEN: 499 |STR_TIME: 0.15355491638183594
> STR_ID: 5a0t |STR_LEN: 1481 |STR_TIME: 0.1851038932800293
> STR_ID: 5a0u |STR_LEN: 8329 |STR_TIME: 1.3376221656799316
> STR_ID: 5a0v |STR_LEN: 997 |STR_TIME: 0.17960691452026367
> STR_ID: 5a0w |STR_LEN: 1098 |STR_TIME: 0.3125169277191162
> STR_ID: 5a0x |STR_LEN: 833 |STR_TIME: 0.14640188217163086
> STR_ID: 5a0y |STR_LEN: 5298 |STR_TIME: 0.7162740230560303
> STR_ID: 5a0z |STR_LEN: 2952 |STR_TIME: 0.5674312114715576
>> FINISH_DIR: ./data/a/a0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'> |STR_COUNT: 163 |DIR_TIME: 40.51007318496704 

>> START_DIR: ./data/a/a1/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1a11 |STR_LEN: 25 |STR_TIME: 0.07394886016845703
> STR_ID: 1a12 |STR_LEN: 2087 |STR_TIME: 0.29424023628234863
> STR_ID: 1a13 |STR_LEN: 15 |STR_TIME: 0.06376194953918457
> STR_ID: 1a14 |STR_LEN: 622 |STR_TIME: 0.10114002227783203
> STR_ID: 1a15 |STR_LEN: 211 |STR_TIME: 0.021782875061035156
> STR_ID: 1a16 |STR_LEN: 789 |STR_TIME: 0.12645816802978516
> STR_ID: 1a17 |STR_LEN: 239 |STR_TIME: 0.02718210220336914
> STR_ID: 1a18 |STR_LEN: 169 |STR_TIME: 0.020583152770996094
> STR_ID: 1a19 |STR_LEN: 178 |STR_TIME: 0.03052806854248047
> STR_ID: 1a1a |STR_LEN: 410 |STR_TIME: 0.05304694175720215
> STR_ID: 1a1b |STR_LEN: 275 |STR_TIME: 0.04064512252807617
> STR_ID: 1a1c |STR_LEN: 259 |STR_TIME: 0.044625043869018555
> STR_ID: 1a1d |STR_LEN: 146 |STR_TIME: 0.003629922866821289
> STR_ID: 1a1e |STR_LEN: 260 |STR_TIME: 0.043366193771362305
> STR_ID: 1a1f |STR_LEN: 197 |STR_TIME: 0.025865793228149414
> STR_ID: 1a1g |STR_LEN: 264 |STR_TIME: 0.06982302665710449
> STR_ID: 1a1h |STR_LEN: 259 |STR_TIME: 0.03264927864074707
> STR_ID: 1a1i |STR_LEN: 365 |STR_TIME: 0.028905868530273438
> STR_ID: 1a1j |STR_LEN: 262 |STR_TIME: 0.026077985763549805
> STR_ID: 1a1k |STR_LEN: 231 |STR_TIME: 0.026177167892456055
> STR_ID: 1a1l |STR_LEN: 211 |STR_TIME: 0.026227951049804688
> STR_ID: 1a1m |STR_LEN: 573 |STR_TIME: 0.06691312789916992
> STR_ID: 1a1n |STR_LEN: 741 |STR_TIME: 0.06814312934875488
> STR_ID: 1a1o |STR_LEN: 497 |STR_TIME: 0.09000110626220703
> STR_ID: 1a1p |STR_LEN: 14 |STR_TIME: 0.07419705390930176
> STR_ID: 1a1q |STR_LEN: 534 |STR_TIME: 0.014570951461791992
> STR_ID: 1a1r |STR_LEN: 500 |STR_TIME: 0.07064509391784668
> STR_ID: 1a1s |STR_LEN: 313 |STR_TIME: 0.04294085502624512
> STR_ID: 1a1t |STR_LEN: 77 |STR_TIME: 0.8660762310028076
> STR_ID: 1a1u |STR_LEN: 58 |STR_TIME: 0.0194399356842041
> STR_ID: 1a1v |STR_LEN: 599 |STR_TIME: 0.14926385879516602
> STR_ID: 1a1w |STR_LEN: 83 |STR_TIME: 0.023728132247924805
> STR_ID: 1a1x |STR_LEN: 130 |STR_TIME: 0.018403053283691406
> STR_ID: 1a1z |STR_LEN: 83 |STR_TIME: 0.02633213996887207
> STR_ID: 2a10 |STR_LEN: 932 |STR_TIME: 0.09962987899780273
> STR_ID: 2a11 |STR_LEN: 317 |STR_TIME: 0.026073932647705078
> STR_ID: 2a13 |STR_LEN: 482 |STR_TIME: 0.06744384765625
> STR_ID: 2a14 |STR_LEN: 569 |STR_TIME: 0.044217824935913086
> STR_ID: 2a15 |STR_LEN: 324 |STR_TIME: 0.023907899856567383
> STR_ID: 2a18 |STR_LEN: 395 |STR_TIME: 0.04753303527832031
> STR_ID: 2a19 |STR_LEN: 711 |STR_TIME: 0.10171294212341309
> STR_ID: 2a1a |STR_LEN: 446 |STR_TIME: 0.06928420066833496
> STR_ID: 2a1b |STR_LEN: 1212 |STR_TIME: 0.20271897315979004
> STR_ID: 2a1c |STR_LEN: 17 |STR_TIME: 0.1250598430633545
> STR_ID: 2a1d |STR_LEN: 1169 |STR_TIME: 0.23469805717468262
> STR_ID: 2a1e |STR_LEN: 481 |STR_TIME: 0.08050394058227539
> STR_ID: 2a1f |STR_LEN: 2295 |STR_TIME: 0.2837209701538086
> STR_ID: 2a1h |STR_LEN: 1072 |STR_TIME: 0.1284778118133545
> STR_ID: 2a1i |STR_LEN: 260 |STR_TIME: 0.023823022842407227
> STR_ID: 2a1j |STR_LEN: 142 |STR_TIME: 0.0629110336303711
> STR_ID: 2a1k |STR_LEN: 865 |STR_TIME: 0.07649993896484375
> STR_ID: 2a1l |STR_LEN: 425 |STR_TIME: 0.04659891128540039
> STR_ID: 2a1m |STR_LEN: 1255 |STR_TIME: 0.14328908920288086
> STR_ID: 2a1n |STR_LEN: 1329 |STR_TIME: 0.1697099208831787
> STR_ID: 2a1o |STR_LEN: 1326 |STR_TIME: 0.1433568000793457
> STR_ID: 2a1r |STR_LEN: 751 |STR_TIME: 0.13293695449829102
> STR_ID: 2a1s |STR_LEN: 1805 |STR_TIME: 0.2655220031738281
> STR_ID: 2a1t |STR_LEN: 2170 |STR_TIME: 0.3773350715637207
> STR_ID: 2a1u |STR_LEN: 839 |STR_TIME: 0.1285099983215332
> STR_ID: 2a1v |STR_LEN: 249 |STR_TIME: 0.0265500545501709
> STR_ID: 2a1w |STR_LEN: 1013 |STR_TIME: 0.15072202682495117
> STR_ID: 2a1x |STR_LEN: 270 |STR_TIME: 0.036434173583984375
> STR_ID: 2a1y |STR_LEN: 476 |STR_TIME: 0.10043525695800781
> STR_ID: 3a10 |STR_LEN: 226 |STR_TIME: 0.02372884750366211
> STR_ID: 3a11 |STR_LEN: 2231 |STR_TIME: 0.33916807174682617
> STR_ID: 3a12 |STR_LEN: 6692 |STR_TIME: 0.8770322799682617
> STR_ID: 3a13 |STR_LEN: 6333 |STR_TIME: 0.9404070377349854
> STR_ID: 3a14 |STR_LEN: 913 |STR_TIME: 0.1978921890258789
> STR_ID: 3a15 |STR_LEN: 2733 |STR_TIME: 0.32888197898864746
> STR_ID: 3a16 |STR_LEN: 2253 |STR_TIME: 0.2676999568939209
> STR_ID: 3a17 |STR_LEN: 3478 |STR_TIME: 0.5943968296051025
> STR_ID: 3a18 |STR_LEN: 2287 |STR_TIME: 0.32082486152648926
> STR_ID: 3a19 |STR_LEN: 389 |STR_TIME: 0.02391982078552246
> STR_ID: 3a1a |STR_LEN: 153 |STR_TIME: 0.021990060806274414
> STR_ID: 3a1b |STR_LEN: 196 |STR_TIME: 0.02330613136291504
> STR_ID: 3a1c |STR_LEN: 1016 |STR_TIME: 0.09044194221496582
> STR_ID: 3a1d |STR_LEN: 1099 |STR_TIME: 0.17376208305358887
> STR_ID: 3a1e |STR_LEN: 860 |STR_TIME: 0.08840703964233398
> STR_ID: 3a1f |STR_LEN: 242 |STR_TIME: 0.024811983108520508
> STR_ID: 3a1g |STR_LEN: 285 |STR_TIME: 0.03580117225646973
> STR_ID: 3a1h |STR_LEN: 365 |STR_TIME: 0.028033018112182617
> STR_ID: 3a1i |STR_LEN: 729 |STR_TIME: 0.07889604568481445
> STR_ID: 3a1j |STR_LEN: 984 |STR_TIME: 0.1773231029510498
> STR_ID: 3a1k |STR_LEN: 678 |STR_TIME: 0.07893562316894531
> STR_ID: 3a1l |STR_LEN: 549 |STR_TIME: 0.06944704055786133
> STR_ID: 3a1m |STR_LEN: 969 |STR_TIME: 0.1383368968963623
> STR_ID: 3a1n |STR_LEN: 884 |STR_TIME: 0.10382318496704102
> STR_ID: 3a1p |STR_LEN: 899 |STR_TIME: 0.08757567405700684
> STR_ID: 3a1q |STR_LEN: 545 |STR_TIME: 0.06519818305969238
> STR_ID: 3a1r |STR_LEN: 216 |STR_TIME: 0.08512306213378906
> STR_ID: 3a1s |STR_LEN: 1056 |STR_TIME: 0.11072301864624023
> STR_ID: 3a1t |STR_LEN: 434 |STR_TIME: 0.05455803871154785
> STR_ID: 3a1u |STR_LEN: 960 |STR_TIME: 0.08445906639099121
> STR_ID: 3a1v |STR_LEN: 633 |STR_TIME: 0.12666702270507812
> STR_ID: 3a1w |STR_LEN: 264 |STR_TIME: 0.03225088119506836
> STR_ID: 3a1y |STR_LEN: 988 |STR_TIME: 0.09249091148376465
> STR_ID: 3a1z |STR_LEN: 990 |STR_TIME: 0.16075706481933594
> STR_ID: 4a10 |STR_LEN: 3201 |STR_TIME: 0.390887975692749
> STR_ID: 4a11 |STR_LEN: 1456 |STR_TIME: 0.3312039375305176
> STR_ID: 4a12 |STR_LEN: 822 |STR_TIME: 0.19848299026489258
> STR_ID: 4a13 |STR_LEN: 7990 |STR_TIME: 1.4825499057769775
> STR_ID: 4a14 |STR_LEN: 626 |STR_TIME: 0.06425809860229492
> STR_ID: 4a15 |STR_LEN: 739 |STR_TIME: 0.21639704704284668
> STR_ID: 4a16 |STR_LEN: 4511 |STR_TIME: 0.5600218772888184
> STR_ID: 4a1f |STR_LEN: 738 |STR_TIME: 0.15619397163391113
> STR_ID: 4a1g |STR_LEN: 770 |STR_TIME: 0.11035609245300293
> STR_ID: 4a1h |STR_LEN: 611 |STR_TIME: 0.13805794715881348
> STR_ID: 4a1i |STR_LEN: 2895 |STR_TIME: 0.3292510509490967
> STR_ID: 4a1j |STR_LEN: 502 |STR_TIME: 0.06401395797729492
> STR_ID: 4a1k |STR_LEN: 377 |STR_TIME: 0.03389692306518555
> STR_ID: 4a1m |STR_LEN: 184 |STR_TIME: 1.3427958488464355
> STR_ID: 4a1n |STR_LEN: 361 |STR_TIME: 0.04356670379638672
> STR_ID: 4a1o |STR_LEN: 1312 |STR_TIME: 0.29165005683898926
> STR_ID: 4a1r |STR_LEN: 894 |STR_TIME: 0.09055614471435547
> STR_ID: 4a1s |STR_LEN: 1231 |STR_TIME: 0.18218708038330078
> STR_ID: 4a1t |STR_LEN: 659 |STR_TIME: 0.07228684425354004
> STR_ID: 4a1u |STR_LEN: 369 |STR_TIME: 0.04718208312988281
> STR_ID: 4a1v |STR_LEN: 495 |STR_TIME: 0.06490111351013184
> STR_ID: 4a1w |STR_LEN: 894 |STR_TIME: 0.1472640037536621
> STR_ID: 4a1x |STR_LEN: 625 |STR_TIME: 0.06720805168151855
> STR_ID: 4a1y |STR_LEN: 1496 |STR_TIME: 0.17804813385009766
> STR_ID: 4a1z |STR_LEN: 824 |STR_TIME: 0.10548686981201172
> STR_ID: 5a10 |STR_LEN: 715 |STR_TIME: 0.07525491714477539
> STR_ID: 5a11 |STR_LEN: 727 |STR_TIME: 0.17482399940490723
> STR_ID: 5a12 |STR_LEN: 2973 |STR_TIME: 0.34249186515808105
> STR_ID: 5a13 |STR_LEN: 4543 |STR_TIME: 0.5181269645690918
> STR_ID: 5a14 |STR_LEN: 420 |STR_TIME: 0.05814480781555176
> STR_ID: 5a15 |STR_LEN: 1425 |STR_TIME: 0.5999810695648193
> STR_ID: 5a16 |STR_LEN: 2329 |STR_TIME: 0.7427201271057129
> STR_ID: 5a17 |STR_LEN: 32 |STR_TIME: 0.2002100944519043
> STR_ID: 5a18 |STR_LEN: 32 |STR_TIME: 0.27966785430908203
> STR_ID: 5a19 |STR_LEN: 523 |STR_TIME: 0.06054401397705078
> STR_ID: 5a1a |STR_LEN: 4884 |STR_TIME: 0.8044648170471191
> STR_ID: 5a1f |STR_LEN: 668 |STR_TIME: 0.08385682106018066
> STR_ID: 5a1g |STR_LEN: 666 |STR_TIME: 0.1601550579071045
> STR_ID: 5a1h |STR_LEN: 1342 |STR_TIME: 0.13189101219177246
> STR_ID: 5a1i |STR_LEN: 907 |STR_TIME: 0.10662198066711426
> STR_ID: 5a1j |STR_LEN: 368 |STR_TIME: 0.09041285514831543
> STR_ID: 5a1k |STR_LEN: 788 |STR_TIME: 0.13779091835021973
> STR_ID: 5a1l |STR_LEN: 1579 |STR_TIME: 0.19569802284240723
> STR_ID: 5a1m |STR_LEN: 269 |STR_TIME: 0.023964881896972656
> STR_ID: 5a1n |STR_LEN: 574 |STR_TIME: 0.06228518486022949
> STR_ID: 5a1p |STR_LEN: 475 |STR_TIME: 0.09343624114990234
> STR_ID: 5a1q |STR_LEN: 254 |STR_TIME: 0.03010416030883789
> STR_ID: 5a1r |STR_LEN: 471 |STR_TIME: 0.13534212112426758
> STR_ID: 5a1s |STR_LEN: 1816 |STR_TIME: 0.26491808891296387
> STR_ID: 5a1t |STR_LEN: 1318 |STR_TIME: 0.28002095222473145
> STR_ID: 5a1u |STR_LEN: 3845 |STR_TIME: 0.37892889976501465
> STR_ID: 5a1v |STR_LEN: 12745 |STR_TIME: 1.401479959487915
> STR_ID: 5a1w |STR_LEN: 3816 |STR_TIME: 0.4009816646575928
> STR_ID: 5a1x |STR_LEN: 8151 |STR_TIME: 0.8953611850738525
> STR_ID: 5a1y |STR_LEN: 9993 |STR_TIME: 1.143049955368042
> STR_ID: 5a1z |STR_LEN: 2394 |STR_TIME: 0.0608367919921875
>> FINISH_DIR: ./data/a/a1/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'> |STR_COUNT: 316 |DIR_TIME: 29.9966299533844 

>> START_DIR: ./data/a/a2/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1a21 |STR_LEN: 622 |STR_TIME: 0.0655820369720459
> STR_ID: 1a22 |STR_LEN: 441 |STR_TIME: 0.06055188179016113
> STR_ID: 1a23 |STR_LEN: 189 |STR_TIME: 0.1848452091217041
> STR_ID: 1a24 |STR_LEN: 189 |STR_TIME: 1.3964760303497314
> STR_ID: 1a25 |STR_LEN: 320 |STR_TIME: 0.04244399070739746
> STR_ID: 1a26 |STR_LEN: 442 |STR_TIME: 0.05547809600830078
> STR_ID: 1a27 |STR_LEN: 444 |STR_TIME: 0.046224117279052734
> STR_ID: 1a28 |STR_LEN: 682 |STR_TIME: 0.19495391845703125
> STR_ID: 1a29 |STR_LEN: 150 |STR_TIME: 0.0228879451751709
> STR_ID: 1a2a |STR_LEN: 980 |STR_TIME: 0.14865899085998535
> STR_ID: 1a2b |STR_LEN: 218 |STR_TIME: 0.029363155364990234
> STR_ID: 1a2c |STR_LEN: 479 |STR_TIME: 0.08367490768432617
