>> START_DIR: ./data/w/w0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1w00 |STR_LEN: 385 |STR_TIME: 0.035871028900146484
> STR_ID: 1w0x |STR_LEN: 357 |STR_TIME: 0.04274797439575195
> STR_ID: 1w0y |STR_LEN: 967 |STR_TIME: 0.09422588348388672
> STR_ID: 1w0z |STR_LEN: 304 |STR_TIME: 0.03822898864746094
> STR_ID: 2w00 |STR_LEN: 2280 |STR_TIME: 0.29200315475463867
> STR_ID: 2w01 |STR_LEN: 1661 |STR_TIME: 0.20009589195251465
> STR_ID: 2w02 |STR_LEN: 1436 |STR_TIME: 0.22078180313110352
> STR_ID: 2w03 |STR_LEN: 1229 |STR_TIME: 0.16897797584533691
> STR_ID: 2w04 |STR_LEN: 1281 |STR_TIME: 0.2369520664215088
> STR_ID: 2w05 |STR_LEN: 400 |STR_TIME: 0.043617963790893555
> STR_ID: 2w06 |STR_LEN: 424 |STR_TIME: 0.04250502586364746
> STR_ID: 2w07 |STR_LEN: 424 |STR_TIME: 0.0477910041809082
> STR_ID: 2w08 |STR_LEN: 2394 |STR_TIME: 0.24314379692077637
> STR_ID: 2w09 |STR_LEN: 700 |STR_TIME: 0.09308600425720215
> STR_ID: 2w0a |STR_LEN: 712 |STR_TIME: 0.12435483932495117
> STR_ID: 2w0b |STR_LEN: 822 |STR_TIME: 0.09129714965820312
> STR_ID: 2w0c |STR_LEN: 3435 |STR_TIME: 0.5951721668243408
> STR_ID: 2w0d |STR_LEN: 1357 |STR_TIME: 0.11937785148620605
> STR_ID: 2w0f |STR_LEN: 711 |STR_TIME: 0.0795600414276123
> STR_ID: 2w0g |STR_LEN: 203 |STR_TIME: 0.023456811904907227
> STR_ID: 2w0h |STR_LEN: 1006 |STR_TIME: 0.21449613571166992
> STR_ID: 2w0i |STR_LEN: 206 |STR_TIME: 0.021557092666625977
> STR_ID: 2w0j |STR_LEN: 415 |STR_TIME: 0.042623043060302734
> STR_ID: 2w0k |STR_LEN: 273 |STR_TIME: 0.03326606750488281
> STR_ID: 2w0l |STR_LEN: 760 |STR_TIME: 0.07088613510131836
> STR_ID: 2w0m |STR_LEN: 323 |STR_TIME: 0.036583900451660156
> STR_ID: 2w0n |STR_LEN: 118 |STR_TIME: 0.40399694442749023
> STR_ID: 2w0o |STR_LEN: 401 |STR_TIME: 0.03160905838012695
> STR_ID: 2w0p |STR_LEN: 268 |STR_TIME: 0.03007221221923828
> STR_ID: 2w0q |STR_LEN: 2039 |STR_TIME: 0.27481770515441895
> STR_ID: 2w0r |STR_LEN: 257 |STR_TIME: 0.022836923599243164
> STR_ID: 2w0s |STR_LEN: 421 |STR_TIME: 0.06053614616394043
> STR_ID: 2w0t |STR_LEN: 44 |STR_TIME: 0.27613115310668945
> STR_ID: 2w0u |STR_LEN: 1374 |STR_TIME: 0.19204926490783691
> STR_ID: 2w0v |STR_LEN: 744 |STR_TIME: 0.06806492805480957
> STR_ID: 2w0w |STR_LEN: 494 |STR_TIME: 0.10940289497375488
> STR_ID: 2w0x |STR_LEN: 548 |STR_TIME: 0.05327796936035156
> STR_ID: 2w0z |STR_LEN: 119 |STR_TIME: 0.011394977569580078
> STR_ID: 3w00 |STR_LEN: 608 |STR_TIME: 0.0674901008605957
> STR_ID: 3w01 |STR_LEN: 1066 |STR_TIME: 0.07583904266357422
> STR_ID: 3w02 |STR_LEN: 552 |STR_TIME: 0.09643912315368652
> STR_ID: 3w03 |STR_LEN: 784 |STR_TIME: 0.1351158618927002
> STR_ID: 3w04 |STR_LEN: 989 |STR_TIME: 0.11099004745483398
> STR_ID: 3w05 |STR_LEN: 968 |STR_TIME: 0.10448002815246582
> STR_ID: 3w06 |STR_LEN: 577 |STR_TIME: 0.06531810760498047
> STR_ID: 3w07 |STR_LEN: 385 |STR_TIME: 0.06257081031799316
> STR_ID: 3w08 |STR_LEN: 1402 |STR_TIME: 0.17850613594055176
> STR_ID: 3w09 |STR_LEN: 792 |STR_TIME: 0.0677328109741211
> STR_ID: 3w0a |STR_LEN: 513 |STR_TIME: 0.042819976806640625
> STR_ID: 3w0c |STR_LEN: 442 |STR_TIME: 0.06833600997924805
> STR_ID: 3w0d |STR_LEN: 240 |STR_TIME: 0.020128965377807617
> STR_ID: 3w0e |STR_LEN: 310 |STR_TIME: 0.024632930755615234
> STR_ID: 3w0f |STR_LEN: 429 |STR_TIME: 0.039269208908081055
> STR_ID: 3w0g |STR_LEN: 376 |STR_TIME: 0.04074287414550781
> STR_ID: 3w0h |STR_LEN: 411 |STR_TIME: 0.045755863189697266
> STR_ID: 3w0i |STR_LEN: 357 |STR_TIME: 0.04140615463256836
> STR_ID: 3w0j |STR_LEN: 367 |STR_TIME: 0.04112386703491211
> STR_ID: 3w0k |STR_LEN: 1283 |STR_TIME: 0.14196515083312988
> STR_ID: 3w0l |STR_LEN: 2101 |STR_TIME: 0.32871222496032715
> STR_ID: 3w0m |STR_LEN: 539 |STR_TIME: 0.045165061950683594
> STR_ID: 3w0n |STR_LEN: 516 |STR_TIME: 0.04826068878173828
> STR_ID: 3w0o |STR_LEN: 727 |STR_TIME: 0.0509798526763916
> STR_ID: 3w0p |STR_LEN: 531 |STR_TIME: 0.05091691017150879
> STR_ID: 3w0q |STR_LEN: 587 |STR_TIME: 0.10115814208984375
> STR_ID: 3w0r |STR_LEN: 444 |STR_TIME: 0.04785490036010742
> STR_ID: 3w0s |STR_LEN: 588 |STR_TIME: 0.052774906158447266
> STR_ID: 3w0t |STR_LEN: 1680 |STR_TIME: 0.125823974609375
> STR_ID: 3w0u |STR_LEN: 514 |STR_TIME: 0.08225798606872559
> STR_ID: 3w0w |STR_LEN: 1154 |STR_TIME: 0.12721920013427734
> STR_ID: 3w0y |STR_LEN: 532 |STR_TIME: 0.04345393180847168
>> FINISH_DIR: ./data/w/w0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'> |STR_COUNT: 100 |DIR_TIME: 13.865535974502563 

>> START_DIR: ./data/w/w1/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1w10 |STR_LEN: 377 |STR_TIME: 0.037513017654418945
> STR_ID: 1w11 |STR_LEN: 395 |STR_TIME: 0.043473005294799805
> STR_ID: 1w12 |STR_LEN: 352 |STR_TIME: 0.07511115074157715
> STR_ID: 1w13 |STR_LEN: 335 |STR_TIME: 0.036257028579711914
> STR_ID: 1w14 |STR_LEN: 336 |STR_TIME: 0.039906978607177734
> STR_ID: 1w15 |STR_LEN: 239 |STR_TIME: 0.020680904388427734
> STR_ID: 1w16 |STR_LEN: 187 |STR_TIME: 0.02254009246826172
> STR_ID: 1w17 |STR_LEN: 837 |STR_TIME: 0.0772101879119873
> STR_ID: 1w18 |STR_LEN: 1182 |STR_TIME: 0.17364716529846191
> STR_ID: 1w19 |STR_LEN: 1393 |STR_TIME: 0.1161949634552002
> STR_ID: 1w1a |STR_LEN: 736 |STR_TIME: 0.07554793357849121
> STR_ID: 1w1b |STR_LEN: 820 |STR_TIME: 0.11555671691894531
> STR_ID: 1w1d |STR_LEN: 364 |STR_TIME: 0.03588080406188965
> STR_ID: 1w1f |STR_LEN: 60 |STR_TIME: 0.3995361328125
> STR_ID: 1w1g |STR_LEN: 308 |STR_TIME: 0.0319521427154541
> STR_ID: 1w1h |STR_LEN: 1302 |STR_TIME: 0.1840529441833496
> STR_ID: 1w1i |STR_LEN: 4383 |STR_TIME: 0.7630279064178467
> STR_ID: 1w1j |STR_LEN: 1104 |STR_TIME: 0.15796709060668945
> STR_ID: 1w1k |STR_LEN: 1104 |STR_TIME: 0.24602079391479492
> STR_ID: 1w1l |STR_LEN: 1104 |STR_TIME: 0.16388583183288574
> STR_ID: 1w1m |STR_LEN: 1104 |STR_TIME: 0.20335125923156738
> STR_ID: 1w1n |STR_LEN: 33 |STR_TIME: 0.2251121997833252
> STR_ID: 1w1o |STR_LEN: 1112 |STR_TIME: 0.08038783073425293
> STR_ID: 1w1p |STR_LEN: 1973 |STR_TIME: 0.22445297241210938
> STR_ID: 1w1q |STR_LEN: 773 |STR_TIME: 0.0789649486541748
> STR_ID: 1w1r |STR_LEN: 776 |STR_TIME: 0.0782308578491211
> STR_ID: 1w1s |STR_LEN: 770 |STR_TIME: 0.07905888557434082
> STR_ID: 1w1t |STR_LEN: 1803 |STR_TIME: 0.2180631160736084
> STR_ID: 1w1u |STR_LEN: 1564 |STR_TIME: 0.16718697547912598
> STR_ID: 1w1v |STR_LEN: 1736 |STR_TIME: 0.1999199390411377
> STR_ID: 1w1w |STR_LEN: 1547 |STR_TIME: 0.2672419548034668
> STR_ID: 1w1x |STR_LEN: 3164 |STR_TIME: 0.31808996200561523
> STR_ID: 1w1y |STR_LEN: 2082 |STR_TIME: 0.17515015602111816
> STR_ID: 1w1z |STR_LEN: 967 |STR_TIME: 0.15371990203857422
> STR_ID: 2w10 |STR_LEN: 281 |STR_TIME: 0.02345585823059082
> STR_ID: 2w11 |STR_LEN: 717 |STR_TIME: 0.07365560531616211
> STR_ID: 2w12 |STR_LEN: 585 |STR_TIME: 0.04034590721130371
> STR_ID: 2w13 |STR_LEN: 553 |STR_TIME: 0.05345511436462402
> STR_ID: 2w14 |STR_LEN: 596 |STR_TIME: 0.09398293495178223
> STR_ID: 2w15 |STR_LEN: 597 |STR_TIME: 0.054795026779174805
> STR_ID: 2w16 |STR_LEN: 1548 |STR_TIME: 0.260357141494751
> STR_ID: 2w17 |STR_LEN: 431 |STR_TIME: 0.04230928421020508
> STR_ID: 2w18 |STR_LEN: 498 |STR_TIME: 0.0449528694152832
> STR_ID: 2w19 |STR_LEN: 1348 |STR_TIME: 0.14861798286437988
> STR_ID: 2w1a |STR_LEN: 1283 |STR_TIME: 0.20707392692565918
> STR_ID: 2w1b |STR_LEN: 1033 |STR_TIME: 0.14758801460266113
> STR_ID: 2w1c |STR_LEN: 265 |STR_TIME: 0.07844281196594238
> STR_ID: 2w1d |STR_LEN: 253 |STR_TIME: 0.0352787971496582
> STR_ID: 2w1e |STR_LEN: 258 |STR_TIME: 0.039148807525634766
> STR_ID: 2w1f |STR_LEN: 285 |STR_TIME: 0.04255318641662598
> STR_ID: 2w1g |STR_LEN: 282 |STR_TIME: 0.041464805603027344
> STR_ID: 2w1h |STR_LEN: 505 |STR_TIME: 0.045977115631103516
> STR_ID: 2w1i |STR_LEN: 704 |STR_TIME: 0.12470197677612305
> STR_ID: 2w1j |STR_LEN: 847 |STR_TIME: 0.06744790077209473
> STR_ID: 2w1k |STR_LEN: 925 |STR_TIME: 0.07112908363342285
> STR_ID: 2w1l |STR_LEN: 279 |STR_TIME: 0.021198272705078125
> STR_ID: 2w1m |STR_LEN: 279 |STR_TIME: 0.021062135696411133
> STR_ID: 2w1n |STR_LEN: 545 |STR_TIME: 0.04059791564941406
> STR_ID: 2w1o |STR_LEN: 140 |STR_TIME: 0.4422929286956787
> STR_ID: 2w1p |STR_LEN: 402 |STR_TIME: 0.04991412162780762
> STR_ID: 2w1q |STR_LEN: 759 |STR_TIME: 0.06070709228515625
> STR_ID: 2w1r |STR_LEN: 215 |STR_TIME: 0.016826868057250977
> STR_ID: 2w1s |STR_LEN: 780 |STR_TIME: 0.06727480888366699
> STR_ID: 2w1t |STR_LEN: 356 |STR_TIME: 0.11239790916442871
> STR_ID: 2w1u |STR_LEN: 1285 |STR_TIME: 0.09825515747070312
> STR_ID: 2w1v |STR_LEN: 1288 |STR_TIME: 0.11181187629699707
> STR_ID: 2w1w |STR_LEN: 674 |STR_TIME: 0.08494091033935547
> STR_ID: 2w1x |STR_LEN: 255 |STR_TIME: 0.0248110294342041
> STR_ID: 2w1y |STR_LEN: 279 |STR_TIME: 0.022290945053100586
> STR_ID: 2w1z |STR_LEN: 1240 |STR_TIME: 0.11948800086975098
> STR_ID: 3w10 |STR_LEN: 315 |STR_TIME: 0.041333913803100586
> STR_ID: 3w11 |STR_LEN: 577 |STR_TIME: 0.13588690757751465
> STR_ID: 3w12 |STR_LEN: 574 |STR_TIME: 0.09971785545349121
> STR_ID: 3w13 |STR_LEN: 574 |STR_TIME: 0.10790109634399414
> STR_ID: 3w14 |STR_LEN: 2050 |STR_TIME: 0.43802404403686523
> STR_ID: 3w15 |STR_LEN: 1375 |STR_TIME: 0.1246178150177002
> STR_ID: 3w16 |STR_LEN: 258 |STR_TIME: 0.03532910346984863
> STR_ID: 3w18 |STR_LEN: 553 |STR_TIME: 0.11821103096008301
> STR_ID: 3w19 |STR_LEN: 144 |STR_TIME: 0.026618003845214844
> STR_ID: 3w1a |STR_LEN: 1382 |STR_TIME: 0.10794591903686523
> STR_ID: 3w1b |STR_LEN: 836 |STR_TIME: 0.1088249683380127
> STR_ID: 3w1c |STR_LEN: 639 |STR_TIME: 0.07034993171691895
> STR_ID: 3w1d |STR_LEN: 582 |STR_TIME: 0.03893303871154785
> STR_ID: 3w1e |STR_LEN: 792 |STR_TIME: 0.06286406517028809
> STR_ID: 3w1f |STR_LEN: 267 |STR_TIME: 0.03599905967712402
> STR_ID: 3w1g |STR_LEN: 680 |STR_TIME: 0.1389162540435791
> STR_ID: 3w1h |STR_LEN: 2141 |STR_TIME: 0.43787217140197754
> STR_ID: 3w1i |STR_LEN: 3908 |STR_TIME: 0.8745579719543457
> STR_ID: 3w1j |STR_LEN: 3934 |STR_TIME: 0.9374589920043945
> STR_ID: 3w1k |STR_LEN: 2720 |STR_TIME: 0.6918859481811523
> STR_ID: 3w1l |STR_LEN: 1305 |STR_TIME: 0.10646295547485352
> STR_ID: 3w1m |STR_LEN: 1276 |STR_TIME: 0.10139179229736328
> STR_ID: 3w1n |STR_LEN: 1090 |STR_TIME: 0.2019672393798828
> STR_ID: 3w1o |STR_LEN: 545 |STR_TIME: 0.0430150032043457
> STR_ID: 3w1p |STR_LEN: 1217 |STR_TIME: 0.10215091705322266
> STR_ID: 3w1q |STR_LEN: 1197 |STR_TIME: 0.13645172119140625
> STR_ID: 3w1r |STR_LEN: 1312 |STR_TIME: 0.10292220115661621
> STR_ID: 3w1s |STR_LEN: 389 |STR_TIME: 0.0559391975402832
> STR_ID: 3w1t |STR_LEN: 1275 |STR_TIME: 0.14183402061462402
> STR_ID: 3w1u |STR_LEN: 1185 |STR_TIME: 0.10868287086486816
> STR_ID: 3w1v |STR_LEN: 1096 |STR_TIME: 0.17433595657348633
> STR_ID: 3w1w |STR_LEN: 1148 |STR_TIME: 0.11850690841674805
> STR_ID: 3w1x |STR_LEN: 1417 |STR_TIME: 0.12232804298400879
> STR_ID: 3w1y |STR_LEN: 395 |STR_TIME: 0.1096031665802002
> STR_ID: 3w1z |STR_LEN: 610 |STR_TIME: 0.07948493957519531
> STR_ID: 4w1o |STR_LEN: 1770 |STR_TIME: 0.24622201919555664
> STR_ID: 4w1p |STR_LEN: 770 |STR_TIME: 0.08474898338317871
> STR_ID: 4w1q |STR_LEN: 770 |STR_TIME: 0.09086990356445312
> STR_ID: 4w1r |STR_LEN: 770 |STR_TIME: 0.08878016471862793
> STR_ID: 4w1s |STR_LEN: 770 |STR_TIME: 0.13779783248901367
> STR_ID: 4w1t |STR_LEN: 1727 |STR_TIME: 0.14380598068237305
> STR_ID: 4w1u |STR_LEN: 351 |STR_TIME: 0.041409969329833984
> STR_ID: 4w1v |STR_LEN: 1247 |STR_TIME: 0.16471505165100098
> STR_ID: 4w1w |STR_LEN: 1608 |STR_TIME: 0.14853191375732422
> STR_ID: 4w1x |STR_LEN: 1347 |STR_TIME: 0.16127228736877441
> STR_ID: 4w1y |STR_LEN: 977 |STR_TIME: 0.1311328411102295
>> FINISH_DIR: ./data/w/w1/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'> |STR_COUNT: 216 |DIR_TIME: 16.933165073394775 

>> START_DIR: ./data/w/w2/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1w20 |STR_LEN: 3326 |STR_TIME: 0.3110158443450928
> STR_ID: 1w21 |STR_LEN: 3322 |STR_TIME: 0.305819034576416
> STR_ID: 1w22 |STR_LEN: 992 |STR_TIME: 0.15563511848449707
> STR_ID: 1w23 |STR_LEN: 1710 |STR_TIME: 0.1734941005706787
> STR_ID: 1w24 |STR_LEN: 228 |STR_TIME: 0.027219057083129883
> STR_ID: 1w25 |STR_LEN: 931 |STR_TIME: 0.19672226905822754
> STR_ID: 1w26 |STR_LEN: 952 |STR_TIME: 0.12778806686401367
> STR_ID: 1w27 |STR_LEN: 2453 |STR_TIME: 0.24675989151000977
> STR_ID: 1w28 |STR_LEN: 412 |STR_TIME: 0.04589390754699707
> STR_ID: 1w29 |STR_LEN: 1223 |STR_TIME: 0.11220097541809082
> STR_ID: 1w2a |STR_LEN: 362 |STR_TIME: 0.08403801918029785
> STR_ID: 1w2b |STR_LEN: 14745 |STR_TIME: 2.2679901123046875
> STR_ID: 1w2c |STR_LEN: 847 |STR_TIME: 0.08881497383117676
> STR_ID: 1w2d |STR_LEN: 783 |STR_TIME: 0.0880119800567627
> STR_ID: 1w2e |STR_LEN: 196 |STR_TIME: 0.02788090705871582
> STR_ID: 1w2f |STR_LEN: 817 |STR_TIME: 0.25317978858947754
> STR_ID: 1w2g |STR_LEN: 560 |STR_TIME: 0.061765193939208984
> STR_ID: 1w2h |STR_LEN: 608 |STR_TIME: 0.05701613426208496
> STR_ID: 1w2i |STR_LEN: 393 |STR_TIME: 0.03141140937805176
> STR_ID: 1w2k |STR_LEN: 966 |STR_TIME: 0.09087991714477539
> STR_ID: 1w2l |STR_LEN: 231 |STR_TIME: 0.017516136169433594
> STR_ID: 1w2m |STR_LEN: 3731 |STR_TIME: 0.48040294647216797
> STR_ID: 1w2n |STR_LEN: 308 |STR_TIME: 0.04002094268798828
> STR_ID: 1w2o |STR_LEN: 300 |STR_TIME: 0.03780508041381836
> STR_ID: 1w2p |STR_LEN: 1593 |STR_TIME: 0.25179290771484375
> STR_ID: 1w2q |STR_LEN: 127 |STR_TIME: 0.5960183143615723
> STR_ID: 1w2r |STR_LEN: 142 |STR_TIME: 0.019581079483032227
> STR_ID: 1w2s |STR_LEN: 449 |STR_TIME: 0.06310606002807617
> STR_ID: 1w2t |STR_LEN: 4497 |STR_TIME: 0.5358390808105469
> STR_ID: 1w2u |STR_LEN: 487 |STR_TIME: 0.07279109954833984
> STR_ID: 1w2v |STR_LEN: 1406 |STR_TIME: 0.2197399139404297
> STR_ID: 1w2w |STR_LEN: 2533 |STR_TIME: 0.3159759044647217
> STR_ID: 1w2x |STR_LEN: 2406 |STR_TIME: 0.35922789573669434
> STR_ID: 1w2y |STR_LEN: 826 |STR_TIME: 0.14345288276672363
> STR_ID: 1w2z |STR_LEN: 3353 |STR_TIME: 0.8849830627441406
> STR_ID: 2w20 |STR_LEN: 1972 |STR_TIME: 0.21434712409973145
> STR_ID: 2w21 |STR_LEN: 254 |STR_TIME: 0.03563284873962402
> STR_ID: 2w22 |STR_LEN: 926 |STR_TIME: 0.0699009895324707
> STR_ID: 2w23 |STR_LEN: 686 |STR_TIME: 0.05026507377624512
> STR_ID: 2w24 |STR_LEN: 340 |STR_TIME: 0.04026484489440918
> STR_ID: 2w25 |STR_LEN: 366 |STR_TIME: 0.04087400436401367
> STR_ID: 2w26 |STR_LEN: 394 |STR_TIME: 0.14707684516906738
> STR_ID: 2w27 |STR_LEN: 809 |STR_TIME: 0.117095947265625
> STR_ID: 2w29 |STR_LEN: 588 |STR_TIME: 0.07795906066894531
> STR_ID: 2w2a |STR_LEN: 916 |STR_TIME: 0.09416890144348145
> STR_ID: 2w2b |STR_LEN: 856 |STR_TIME: 0.06348490715026855
> STR_ID: 2w2c |STR_LEN: 1900 |STR_TIME: 0.2810800075531006
> STR_ID: 2w2d |STR_LEN: 2028 |STR_TIME: 0.2922360897064209
> STR_ID: 2w2e |STR_LEN: 415 |STR_TIME: 0.05365395545959473
> STR_ID: 2w2f |STR_LEN: 1198 |STR_TIME: 0.11561131477355957
> STR_ID: 2w2g |STR_LEN: 693 |STR_TIME: 0.07636499404907227
> STR_ID: 2w2h |STR_LEN: 633 |STR_TIME: 0.19094610214233398
> STR_ID: 2w2i |STR_LEN: 1277 |STR_TIME: 0.143812894821167
> STR_ID: 2w2j |STR_LEN: 616 |STR_TIME: 0.08980488777160645
> STR_ID: 2w2k |STR_LEN: 1430 |STR_TIME: 0.12149405479431152
> STR_ID: 2w2l |STR_LEN: 1879 |STR_TIME: 0.25437211990356445
> STR_ID: 2w2m |STR_LEN: 636 |STR_TIME: 0.06186485290527344
> STR_ID: 2w2n |STR_LEN: 593 |STR_TIME: 0.06541275978088379
> STR_ID: 2w2o |STR_LEN: 433 |STR_TIME: 0.059110164642333984
> STR_ID: 2w2p |STR_LEN: 447 |STR_TIME: 0.10750913619995117
> STR_ID: 2w2q |STR_LEN: 611 |STR_TIME: 0.06309294700622559
> STR_ID: 2w2r |STR_LEN: 331 |STR_TIME: 0.03633594512939453
> STR_ID: 2w2s |STR_LEN: 163 |STR_TIME: 0.028331995010375977
> STR_ID: 2w2t |STR_LEN: 317 |STR_TIME: 0.026821136474609375
> STR_ID: 2w2u |STR_LEN: 289 |STR_TIME: 0.029486894607543945
> STR_ID: 2w2v |STR_LEN: 1207 |STR_TIME: 0.14124488830566406
> STR_ID: 2w2w |STR_LEN: 1186 |STR_TIME: 0.16449999809265137
> STR_ID: 2w2x |STR_LEN: 602 |STR_TIME: 0.12827205657958984
> STR_ID: 3w20 |STR_LEN: 631 |STR_TIME: 0.07670712471008301
> STR_ID: 3w21 |STR_LEN: 644 |STR_TIME: 0.07855892181396484
> STR_ID: 3w22 |STR_LEN: 1049 |STR_TIME: 0.1100311279296875
> STR_ID: 3w23 |STR_LEN: 1384 |STR_TIME: 0.15789794921875
> STR_ID: 3w24 |STR_LEN: 929 |STR_TIME: 0.06283378601074219
> STR_ID: 3w25 |STR_LEN: 1011 |STR_TIME: 0.06355023384094238
> STR_ID: 3w26 |STR_LEN: 1149 |STR_TIME: 0.10484814643859863
> STR_ID: 3w27 |STR_LEN: 999 |STR_TIME: 0.0646519660949707
> STR_ID: 3w28 |STR_LEN: 1013 |STR_TIME: 0.06378293037414551
> STR_ID: 3w29 |STR_LEN: 1080 |STR_TIME: 0.07030200958251953
> STR_ID: 3w2a |STR_LEN: 201 |STR_TIME: 0.07101202011108398
> STR_ID: 3w2c |STR_LEN: 938 |STR_TIME: 0.16868925094604492
> STR_ID: 3w2d |STR_LEN: 799 |STR_TIME: 0.09934687614440918
> STR_ID: 3w2e |STR_LEN: 413 |STR_TIME: 0.05176520347595215
> STR_ID: 3w2f |STR_LEN: 547 |STR_TIME: 0.08540081977844238
> STR_ID: 3w2g |STR_LEN: 623 |STR_TIME: 0.06730175018310547
> STR_ID: 3w2h |STR_LEN: 562 |STR_TIME: 0.059042930603027344
> STR_ID: 3w2i |STR_LEN: 517 |STR_TIME: 0.0600581169128418
> STR_ID: 3w2j |STR_LEN: 1438 |STR_TIME: 0.13386297225952148
> STR_ID: 3w2k |STR_LEN: 1361 |STR_TIME: 0.10561108589172363
> STR_ID: 3w2l |STR_LEN: 1338 |STR_TIME: 0.11927986145019531
> STR_ID: 3w2m |STR_LEN: 1297 |STR_TIME: 0.1381239891052246
> STR_ID: 3w2n |STR_LEN: 1064 |STR_TIME: 0.10208606719970703
> STR_ID: 3w2o |STR_LEN: 343 |STR_TIME: 0.0587000846862793
> STR_ID: 3w2p |STR_LEN: 413 |STR_TIME: 0.0947120189666748
> STR_ID: 3w2q |STR_LEN: 405 |STR_TIME: 0.06090807914733887
> STR_ID: 3w2r |STR_LEN: 375 |STR_TIME: 0.05451488494873047
> STR_ID: 3w2s |STR_LEN: 360 |STR_TIME: 0.05926179885864258
> STR_ID: 3w2t |STR_LEN: 2510 |STR_TIME: 0.28902602195739746
> STR_ID: 3w2u |STR_LEN: 974 |STR_TIME: 0.0960531234741211
> STR_ID: 3w2v |STR_LEN: 911 |STR_TIME: 0.15851688385009766
> STR_ID: 3w2w |STR_LEN: 992 |STR_TIME: 0.13399410247802734
> STR_ID: 3w2x |STR_LEN: 447 |STR_TIME: 0.08425092697143555
> STR_ID: 3w2y |STR_LEN: 910 |STR_TIME: 0.1049339771270752
> STR_ID: 3w2z |STR_LEN: 365 |STR_TIME: 0.032035112380981445
> STR_ID: 4w29 |STR_LEN: 23450 |STR_TIME: 7.246278285980225
> STR_ID: 4w2e |STR_LEN: 13099 |STR_TIME: 3.6273717880249023
> STR_ID: 4w2f |STR_LEN: 26632 |STR_TIME: 7.9863810539245605
> STR_ID: 4w2g |STR_LEN: 26158 |STR_TIME: 7.505183935165405
> STR_ID: 4w2h |STR_LEN: 25472 |STR_TIME: 7.488615036010742
> STR_ID: 4w2i |STR_LEN: 26033 |STR_TIME: 8.042271137237549
>> FINISH_DIR: ./data/w/w2/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'> |STR_COUNT: 325 |DIR_TIME: 59.652894258499146 

