>> START_DIR: ./data/h/h0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1h00 |STR_LEN: 490 |STR_TIME: 0.04877305030822754
> STR_ID: 3h00 |STR_LEN: 245 |STR_TIME: 0.03179192543029785
> STR_ID: 3h01 |STR_LEN: 186 |STR_TIME: 0.021623849868774414
> STR_ID: 3h02 |STR_LEN: 2192 |STR_TIME: 0.27395105361938477
> STR_ID: 3h03 |STR_LEN: 1684 |STR_TIME: 0.1631622314453125
> STR_ID: 3h04 |STR_LEN: 370 |STR_TIME: 0.07304596900939941
> STR_ID: 3h05 |STR_LEN: 625 |STR_TIME: 0.05384206771850586
> STR_ID: 3h06 |STR_LEN: 2356 |STR_TIME: 0.35212206840515137
> STR_ID: 3h07 |STR_LEN: 570 |STR_TIME: 0.06328797340393066
> STR_ID: 3h08 |STR_LEN: 501 |STR_TIME: 0.061794281005859375
> STR_ID: 3h09 |STR_LEN: 3750 |STR_TIME: 0.42206907272338867
> STR_ID: 3h0a |STR_LEN: 605 |STR_TIME: 0.10339689254760742
> STR_ID: 3h0b |STR_LEN: 1293 |STR_TIME: 0.17599225044250488
> STR_ID: 3h0c |STR_LEN: 1824 |STR_TIME: 0.3016629219055176
> STR_ID: 3h0d |STR_LEN: 537 |STR_TIME: 0.07109880447387695
> STR_ID: 3h0e |STR_LEN: 755 |STR_TIME: 0.14894318580627441
> STR_ID: 3h0f |STR_LEN: 69 |STR_TIME: 0.008951663970947266
> STR_ID: 3h0g |STR_LEN: 7922 |STR_TIME: 1.8415451049804688
> STR_ID: 3h0h |STR_LEN: 99 |STR_TIME: 0.009724140167236328
> STR_ID: 3h0i |STR_LEN: 199 |STR_TIME: 0.020637989044189453
> STR_ID: 3h0j |STR_LEN: 2024 |STR_TIME: 0.3990018367767334
> STR_ID: 3h0k |STR_LEN: 352 |STR_TIME: 0.06597185134887695
> STR_ID: 3h0l |STR_LEN: 7864 |STR_TIME: 1.4504609107971191
> STR_ID: 3h0m |STR_LEN: 7855 |STR_TIME: 1.5370490550994873
> STR_ID: 3h0n |STR_LEN: 433 |STR_TIME: 0.03289508819580078
> STR_ID: 3h0o |STR_LEN: 529 |STR_TIME: 0.04180288314819336
> STR_ID: 3h0p |STR_LEN: 1063 |STR_TIME: 0.09483909606933594
> STR_ID: 3h0q |STR_LEN: 2708 |STR_TIME: 0.514887809753418
> STR_ID: 3h0r |STR_LEN: 7923 |STR_TIME: 1.4358220100402832
> STR_ID: 3h0s |STR_LEN: 4447 |STR_TIME: 0.4982140064239502
> STR_ID: 3h0t |STR_LEN: 827 |STR_TIME: 0.06995201110839844
> STR_ID: 3h0u |STR_LEN: 1724 |STR_TIME: 0.13428688049316406
> STR_ID: 3h0v |STR_LEN: 376 |STR_TIME: 0.1669931411743164
> STR_ID: 3h0w |STR_LEN: 522 |STR_TIME: 0.04941391944885254
> STR_ID: 3h0x |STR_LEN: 270 |STR_TIME: 0.023637056350708008
> STR_ID: 3h0y |STR_LEN: 303 |STR_TIME: 0.043045759201049805
> STR_ID: 3h0z |STR_LEN: 737 |STR_TIME: 0.10838484764099121
> STR_ID: 4h00 |STR_LEN: 692 |STR_TIME: 0.10782814025878906
> STR_ID: 4h01 |STR_LEN: 703 |STR_TIME: 0.07093405723571777
> STR_ID: 4h02 |STR_LEN: 3860 |STR_TIME: 0.6647510528564453
> STR_ID: 4h03 |STR_LEN: 1097 |STR_TIME: 0.15228605270385742
> STR_ID: 4h04 |STR_LEN: 2604 |STR_TIME: 0.29410696029663086
> STR_ID: 4h05 |STR_LEN: 635 |STR_TIME: 0.07613205909729004
> STR_ID: 4h07 |STR_LEN: 395 |STR_TIME: 0.08042192459106445
> STR_ID: 4h08 |STR_LEN: 522 |STR_TIME: 0.042462825775146484
> STR_ID: 4h09 |STR_LEN: 2310 |STR_TIME: 0.36873292922973633
> STR_ID: 4h0a |STR_LEN: 874 |STR_TIME: 0.11582279205322266
> STR_ID: 4h0b |STR_LEN: 428 |STR_TIME: 0.03761100769042969
> STR_ID: 4h0c |STR_LEN: 673 |STR_TIME: 0.11966419219970703
> STR_ID: 4h0d |STR_LEN: 963 |STR_TIME: 0.09509682655334473
> STR_ID: 4h0e |STR_LEN: 353 |STR_TIME: 0.0389711856842041
> STR_ID: 4h0f |STR_LEN: 606 |STR_TIME: 0.09667181968688965
> STR_ID: 4h0g |STR_LEN: 419 |STR_TIME: 0.03581595420837402
> STR_ID: 4h0h |STR_LEN: 452 |STR_TIME: 0.037240028381347656
> STR_ID: 4h0i |STR_LEN: 376 |STR_TIME: 0.03883695602416992
> STR_ID: 4h0j |STR_LEN: 989 |STR_TIME: 0.10103678703308105
> STR_ID: 4h0k |STR_LEN: 238 |STR_TIME: 0.03257584571838379
> STR_ID: 4h0l |STR_LEN: 973 |STR_TIME: 0.3161451816558838
> STR_ID: 4h0m |STR_LEN: 4816 |STR_TIME: 0.6782493591308594
> STR_ID: 4h0n |STR_LEN: 1526 |STR_TIME: 0.3123819828033447
> STR_ID: 4h0o |STR_LEN: 937 |STR_TIME: 0.1729130744934082
> STR_ID: 4h0p |STR_LEN: 1261 |STR_TIME: 0.13664603233337402
> STR_ID: 4h0r |STR_LEN: 712 |STR_TIME: 0.07846713066101074
> STR_ID: 4h0s |STR_LEN: 631 |STR_TIME: 0.11986398696899414
> STR_ID: 4h0t |STR_LEN: 994 |STR_TIME: 0.14565801620483398
> STR_ID: 4h0u |STR_LEN: 1104 |STR_TIME: 0.18104100227355957
> STR_ID: 4h0v |STR_LEN: 1030 |STR_TIME: 0.15099406242370605
> STR_ID: 4h0w |STR_LEN: 815 |STR_TIME: 0.1600027084350586
> STR_ID: 4h0x |STR_LEN: 1008 |STR_TIME: 0.14667105674743652
> STR_ID: 4h0y |STR_LEN: 1089 |STR_TIME: 0.18121600151062012
> STR_ID: 4h0z |STR_LEN: 481 |STR_TIME: 0.03884387016296387
> STR_ID: 5h02 |STR_LEN: 428 |STR_TIME: 0.05107307434082031
> STR_ID: 5h03 |STR_LEN: 682 |STR_TIME: 0.06648969650268555
> STR_ID: 5h04 |STR_LEN: 953 |STR_TIME: 0.10323405265808105
> STR_ID: 5h07 |STR_LEN: 465 |STR_TIME: 0.06508588790893555
> STR_ID: 5h0i |STR_LEN: 1092 |STR_TIME: 0.17019319534301758
> STR_ID: 5h0j |STR_LEN: 410 |STR_TIME: 0.037635087966918945
> STR_ID: 5h0k |STR_LEN: 381 |STR_TIME: 0.03815603256225586
> STR_ID: 5h0m |STR_LEN: 239 |STR_TIME: 0.0231170654296875
> STR_ID: 5h0n |STR_LEN: 445 |STR_TIME: 0.06416583061218262
> STR_ID: 5h0o |STR_LEN: 283 |STR_TIME: 0.021542787551879883
> STR_ID: 5h0q |STR_LEN: 415 |STR_TIME: 0.07407379150390625
> STR_ID: 5h0r |STR_LEN: 1740 |STR_TIME: 0.3171718120574951
> STR_ID: 5h0s |STR_LEN: 2395 |STR_TIME: 0.43413686752319336
> STR_ID: 5h0t |STR_LEN: 1740 |STR_TIME: 0.21632695198059082
>> FINISH_DIR: ./data/h/h0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'> |STR_COUNT: 150 |DIR_TIME: 27.762814044952393 

>> START_DIR: ./data/h/h1/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1h10 |STR_LEN: 357 |STR_TIME: 0.029242992401123047
> STR_ID: 1h11 |STR_LEN: 814 |STR_TIME: 0.14408397674560547
> STR_ID: 1h12 |STR_LEN: 796 |STR_TIME: 0.08625388145446777
> STR_ID: 1h13 |STR_LEN: 836 |STR_TIME: 0.0879220962524414
> STR_ID: 1h14 |STR_LEN: 760 |STR_TIME: 0.09918618202209473
> STR_ID: 1h15 |STR_LEN: 801 |STR_TIME: 0.12199282646179199
> STR_ID: 1h16 |STR_LEN: 2041 |STR_TIME: 0.14678406715393066
> STR_ID: 1h17 |STR_LEN: 2041 |STR_TIME: 0.18798184394836426
> STR_ID: 1h18 |STR_LEN: 2743 |STR_TIME: 0.286639928817749
> STR_ID: 1h19 |STR_LEN: 1196 |STR_TIME: 0.10168600082397461
> STR_ID: 1h1a |STR_LEN: 991 |STR_TIME: 0.11592984199523926
> STR_ID: 1h1b |STR_LEN: 690 |STR_TIME: 0.06513118743896484
> STR_ID: 1h1c |STR_LEN: 1421 |STR_TIME: 0.1978011131286621
> STR_ID: 1h1d |STR_LEN: 310 |STR_TIME: 0.06352901458740234
> STR_ID: 1h1h |STR_LEN: 189 |STR_TIME: 0.020539045333862305
> STR_ID: 1h1i |STR_LEN: 2947 |STR_TIME: 0.273453950881958
> STR_ID: 1h1j |STR_LEN: 44 |STR_TIME: 0.2470250129699707
> STR_ID: 1h1k |STR_LEN: 1906 |STR_TIME: 0.8922600746154785
> STR_ID: 1h1l |STR_LEN: 3543 |STR_TIME: 0.3846859931945801
> STR_ID: 1h1m |STR_LEN: 2961 |STR_TIME: 0.34028100967407227
> STR_ID: 1h1n |STR_LEN: 1585 |STR_TIME: 0.13964009284973145
> STR_ID: 1h1o |STR_LEN: 541 |STR_TIME: 0.054103851318359375
> STR_ID: 1h1p |STR_LEN: 1522 |STR_TIME: 0.2458028793334961
> STR_ID: 1h1q |STR_LEN: 1447 |STR_TIME: 0.17646121978759766
> STR_ID: 1h1r |STR_LEN: 1835 |STR_TIME: 0.21256399154663086
> STR_ID: 1h1s |STR_LEN: 1815 |STR_TIME: 0.21753716468811035
> STR_ID: 1h1t |STR_LEN: 607 |STR_TIME: 0.05199384689331055
> STR_ID: 1h1v |STR_LEN: 1047 |STR_TIME: 0.13151121139526367
> STR_ID: 1h1w |STR_LEN: 499 |STR_TIME: 0.05066514015197754
> STR_ID: 1h1x |STR_LEN: 459 |STR_TIME: 0.08281803131103516
> STR_ID: 1h1y |STR_LEN: 909 |STR_TIME: 0.07052922248840332
> STR_ID: 1h1z |STR_LEN: 444 |STR_TIME: 0.06018400192260742
> STR_ID: 2h10 |STR_LEN: 575 |STR_TIME: 0.04394817352294922
> STR_ID: 2h11 |STR_LEN: 789 |STR_TIME: 0.10279703140258789
> STR_ID: 2h12 |STR_LEN: 5815 |STR_TIME: 0.5009419918060303
> STR_ID: 2h13 |STR_LEN: 844 |STR_TIME: 0.05488991737365723
> STR_ID: 2h14 |STR_LEN: 834 |STR_TIME: 0.12223696708679199
> STR_ID: 2h15 |STR_LEN: 441 |STR_TIME: 0.03976607322692871
> STR_ID: 2h16 |STR_LEN: 905 |STR_TIME: 0.09618210792541504
> STR_ID: 2h17 |STR_LEN: 228 |STR_TIME: 0.028400897979736328
> STR_ID: 2h18 |STR_LEN: 237 |STR_TIME: 0.028921127319335938
> STR_ID: 2h19 |STR_LEN: 442 |STR_TIME: 0.047482967376708984
> STR_ID: 2h1a |STR_LEN: 412 |STR_TIME: 0.07768797874450684
> STR_ID: 2h1b |STR_LEN: 1135 |STR_TIME: 0.09217476844787598
> STR_ID: 2h1c |STR_LEN: 253 |STR_TIME: 0.025141000747680664
> STR_ID: 2h1d |STR_LEN: 319 |STR_TIME: 0.04150509834289551
> STR_ID: 2h1e |STR_LEN: 523 |STR_TIME: 0.053611040115356445
> STR_ID: 2h1f |STR_LEN: 695 |STR_TIME: 0.12127304077148438
> STR_ID: 2h1g |STR_LEN: 286 |STR_TIME: 0.041484832763671875
> STR_ID: 2h1h |STR_LEN: 682 |STR_TIME: 0.09302091598510742
> STR_ID: 2h1i |STR_LEN: 824 |STR_TIME: 0.09520792961120605
> STR_ID: 2h1j |STR_LEN: 1133 |STR_TIME: 0.2192859649658203
> STR_ID: 2h1k |STR_LEN: 201 |STR_TIME: 0.043623924255371094
> STR_ID: 2h1l |STR_LEN: 6760 |STR_TIME: 1.2063038349151611
> STR_ID: 2h1m |STR_LEN: 35 |STR_TIME: 0.013183116912841797
> STR_ID: 2h1n |STR_LEN: 1146 |STR_TIME: 0.25237512588500977
> STR_ID: 2h1o |STR_LEN: 946 |STR_TIME: 0.1701359748840332
> STR_ID: 2h1p |STR_LEN: 512 |STR_TIME: 0.06271910667419434
> STR_ID: 2h1r |STR_LEN: 1044 |STR_TIME: 0.08950495719909668
> STR_ID: 2h1s |STR_LEN: 1734 |STR_TIME: 0.2420027256011963
> STR_ID: 2h1t |STR_LEN: 748 |STR_TIME: 0.0693061351776123
> STR_ID: 2h1u |STR_LEN: 363 |STR_TIME: 0.03696393966674805
> STR_ID: 2h1v |STR_LEN: 803 |STR_TIME: 0.07665896415710449
> STR_ID: 2h1w |STR_LEN: 324 |STR_TIME: 0.04699397087097168
> STR_ID: 2h1x |STR_LEN: 573 |STR_TIME: 0.10894012451171875
> STR_ID: 2h1y |STR_LEN: 649 |STR_TIME: 0.0886538028717041
> STR_ID: 2h1z |STR_LEN: 39 |STR_TIME: 0.2787308692932129
> STR_ID: 3h10 |STR_LEN: 940 |STR_TIME: 0.1299278736114502
> STR_ID: 3h11 |STR_LEN: 569 |STR_TIME: 0.06957697868347168
> STR_ID: 3h12 |STR_LEN: 1567 |STR_TIME: 0.17235875129699707
> STR_ID: 3h13 |STR_LEN: 284 |STR_TIME: 0.03325486183166504
> STR_ID: 3h14 |STR_LEN: 603 |STR_TIME: 0.05647397041320801
> STR_ID: 3h15 |STR_LEN: 192 |STR_TIME: 0.033351898193359375
> STR_ID: 3h16 |STR_LEN: 588 |STR_TIME: 0.10976314544677734
> STR_ID: 3h17 |STR_LEN: 303 |STR_TIME: 0.041733741760253906
> STR_ID: 3h18 |STR_LEN: 312 |STR_TIME: 0.04152512550354004
> STR_ID: 3h19 |STR_LEN: 352 |STR_TIME: 0.04561901092529297
> STR_ID: 3h1a |STR_LEN: 364 |STR_TIME: 0.041466712951660156
> STR_ID: 3h1b |STR_LEN: 317 |STR_TIME: 0.04260611534118652
> STR_ID: 3h1c |STR_LEN: 6798 |STR_TIME: 1.1735007762908936
> STR_ID: 3h1d |STR_LEN: 743 |STR_TIME: 0.08125686645507812
> STR_ID: 3h1e |STR_LEN: 185 |STR_TIME: 0.020922183990478516
> STR_ID: 3h1f |STR_LEN: 189 |STR_TIME: 0.019360065460205078
> STR_ID: 3h1g |STR_LEN: 258 |STR_TIME: 0.022410869598388672
> STR_ID: 3h1h |STR_LEN: 4125 |STR_TIME: 0.8149452209472656
> STR_ID: 3h1i |STR_LEN: 4106 |STR_TIME: 0.7184879779815674
> STR_ID: 3h1j |STR_LEN: 4120 |STR_TIME: 0.8121287822723389
> STR_ID: 3h1k |STR_LEN: 4127 |STR_TIME: 0.8428239822387695
> STR_ID: 3h1l |STR_LEN: 4122 |STR_TIME: 0.8236141204833984
> STR_ID: 3h1m |STR_LEN: 498 |STR_TIME: 0.05983591079711914
> STR_ID: 3h1n |STR_LEN: 875 |STR_TIME: 0.18446993827819824
> STR_ID: 3h1o |STR_LEN: 674 |STR_TIME: 0.07109403610229492
> STR_ID: 3h1p |STR_LEN: 595 |STR_TIME: 0.07240796089172363
> STR_ID: 3h1q |STR_LEN: 570 |STR_TIME: 0.06928801536560059
> STR_ID: 3h1r |STR_LEN: 224 |STR_TIME: 0.03259992599487305
> STR_ID: 3h1s |STR_LEN: 639 |STR_TIME: 0.10426902770996094
> STR_ID: 3h1t |STR_LEN: 858 |STR_TIME: 0.08201813697814941
> STR_ID: 3h1u |STR_LEN: 197 |STR_TIME: 0.02180790901184082
> STR_ID: 3h1v |STR_LEN: 569 |STR_TIME: 0.0650639533996582
> STR_ID: 3h1w |STR_LEN: 637 |STR_TIME: 0.05974411964416504
> STR_ID: 3h1x |STR_LEN: 367 |STR_TIME: 0.05866289138793945
> STR_ID: 3h1y |STR_LEN: 618 |STR_TIME: 0.056939125061035156
> STR_ID: 3h1z |STR_LEN: 501 |STR_TIME: 0.040107011795043945
> STR_ID: 4h10 |STR_LEN: 259 |STR_TIME: 0.03979802131652832
> STR_ID: 4h11 |STR_LEN: 379 |STR_TIME: 0.06519603729248047
> STR_ID: 4h12 |STR_LEN: 362 |STR_TIME: 0.04630112648010254
> STR_ID: 4h13 |STR_LEN: 1003 |STR_TIME: 0.32332301139831543
> STR_ID: 4h14 |STR_LEN: 509 |STR_TIME: 0.06907320022583008
> STR_ID: 4h15 |STR_LEN: 2048 |STR_TIME: 0.2128429412841797
> STR_ID: 4h16 |STR_LEN: 499 |STR_TIME: 0.08647799491882324
> STR_ID: 4h17 |STR_LEN: 842 |STR_TIME: 0.08565521240234375
> STR_ID: 4h18 |STR_LEN: 2212 |STR_TIME: 0.24277973175048828
> STR_ID: 4h19 |STR_LEN: 11880 |STR_TIME: 1.2194170951843262
> STR_ID: 4h1a |STR_LEN: 758 |STR_TIME: 0.0813601016998291
> STR_ID: 4h1b |STR_LEN: 738 |STR_TIME: 0.1911919116973877
> STR_ID: 4h1d |STR_LEN: 201 |STR_TIME: 0.027515888214111328
> STR_ID: 4h1e |STR_LEN: 1294 |STR_TIME: 0.12289094924926758
> STR_ID: 4h1g |STR_LEN: 1064 |STR_TIME: 0.13161015510559082
> STR_ID: 4h1h |STR_LEN: 743 |STR_TIME: 0.11075782775878906
> STR_ID: 4h1i |STR_LEN: 1149 |STR_TIME: 0.24001193046569824
> STR_ID: 4h1j |STR_LEN: 401 |STR_TIME: 0.051876068115234375
> STR_ID: 4h1l |STR_LEN: 1188 |STR_TIME: 0.21810197830200195
> STR_ID: 4h1m |STR_LEN: 390 |STR_TIME: 0.05502200126647949
> STR_ID: 4h1n |STR_LEN: 484 |STR_TIME: 0.07076311111450195
> STR_ID: 4h1o |STR_LEN: 635 |STR_TIME: 0.07607221603393555
> STR_ID: 4h1p |STR_LEN: 269 |STR_TIME: 0.019922971725463867
> STR_ID: 4h1q |STR_LEN: 659 |STR_TIME: 0.10567092895507812
> STR_ID: 4h1s |STR_LEN: 1624 |STR_TIME: 0.16121482849121094
> STR_ID: 4h1t |STR_LEN: 2827 |STR_TIME: 0.2936062812805176
> STR_ID: 4h1u |STR_LEN: 488 |STR_TIME: 0.0513300895690918
> STR_ID: 4h1v |STR_LEN: 481 |STR_TIME: 0.05666399002075195
> STR_ID: 4h1w |STR_LEN: 1029 |STR_TIME: 0.23211026191711426
> STR_ID: 4h1x |STR_LEN: 517 |STR_TIME: 0.04992818832397461
> STR_ID: 4h1y |STR_LEN: 1145 |STR_TIME: 0.12658095359802246
> STR_ID: 4h1z |STR_LEN: 4546 |STR_TIME: 0.5167663097381592
> STR_ID: 5h11 |STR_LEN: 506 |STR_TIME: 0.09150481224060059
> STR_ID: 5h12 |STR_LEN: 875 |STR_TIME: 0.17113709449768066
> STR_ID: 5h13 |STR_LEN: 460 |STR_TIME: 0.05378103256225586
> STR_ID: 5h14 |STR_LEN: 1196 |STR_TIME: 0.1336228847503662
> STR_ID: 5h15 |STR_LEN: 1099 |STR_TIME: 0.15586400032043457
> STR_ID: 5h16 |STR_LEN: 1102 |STR_TIME: 0.14902305603027344
> STR_ID: 5h17 |STR_LEN: 506 |STR_TIME: 0.08839797973632812
> STR_ID: 5h19 |STR_LEN: 613 |STR_TIME: 0.06060004234313965
> STR_ID: 5h1a |STR_LEN: 1088 |STR_TIME: 0.1382298469543457
> STR_ID: 5h1b |STR_LEN: 939 |STR_TIME: 0.17099499702453613
> STR_ID: 5h1c |STR_LEN: 957 |STR_TIME: 0.14227795600891113
> STR_ID: 5h1d |STR_LEN: 336 |STR_TIME: 0.030244112014770508
> STR_ID: 5h1e |STR_LEN: 288 |STR_TIME: 0.08883404731750488
> STR_ID: 5h1h |STR_LEN: 16 |STR_TIME: 0.08257293701171875
> STR_ID: 5h1i |STR_LEN: 18 |STR_TIME: 0.09586596488952637
> STR_ID: 5h1j |STR_LEN: 1316 |STR_TIME: 0.14395499229431152
> STR_ID: 5h1k |STR_LEN: 2719 |STR_TIME: 0.23883914947509766
> STR_ID: 5h1l |STR_LEN: 1107 |STR_TIME: 0.1470959186553955
> STR_ID: 5h1m |STR_LEN: 708 |STR_TIME: 0.10244607925415039
> STR_ID: 5h1q |STR_LEN: 2888 |STR_TIME: 0.5568530559539795
> STR_ID: 5h1r |STR_LEN: 5760 |STR_TIME: 1.0265989303588867
> STR_ID: 5h1s |STR_LEN: 6294 |STR_TIME: 2.1875269412994385
> STR_ID: 5h1t |STR_LEN: 956 |STR_TIME: 0.1428999900817871
> STR_ID: 5h1u |STR_LEN: 927 |STR_TIME: 0.14172601699829102
> STR_ID: 5h1v |STR_LEN: 489 |STR_TIME: 0.0689389705657959
> STR_ID: 5h1w |STR_LEN: 1078 |STR_TIME: 0.32499098777770996
> STR_ID: 5h1y |STR_LEN: 649 |STR_TIME: 0.07436680793762207
> STR_ID: 5h1z |STR_LEN: 409 |STR_TIME: 0.06024599075317383
>> FINISH_DIR: ./data/h/h1/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'> |STR_COUNT: 313 |DIR_TIME: 30.796045780181885 

>> START_DIR: ./data/h/h2/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1h20 |STR_LEN: 39 |STR_TIME: 0.30119800567626953
> STR_ID: 1h21 |STR_LEN: 1156 |STR_TIME: 0.1471080780029297
> STR_ID: 1h22 |STR_LEN: 754 |STR_TIME: 0.12172698974609375
> STR_ID: 1h23 |STR_LEN: 800 |STR_TIME: 0.08844590187072754
> STR_ID: 1h24 |STR_LEN: 1344 |STR_TIME: 0.17023301124572754
> STR_ID: 1h25 |STR_LEN: 1291 |STR_TIME: 0.20531010627746582
> STR_ID: 1h26 |STR_LEN: 1285 |STR_TIME: 0.19245314598083496
> STR_ID: 1h27 |STR_LEN: 1346 |STR_TIME: 0.16774415969848633
> STR_ID: 1h28 |STR_LEN: 1165 |STR_TIME: 0.2117607593536377
> STR_ID: 1h29 |STR_LEN: 2554 |STR_TIME: 0.38318514823913574
> STR_ID: 1h2a |STR_LEN: 1444 |STR_TIME: 0.12740492820739746
> STR_ID: 1h2b |STR_LEN: 1356 |STR_TIME: 0.17314600944519043
> STR_ID: 1h2c |STR_LEN: 286 |STR_TIME: 0.024670124053955078
> STR_ID: 1h2d |STR_LEN: 364 |STR_TIME: 0.041284799575805664
> STR_ID: 1h2e |STR_LEN: 384 |STR_TIME: 0.04365181922912598
