>> START_DIR: ./data/y/y0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1y00 |STR_LEN: 122 |STR_TIME: 0.8615779876708984
> STR_ID: 1y0w |STR_LEN: 753 |STR_TIME: 0.08565711975097656
> STR_ID: 1y0x |STR_LEN: 267 |STR_TIME: 0.03540992736816406
> STR_ID: 1y0y |STR_LEN: 551 |STR_TIME: 0.13431406021118164
> STR_ID: 1y0z |STR_LEN: 1429 |STR_TIME: 0.11451268196105957
> STR_ID: 2y00 |STR_LEN: 639 |STR_TIME: 0.09031009674072266
> STR_ID: 2y01 |STR_LEN: 641 |STR_TIME: 0.11721611022949219
> STR_ID: 2y02 |STR_LEN: 641 |STR_TIME: 0.08878588676452637
> STR_ID: 2y03 |STR_LEN: 607 |STR_TIME: 0.08702301979064941
> STR_ID: 2y04 |STR_LEN: 616 |STR_TIME: 0.12309885025024414
> STR_ID: 2y05 |STR_LEN: 1770 |STR_TIME: 0.20209598541259766
> STR_ID: 2y06 |STR_LEN: 481 |STR_TIME: 0.05971884727478027
> STR_ID: 2y07 |STR_LEN: 581 |STR_TIME: 0.09622621536254883
> STR_ID: 2y08 |STR_LEN: 2145 |STR_TIME: 0.23919916152954102
> STR_ID: 2y09 |STR_LEN: 352 |STR_TIME: 0.03516793251037598
> STR_ID: 2y0a |STR_LEN: 326 |STR_TIME: 0.045042991638183594
> STR_ID: 2y0b |STR_LEN: 1057 |STR_TIME: 0.1354219913482666
> STR_ID: 2y0c |STR_LEN: 3157 |STR_TIME: 0.46846580505371094
> STR_ID: 2y0d |STR_LEN: 1819 |STR_TIME: 0.3729691505432129
> STR_ID: 2y0e |STR_LEN: 3222 |STR_TIME: 0.44101810455322266
> STR_ID: 2y0f |STR_LEN: 1721 |STR_TIME: 0.3632199764251709
> STR_ID: 2y0g |STR_LEN: 490 |STR_TIME: 0.04964089393615723
> STR_ID: 2y0h |STR_LEN: 493 |STR_TIME: 0.11051440238952637
> STR_ID: 2y0i |STR_LEN: 474 |STR_TIME: 0.05585885047912598
> STR_ID: 2y0j |STR_LEN: 854 |STR_TIME: 0.10366296768188477
> STR_ID: 2y0k |STR_LEN: 536 |STR_TIME: 0.05704998970031738
> STR_ID: 2y0l |STR_LEN: 459 |STR_TIME: 0.09139204025268555
> STR_ID: 2y0m |STR_LEN: 327 |STR_TIME: 0.06025385856628418
> STR_ID: 2y0n |STR_LEN: 791 |STR_TIME: 0.1521320343017578
> STR_ID: 2y0o |STR_LEN: 443 |STR_TIME: 0.040598154067993164
> STR_ID: 2y0p |STR_LEN: 3905 |STR_TIME: 0.7621009349822998
> STR_ID: 2y0q |STR_LEN: 328 |STR_TIME: 0.03679490089416504
> STR_ID: 2y0r |STR_LEN: 1137 |STR_TIME: 0.11510205268859863
> STR_ID: 2y0s |STR_LEN: 6628 |STR_TIME: 1.5438048839569092
> STR_ID: 2y0t |STR_LEN: 220 |STR_TIME: 0.022999048233032227
> STR_ID: 4y00 |STR_LEN: 358 |STR_TIME: 0.19180917739868164
> STR_ID: 4y01 |STR_LEN: 1585 |STR_TIME: 0.20731496810913086
> STR_ID: 4y02 |STR_LEN: 1286 |STR_TIME: 0.14408588409423828
> STR_ID: 4y03 |STR_LEN: 336 |STR_TIME: 0.049371957778930664
> STR_ID: 4y04 |STR_LEN: 1386 |STR_TIME: 0.1157832145690918
> STR_ID: 4y05 |STR_LEN: 387 |STR_TIME: 0.10133099555969238
> STR_ID: 4y06 |STR_LEN: 1941 |STR_TIME: 0.21288609504699707
> STR_ID: 4y07 |STR_LEN: 402 |STR_TIME: 0.08320379257202148
> STR_ID: 4y08 |STR_LEN: 521 |STR_TIME: 0.03600597381591797
> STR_ID: 4y0a |STR_LEN: 343 |STR_TIME: 0.07133102416992188
> STR_ID: 4y0b |STR_LEN: 304 |STR_TIME: 0.05719804763793945
> STR_ID: 4y0c |STR_LEN: 591 |STR_TIME: 0.06528520584106445
> STR_ID: 4y0d |STR_LEN: 3275 |STR_TIME: 0.4803330898284912
> STR_ID: 4y0e |STR_LEN: 4418 |STR_TIME: 0.621898889541626
> STR_ID: 4y0f |STR_LEN: 206 |STR_TIME: 0.05105900764465332
> STR_ID: 4y0g |STR_LEN: 476 |STR_TIME: 0.0385441780090332
> STR_ID: 4y0h |STR_LEN: 2697 |STR_TIME: 0.37819528579711914
> STR_ID: 4y0i |STR_LEN: 4091 |STR_TIME: 0.3882150650024414
> STR_ID: 4y0j |STR_LEN: 398 |STR_TIME: 0.08489108085632324
> STR_ID: 4y0k |STR_LEN: 515 |STR_TIME: 0.13260293006896973
> STR_ID: 4y0l |STR_LEN: 106 |STR_TIME: 0.020984888076782227
> STR_ID: 4y0m |STR_LEN: 2766 |STR_TIME: 0.4062068462371826
> STR_ID: 4y0n |STR_LEN: 399 |STR_TIME: 0.06599307060241699
> STR_ID: 4y0o |STR_LEN: 360 |STR_TIME: 0.049361228942871094
> STR_ID: 4y0p |STR_LEN: 232 |STR_TIME: 0.02378988265991211
> STR_ID: 4y0q |STR_LEN: 227 |STR_TIME: 0.0236661434173584
> STR_ID: 4y0r |STR_LEN: 209 |STR_TIME: 0.025461912155151367
> STR_ID: 4y0s |STR_LEN: 263 |STR_TIME: 0.07210302352905273
> STR_ID: 4y0t |STR_LEN: 1356 |STR_TIME: 0.18829107284545898
> STR_ID: 4y0u |STR_LEN: 1257 |STR_TIME: 0.21376895904541016
> STR_ID: 4y0v |STR_LEN: 643 |STR_TIME: 0.06688570976257324
> STR_ID: 4y0w |STR_LEN: 1188 |STR_TIME: 0.17964792251586914
> STR_ID: 4y0x |STR_LEN: 555 |STR_TIME: 0.05988907814025879
> STR_ID: 4y0y |STR_LEN: 637 |STR_TIME: 0.10478711128234863
> STR_ID: 4y0z |STR_LEN: 661 |STR_TIME: 0.14453816413879395
>> FINISH_DIR: ./data/y/y0/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'> |STR_COUNT: 97 |DIR_TIME: 17.208044052124023 

>> START_DIR: ./data/y/y1/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1y10 |STR_LEN: 1969 |STR_TIME: 0.21767687797546387
> STR_ID: 1y11 |STR_LEN: 367 |STR_TIME: 0.0796501636505127
> STR_ID: 1y12 |STR_LEN: 1014 |STR_TIME: 0.07819509506225586
> STR_ID: 1y13 |STR_LEN: 621 |STR_TIME: 0.07383108139038086
> STR_ID: 1y14 |STR_LEN: 737 |STR_TIME: 0.0874319076538086
> STR_ID: 1y15 |STR_LEN: 112 |STR_TIME: 0.7485129833221436
> STR_ID: 1y16 |STR_LEN: 112 |STR_TIME: 0.8391931056976318
> STR_ID: 1y17 |STR_LEN: 326 |STR_TIME: 0.04027915000915527
> STR_ID: 1y18 |STR_LEN: 2060 |STR_TIME: 0.3791627883911133
> STR_ID: 1y19 |STR_LEN: 1684 |STR_TIME: 0.18630719184875488
> STR_ID: 1y1a |STR_LEN: 651 |STR_TIME: 0.058830976486206055
> STR_ID: 1y1b |STR_LEN: 48 |STR_TIME: 0.30440759658813477
> STR_ID: 1y1c |STR_LEN: 48 |STR_TIME: 0.2761881351470947
> STR_ID: 1y1d |STR_LEN: 402 |STR_TIME: 0.03765296936035156
> STR_ID: 1y1e |STR_LEN: 682 |STR_TIME: 0.04890012741088867
> STR_ID: 1y1f |STR_LEN: 705 |STR_TIME: 0.0494692325592041
> STR_ID: 1y1g |STR_LEN: 705 |STR_TIME: 0.10288000106811523
> STR_ID: 1y1h |STR_LEN: 753 |STR_TIME: 0.05000424385070801
> STR_ID: 1y1i |STR_LEN: 534 |STR_TIME: 0.04449725151062012
> STR_ID: 1y1j |STR_LEN: 751 |STR_TIME: 0.051455020904541016
> STR_ID: 1y1k |STR_LEN: 852 |STR_TIME: 0.06105613708496094
> STR_ID: 1y1l |STR_LEN: 504 |STR_TIME: 0.09632372856140137
> STR_ID: 1y1m |STR_LEN: 1216 |STR_TIME: 0.0867609977722168
> STR_ID: 1y1n |STR_LEN: 612 |STR_TIME: 0.04536104202270508
> STR_ID: 1y1o |STR_LEN: 829 |STR_TIME: 0.13492107391357422
> STR_ID: 1y1p |STR_LEN: 1426 |STR_TIME: 0.10994625091552734
> STR_ID: 1y1q |STR_LEN: 1668 |STR_TIME: 0.23538613319396973
> STR_ID: 1y1r |STR_LEN: 2104 |STR_TIME: 0.22128820419311523
> STR_ID: 1y1s |STR_LEN: 1729 |STR_TIME: 0.2646961212158203
> STR_ID: 1y1t |STR_LEN: 749 |STR_TIME: 0.06902098655700684
> STR_ID: 1y1u |STR_LEN: 1632 |STR_TIME: 0.28919506072998047
> STR_ID: 1y1v |STR_LEN: 4111 |STR_TIME: 0.7221341133117676
> STR_ID: 1y1w |STR_LEN: 3962 |STR_TIME: 0.7518210411071777
> STR_ID: 1y1x |STR_LEN: 579 |STR_TIME: 0.05448603630065918
> STR_ID: 1y1y |STR_LEN: 4112 |STR_TIME: 0.1930217742919922
> STR_ID: 1y1z |STR_LEN: 640 |STR_TIME: 0.04608511924743652
> STR_ID: 2y1a |STR_LEN: 575 |STR_TIME: 0.05232715606689453
> STR_ID: 2y1b |STR_LEN: 134 |STR_TIME: 0.012888669967651367
> STR_ID: 2y1c |STR_LEN: 1226 |STR_TIME: 0.14381003379821777
> STR_ID: 2y1d |STR_LEN: 1088 |STR_TIME: 0.1077423095703125
> STR_ID: 2y1e |STR_LEN: 1320 |STR_TIME: 0.11899709701538086
> STR_ID: 2y1f |STR_LEN: 1254 |STR_TIME: 0.15622711181640625
> STR_ID: 2y1g |STR_LEN: 1338 |STR_TIME: 0.11997389793395996
> STR_ID: 2y1h |STR_LEN: 593 |STR_TIME: 0.136185884475708
> STR_ID: 2y1i |STR_LEN: 609 |STR_TIME: 0.08774614334106445
> STR_ID: 2y1j |STR_LEN: 769 |STR_TIME: 0.09735298156738281
> STR_ID: 2y1k |STR_LEN: 773 |STR_TIME: 0.14389705657958984
> STR_ID: 2y1l |STR_LEN: 1488 |STR_TIME: 0.16049981117248535
> STR_ID: 2y1m |STR_LEN: 2445 |STR_TIME: 0.4032618999481201
> STR_ID: 2y1n |STR_LEN: 1121 |STR_TIME: 0.15749311447143555
> STR_ID: 2y1o |STR_LEN: 859 |STR_TIME: 0.08943581581115723
> STR_ID: 2y1p |STR_LEN: 435 |STR_TIME: 0.07557106018066406
> STR_ID: 2y1q |STR_LEN: 262 |STR_TIME: 0.04468894004821777
> STR_ID: 2y1r |STR_LEN: 1892 |STR_TIME: 0.4210958480834961
> STR_ID: 2y1s |STR_LEN: 108 |STR_TIME: 1.380937099456787
> STR_ID: 2y1t |STR_LEN: 1275 |STR_TIME: 0.20696520805358887
> STR_ID: 2y1v |STR_LEN: 2251 |STR_TIME: 0.4643080234527588
> STR_ID: 2y1w |STR_LEN: 1736 |STR_TIME: 0.27450108528137207
> STR_ID: 2y1x |STR_LEN: 1844 |STR_TIME: 0.21503996849060059
> STR_ID: 2y1y |STR_LEN: 142 |STR_TIME: 0.015889883041381836
> STR_ID: 2y1z |STR_LEN: 190 |STR_TIME: 0.10166096687316895
> STR_ID: 4y10 |STR_LEN: 637 |STR_TIME: 0.10503911972045898
> STR_ID: 4y11 |STR_LEN: 593 |STR_TIME: 0.10936093330383301
> STR_ID: 4y12 |STR_LEN: 497 |STR_TIME: 0.07902383804321289
> STR_ID: 4y13 |STR_LEN: 254 |STR_TIME: 0.0685880184173584
> STR_ID: 4y14 |STR_LEN: 1139 |STR_TIME: 0.09600996971130371
> STR_ID: 4y15 |STR_LEN: 727 |STR_TIME: 0.2518579959869385
> STR_ID: 4y16 |STR_LEN: 860 |STR_TIME: 0.1205754280090332
> STR_ID: 4y17 |STR_LEN: 729 |STR_TIME: 0.25239133834838867
> STR_ID: 4y18 |STR_LEN: 1770 |STR_TIME: 0.30643630027770996
> STR_ID: 4y19 |STR_LEN: 1140 |STR_TIME: 0.17191767692565918
> STR_ID: 4y1a |STR_LEN: 823 |STR_TIME: 0.1740567684173584
> STR_ID: 4y1b |STR_LEN: 819 |STR_TIME: 0.06505012512207031
> STR_ID: 4y1c |STR_LEN: 322 |STR_TIME: 0.0432436466217041
> STR_ID: 4y1d |STR_LEN: 405 |STR_TIME: 0.042085886001586914
> STR_ID: 4y1e |STR_LEN: 478 |STR_TIME: 0.06458806991577148
> STR_ID: 4y1f |STR_LEN: 409 |STR_TIME: 0.10133910179138184
> STR_ID: 4y1g |STR_LEN: 391 |STR_TIME: 0.06238389015197754
> STR_ID: 4y1h |STR_LEN: 116 |STR_TIME: 0.013649940490722656
> STR_ID: 4y1i |STR_LEN: 305 |STR_TIME: 0.07662487030029297
> STR_ID: 4y1j |STR_LEN: 487 |STR_TIME: 0.12673521041870117
> STR_ID: 4y1k |STR_LEN: 2744 |STR_TIME: 0.4437577724456787
> STR_ID: 4y1l |STR_LEN: 573 |STR_TIME: 0.07867693901062012
> STR_ID: 4y1m |STR_LEN: 331 |STR_TIME: 0.1438279151916504
> STR_ID: 4y1n |STR_LEN: 546 |STR_TIME: 0.24749994277954102
> STR_ID: 4y1o |STR_LEN: 537 |STR_TIME: 0.28738880157470703
> STR_ID: 4y1p |STR_LEN: 903 |STR_TIME: 0.1358778476715088
> STR_ID: 4y1q |STR_LEN: 1440 |STR_TIME: 0.20836305618286133
> STR_ID: 4y1r |STR_LEN: 454 |STR_TIME: 0.10375308990478516
> STR_ID: 4y1s |STR_LEN: 257 |STR_TIME: 0.027848005294799805
> STR_ID: 4y1t |STR_LEN: 194 |STR_TIME: 0.019938945770263672
> STR_ID: 4y1u |STR_LEN: 421 |STR_TIME: 0.050047874450683594
> STR_ID: 4y1v |STR_LEN: 330 |STR_TIME: 0.04740118980407715
> STR_ID: 4y1w |STR_LEN: 490 |STR_TIME: 0.0724649429321289
> STR_ID: 4y1x |STR_LEN: 321 |STR_TIME: 0.0463259220123291
> STR_ID: 4y1y |STR_LEN: 392 |STR_TIME: 0.08136677742004395
> STR_ID: 4y1z |STR_LEN: 350 |STR_TIME: 0.051080942153930664
>> FINISH_DIR: ./data/y/y1/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'> |STR_COUNT: 194 |DIR_TIME: 17.496716022491455 

>> START_DIR: ./data/y/y2/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1y20 |STR_LEN: 711 |STR_TIME: 0.05075478553771973
> STR_ID: 1y21 |STR_LEN: 521 |STR_TIME: 0.04583382606506348
> STR_ID: 1y22 |STR_LEN: 772 |STR_TIME: 0.08253788948059082
> STR_ID: 1y23 |STR_LEN: 991 |STR_TIME: 0.1369640827178955
> STR_ID: 1y25 |STR_LEN: 700 |STR_TIME: 0.05382490158081055
> STR_ID: 1y26 |STR_LEN: 171 |STR_TIME: 0.028647899627685547
> STR_ID: 1y27 |STR_LEN: 88 |STR_TIME: 0.02432990074157715
> STR_ID: 1y28 |STR_LEN: 180 |STR_TIME: 0.019466161727905273
> STR_ID: 1y29 |STR_LEN: 28 |STR_TIME: 0.17403316497802734
> STR_ID: 1y2a |STR_LEN: 567 |STR_TIME: 0.06342816352844238
> STR_ID: 1y2b |STR_LEN: 1123 |STR_TIME: 0.10787200927734375
> STR_ID: 1y2c |STR_LEN: 1032 |STR_TIME: 0.13907599449157715
> STR_ID: 1y2d |STR_LEN: 1223 |STR_TIME: 0.11540484428405762
> STR_ID: 1y2e |STR_LEN: 937 |STR_TIME: 0.10466718673706055
> STR_ID: 1y2f |STR_LEN: 363 |STR_TIME: 0.06100773811340332
> STR_ID: 1y2g |STR_LEN: 501 |STR_TIME: 0.04528617858886719
> STR_ID: 1y2h |STR_LEN: 696 |STR_TIME: 0.09385395050048828
> STR_ID: 1y2i |STR_LEN: 906 |STR_TIME: 0.08359575271606445
> STR_ID: 1y2j |STR_LEN: 708 |STR_TIME: 0.1282520294189453
> STR_ID: 1y2k |STR_LEN: 1146 |STR_TIME: 0.10892415046691895
> STR_ID: 1y2m |STR_LEN: 4574 |STR_TIME: 0.5076239109039307
> STR_ID: 1y2o |STR_LEN: 717 |STR_TIME: 0.07628798484802246
> STR_ID: 1y2p |STR_LEN: 34 |STR_TIME: 0.18620920181274414
> STR_ID: 1y2q |STR_LEN: 319 |STR_TIME: 0.026371002197265625
> STR_ID: 1y2s |STR_LEN: 113 |STR_TIME: 0.8254420757293701
> STR_ID: 1y2t |STR_LEN: 452 |STR_TIME: 0.04526805877685547
> STR_ID: 1y2u |STR_LEN: 384 |STR_TIME: 0.04265785217285156
> STR_ID: 1y2v |STR_LEN: 380 |STR_TIME: 0.042951107025146484
> STR_ID: 1y2w |STR_LEN: 420 |STR_TIME: 0.043797969818115234
> STR_ID: 1y2x |STR_LEN: 646 |STR_TIME: 0.0873720645904541
> STR_ID: 1y2y |STR_LEN: 58 |STR_TIME: 0.2541682720184326
> STR_ID: 1y2z |STR_LEN: 772 |STR_TIME: 0.09379816055297852
> STR_ID: 2y20 |STR_LEN: 542 |STR_TIME: 0.09662628173828125
> STR_ID: 2y21 |STR_LEN: 692 |STR_TIME: 0.11195707321166992
> STR_ID: 2y22 |STR_LEN: 467 |STR_TIME: 0.058554887771606445
> STR_ID: 2y23 |STR_LEN: 489 |STR_TIME: 0.06043601036071777
> STR_ID: 2y24 |STR_LEN: 962 |STR_TIME: 0.12088704109191895
> STR_ID: 2y25 |STR_LEN: 1248 |STR_TIME: 0.24943804740905762
> STR_ID: 2y26 |STR_LEN: 10636 |STR_TIME: 1.798494815826416
> STR_ID: 2y27 |STR_LEN: 1828 |STR_TIME: 0.147691011428833
> STR_ID: 2y28 |STR_LEN: 1229 |STR_TIME: 0.21945810317993164
> STR_ID: 2y29 |STR_LEN: 8 |STR_TIME: 0.0013470649719238281
> STR_ID: 2y2a |STR_LEN: 10 |STR_TIME: 0.0013611316680908203
> STR_ID: 2y2b |STR_LEN: 1102 |STR_TIME: 0.09270286560058594
> STR_ID: 2y2c |STR_LEN: 1216 |STR_TIME: 0.08980298042297363
> STR_ID: 2y2d |STR_LEN: 1403 |STR_TIME: 0.12749099731445312
> STR_ID: 2y2e |STR_LEN: 1368 |STR_TIME: 0.0913839340209961
> STR_ID: 2y2f |STR_LEN: 557 |STR_TIME: 0.046369075775146484
> STR_ID: 2y2g |STR_LEN: 1597 |STR_TIME: 0.2130279541015625
> STR_ID: 2y2h |STR_LEN: 1341 |STR_TIME: 0.18947291374206543
> STR_ID: 2y2i |STR_LEN: 835 |STR_TIME: 0.08829379081726074
> STR_ID: 2y2j |STR_LEN: 764 |STR_TIME: 0.09135222434997559
> STR_ID: 2y2k |STR_LEN: 699 |STR_TIME: 0.13576078414916992
> STR_ID: 2y2l |STR_LEN: 1485 |STR_TIME: 0.17717885971069336
> STR_ID: 2y2m |STR_LEN: 866 |STR_TIME: 0.124053955078125
> STR_ID: 2y2n |STR_LEN: 729 |STR_TIME: 0.08842706680297852
> STR_ID: 2y2o |STR_LEN: 692 |STR_TIME: 0.09313583374023438
> STR_ID: 2y2p |STR_LEN: 772 |STR_TIME: 0.12061476707458496
> STR_ID: 2y2q |STR_LEN: 1481 |STR_TIME: 0.18295979499816895
> STR_ID: 2y2t |STR_LEN: 114 |STR_TIME: 0.018068313598632812
> STR_ID: 2y2u |STR_LEN: 1435 |STR_TIME: 0.20380687713623047
> STR_ID: 2y2v |STR_LEN: 1797 |STR_TIME: 0.19689488410949707
> STR_ID: 2y2w |STR_LEN: 3763 |STR_TIME: 0.5337731838226318
> STR_ID: 2y2x |STR_LEN: 1456 |STR_TIME: 0.20321893692016602
> STR_ID: 2y2y |STR_LEN: 106 |STR_TIME: 0.016681194305419922
> STR_ID: 2y2z |STR_LEN: 359 |STR_TIME: 0.04801011085510254
> STR_ID: 4y20 |STR_LEN: 317 |STR_TIME: 0.051325082778930664
> STR_ID: 4y21 |STR_LEN: 539 |STR_TIME: 0.1695699691772461
> STR_ID: 4y22 |STR_LEN: 310 |STR_TIME: 0.03800082206726074
> STR_ID: 4y23 |STR_LEN: 570 |STR_TIME: 0.08101797103881836
> STR_ID: 4y24 |STR_LEN: 364 |STR_TIME: 0.055338144302368164
> STR_ID: 4y25 |STR_LEN: 290 |STR_TIME: 0.05244112014770508
> STR_ID: 4y26 |STR_LEN: 334 |STR_TIME: 0.054264068603515625
> STR_ID: 4y27 |STR_LEN: 170 |STR_TIME: 0.05270218849182129
> STR_ID: 4y28 |STR_LEN: 3396 |STR_TIME: 0.9963188171386719
> STR_ID: 4y29 |STR_LEN: 465 |STR_TIME: 0.07448506355285645
> STR_ID: 4y2a |STR_LEN: 501 |STR_TIME: 0.06581878662109375
> STR_ID: 4y2b |STR_LEN: 605 |STR_TIME: 0.056472063064575195
> STR_ID: 4y2c |STR_LEN: 640 |STR_TIME: 0.08679604530334473
> STR_ID: 4y2d |STR_LEN: 1569 |STR_TIME: 0.35376787185668945
> STR_ID: 4y2e |STR_LEN: 1326 |STR_TIME: 0.13294696807861328
> STR_ID: 4y2f |STR_LEN: 316 |STR_TIME: 0.026346921920776367
> STR_ID: 4y2g |STR_LEN: 224 |STR_TIME: 0.03202104568481445
> STR_ID: 4y2h |STR_LEN: 956 |STR_TIME: 0.1051931381225586
> STR_ID: 4y2i |STR_LEN: 101 |STR_TIME: 0.010175943374633789
> STR_ID: 4y2j |STR_LEN: 652 |STR_TIME: 0.12845182418823242
> STR_ID: 4y2k |STR_LEN: 121 |STR_TIME: 0.009633064270019531
> STR_ID: 4y2l |STR_LEN: 1532 |STR_TIME: 0.2759358882904053
> STR_ID: 4y2m |STR_LEN: 129 |STR_TIME: 0.011017084121704102
> STR_ID: 4y2n |STR_LEN: 607 |STR_TIME: 0.0629129409790039
> STR_ID: 4y2o |STR_LEN: 496 |STR_TIME: 0.05715298652648926
> STR_ID: 4y2p |STR_LEN: 667 |STR_TIME: 0.08200287818908691
> STR_ID: 4y2q |STR_LEN: 592 |STR_TIME: 0.08141016960144043
> STR_ID: 4y2r |STR_LEN: 589 |STR_TIME: 0.11966395378112793
> STR_ID: 4y2s |STR_LEN: 619 |STR_TIME: 0.07703614234924316
> STR_ID: 4y2t |STR_LEN: 595 |STR_TIME: 0.08111095428466797
> STR_ID: 4y2u |STR_LEN: 555 |STR_TIME: 0.1031348705291748
> STR_ID: 4y2v |STR_LEN: 596 |STR_TIME: 0.07726693153381348
> STR_ID: 4y2w |STR_LEN: 780 |STR_TIME: 0.10932111740112305
> STR_ID: 4y2x |STR_LEN: 555 |STR_TIME: 0.07792806625366211
> STR_ID: 4y2y |STR_LEN: 586 |STR_TIME: 0.11271309852600098
>> FINISH_DIR: ./data/y/y2/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'> |STR_COUNT: 295 |DIR_TIME: 14.636576890945435 

>> START_DIR: ./data/y/y3/ PARSER: <class 'Bio.PDB.MMCIFParser.FastMMCIFParser'>
> STR_ID: 1y30 |STR_LEN: 514 |STR_TIME: 0.044425010681152344
> STR_ID: 1y31 |STR_LEN: 772 |STR_TIME: 0.0841209888458252
> STR_ID: 1y32 |STR_LEN: 24 |STR_TIME: 0.12276411056518555
> STR_ID: 1y33 |STR_LEN: 832 |STR_TIME: 0.05974578857421875
> STR_ID: 1y34 |STR_LEN: 853 |STR_TIME: 0.06215071678161621
> STR_ID: 1y35 |STR_LEN: 772 |STR_TIME: 0.08961200714111328
> STR_ID: 1y37 |STR_LEN: 922 |STR_TIME: 0.12869668006896973
> STR_ID: 1y38 |STR_LEN: 418 |STR_TIME: 0.042404890060424805
> STR_ID: 1y39 |STR_LEN: 301 |STR_TIME: 0.06639981269836426
> STR_ID: 1y3a |STR_LEN: 1396 |STR_TIME: 0.23118114471435547
> STR_ID: 1y3b |STR_LEN: 857 |STR_TIME: 0.05756187438964844
> STR_ID: 1y3c |STR_LEN: 828 |STR_TIME: 0.057579994201660156
> STR_ID: 1y3d |STR_LEN: 818 |STR_TIME: 0.05807614326477051
> STR_ID: 1y3f |STR_LEN: 843 |STR_TIME: 0.05948472023010254
> STR_ID: 1y3g |STR_LEN: 453 |STR_TIME: 0.09183120727539062
> STR_ID: 1y3h |STR_LEN: 562 |STR_TIME: 0.07515382766723633
> STR_ID: 1y3i |STR_LEN: 512 |STR_TIME: 0.06505107879638672
> STR_ID: 1y3j |STR_LEN: 78 |STR_TIME: 0.511707067489624
> STR_ID: 1y3k |STR_LEN: 77 |STR_TIME: 0.5211520195007324
> STR_ID: 1y3n |STR_LEN: 1147 |STR_TIME: 0.08920907974243164
> STR_ID: 1y3o |STR_LEN: 53 |STR_TIME: 0.017482995986938477
> STR_ID: 1y3p |STR_LEN: 901 |STR_TIME: 0.1681370735168457
> STR_ID: 1y3q |STR_LEN: 816 |STR_TIME: 0.07928013801574707
> STR_ID: 1y3s |STR_LEN: 164 |STR_TIME: 0.019340038299560547
> STR_ID: 1y3t |STR_LEN: 1027 |STR_TIME: 0.09957671165466309
> STR_ID: 1y3u |STR_LEN: 340 |STR_TIME: 0.03399181365966797
> STR_ID: 1y3v |STR_LEN: 345 |STR_TIME: 0.03486800193786621
> STR_ID: 1y3w |STR_LEN: 332 |STR_TIME: 0.06426715850830078
> STR_ID: 1y3x |STR_LEN: 375 |STR_TIME: 0.03573918342590332
> STR_ID: 1y3y |STR_LEN: 337 |STR_TIME: 0.03513979911804199
